SOURCELONG:Player's Handbook	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	CLASSES:	Domains granting the spell	SCHOOL:	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	SAVEINFO:	SPELLRES:	DESC:See text	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Crown of Veils			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Figment		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Crushing Grip			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature		DURATION:3 rounds	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Curse of Arrow Attraction			TYPE:Arcane.Divine	CLASSES:Cleric=3|Ranger=2|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Dancing Blade			TYPE:Arcane	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Deflect			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration		DESCRIPTOR:Force	COMPS:V	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:1 round or until discharged	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Deflect (Lesser)	OUTPUTNAME:Deflect, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Abjuration		DESCRIPTOR:Force	COMPS:V	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:1 round or until discharged	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Detonate			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Evocation		DESCRIPTOR:Death|Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Dimension Hop			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Dimension Shuffle			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:Instantaneous	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Dimension Step			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:Instantaneous	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Dispelling Touch			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched creature, object or spell effect		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Divine Retaliation			TYPE:Divine	CLASSES:Cleric=3|Paladin=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, DF	CASTTIME:1 swift action	RANGE:0 ft.	TARGETAREA:Magic weapon of force		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Doom Scarabs			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration|Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone shaped burst		DURATION:Instantaneous	SAVEINFO:Will half	SPELLRES:See Text	DESC:See text	SOURCEPAGE:PHB2								
Dragonshape			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Drift of the Shalm			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 5-ft square/level		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Electric Vengeance			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 immediate action	RANGE:5 ft	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Electric Vengeance (Greater)	OUTPUTNAME:Electric Vengeance, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 immediate action	RANGE:5 ft	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Energy Aegis			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, DF	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Energy Surge			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation		DESCRIPTOR:See text	COMPS:V	CASTTIME:1 swift action	RANGE:Close	TARGETAREA:One weapon		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Energy Surge (Greater)			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation		DESCRIPTOR:See text	COMPS:V	CASTTIME:1 swift action	RANGE:Close	TARGETAREA:One weapon		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Energy Surge (Lesser)			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:See text	COMPS:V	CASTTIME:1 swift action	RANGE:Close	TARGETAREA:One weapon		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Energy Vulnerability			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or more creatures within 10-ft radius burst		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Etherealness (Swift)	OUTPUTNAME:Etherealness, Swift		TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 swift action	RANGE:Close	TARGETAREA:One willing creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Evard's Menacing Tentacles			TYPE:Arcane.Divine	CLASSES:Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Explosive Rune Field			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius burst		DURATION:1 round/level	SAVEINFO:Reflex negate	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2		COST:25						
Field of Resistance			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius emanation centered on a point in space		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Friend to Foe			TYPE:Arcane.Divine	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Halt			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Healing Spirit			TYPE:Divine	CLASSES:Bard=4|Cleric=4|Druid=4|Paladin=3		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One conjured healing spirit		DURATION:1 round/2 level	SAVEINFO:Will half (harmless); See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Hesitate			TYPE:Arcane.Divine	CLASSES:Bard=3|Cleric=3|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 immediate action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Hunter's Eye			TYPE:Divine	CLASSES:Ranger=2		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Incite Riot			TYPE:Arcane.Divine	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Increase Virulence			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Vial of poison or creature touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
Inevitable Defeat			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Insight of Good Fortune			TYPE:Arcane.Divine	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute/level or until discharged	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2		COST:20						
Invest Heavy Protection			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous; See text	SAVEINFO:Will half (harmless); See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Invest Light Protection			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous; See text	SAVEINFO:Will half (harmless); See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Invest Moderate Protection			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous; See text	SAVEINFO:Will half (harmless); See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PHB2								
Kelgore's Fire Bolt			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration|Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:See Text	DESC:See text	SOURCEPAGE:PHB2								
Kelgore's Grave Mist			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration|Necromancy		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread, 20-ft high		DURATION:1 round/level	SAVEINFO:None	SPELLRES:See Text	DESC:See text	SOURCEPAGE:PHB2								
Legion of Sentinels			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft-radius emanation centered on a point in space		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PHB2								
