SOURCELONG:Player's Handbook 2	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net																																																																				
Knight Armor Mastery	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:KnightArmorMasteryLVL|0			BONUS:VAR|ArmorMasterPower|(KnightArmorMasteryLVL+1)/5																																																											
Barbarian Berserk Strength	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:GreaterRage|0	DEFINE:TirelessRage|0	DEFINE:MightyRage|0	DEFINE:BarbRagePowerLVL|0	BONUS:VAR|GreaterRage|1|PREVARGTEQ:BarbRagePowerLVL,11	BONUS:VAR|TirelessRage|1|PREVARGTEQ:BarbRagePowerLVL,17	BONUS:VAR|MightyRage|1|PREVARGTEQ:BarbRagePowerLVL,20																																																								
Favored Soul Deity's Favor	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:FavoredSoulDeitySFavorLVL|0			BONUS:VAR|DeitySFavor|(FavoredSoulDeitySFavorLVL+6)/9																																																											
Fighter Elusive Attack	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:FighterElusiveACLVL|0			BONUS:VAR|ElusiveAC|(((FighterElusiveACLVL-1)/5)*2)																																																											
Monk Decisive Strike	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO								BONUS:VAR|DecisiveStrikeAttacks|1																																																											
Paladin Charging Smite	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:PaladinChargingSmiteLVL|0			BONUS:VAR|ChargingSmiteDamage|2*PaladinChargingSmiteLVL																																																											
Scout Climb Half Movement	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO								MOVECLONE:Walk,Climb,/2																																																											
Scout Climb Movement	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO								MOVECLONE:Walk,Climb,*1																																																											
Swashbuckler Shield of Blades	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:SwashbucklerShieldOfBladesLVL|0			BONUS:VAR|ShieldOfBladesAC|(SwashbucklerShieldOfBladesLVL+5)/5																																																											
Wizard Immediate Magic	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO					DEFINE:WizardImmediateMagicLVL|0			BONUS:VAR|ImmediateMagicLVL|WizardImmediateMagicLVL	BONUS:VAR|ImmediateMagicDC|WizardImmediateMagicLVL/2																																																										
																																																																						
Trick ~ Teamwork	CATEGORY:Special Ability	TYPE:TrainingTricks	VISIBLE:YES	MULT:NO														DESC:Teamwork ~ DC 20	SOURCEPAGE:PHB2																																																			

# Monk	Category of Ability		Type											Visible		Special ABility												Define				Description																								Stackable?	Multiple?	Selections		Choose			BONUS:FEAT		Modify VAR					Source Page
Fiery Fist	CATEGORY:Special Ability	TYPE:MonkBonusFeat	VISIBLE:DISPLAY	!PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Deflect Arrows],[PREABILITY:1,CATEGORY=Special Ability,Combat Reflexes]	PREABILITY:1,CATEGORY=Special Ability,Stunning Fist	PREVARGTEQ:MonkBonusFeatLVL,2	VFEAT:Fiery Fist																																																															
CATEGORY=Special Ability|Combat Reflexes.MOD		!PREABILITY:1,CATEGORY=Special Ability,Fiery Fist																																																																				
CATEGORY=Special Ability|Deflect Arrows.MOD		!PREABILITY:1,CATEGORY=Special Ability,Fiery Fist																																																																				
Fiery Ki Defense	CATEGORY:Special Ability	TYPE:MonkBonusFeat	VISIBLE:DISPLAY	!PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Improved Disarm],[PREABILITY:1,CATEGORY=Special Ability,Improved Trip],[PREABILITY:1,CATEGORY=Special Ability,Ki Blast]	PREMULT:2,[PREABILITY:1,CATEGORY=Special Ability,Fiery Fist],[PREABILITY:1,CATEGORY=Special Ability,Stunning Fist]	PREVARGTEQ:MonkBonusFeatLVL,6	VFEAT:Fiery Ki Defense																																																															
CATEGORY=Special Ability|Improved Disarm.MOD		!PREABILITY:1,CATEGORY=Special Ability,Fiery Ki Defense																																																																				
CATEGORY=Special Ability|Improved Trip.MOD		!PREABILITY:1,CATEGORY=Special Ability,Fiery Ki Defense																																																																				
Ki Blast	CATEGORY:Special Ability	TYPE:MonkBonusFeat	VISIBLE:DISPLAY	!PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Improved Disarm],[PREABILITY:1,CATEGORY=Special Ability,Improved Trip],[PREABILITY:1,CATEGORY=Special Ability,Fiery Ki Defense]	PREMULT:2,[PREABILITY:1,CATEGORY=Special Ability,Fiery Fist],[PREABILITY:1,CATEGORY=Special Ability,Stunning Fist]	PREVARGTEQ:MonkBonusFeatLVL,6	VFEAT:Ki Blast	PREATT:6																																																														
CATEGORY=Special Ability|Improved Disarm.MOD		!PREABILITY:1,CATEGORY=Special Ability,Ki Blast																																																																				
CATEGORY=Special Ability|Improved Trip.MOD		!PREABILITY:1,CATEGORY=Special Ability,Ki Blast																																																																				
Water Splitting Stone	CATEGORY:Special Ability	TYPE:MonkBonusFeat	VISIBLE:DISPLAY		PREABILITY:1,CATEGORY=Special Ability,Stunning Fist	PREVARGTEQ:MonkBonusFeatLVL,9	VFEAT:Water Splitting Stone	PREATT:9																																																														
#																																																																						
# Ranger																																																																						
Ranger Two Weapon Fighting	CATEGORY:Two  Weapon Fighting Combat Style	TYPE:RangerCombatStyle2Weapon	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,1	VFEAT:Two Weapon Fighting|PREMULT:2,[PREVARGTEQ:RangerCombatTree,1],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																																																															
Ranger Improved Two Weapon Fighting	CATEGORY:Two  Weapon Fighting Combat Style	TYPE:RangerCombatStyle2Weapon	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,2	VFEAT:Improved Two Weapon Fighting|PREMULT:2,[PREVARGTEQ:RangerCombatTree,2],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																																																															
Ranger Greater Two Weapon Fighting	CATEGORY:Two  Weapon Fighting Combat Style	TYPE:RangerCombatStyle2Weapon	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,3	VFEAT:Greater Two Weapon Fighting|PREMULT:2,[PREVARGTEQ:RangerCombatTree,3],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																																																															
Ranger Two Weapon Pounce	CATEGORY:Two  Weapon Fighting Combat Style	TYPE:RangerCombatStyle2Weapon	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,2	VFEAT:Two Weapon Pounce|PREMULT:2,[PREVARGTEQ:RangerCombatTree,2],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																																																															
Ranger Two Weapon Rend	CATEGORY:Two  Weapon Fighting Combat Style	TYPE:RangerCombatStyle2Weapon	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,3	VFEAT:Two Weapon Rend|PREMULT:2,[PREVARGTEQ:RangerCombatTree,3],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																																																															
Ranger Rapid Shot	CATEGORY:Archery Combat Style	TYPE:RangerCombatStyleArchery	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,1	VFEAT:Rapid Shot|PREMULT:2,[PREVARGTEQ:RangerCombatTree,1],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																																																															
Ranger Manyshot	CATEGORY:Archery Combat Style	TYPE:RangerCombatStyleArchery	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,2	VFEAT:Manyshot|PREMULT:2,[PREVARGTEQ:RangerCombatTree,2],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																																																															
Ranger Improved Precise Shot	CATEGORY:Archery Combat Style	TYPE:RangerCombatStyleArchery	VISIBLE:DISPLAY			PREVARGTEQ:RangerCombatTree,3	VFEAT:Improved Precise Shot|PREMULT:2,[PREVARGTEQ:RangerCombatTree,3],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]
