SOURCELONG:Player's Handbook 2	SOURCESHORT:PHB2	SOURCEWEB:http://www.gozzilioni.net
Whelm (Mass).MOD	CLASSES:Beguiler=4	TYPE:Arcane
Phantom Battle.MOD	CLASSES:Beguiler=4	TYPE:Arcane
Rainbow Pattern.MOD	CLASSES:Beguiler=4	TYPE:Arcane
Solid Fog.MOD	CLASSES:Beguiler=4	TYPE:Arcane
Break Enchantment.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Dominate Person.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Feeblemind.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Friend to Foe.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Hold Monster.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Incite Riot.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Mind Fog.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Telepathic Bond.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Seeming.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Sending.MOD	CLASSES:Beguiler=5	TYPE:Arcane
Etherealness (Swift).MOD	CLASSES:Beguiler=5	TYPE:Arcane
Dispel Magic (Greater).MOD	CLASSES:Beguiler=6	TYPE:Arcane
Suggestion (Mass).MOD	CLASSES:Beguiler=6	TYPE:Arcane
Mislead.MOD	CLASSES:Beguiler=6	TYPE:Arcane
Overwhelm.MOD	CLASSES:Beguiler=6	TYPE:Arcane
Repulsion.MOD	CLASSES:Beguiler=6	TYPE:Arcane
Shadow Walk.MOD	CLASSES:Beguiler=6	TYPE:Arcane
True Seeing.MOD	CLASSES:Beguiler=6	TYPE:Arcane
Veil.MOD	CLASSES:Beguiler=6	TYPE:Arcane
Ethereal Jaunt.MOD	CLASSES:Beguiler=7	TYPE:Arcane
Arcane Sight (Greater).MOD	CLASSES:Beguiler=7	TYPE:Arcane
Hold Person (Mass).MOD	CLASSES:Beguiler=7	TYPE:Arcane
Invisibility (Mass).MOD	CLASSES:Beguiler=7	TYPE:Arcane
Phase Door.MOD	CLASSES:Beguiler=7	TYPE:Arcane
Power Word Blind.MOD	CLASSES:Beguiler=7	TYPE:Arcane
Project Image.MOD	CLASSES:Beguiler=7	TYPE:Arcane
Spell Turning.MOD	CLASSES:Beguiler=7	TYPE:Arcane
Demand.MOD	CLASSES:Beguiler=8	TYPE:Arcane
Discern Location.MOD	CLASSES:Beguiler=8	TYPE:Arcane
Mind Blank.MOD	CLASSES:Beguiler=8	TYPE:Arcane
Moment of Prescience.MOD	CLASSES:Beguiler=8	TYPE:Arcane
Power Word Stun.MOD	CLASSES:Beguiler=8	TYPE:Arcane
Scintillating Pattern.MOD	CLASSES:Beguiler=8	TYPE:Arcane
Screen.MOD	CLASSES:Beguiler=8	TYPE:Arcane
Dominate Monster.MOD	CLASSES:Beguiler=9	TYPE:Arcane
Etherealness.MOD	CLASSES:Beguiler=9	TYPE:Arcane
Foresight.MOD	CLASSES:Beguiler=9	TYPE:Arcane
Hold Monster (Mass).MOD	CLASSES:Beguiler=9	TYPE:Arcane
Power Word Kill.MOD	CLASSES:Beguiler=9	TYPE:Arcane
Time Stop.MOD	CLASSES:Beguiler=9	TYPE:Arcane
Blade of Blood.MOD	CLASSES:Assassin=1	TYPE:Divine
Increase Virulence.MOD	CLASSES:Assassin=2	TYPE:Divine
Blade of Blood.MOD	CLASSES:Blackguard=1	TYPE:Divine
Increase Virulence.MOD	CLASSES:Blackguard=2	TYPE:Divine
Bigby's Tripping Hand.MOD	CLASSES:Duskblade=1	TYPE:Arcane
Blade of Blood.MOD	CLASSES:Duskblade=1	TYPE:Arcane
Deflect (Lesser).MOD	CLASSES:Duskblade=1	TYPE:Arcane
Kelgore's Fire Bolt.MOD	CLASSES:Duskblade=1	TYPE:Arcane
Rouse.MOD	CLASSES:Duskblade=1	TYPE:Arcane
Stand.MOD	CLASSES:Duskblade=1	TYPE:Arcane
Animalistic Power.MOD	CLASSES:Duskblade=2	TYPE:Arcane
Bigby's Striking Fist.MOD	CLASSES:Duskblade=2	TYPE:Arcane
Deflect.MOD	CLASSES:Duskblade=2	TYPE:Arcane
Dimension Hop.MOD	CLASSES:Duskblade=2	TYPE:Arcane
Seeking Ray.MOD	CLASSES:Duskblade=2	TYPE:Arcane
Stretch Weapon.MOD	CLASSES:Duskblade=2	TYPE:Arcane
Sure Strike.MOD	CLASSES:Duskblade=2	TYPE:Arcane
Crown of Might.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Crown of Protection.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Dispelling Touch.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Doom Scarabs.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Energy Aegis.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Energy Surge.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Halt.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Regroup.MOD	CLASSES:Duskblade=3	TYPE:Arcane
Channelled Pyroburst.MOD	CLASSES:Duskblade=4	TYPE:Arcane
Toxic Weapon.MOD	CLASSES:Duskblade=4	TYPE:Arcane
Slashing Dispel.MOD	CLASSES:Duskblade=5	TYPE:Arcane
Sonic Shield.MOD	CLASSES:Duskblade=5	TYPE:Arcane
