SOURCELONG:Power of Faerun	SOURCESHORT:PoF	SOURCEWEB:http://www.gozzilioni.net
Clairaudience/Clairvoyance.MOD	CLASSES:Court Herald=3	
Daylight.MOD	CLASSES:Court Herald=3	
Detect Scrying.MOD	CLASSES:Court Herald=3	
Dispel Magic.MOD	CLASSES:Court Herald=3	
Explosive Runes.MOD	CLASSES:Court Herald=3	
Illusory Script.MOD	CLASSES:Court Herald=3	
Major Image.MOD	CLASSES:Court Herald=3	
Nondetection.MOD	CLASSES:Court Herald=3	
Secret Page.MOD	CLASSES:Court Herald=3	
Shrink Item.MOD	CLASSES:Court Herald=3	
Suggestion.MOD	CLASSES:Court Herald=3	
Tongues.MOD	CLASSES:Court Herald=3	
Water Breathing.MOD	CLASSES:Court Herald=3	
Arcane Eye.MOD	CLASSES:Court Herald=4	
Bestow Curse.MOD	CLASSES:Court Herald=4	
Confusion.MOD	CLASSES:Court Herald=4	
Detect Magic.MOD	CLASSES:Court Herald=4	
Dimension Door.MOD	CLASSES:Court Herald=4	
Dimensional Anchor.MOD	CLASSES:Court Herald=4	
Illusory Wall.MOD	CLASSES:Court Herald=4	
Locate Creature.MOD	CLASSES:Court Herald=4	
Minor Creation.MOD	CLASSES:Court Herald=4	
Neutralize Poison.MOD	CLASSES:Court Herald=4	
Rainbow Pattern.MOD	CLASSES:Court Herald=4	
Remove Curse.MOD	CLASSES:Court Herald=4	
Scrying.MOD	CLASSES:Court Herald=4	
Break Enchantment.MOD	CLASSES:Court Herald=5	
Dominate Person.MOD	CLASSES:Court Herald=5	
Dream.MOD	CLASSES:Court Herald=5	
Fabricate.MOD	CLASSES:Court Herald=5	
False Vision.MOD	CLASSES:Court Herald=5	
Feeblemind.MOD	CLASSES:Court Herald=5	
Major Creation.MOD	CLASSES:Court Herald=5	
Nightmare.MOD	CLASSES:Court Herald=5	
Permanency.MOD	CLASSES:Court Herald=5	
Persistent Image.MOD	CLASSES:Court Herald=5	
Prying Eyes.MOD	CLASSES:Court Herald=5	
Seeming.MOD	CLASSES:Court Herald=5	
Symbol of Pain.MOD	CLASSES:Court Herald=5	
Symbol of Sleep.MOD	CLASSES:Court Herald=5	
Sending.MOD	CLASSES:Court Herald=5	
Telekinesis.MOD	CLASSES:Court Herald=5	
Analyze Dweomer.MOD	CLASSES:Court Herald=6	
Antimagic Field.MOD	CLASSES:Court Herald=6	
Contingency.MOD	CLASSES:Court Herald=6	
Guards and Wards.MOD	CLASSES:Court Herald=6	
Legend Lore.MOD	CLASSES:Court Herald=6	
Eagle's Splendor (Mass).MOD	CLASSES:Court Herald=6	
Suggestion (Mass).MOD	CLASSES:Court Herald=6	
Mislead.MOD	CLASSES:Court Herald=6	
Permanent Image.MOD	CLASSES:Court Herald=6	
Programmed Image.MOD	CLASSES:Court Herald=6	
Symbol of Fear.MOD	CLASSES:Court Herald=6	
Symbol of Persuasion.MOD	CLASSES:Court Herald=6	
True Seeing.MOD	CLASSES:Court Herald=6	
