SOURCELONG:Gozzilioni Darkness and Dread	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01																													
																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Master of Alchemy	CATEGORY:Special Ability	TYPE:ClassFeatures.AlchemistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The alchemist never needs to spend skill ranks on Craft (alchemy). He gains 4 ranks in this skill at 1st level and one additional rank in it for each level gained in this class. However, the alchemist cannot violate the standard rules for determining the maximum ranks a character can have in a skill. Any ranks gained from this ability that would violate that cap are lost.	KEY:Alchemist ~ Master of Alchemy	DESC:&nl;Research Creature 1d20+%1|MasterOfAlchemistResearchBonus	DESC:&nl;Analyze Material 1d20+%1|MasterOfAlchemyAnalyzeMaterialBonus	DESC:&nl;Brew Mistures 1d20+%1|MasterOfAlchemyBrewMisturesBonus	DEFINE:MasterOfAlchemyResearchBonus|0	DEFINE:MasterOfAlchemyAnalyzeMaterialBonus|0	DEFINE:MasterOfAlchemyBrewMisturesBonus|0			BONUS:VAR|MasterOfAlchemyResearchBonus|2*AlchemistLVL+INT	BONUS:VAR|MasterOfAlchemyAnalyzeMaterialBonus|AlchemistLVL+INT	BONUS:VAR|MasterOfAlchemyBrewMisturesBonus|AlchemistLVL+INT	BONUS:SKILLRANK|Craft (Alchemy)|AlchemistLVL+3														SORTKEY:Class_Alchemist	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.AntiquarianClassFeatures	VISIBLE:YES	DESC:Antiquarians are proficient with the club, dagger, staff, light crossbow, and heavy crossbow. They gain no proficiency with armor or shields.	KEY:Antiquarian ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)								SORTKEY:Class_Antiquarian	SOURCEPAGE:DD
Item Lore	CATEGORY:Special Ability	TYPE:ClassFeatures.AntiquarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Antiquarians spend many long hours researching the manufacture and design of ancient relics, magical items, and other rare treasures. They gain several benefits from this training. They may use Intelligence, rather than Charisma, to modify their Use Magic Device skill. When employing enchanted items, they draw on their knowledge and training rather than their force of will or a blind exertion of their personality to activate them.	KEY:Antiquarian ~ Item Lore									BONUS:SKILL|Use Magic Device|max(INT,CHA)-CHA																	SORTKEY:Class_Antiquarian	SOURCEPAGE:DD
Arcane Expert	CATEGORY:Special Ability	TYPE:ClassFeatures.AntiquarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the antiquarian further hones his ability to manipulate and activate magical items. He gains the ability to re-roll up to three Use Magic Device checks per day. The antiquarian's knowledge and experience gives him insight that allows him to halt his efforts when he is on the verge of making a critical mistake. The antiquarian must opt to use this ability after rolling his check but before learning its result.	KEY:Antiquarian ~ Arcane Expert																										SORTKEY:Class_Antiquarian	SOURCEPAGE:DD
Catalog of Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.AntiquarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, the antiquarian's knowledge of magical items and rare artifacts allows him to use his item lore ability with increased speed. He now divides an object's gp value by 400 to determine his Appraise DC and he may make his first check after only one hour.	KEY:Antiquarian ~ Catalog of Knowledge																										SORTKEY:Class_Antiquarian	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ApprenticeClassFeatures	VISIBLE:YES	DESC:Apprentices gain proficiency with the club, dagger, staff, and light and heavy crossbows. They gain no proficiency with armor or shields.	KEY:Apprentice ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)								SORTKEY:Class_Apprentice	SOURCEPAGE:DD
Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.ApprenticeClassFeatures	VISIBLE:YES	DESC:Apprentices prepare and cast spells as wizards. An apprentice must maintain a book of spells and gains a tome with 3 + the apprentice's Intelligence modifier 1st level spells and all 0-level ones. Intelligence determines the apprentice's bonus spells, spell save DCs, and maximum spell level.	KEY:Apprentice ~ Spellcasting																										SORTKEY:Class_Apprentice	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ArtisanClassFeatures	VISIBLE:YES	DESC:The artisan gains proficiency with the dagger, club, staff, and light and heavy crossbows. The artisan is not proficient with any armor or shields.	KEY:Artisan ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)								SORTKEY:Class_Artisan	SOURCEPAGE:DD
Master Artisan	CATEGORY:Special Ability	TYPE:ClassFeatures.ArtisanClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The artisan maintains a variety of skills in a number of areas. Every painter knows the basics of mixing colors, preparing brushes and other tools, and similar skills. An artisan gains the Skill Focus feat for any two Craft skills. In addition, when using a Craft skill for which the artisan has Skill Focus, he may make two Craft checks per week to determine progress made in crafting an item rather than one.	KEY:Artisan ~ Master Artisan									BONUS:ABILITYPOOL|Artisan Feat|2																	SORTKEY:Class_Artisan	SOURCEPAGE:DD
Skill Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ArtisanClassFeatures.Artisan	VISIBLE:YES	DESC:Skill focus on two Craft skill.	KEY:Artisan ~ Skill Focus														STACK:NO	MULT:YES	CHOOSE:SKILL|TYPE=Craft	SELECT:1	ABILITY:FEAT|AUTOMATIC|Skill Focus (%LIST)									SOURCEPAGE:DD
Man About Town	CATEGORY:Special Ability	TYPE:ClassFeatures.ArtisanClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As an artisan practices a trade in a town or village, the locals slowly begin to trust him based on the quality of his work and the services he renders to his neighbors. If an artisan practices his art in a village, town, city, or similar bastion of civilization for a number of weeks equal to 6 - his Charisma modifier, he gains a +2 competence bonus to all Bluff and Diplomacy checks made against residents of that area. His reputation as a skilled craftsman allows him to easily win his neighbors' trust.	KEY:Artisan ~ Man About Town																										SORTKEY:Class_Artisan	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BeggarClassFeatures	VISIBLE:YES	DESC:Beggars are proficient with the club, dagger, staff, and light and heavy crossbow. In addition, life on the street demands that they learn how to brawl over scraps of food and coins. They gain the Improved Unarmed Strike feat for free.	KEY:Beggar ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)	ABILITY:FEAT|AUTOMATIC|Improved Unarmed Strike							SORTKEY:Class_Beggar	SOURCEPAGE:DD
Fade into the Background	CATEGORY:Special Ability	TYPE:ClassFeatures.BeggarClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beggars are so ubiquitous in urban environments that many folk simply do not see them. When attempting to use Hide or Move Silently in an urban environment, beggars gain a +2 competence bonus to their checks. This bonus increases to +4 if a beggar attempts to hide or move amongst others who practice his craft.	KEY:Beggar ~ Fade into the Background									BONUS:SITUATION|Hide=Urban environment|2|TYPE=Competence	BONUS:SITUATION|Move Silently=Urban environment|2|TYPE=Competence																SORTKEY:Class_Beggar	SOURCEPAGE:DD
Streetwise	CATEGORY:Special Ability	TYPE:ClassFeatures.BeggarClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As beggars can be found almost everywhere, they are an excellent resource for information. They see things that other folk overlook and can prove to be a valuable font of secrets and rumors. When in a village, town, or city that supports an active beggar population, members of this class gain a +4 competence bonus to all Gather Information checks.	KEY:Beggar ~ Streetwise									BONUS:SKILL|Gather Information|4|TYPE=Competence																	SORTKEY:Class_Beggar	SOURCEPAGE:DD
Guise of the Sickly	CATEGORY:Special Ability	TYPE:ClassFeatures.BeggarClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beggars are skilled in adopting costumes that present themselves as wretched cripples, sickly mendicants, and other pathetic roles. They gain a +2 bonus to Disguise checks. In addition, a beggar can opt to create a disguise that temporarily imposes a -2 penalty to all Charisma-based skill checks aside from Disguise. In return, the beggar's Disguise bonus increases to +4.	KEY:Beggar ~ Guise of the Sickly									BONUS:SKILL|Disguise|2																	SORTKEY:Class_Beggar	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.EngineerClassFeatures	VISIBLE:YES	DESC:Engineers gain proficiency with the club, dagger, staff, light crossbow, heavy crossbow, hand axe, warhammer, and with light armor.	KEY:Engineer ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)|Hand Axe|Warhammer	ABILITY:Special Ability|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Engineer	SOURCEPAGE:DD
Engineer's Eye	CATEGORY:Special Ability	TYPE:ClassFeatures.EngineerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:With their skill in handling stone and wood combined with their knowledge of how best to put a structure together, engineers excel at finding weak points and vulnerable spots in objects. With a successful Knowledge (architecture and engineering) check (DC 15), an engineer gains a +5 bonus to damage against an object with hardness or a construct. If the check result is 30 or higher, the engineer gains a +10 bonus. Using Knowledge (architecture and engineering) in this manner is a full-round action.	KEY:Engineer ~ Engineer's Eye																										SORTKEY:Class_Engineer	SOURCEPAGE:DD
Rapid Contruction	CATEGORY:Special Ability	TYPE:ClassFeatures.EngineerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Engineers prefer to spend time carefully planning a fortification and determining the materials they need to create it, but in times of stress (such as when a horrid monsters crawls towards a dungeon door) they can throw together a durable but temporary barrier. With five rounds of work and a DC 20 Knowledge (architecture and engineering) check, the engineer can either increase a 10-foot section of wall, a door, or similar structure's hardness by 1d4 or increase its hit points by 3d6. An object can receive either bonus only once. Thus, an engineer could either improve a door's hardness or its hit points, but not both. The DM must judge whether sufficient construction materials are available to complete this work. If the engineer has help from one or more characters, reduce the time needed to complete this reinforcement by two rounds. Additional helpers only get in the way.	KEY:Engineer ~ Rapid Construction																										SORTKEY:Class_Engineer	SOURCEPAGE:DD
Demolition Expert	CATEGORY:Special Ability	TYPE:ClassFeatures.EngineerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The engineer excels at tearing down structures and delivering smashing blows against stone altars and similar objects. When making attacks against constructs or objects with hardness, the engineer gains the benefits of the Power Attack feat. If the engineer already has this feat, double the bonus damage it grants when he uses a one-handed weapon. When using a twohanded weapon, the engineer triples rather than doubles his bonus damage.	KEY:Engineer ~ Demolition Expert																		BONUS:ABILITYPOOL|Demolition Expert|1								SORTKEY:Class_Engineer	SOURCEPAGE:DD
Power Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.EngineerClassFeatures.DemolitionExpert	VISIBLE:YES		KEY:Engineer ~ Demolition Expert ~ Power Attack			!PREABILITY:1,CATEGORY=FEAT|Power Attack															ABILITY:FEAT|AUTOMATIC|Power Attack									SOURCEPAGE:DD
Power Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.EngineerClassFeatures.DemolitionExpert	VISIBLE:YES	DESC:double the bonus damage it grants when he uses a one-handed weapon. When using a twohanded weapon, the engineer triples rather than doubles his bonus damage.	KEY:Engineer ~ Demolition Expert ~ No Power Attack			PREABILITY:1,CATEGORY=FEAT|Power Attack																								SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.GamblerClassFeatures	VISIBLE:YES	DESC:The gambler is proficient with all simple weapons and the rapier.	KEY:Gambler ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Rapier	ABILITY:Special Ability|AUTOMATIC|TYPE=WeaponProfSimple							SORTKEY:Class_Gambler	SOURCEPAGE:DD
Weigh the Odds	CATEGORY:Special Ability	TYPE:ClassFeatures.GamblerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gamblers excel at judging the difficulty of a task at hand. %1 times per day, a gambler can opt to force an opponent to make his opposed check before the gambler takes her action. The DM announces the total result of this check. The gambler may then decide to take her action as normal and oppose the result or do something else. In the former case, the announced result serves as the opponent's total. In the latter, ignore the result. The gambler may instead take a different action.|WeighTheOddsTimes	KEY:Gambler ~ Weigh the Odds				DEFINE:WeighTheOddsTimes|0					BONUS:VAR|WeighTheOddsTimes|3																	SORTKEY:Class_Gambler	SOURCEPAGE:DD
Gambler's Luck	CATEGORY:Special Ability	TYPE:ClassFeatures.GamblerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Regardless of the situation, things just seem to go a gambler's way. Observers believe that they have incredible luck, but gamblers simply know how to play the odds. %1 per day, a gambler may choose to re-roll a single d20 roll for an attack, check, or save before she learns if she succeeded.|GamblerSLuckTimes	KEY:Gambler ~ Gambler's Luck				DEFINE:GamblerSLuckTimes|0					BONUS:VAR|GamblerSLuckTimes|1																	SORTKEY:Class_Gambler	SOURCEPAGE:DD
Work the Angles	CATEGORY:Special Ability	TYPE:ClassFeatures.GamblerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gamblers learn to read their opponents, learning the tendencies to put together a game plan that takes advantage of their weaknesses and avoids their strength. If a gambler can speak with a person for 5 - her Wisdom modifier minutes (minimum 1) and make a successful Sense Motive check opposed by her target's Bluff skill, she learns some important information about his tendencies and mood. She gains a +2 competence bonus on all Bluff, Sense Motive, Diplomacy, and Intimidate checks made against him for the next 24 hours. Since this advantage is based partly on the target's mood and current state of mind, it represents only a temporary advantage.	KEY:Gambler ~ Work the Angles																										SORTKEY:Class_Gambler	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.GraveRobberClassFeatures	VISIBLE:YES	DESC:Grave robbers are proficient with all simple weapons and light armor.	KEY:Grave Robber ~ Weapon and Armor Proficiency																		ABILITY:Special Ability|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Special Ability|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Grave_Robber	SOURCEPAGE:DD
Nerves of Steel	CATEGORY:Special Ability	TYPE:ClassFeatures.GraveRobberClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Grave robbers witness many strange things during the course of their work. The necromancers and researchers they work for frequently delve into unwholesome studies and engage in blasphemous practices. Many of them experience encounters with ghouls, zombies, and other undead creatures. These experiences grant them steady nerves, giving them a +2 bonus to all saves against fear-based effects.	KEY:Grave Robber ~ Nerves of Steel									BONUS:VAR|FearResistanceBonus|2									ABILITY:Special Ability|VIRTUAL|Resistance To Fear								SORTKEY:Class_Grave_Robber	SOURCEPAGE:DD
Calm of the Dead	CATEGORY:Special Ability	TYPE:ClassFeatures.GraveRobberClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The grave robber's calm demeanor allows him to absorb the sharpest psychic shock with seeming disinterest. While others panic, the grave robber goes about his duties without fear. %1 per day, a grave robber can opt to delay the onset of any fear-based effects by a number of rounds equal to his Constitution bonus. At the end of this interval, the fear-based effect functions as normal.|CalmOfTheDeadTimes	KEY:Grave Robber ~ Calm of the Dead				DEFINE:CalmOfTheDeadTimes|0					BONUS:VAR|CalmOfTheDeadTimes|1																	SORTKEY:Class_Grave_Robber	SOURCEPAGE:DD
Necromantic Lore	CATEGORY:Special Ability	TYPE:ClassFeatures.GraveRobberClassFeatures.SpecialQuality.Extraordinary.Lore	VISIBLE:YES	DESC:Due to their repeated exposure to many strange events and bizarre magical effects, grave robbers gain an almost intuitive insight to the workings of dark magic. The can make Knowledge (arcana) checks as if they had ranks in that skill equal to twice their level in this class. If the grave robber already has that skill, he gains the bonus ranks up to a maximum of his current level + 3 (+%1). In addition, %1 per day a grave robber can gain a +10 insight bonus on such a skill check. The grave robber recalls a specific detail from past experiences that gives him an important revelation about the topic at hand.|NecromanticLore|NecromanticLoreTimes	KEY:Grave Robber ~ Necromantic Lore				DEFINE:NecromanticLore|0	DEFINE:NecromanticLoreTimes|0				BONUS:VAR|NecromanticLore|INT+GraveRobberLVL+3	BONUS:VAR|NecromanticLoreTimes|1																SORTKEY:Class_Grave_Robber	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.GrifterClassFeatures	VISIBLE:YES	DESC:Grifters are proficient with the club, dagger, staff, and the light and heavy crossbow.	KEY:Grifter ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)								SORTKEY:Class_Grifter	SOURCEPAGE:DD
Gilt Tongued	CATEGORY:Special Ability	TYPE:ClassFeatures.GrifterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Grifters are experts at tricking others into taking foolish actions or overly trusting in their words. By using the Bluff skill, they can force others to take simple actions that put them at a disadvantage. A grifter may make a Bluff check opposed by his opponent's Sense Motive or Will save-the opponent chooses which one to use. If the grifter's check succeeds, he can force his opponent to believe a lie he offers until the victim sees evidence to the contrary for the next 24 hours. After that time period, the grifter must make another check to maintain the deception. The target gains a bonus to his Sense Motive check or Will save based on the plausibility of the grifter's lie as per the standard description for Bluff.	KEY:Grifter ~ Gilt Tongued																										SORTKEY:Class_Grifter	SOURCEPAGE:DD
Pernicious Influence	CATEGORY:Special Ability	TYPE:ClassFeatures.GrifterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Grifters are masters of manipulating others, allowing them to take weakwilled or gullible folk under their guidance and using them for financial support, favors, and other services. This ability reflects the grifter's ability to build a network of lies and scams that make someone fall under her spell.	KEY:Grifter ~ Pernicious Influence																										SORTKEY:Class_Grifter	SOURCEPAGE:DD
Confidence Artist	CATEGORY:Special Ability	TYPE:ClassFeatures.GrifterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, the grifter can spend influence points to gain favors and special actions from those under her influence. She learns how to push her thralls to provide her with additional favors, financial support, and assistance. This ability may weaken her long-term hold on a mark, but she can gain important, short-term benefits from him. The following table summarizes the influence point costs she may pay for various benefits. Once the grifter spends her influence over a person, immediately subtract those points from her total. The grifter cannot spend points that would reduce her score with a given person to 5 or lower. The grifter can spend influence points from a single NPC only once per week.	KEY:Grifter ~ Confidence Artist																										SORTKEY:Class_Grifter	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HerbalistClassFeatures	VISIBLE:YES	DESC:The herbalist is proficient with the club, dagger, staff, light crossbow, and heavy crossbow.	KEY:Herbalist ~ Weapon and Armor Proficiency																		AUTO:WEAPONPROF|Club|Dagger|Quarterstaff|Crossbow (Heavy)|Crossbow (Light)								SORTKEY:Class_Herbalist	SOURCEPAGE:DD
Craft Herbal Mixtures	CATEGORY:Special Ability	TYPE:ClassFeatures.HerbalistClassFeatures.SpecualQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, herbalists gain the ability to produce potions and healing unguents using herbs and plants that they gather in the wilderness. This ability works like the Brew Potion feat. The herbalist gains the ability to use that feat with spells chosen from the herbalist spell lists. For purposes of creating a potion, an herbalist's caster level equals his class level. He gains spells based on his level and counts as possessing them for purposes of creating potions. The herbalist cannot cast these spells. These spells instead represent specific recipes and mixtures he can create.	KEY:Herbalist ~ Craft Herbal Mixtures	SERVESAS:ABILITY=FEAT|Brew Potion																									SORTKEY:Class_Herbalist	SOURCEPAGE:DD
Improved Potion Creation	CATEGORY:Special Ability	TYPE:ClassFeatures.HerbalistClassFeatures.SpecualQuality.Extraordinary	VISIBLE:YES	DESC:As an herbalist gains levels, he learns to make due with fewer exotic ingredients. As he gains new insights into his craft, he learns new methods and processes. The gp cost that the herbalist must pay for his potions is the spell's level x caster level x 40 gp.	KEY:Herbalist ~ Improved Potion Creation																										SORTKEY:Class_Herbalist	SOURCEPAGE:DD
Supreme Potion Creation	CATEGORY:Special Ability	TYPE:ClassFeatures.HerbalistClassFeatures.SpecualQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, the herbalist gains new insights and mastery of his art. The gp cost that the herbalist must pay for his potions is the spell's level x caster level x 30 gp.	KEY:Herbalist ~ Supreme Potion Creation																										SORTKEY:Class_Herbalist	SOURCEPAGE:DD
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.KennelmasterClassFeatures	VISIBLE:YES	DESC:Kennelmasters are proficient with all simple weapons, light armor, and light shields.	KEY:Kennelmaster ~ Weapon and Armor Proficiency																		ABILITY:Special Ability|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Special Ability|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Special Ability|AUTOMATIC|TYPE=ShieldProfLight						SORTKEY:Class_Kennelmaster	SOURCEPAGE:DD
