SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																																																																							
#MM2 aggiornato alla 3.5																																																																									
																																																																									
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells									
Dragon (Amethyst Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,200,Burrow,20,Swim,10	FACE:20	REACH:15			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|26	BONUS:STAT|DEX|2	BONUS:STAT|CON|16	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Amethist Dragon:36	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:38		CR:24	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|1							
Dragon (Amethyst Great Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,200,Burrow,20,Swim,10	FACE:20	REACH:15			PREALIGN:TN	AUTO:LANG|Draconic								BONUS:STAT|STR|28	BONUS:STAT|DEX|2	BONUS:STAT|CON|16	BONUS:STAT|INT|12	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Amethist Dragon:39	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Earth			HITDICEADVANCEMENT:*		CR:26	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|1							
#																																																																									
Dragon (Crystal Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40,Fly,100,Burrow,5,Swim,40	FACE:5	REACH:5			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|2		BONUS:STAT|CON|2									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Crystal Dragon:5	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:7	LEVELADJUSTMENT:5	CR:2	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3							
Dragon (Crystal Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:5	REACH:5			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|4		BONUS:STAT|CON|4									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Crystal Dragon:8	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:10	LEVELADJUSTMENT:5	CR:3	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:5	REACH:5			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|6		BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Crystal Dragon:11	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:13	LEVELADJUSTMENT:5	CR:4	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:10	REACH:5			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|8		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Crystal Dragon:14	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:16	LEVELADJUSTMENT:6	CR:7	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:10	REACH:5			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Crystal Dragon:17	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:19		CR:10	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:15	REACH:10			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|16		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Crystal Dragon:20	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:22		CR:12	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:15	REACH:10			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|18		BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Crystal Dragon:23	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:25		CR:15	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:15	REACH:10			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|20		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Crystal Dragon:26	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:28		CR:17	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Burrow,5,Swim,40	FACE:15	REACH:10			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|22		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Crystal Dragon:29	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:31		CR:18	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2							
Dragon (Crystal Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,200,Burrow,5,Swim,40	FACE:20	REACH:15			PREALIGN:CN	AUTO:LANG|Draconic								BONUS:STAT|STR|24		BONUS:STAT|CON|14	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Crystal Dragon:32	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Air			HITDICEADVANCEMENT:34		CR:20	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|1							
