SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																																																														
																																																																
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
NAME:Ash Rat																																																																
STAT:STR=10|DEX=10|CON=11|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Asperi Default	TYPE:DefaultMonster.MagicalBeast	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Asperi]																																																												
RACE:Asperi	!PRERACE:1,%																																																															
NAME:Asperi																																																																
STAT:STR=11|DEX=10|CON=11|INT=11|WIS=10|CHA=10																																																																
																																																																
STARTPACK:Avolakia Default	TYPE:DefaultMonster.Aberration	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Avolakia]																																																												
RACE:Avolakia	!PRERACE:1,%																																																															
NAME:Avolakia																																																																
STAT:STR=11|DEX=10|CON=11|INT=10|WIS=11|CHA=10																																																																
																																																																
STARTPACK:Banshee Default	TYPE:DefaultMonster.Undead	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Banshee]																																																												
RACE:Banshee	!PRERACE:1,%																																																															
NAME:Banshee																																																																
STAT:STR=10|DEX=11|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Bladeling Default	TYPE:DefaultMonster.Outsider	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Bladeling]																																																												
RACE:Bladeling	!PRERACE:1,%																																																															
NAME:Bladeling																																																																
STAT:STR=11|DEX=11|CON=11|INT=10|WIS=10|CHA=10																																																																
																																																																
STARTPACK:Blood Ape Default	TYPE:DefaultMonster.MagicalBeast	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Blood Ape]																																																												
RACE:Blood Ape	!PRERACE:1,%																																																															
NAME:Blood Ape																																																																
STAT:STR=11|DEX=11|CON=10|INT=10|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Boggle Default	TYPE:DefaultMonster.MonstrousHumanoid	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Boggle]																																																												
RACE:Boggle	!PRERACE:1,%																																																															
NAME:Boggle																																																																
STAT:STR=10|DEX=11|CON=11|INT=11|WIS=10|CHA=10																																																																
																																																																
STARTPACK:Bogun Default	TYPE:DefaultMonster.Construct	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Bogun]																																																												
RACE:Bogun	!PRERACE:1,%																																																															
NAME:Bogun																																																																
STAT:STR=11|DEX=10|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Bone Naga Default	TYPE:DefaultMonster.Undead	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Naga (Bone)]																																																												
RACE:Naga (Bone)	!PRERACE:1,%																																																															
NAME:Bone Naga																																																																
STAT:STR=10|DEX=11|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Bone Ooze Default	TYPE:DefaultMonster.Ooze	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Ooze (Bone)]																																																												
RACE:Ooze (Bone)	!PRERACE:1,%																																																															
NAME:Bone Ooze																																																																
STAT:STR=10|DEX=11|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Braxat Default	TYPE:DefaultMonster.MonstrousHumanoid	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Braxat]																																																												
RACE:Braxat	!PRERACE:1,%																																																															
NAME:Braxat																																																																
STAT:STR=11|DEX=10|CON=10|INT=11|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Breathdrinker Default	TYPE:DefaultMonster.Elemental	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Breathdrinker]																																																												
RACE:Breathdrinker	!PRERACE:1,%																																																															
NAME:Breathdrinker																																																																
STAT:STR=11|DEX=11|CON=10|INT=10|WIS=11|CHA=10																																																																
																																																																
STARTPACK:Bronze Serpent Default	TYPE:DefaultMonster.Construct	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Bronze Serpent]																																																												
RACE:Bronze Serpent	!PRERACE:1,%																																																															
NAME:Bronze Serpent																																																																
STAT:STR=11|DEX=10|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Catoblepas Default	TYPE:DefaultMonster.Aberration	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Catoblepas]																																																												
RACE:Catoblepas	!PRERACE:1,%																																																															
NAME:Catoblepas																																																																
STAT:STR=10|DEX=11|CON=11|INT=10|WIS=11|CHA=10																																																																
																																																																
STARTPACK:Guardinal (Cervidal) Default	TYPE:DefaultMonster.Outsider	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Guardinal (Cervidal)]																																																												
RACE:Guardinal (Cervidal)	!PRERACE:1,%																																																															
NAME:Guardinal Cervidal																																																																
STAT:STR=10|DEX=11|CON=11|INT=10|WIS=11|CHA=10																																																																
																																																																
STARTPACK:Guardinal (Lupinal) Default	TYPE:DefaultMonster.Outsider	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Guardinal (Lupinal)]																																																												
RACE:Guardinal (Lupinal)	!PRERACE:1,%																																																															
NAME:Guardinal Lupinal																																																																
STAT:STR=11|DEX=10|CON=11|INT=10|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Chain Golem Default	TYPE:DefaultMonster.Construct	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Golem (Chain)]																																																												
RACE:Golem (Chain)	!PRERACE:1,%																																																															
NAME:Chain Golem																																																																
STAT:STR=10|DEX=11|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Roc (Chaos) Default	TYPE:DefaultMonster.MagicalBeast	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Roc (Chaos)]																																																												
RACE:Roc (Chaos)	!PRERACE:1,%																																																															
NAME:Chaos Roc																																																																
STAT:STR=10|DEX=11|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Cloaked Ape Default	TYPE:DefaultMonster.MagicalBeast	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Cloaked Ape]																																																												
RACE:Cloaked Ape	!PRERACE:1,%																																																															
NAME:Cloaked Ape																																																																
STAT:STR=11|DEX=10|CON=10|INT=11|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Electrum Clockwork Horror Default	TYPE:DefaultMonster.Construct	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Closkwork Horror (Electrum)]																																																												
RACE:Clockwork Horror (Electrum)	!PRERACE:1,%																																																															
NAME:Electrum Clockwork Horror																																																																
STAT:STR=10|DEX=11|CON=10|INT=11|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Gold Clockwork Horror Default	TYPE:DefaultMonster.Construct	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Closkwork Horror (Gold)]																																																												
RACE:Clockwork Horror (Gold)	!PRERACE:1,%																																																															
NAME:Gold Clockwork Horror																																																																
STAT:STR=10|DEX=11|CON=10|INT=11|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Platinum Clockwork Horror Default	TYPE:DefaultMonster.Construct	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Closkwork Horror (Platinum)]																																																												
RACE:Clockwork Horror (Platinum)	!PRERACE:1,%																																																															
NAME:Platinum Clockwork Horror																																																																
STAT:STR=10|DEX=11|CON=10|INT=11|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Adamantine Clockwork Horror Default	TYPE:DefaultMonster.Construct	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Closkwork Horror (Adamantine)]																																																												
RACE:Clockwork Horror (Adamantine)	!PRERACE:1,%																																																															
NAME:Adamantine Clockwork Horror																																																																
STAT:STR=10|DEX=11|CON=10|INT=11|WIS=10|CHA=11																																																																
																																																																
STARTPACK:Cloud Ray Default	TYPE:DefaultMonster.MagicalBeast	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Cloud Ray]																																																												
RACE:Cloud Ray	!PRERACE:1,%																																																															
NAME:Cloud Ray																																																																
STAT:STR=10|DEX=11|CON=10|INT=11|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Corollax Default	TYPE:DefaultMonster.MagicalBeast	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Corollax]																																																												
RACE:Corollax	!PRERACE:1,%																																																															
NAME:Corollax																																																																
STAT:STR=11|DEX=11|CON=11|INT=10|WIS=10|CHA=10																																																																
																																																																
STARTPACK:Corpse Gatherer Default	TYPE:DefaultMonster.Undead	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Corpse Gatherer]																																																												
RACE:Corpse Gatherer	!PRERACE:1,%																																																															
NAME:Corpse Gatherer																																																																
STAT:STR=10|DEX=11|CON=10|INT=10|WIS=11|CHA=11																																																																
																																																																
STARTPACK:Crimson Death Default	TYPE:DefaultMonster.Undead	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Crimson Death]																																																												
RACE:Crimson Death	!PRERACE:1,%																																																															
NAME:Crimson Death																																																																
STAT:STR=10|DEX=11|CON=10|INT=11|WIS=11|CHA=10																																																																
																																																																
STARTPACK:Darktentacles Default	TYPE:DefaultMonster.Aberration	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Darktentacles]																																																												
RACE:Darktentacles	!PRERACE:1,%																																																															
NAME:Darktentacles																																																																
STAT:STR=11|DEX=11|CON=11|INT=10|WIS=10|CHA=10																																																																
																																																																
STARTPACK:Deathbringer Default	TYPE:DefaultMonster.Undead	VISIBLE:QUALIFY	EQUIPBUY:0	PREMULT:1,[!PRERACE:1,%],[PRERACE:1,Deathbringer]																																																												
RACE:Deathbringer	!PRERACE:1,%																																																															
NAME:Deathbringer																																																																
STAT:STR=10|DEX=11|CON=10|INT=11|WIS=10|CHA=11																																																																
