SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																																																																								
#MM2 aggiornato alla 3.5																																																																										
																																																																										
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells										
Blood Ape			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,30	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Growth (Sp)	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Rend|Blood Ape Rend	ABILITY:Special Ability|AUTOMATIC|Scent				DR:10/Magic		MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:8,12		CR:6	SOURCEPAGE:MM2		BONUS:VAR|GrowthPerDay|8	BONUS:VAR|GrowthLVL|9								
Boggle			STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,30	FACE:5	REACH:15	VISION:Darkvision (60')			AUTO:LANG|Boggles		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Escape Artist|10|TYPE=Racial																					LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Dimension Door (Sp)|Boggle Dimension Door	ABILITY:Special Ability|AUTOMATIC|Grease|Boggle Grease	ABILITY:Special Ability|AUTOMATIC|Rend|Boggle Rend	ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Resistance to Fire		DR:5/Magic		MONSTERCLASS:Monstrous Humanoid:1	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid					HITDICEADVANCEMENT:8,12		CR:3	SOURCEPAGE:MM2		BONUS:VAR|FireResistanceBonus|5									
Bogun			STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,50	FACE:2.5	REACH:0			PREALIGN:TN									BONUS:STAT|STR|-4	BONUS:STAT|DEX|6		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2													LEGS:2	HANDS:2				NATURALATTACKS:Nettles,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Poison					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Construct:2	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:6		CR:1	SOURCEPAGE:MM2		BONUS:VAR|Maneuverability|4									
Naga (Bone)	OUTPUTNAME:[NAME] Naga		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10			PREALIGN:LE	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|2		BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Listen|Sense Motive|Spellcraft									LEGS:0	HANDS:0				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Detect Thoughts	ABILITY:Special Ability|AUTOMATIC|Guarded Thoughts	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold	ABILITY:Special Ability|AUTOMATIC|Telepathy		SR:23	DR:5/Bludgeoning or Piercing		MONSTERCLASS:Naga (Bone):15	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:21,45		CR:11	SOURCEPAGE:MM2		BONUS:VAR|TelepathyRange|250									
Ooze (Bone)	OUTPUTNAME:[NAME] Ooze		STARTFEATS:1	SIZE:G	MOVE:Walk,20	FACE:20	REACH:15	VISION:Blindsight (60')		PREALIGN:TN									BONUS:STAT|STR|30	BONUS:STAT|DEX|-10	BONUS:STAT|CON|18		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d8		ABILITY:Special Ability|AUTOMATIC|Ability Damage ~ Bone Ooze	ABILITY:Special Ability|AUTOMATIC|Bone Meld	ABILITY:Special Ability|AUTOMATIC|Engulf	ABILITY:Special Ability|AUTOMATIC|Wounding			SR:32	DR:15/Magic and Bludgeoning		MONSTERCLASS:Ooze:20	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Mindless				HITDICEADVANCEMENT:30,60		CR:21	SOURCEPAGE:MM2											
Braxat		FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:5	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Giant|Telepathy	LANGBONUS:Common	BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|2				MONCSKILL:Intimidate|Jump|Listen|Spot|Survival			AUTO:WEAPONPROF|Greatclub		VFEAT:Combat Expertise|Iron Will|Power Attack				LEGS:2	HANDS:2				NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Cold	ABILITY:Special Ability|AUTOMATIC|Mind Blast	ABILITY:Special Ability|AUTOMATIC|Telepathy					DR:10/Magic		MONSTERCLASS:Monstrous Humanoid:10	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:7	CR:9	SOURCEPAGE:MM2	SPELLS:Psionic|TIMES=ATWILL|CASTERLEVEL=8|Dimension Door|Mind Blank	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Blink	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Confusion|Feeblemind	DEFINE:BreathWeaponCone|30	DEFINE:BreathWeaponDice|3	DEFINE:BreathWeaponDC|10+CON+(HD/2)	DEFINE:BreathWeaponDamageDie|0	DEFINE:MindBlastCone|30	DEFINE:MindBlastDice|3	DEFINE:MindBlastDamageDie|4	BONUS:VAR|TelepathyRange|5280
Breathdrinker			STARTFEATS:1	SIZE:M	MOVE:Fly,80	FACE:5	REACH:5			PREALIGN:CE	AUTO:LANG|Common|Auran		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Hide|Move Silently|Search|Spot|Survival									LEGS:0	HANDS:2				NATURALATTACKS:Wind Scythe,Weapon.Natural.Finesseable.Melee.Slashing,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Fear Gaze (Su)	ABILITY:Special Ability|AUTOMATIC|Steal Breath	ABILITY:Special Ability|AUTOMATIC|Air Mastery	ABILITY:Special Ability|AUTOMATIC|Invisibility				DR:10/Magic		MONSTERCLASS:Elemental (Air/Fire):8	RACETYPE:Elemental	RACESUBTYPE:Air	TYPE:Elemental					HITDICEADVANCEMENT:8,16,24	LEVELADJUSTMENT:7	CR:7	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5								
Bronze Serpent				SIZE:H	MOVE:Walk,50,Burrow,30,Climb,30	FACE:15	REACH:10	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|18			BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8												LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Constrict	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Shocking Bite	ABILITY:Special Ability|AUTOMATIC|Electric Healing			SR:23	DR:10/Adamantine		MONSTERCLASS:Construct:16	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:32,48		CR:10	SOURCEPAGE:MM2											
Catoblepas			STARTFEATS:1	SIZE:H	MOVE:Walk,30	FACE:15	REACH:10	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Jump|Listen|Spot|Survival									LEGS:4	HANDS:2				NATURALATTACKS:Tail Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6|Death Ray,Weapon.Natural.Finesseable.Ranged.Slashing,*1,0		ABILITY:Special Ability|AUTOMATIC|Death Ray	ABILITY:Special Ability|AUTOMATIC|Stun	ABILITY:Special Ability|AUTOMATIC|Scent							MONSTERCLASS:Aberration:6	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:12,18		CR:6	SOURCEPAGE:MM2											
Guardinal (Cervidal)	OUTPUTNAME:Guardinal, [Name]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	VISION:Low-Light					BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Jump|8|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Balance|Concentration|Heal|Intimidate|Jump|Knowledge (The Planes)|Listen|Spellcraft|Spot				AUTO:ARMORPROF|ARMORTYPE=Light					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Butt,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d3		ABILITY:Special Ability|AUTOMATIC|Charge ~ Cervidal	ABILITY:Special Ability|AUTOMATIC|Horn Powers								MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Good	TYPE:Outsider					HITDICEADVANCEMENT:12	LEVELADJUSTMENT:5	CR:3	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Bless|Command|Detect Poison|Light	SPELLS:Innate|TIMES=1|CASTERLEVEL=9|Hold Person|Magic Missile|Suggestion									
Guardinal (Lupinal)	OUTPUTNAME:Guardinal, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	VISION:Low-Light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|10	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|4			MONCSKILL:Balance|Climb|Concentration|Diplomacy|Hide|Jump|Listen|Move Silently|Spot|Survival|Tumble				AUTO:ARMORPROF|ARMORTYPE=Light					LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Fear Aura|Lupinal Fear Aura	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Trip	ABILITY:Special Ability|AUTOMATIC|Dodge Missiles|Lupinal Dodge Missiles	ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Wild Empathy		DR:5/Evil		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Good	TYPE:Outsider					HITDICEADVANCEMENT:24	LEVELADJUSTMENT:7	CR:5	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Blink|Blur|Disguise Self|Darkness|Ethereal Jaunt	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Cone of Cold|Cure Light Wounds|Fly|Magic Missile									
Golem (Chain)	OUTPUTNAME:[NAME] Golem			SIZE:M	MOVE:Walk,30	FACE:5	REACH:10			PREALIGN:TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-10								VFEAT:Dodge|Combat Expertise|Improved Disarm|Improved Trip				LEGS:0	HANDS:2				NATURALATTACKS:Chain Rake,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Chain Barrier	ABILITY:Special Ability|AUTOMATIC|Wounding	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic	ABILITY:Special Ability|AUTOMATIC|Resistance To Ranged Attack						MONSTERCLASS:Construct:7	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:10,21		CR:5	SOURCEPAGE:MM2											
Roc (Chaos)	OUTPUTNAME:[NAME] Roc		STARTFEATS:1	SIZE:C	MOVE:Walk,40,Fly,120	FACE:30	REACH:15			PREALIGN:CN			BONUS:COMBAT|AC|21|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|32	BONUS:STAT|DEX|4	BONUS:STAT|CON|18	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Listen|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,4d6	NATURALATTACKS:Wing,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Prismatic Spray	ABILITY:Special Ability|AUTOMATIC|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Chaos Roc Feats				SR:33	DR:15/Epic		MONSTERCLASS:Magical Beast:33	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:99		CR:22	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3								
