SOURCELONG:Dungeon's Master Guide 2	SOURCESHORT:DMG2	SOURCEWEB:http://www.gozzilioni.net																											
																													
###Block:Armor abilities																													
# Modifier Name	Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
Fortifying Defense Heavy	KEY:FRT_DEF_HVY	TYPE:Armor.Shield	PLUS:5		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]	PRETYPE:1,EQMOD=FRT_HVY														SPROP:Enemy that struck the wielder has 100%% chance to receive the damage negated by the armor, the armor negate the ability to make sneak attacks and critical hits Will DC 20					
Fortifying Defense Moderate	KEY:FRT_DEF_MOD	TYPE:Armor.Shield	PLUS:4		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]	PRETYPE:1,EQMOD=FRT_MOD														SPROP:Enemy that struck the wielder has 50%% chance to receive the damage negated by the armor, the armor negate the ability to make sneak attacks and critical hits Will DC 20					
Fortifying Defense Light	KEY:FRT_DEF_LGHT	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]	PRETYPE:1,EQMOD=FRT_LGHT														SPROP:Enemy that struck the wielder has 25%% chance to receive the damage negated by the armor, the armor negate the ability to make sneak attacks and critical hits Will DC 20					
Slippery Aura	KEY:SLP_AURA	TYPE:Armor.Shield		COST:45000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]	PRETYPE:1,EQMOD=SLP_MIND														SPROP:Slippery Mind ability in 10-ft radius for 10 minutes, 1/day					
Slippery Mind	KEY:SLP_MIND	TYPE:Armor.Shield		COST:45000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:1 round after failing a saving throw vs enchantment spells or effect a second save can be done.	ABILITY:Special Ability|VIRTUAL|Slippery Mind				
Spell Trapping	KEY:SPL_TRAP	TYPE:Armor.Shield	PLUS:5		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]	PRETYPE:1,SpellResistance														SPROP:+2 armor SR, hold 1 spell at max 5th level that fail to overcome SR at time					BONUS:VAR|ArmorSpellResistance|2
#																													
Acidic Burst	KEY:ACD_BR_A	TYPE:Ammunition	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Ammunition															SPROP:+1d6 acid damage, on a critical hit deals +%d10 additional acid damage|CRITMULT-1					
Acidic Burst	KEY:ACD_BR_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+1d6 acid damage, on a critical hit deals +%d10 additional acid damage|CRITMULT-1					
Acidic Burst	KEY:ACD_BR_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+1d6 acid damage bestowed on ammunition, on a critical hit deals +%d10 additional acid damage|CRITMULT-1					
Air Elemental Power (L)	KEY:AIR_ELEM_M_L	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=SHOCK_A,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=SHK_BR_A,EQMOD=SHK_BR_M,EQMOD=SHK_BR_R													SPROP:Large Air Elemental for 11 round 1/day					
Air Elemental Power (H)	KEY:AIR_ELEM_M_H	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=SHOCK_A,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=SHK_BR_A,EQMOD=SHK_BR_M,EQMOD=SHK_BR_R													SPROP:Huge Air Elemental for 13 round 1/day					
Air Elemental Power (G)	KEY:AIR_ELEM_M_G	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=SHOCK_A,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=SHK_BR_A,EQMOD=SHK_BR_M,EQMOD=SHK_BR_R													SPROP:Greater Air Elemental for 15 round 1/day					
Air Elemental Power (E)	KEY:AIR_ELEM_M_E	TYPE:Weapon.Melee.Thrown	PLUS:4		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=SHOCK_A,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=SHK_BR_A,EQMOD=SHK_BR_M,EQMOD=SHK_BR_R													SPROP:Elder Air Elemental for 17 round 1/day					
Brutal Surge	KEY:BRT_SRG_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,Slashing,Bludgeoning													SPROP:Bull Rush and push the target at greatest distance possible, the wearer doesn't follow, does'n provoke attacks of opportunity on the wielder, 1/day					
Caustic Burst	KEY:CSTC_BR_A	TYPE:Ammunition		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Ammunition															SPROP:+2d6 acid damage %/day|CON					
Caustic Burst	KEY:CSTC_BR_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+2d6 acid damage %/day|CON					
Caustic Burst	KEY:CSTC_BR_R	TYPE:Weapon.Ranged		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+2d6 acid damage %/day|CON					
Corrosive	KEY:CORR_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Ammunition															SPROP:+1d6 acid damage					
Corrosive	KEY:CORR_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+1d6 acid damage					
Corrosive	KEY:CORR_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+1d6 acid damage bestowed on ammunition					
Defensive Surge	KEY:DEF_SRG_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:gain +2 bonus on AC using when the wielder use Combat Expertise feat, +4 if total defense option, %/day|CON					
Earth Elemental Power (L)	KEY:EARTH_ELEM_M_L	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=CORR_A,EQMOD=CORR_M,EQMOD=CORR_R,EQMOD=ACD_BR_A,EQMOD=ACD_BR_M,EQMOD=ACD_BR_R													SPROP:Large Earth Elemental for 11 round 1/day					
Earth Elemental Power (H)	KEY:EARTH_ELEM_M_H	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=CORR_A,EQMOD=CORR_M,EQMOD=CORR_R,EQMOD=ACD_BR_A,EQMOD=ACD_BR_M,EQMOD=ACD_BR_R													SPROP:Huge Earth Elemental for 13 round 1/day					
Earth Elemental Power (G)	KEY:EARTH_ELEM_M_G	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=CORR_A,EQMOD=CORR_M,EQMOD=CORR_R,EQMOD=ACD_BR_A,EQMOD=ACD_BR_M,EQMOD=ACD_BR_R													SPROP:Greater Earth Elemental for 15 round 1/day					
Earth Elemental Power (E)	KEY:EARTH_ELEM_M_E	TYPE:Weapon.Melee.Thrown	PLUS:4		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=CORR_A,EQMOD=CORR_M,EQMOD=CORR_R,EQMOD=ACD_BR_A,EQMOD=ACD_BR_M,EQMOD=ACD_BR_R													SPROP:Elder Earth Elemental for 17 round 1/day					
Fiercebane	KEY:FRCBANE_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Ammunition		PRETYPE:1,EQMOD=BANE_A													SPROP:Glow when designated foe comes within 100-ft., on a critical hit deals +%d10 additional acid damage|CRITMULT-1					
Fiercebane	KEY:FRCBANE_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=BANE_M													SPROP:Glow when designated foe comes within 100-ft., on a critical hit deals +%d10 additional acid damage|CRITMULT-1					
Fiercebane	KEY:FRCBANE_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown	PRETYPE:1,EQMOD=BANE_R													SPROP:Glow when designated foe comes within 100-ft., on a critical hit deals +%d10 additional acid damage|CRITMULT-1					
Fire Elemental Power (L)	KEY:FIRE_ELEM_M_L	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FLM_A_A,EQMOD=FLM_M,EQMOD=FLM_R,EQMOD=FLM_BR_A,EQMOD=FLM_BR_M,EQMOD=FLM_BR_R													SPROP:Large Fire Elemental for 11 round 1/day					
Fire Elemental Power (H)	KEY:FIRE_ELEM_M_H	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FLM_A_A,EQMOD=FLM_M,EQMOD=FLM_R,EQMOD=FLM_BR_A,EQMOD=FLM_BR_M,EQMOD=FLM_BR_R													SPROP:Huge Fire Elemental for 13 round 1/day					
Fire Elemental Power (G)	KEY:FIRE_ELEM_M_G	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FLM_A_A,EQMOD=FLM_M,EQMOD=FLM_R,EQMOD=FLM_BR_A,EQMOD=FLM_BR_M,EQMOD=FLM_BR_R													SPROP:Greater Fire Elemental for 15 round 1/day					
Fire Elemental Power (E)	KEY:FIRE_ELEM_M_E	TYPE:Weapon.Melee.Thrown	PLUS:4		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FLM_A_A,EQMOD=FLM_M,EQMOD=FLM_R,EQMOD=FLM_BR_A,EQMOD=FLM_BR_M,EQMOD=FLM_BR_R													SPROP:Elder Fire Elemental for 17 round 1/day					
Flaming Surge	KEY:FLM_SRG_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+2d6 fire damage %/day|CON					
Holy Surge	KEY:HOLY_SRG_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+2d6 holy damage %/day|CHA					
Icy Surge	KEY:ICY_SRG_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+2d6 cold damage %/day|CHA					
Illusion Bane	KEY:ILLBANE_A	TYPE:Ammunition		COST:7000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Ammunition															SPROP:Negate miss chance caused by illusions, immediate dispel check with +10 modifier against the target					
Illusion Bane	KEY:ILLBANE_M	TYPE:Weapon.Melee.Thrown		COST:7000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:Negate miss chance caused by illusions, immediate dispel check with +10 modifier against the target					
Illusion Bane	KEY:ILLBANE_R	TYPE:Weapon.Ranged		COST:7000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Negate miss chance caused by illusions, immediate dispel check with +10 modifier against the target					
Illusion Theft	KEY:ILLTHFT_A	TYPE:Ammunition	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Ammunition		PRETYPE:1,EQMOD=ILLBANE_A													SPROP:The dispelled illusion of the illusion bane property is stored in the weapon and can be used any time after until.					
Illusion Theft	KEY:ILLTHFT_M	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=ILLBANE_M													SPROP:The dispelled illusion of the illusion bane property is stored in the weapon and can be used any time after until.					
Illusion Theft	KEY:ILLTHFT_R	TYPE:Weapon.Ranged	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown	PRETYPE:1,EQMOD=ILLBANE_R													SPROP:The dispelled illusion of the illusion bane property is stored in the weapon and can be used any time after until.					
Incorporeal Binding	KEY:INCRP_BND_A	TYPE:Ammunition	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Ammunition		PRETYPE:1,EQMOD=GHOST_AM													SPROP:deals normal damage vs. incorporeal creatures regardless of  bonus					
Incorporeal Binding	KEY:INCRP_BND_M	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=GHOST_M													SPROP:deals normal damage vs. incorporeal creatures regardless of  bonus					
Incorporeal Binding	KEY:INCRP_BND_R	TYPE:Weapon.Ranged	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown	PRETYPE:1,EQMOD=GHOST_R													SPROP:deals normal damage vs. incorporeal creatures regardless of  bonus					
Lightning Surge	KEY:LGHTN_SRG	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+2d6 electricity damage %/day|CHA					
Sudden Stunning	KEY:SDDN_STUN_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:Reflex DC % or target is stunned for 1d4 round %/day|10+(TL/2)+CHA|CHA					
Unholy Surge	KEY:UNHOLY_SRG_M	TYPE:Weapon.Melee.Thrown		COST:2000	VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+2d6 unholy damage %/day|CHA					
Water Elemental Power (L)	KEY:WATER_ELEM_M_L	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FROST_A,EQMOD=FROST_M,EQMOD=FROST_R,EQMOD=ICE_BR_A,EQMOD=ICE_BR_M,EQMOD=ICE_BR_R													SPROP:Large Water Elemental for 11 round 1/day					
Water Elemental Power (H)	KEY:WATER_ELEM_M_H	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FROST_A,EQMOD=FROST_M,EQMOD=FROST_R,EQMOD=ICE_BR_A,EQMOD=ICE_BR_M,EQMOD=ICE_BR_R													SPROP:Huge Water Elemental for 13 round 1/day					
Water Elemental Power (G)	KEY:WATER_ELEM_M_G	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FROST_A,EQMOD=FROST_M,EQMOD=FROST_R,EQMOD=ICE_BR_A,EQMOD=ICE_BR_M,EQMOD=ICE_BR_R													SPROP:Greater Water Elemental for 15 round 1/day					
Water Elemental Power (E)	KEY:WATER_ELEM_M_E	TYPE:Weapon.Melee.Thrown	PLUS:4		VISIBLE:QUALIFY			SOURCEPAGE:DMG2	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,EQMOD=FROST_A,EQMOD=FROST_M,EQMOD=FROST_R,EQMOD=ICE_BR_A,EQMOD=ICE_BR_M,EQMOD=ICE_BR_R													SPROP:Elder Water Elemental for 17 round 1/day					
