SOURCELONG:Dungeon's Master Guide	SOURCESHORT:DMG2	SOURCEWEB:http://www.gozzilioni.net																														
																																
# Modifier Name	Naming Option	Unique Key	Type														Cost		Visible		Type granted	Source Page				Prohibited Type						Apply to both heads
Githcraft	NAMEOPT:NORMAL	KEY:GITHCRAFT_W	TYPE:BaseMaterial.SpecialMaterial.Ammunition.Weapon	COST:900	VISIBLE:QUALIFY	ITYPE:Templated.Githcraft	SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Weapon],[PRETYPE:1,Slashing,Piercing]	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+1 damage against psionic creatures.																
Githcraft	NAMEOPT:NORMAL	KEY:GITHCRAFT_AR	TYPE:BaseMaterial.SpecialMaterial.Armor	COST:600	VISIBLE:QUALIFY	ITYPE:Templated.Githcraft	SOURCEPAGE:DMG2	PRETYPE:1,Armor	!PRETYPE:1,Templated	ASSIGNTOALL:YES							BONUS:MISC|SPELLFAILURE|-5	BONUS:SKILL|Concentration|1														
Githcraft	NAMEOPT:NORMAL	KEY:GITHCRAFT_SH	TYPE:BaseMaterial.SpecialMaterial.Shield	COST:600	VISIBLE:QUALIFY	ITYPE:Templated.Githcraft	SOURCEPAGE:DMG2	PRETYPE:1,Shield	!PRETYPE:1,Templated	ASSIGNTOALL:YES							BONUS:MISC|SPELLFAILURE|-5	BONUS:SKILL|Concentration|1														
# Modifier Name																																
Gloryborn	NAMEOPT:NORMAL	KEY:GLORYBORN_W	TYPE:BaseMaterial.SpecialMaterial.Ammunition.Weapon	COST:600	VISIBLE:QUALIFY	ITYPE:Templated.Gloryborn	SOURCEPAGE:DMG2	PRETYPE:1,Weapon	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+1 damage during a charge attack.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LE,NE,CE															
Gloryborn	NAMEOPT:NORMAL	KEY:GLORYBORN_AR	TYPE:BaseMaterial.SpecialMaterial.Armor	COST:150	VISIBLE:QUALIFY	ITYPE:Templated.Gloryborn	SOURCEPAGE:DMG2	PRETYPE:1,Armor	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+1 AC during charge attack.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LE,NE,CE															
Gloryborn	NAMEOPT:NORMAL	KEY:GLORYBORN_SH	TYPE:BaseMaterial.SpecialMaterial.Shield	COST:150	VISIBLE:QUALIFY	ITYPE:Templated.Gloryborn	SOURCEPAGE:DMG2	PRETYPE:1,Shield	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+1 AC during charge attack.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LE,NE,CE															
# Modifier Name																																
Hellforged	NAMEOPT:NORMAL	KEY:HELLFORGED_W	TYPE:BaseMaterial.SpecialMaterial.Ammunition.Weapon	COST:1500	VISIBLE:QUALIFY	ITYPE:Templated.Hellforged	SOURCEPAGE:DMG2	PRETYPE:1,Weapon	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+5 hp/inch and +1 hardness. +1 damage to any enemy the wielder flank.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LG,NG,CG															
Hellforged	NAMEOPT:NORMAL	KEY:HELLFORGED_AR	TYPE:BaseMaterial.SpecialMaterial.Armor	COST:1000	VISIBLE:QUALIFY	ITYPE:Templated.Hellforged	SOURCEPAGE:DMG2	PRETYPE:1,Armor	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+5 hp/inch and +1 hardness. +1 AC when adjacent to an ally.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LG,NG,CG	BONUS:MISC|MAXDEX|-1	BONUS:MISC|ACCHECK|1	BONUS:MISC|SPELLFAILURE|5												
Hellforged	NAMEOPT:NORMAL	KEY:HELLFORGED_SH	TYPE:BaseMaterial.SpecialMaterial.Shield	COST:1000	VISIBLE:QUALIFY	ITYPE:Templated.Hellforged	SOURCEPAGE:DMG2	PRETYPE:1,Shield	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+5 hp/inch and +1 hardness	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LG,NG,CG	BONUS:MISC|MAXDEX|-1	BONUS:MISC|ACCHECK|1	BONUS:MISC|SPELLFAILURE|5												
# Modifier Name																																
Pitspawned	NAMEOPT:NORMAL	KEY:PITSPAWNED_W	TYPE:BaseMaterial.SpecialMaterial.Ammunition.Weapon	COST:1000	VISIBLE:QUALIFY	ITYPE:Templated.Pitspawned	SOURCEPAGE:DMG2	PRETYPE:1,Weapon	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+2 bonus on roll to confirm critical.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LG,NG,CG															
Pitspawned	NAMEOPT:NORMAL	KEY:PITSPAWNED_AR	TYPE:BaseMaterial.SpecialMaterial.Armor	COST:600	VISIBLE:QUALIFY	ITYPE:Templated.Pitspawned	SOURCEPAGE:DMG2	PRETYPE:1,Armor	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:Any creature that strike the wearer with melee attack takes 1 point of damage.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LG,NG,CG															
Pitspawned	NAMEOPT:NORMAL	KEY:PITSPAWNED_SH	TYPE:BaseMaterial.SpecialMaterial.Shield	COST:600	VISIBLE:QUALIFY	ITYPE:Templated.Pitspawned	SOURCEPAGE:DMG2	PRETYPE:1,Shield	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:Any creature that strike the wearer with melee attack takes 1 point of damage.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LG,NG,CG															
# Modifier Name																																
Soulforged	NAMEOPT:NORMAL	KEY:SOULFORGED_W	TYPE:BaseMaterial.SpecialMaterial.Ammunition.Weapon	COST:800	VISIBLE:QUALIFY	ITYPE:Templated.Soulforged	SOURCEPAGE:DMG2	PRETYPE:1,Weapon	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+5 hp/inch and +1 hardness. +2 points of damage against a foe who is charging.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LE,NE,CE															
Soulforged	NAMEOPT:NORMAL	KEY:SOULFORGED_AR	TYPE:BaseMaterial.SpecialMaterial.Armor	COST:400	VISIBLE:QUALIFY	ITYPE:Templated.Soulforged	SOURCEPAGE:DMG2	PRETYPE:1,Armor	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+5 hp/inch and +1 hardness. +2 bonus on ability check to avoid being bull rushed or tripped.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LE,NE,CE															
Soulforged	NAMEOPT:NORMAL	KEY:SOULFORGED_SH	TYPE:BaseMaterial.SpecialMaterial.Shield	COST:400	VISIBLE:QUALIFY	ITYPE:Templated.Soulforged	SOURCEPAGE:DMG2	PRETYPE:1,Shield	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+5 hp/inch and +1 hardness. +2 bonus on ability check to avoid being bull rushed or tripped.	BONUS:COMBAT|TO-HIT|-1|PREALIGN:LE,NE,CE															
