SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells						
Domovoi		FAVCLASS:Rogue	STARTFEATS:1	SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	VISION:Low-Light			LANGAUTO:Common,Sylvan,Ignan	LANGBONUS:Dwarven,Giant,Gnome,Goblin,Halfling	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Balance|Escape Artist|Hide|Jump|Listen|Move Silently|Sleight of Hand|Spot|Tumble|Use Rope			AUTO:WEAPONPROF|TYPE.Simple						LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3			ABILITY:Special Ability|AUTOMATIC|Slippery ~ Domovoi								MONSTERCLASS:Fey:2	RACETYPE:Fey		TYPE:Fey	TEMPLATE:Fey	TEMPLATE:Fire			HITDICEADVANCEMENT:6	LEVELADJUSTMENT:4	CR:1	SOURCEPAGE:Fro	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=3|Produce Flame|Pyrotechnics,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=3|Flaming Sphere,12+CHA					
Dwarf (Midgard)	OUTPUTNAME:Dwarf, Midgard	FAVCLASS:Fighter	STARTFEATS:1	SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Dwarven,Celestial		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6		BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4				MONCSKILL:Appraise|Bluff|Craft (Armorsmithing)|Craft (Gemcutting)|Craft (Weaponsmithing)|Diplomacy|Disguise|Hide|Intimidate|Listen|Search|Sense Motive|Spot|Survival|Use Magic Device		AUTO:ARMORPROF|ARMORTYPE=Light|Chain Shirt	AUTO:WEAPONPROF|Waraxe (Dwarven)|Crossbow (Light)		AUTO:FEAT|Craft Magic Arms and Armor|Craft Wondrous Item|Forge Ring				LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Curse	ABILITY:Special Ability|AUTOMATIC|Alternate Form|Dwarven Blood|Master Smith					SR:16			MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Native	TYPE:Outsider	TEMPLATE:Outsider|Native					LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:Fro		BONUS:VAR|CursePerYear|1					
Elemental Weird (Ice Weird)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Swim,30	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:TN	LANGAUTO:Aquan,Auran,Common,Ice Weird		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Sense Motive|Spot|Swim									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Chill|Summon Elemental (Sp)	ABILITY:Special Ability|AUTOMATIC|Ice Pool|Heat Sense|Ice Mastery|Regeneration|Searching Gaze			ABILITY:Special Ability|AUTOMATIC|Elemental Weird Ice Skill		SR:25	DR:15/Magic		MONSTERCLASS:Ice Weird:15	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental|Elemental Weird|Extraplanar	TEMPLATE:Cold|Water			HITDICEADVANCEMENT:30,45		CR:15	SOURCEPAGE:Fro		BONUS:VAR|RegenerationRate|10	BONUS:VAR|SummonElementalPerDay|3				
Elemental Weird (Snow Weird)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10	VISION:Darkvision (60')			LANGAUTO:Aquan,Auran,Common,Snow Weird		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE	BONUS:COMBAT|AC|2|TYPE=Insight					BONUS:STAT|STR|10	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|TYPE.Knowledge|Listen|Sense Motive|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Chill|Summon Elemental (Sp)	ABILITY:Special Ability|AUTOMATIC|Heat Sense|Snow Pool|Regeneration|Searching Gaze|Snow Mastery				ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	SR:25	DR:15/Magic		MONSTERCLASS:Snow Weird:15	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental|Elemental Weird|Extraplanar	TEMPLATE:Air|Cold			HITDICEADVANCEMENT:30,45		CR:15	SOURCEPAGE:Fro		BONUS:VAR|RegenerationRate|10	BONUS:VAR|SummonElementalPerDay|3	BONUS:VAR|Maneuverability|5			
Entombed			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Burrow,40	FACE:10	REACH:10	VISION:Darkvision (60')|Tremorsense (60')			LANGAUTO:Common		BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16				BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Create Spawn|Freeze|Icy Touch|Improved Grab|Immure	ABILITY:Special Ability|AUTOMATIC|Ice Glide								MONSTERCLASS:Undead:16	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead	TEMPLATE:Cold			HITDICEADVANCEMENT:32		CR:10	SOURCEPAGE:Fro							
Frost Folk		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')|Snow-Sight			LANGAUTO:Common		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2			BONUS:STAT|CHA|-2			MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Survival	AUTO:SHIELDPROF|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE.Simple|Battleaxe|Longbow						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Ice Blast				ABILITY:Special Ability|AUTOMATIC|Frost Folk Skills					MONSTERCLASS:Monstrous Humanoid:4	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid	TEMPLATE:Cold				LEVELADJUSTMENT:1	CR:2	SOURCEPAGE:Fro		BONUS:VAR|IceBlastCone|20	BONUS:VAR|IceBlastDice|2	DEFINE:IceBlastDamageDie|6			
Genie (Qorrashi)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:LN	LANGAUTO:Auran,Celestial,Common,Ignan		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Move Silently|Spellcraft|Spot|Use Rope									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Chill|Frostbite	ABILITY:Special Ability|AUTOMATIC|Icewalking|Plane Shift|Telepathy								MONSTERCLASS:Outsider:7	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider|Extraplanar	TEMPLATE:Cold|Lawful			HITDICEADVANCEMENT:14,21	LEVELADJUSTMENT:5	CR:6	SOURCEPAGE:Fro	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Endure Elements|Invisibility (Self Only)	BONUS:VAR|TelepathyRange|100	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Cone of Cold,13+CHA|Ice Storm	BONUS:VAR|Maneuverability|5	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Create Food and Water|Gaseous Form,13+CHA|Major Creation (vegetable matter is permanent),15+CHA|Persistent Image,15+CHA|Wind Walk,16+CHA		
#Giant (Frost)	OUTPUTNAME:[NAME] Giant		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Low-light			LANGAUTO:Giant		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|-2	BONUS:STAT|CON|10		BONUS:STAT|WIS|4				MONCSKILL:Climb|TYPE.Craft|Intimidate|Jump|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Heavy|SHIELDTYPE=Light	AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Greataxe|TYPE.Martial|TYPE.Simple						LEGS:2		BONUS:WEAPONPROF=Thrown Rock|TOHIT|1|TYPE=Racial	BONUS:WEAPONPROF=Giant Rock|TOHIT|1|TYPE=Racial		NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4	NATURALATTACKS:Thrown Rock,Weapon.Natural.Ranged.Thrown.Bludgeoning,*1,2d6	ABILITY:Special Ability|AUTOMATIC|Vulnerability To Fire|Immunity To Cold|Rock Throwing|Rock Catching									MONSTERCLASS:Giant:14	RACETYPE:Giant	RACESUBTYPE:Cold	TYPE:Giant						LEVELADJUSTMENT:4	CR:9	SOURCEPAGE:MonstersG.rtf	KIT:1|Default Giant Rock (Large)						
Giant (Frost/Mauler)	OUTPUTNAME:Frost Giant Mauler		STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:10	VISION:Low-light			LANGAUTO:Giant		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|-2	BONUS:STAT|CON|10		BONUS:STAT|WIS|4				MONCSKILL:Climb|Craft (Armorsmithing)|Intimidate|Jump|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Heavy|SHIELDTYPE=Light	AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE.Simple|TYPE.Martial						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Thrown Rock|TOHIT|1|TYPE=Racial	BONUS:WEAPONPROF=Giant Rock|TOHIT|1|TYPE=Racial		NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4	NATURALATTACKS:Thrown Rock,Weapon.Natural.Ranged.Thrown.Bludgeoning,*1,2d6	ABILITY:Special Ability|AUTOMATIC|Vulnerability To Fire|Immunity To Cold|Rage|Frost Giant Mauler Rage|Rock Throwing|Rock Catching	ABILITY:Special Ability|AUTOMATIC|Frost Giant Mauler Fast Movement|Uncanny Dodge ~ Base								MONSTERCLASS:Giant:14	RACETYPE:Giant	RACESUBTYPE:Cold	TYPE:Giant						LEVELADJUSTMENT:4	CR:9	SOURCEPAGE:Fro		BONUS:VAR|UncannyDodgeLevel|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD|TYPE=EachClass.STACK				
Giant (Frost/Spiritspeaker)	OUTPUTNAME:Frost Giant Spiritspeaker		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Low-light			LANGAUTO:Giant		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|-2	BONUS:STAT|CON|8	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Climb|Concentration|Intimidate|Jump|Listen|Sense Motive|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Heavy|SHIELDTYPE=Light	AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE.Simple|TYPE.Martial|Greataxe						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Thrown Rock|TOHIT|1|TYPE=Racial	BONUS:WEAPONPROF=Giant Rock|TOHIT|1|TYPE=Racial		NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4	NATURALATTACKS:Thrown Rock,Weapon.Natural.Ranged.Thrown.Bludgeoning,*1,2d6	ABILITY:Special Ability|AUTOMATIC|Vulnerability To Fire|Immunity To Cold|Rock Throwing|Rock Catching									MONSTERCLASS:Giant:14	RACETYPE:Giant	RACESUBTYPE:Cold	TYPE:Giant						LEVELADJUSTMENT:5	CR:10	SOURCEPAGE:Fro	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Detect Magic|Dimension Door,12+CHA|Rage	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Blindness/Deafness,13+CHA|Cure Serious Wounds|Fear,14+CHA|Ice Storm	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Dispel Magic|Invisibility Purge|Prayer|Wall of Stone				
Giant (Frost/Tundra Scout)	OUTPUTNAME:Frost Giant Tundra Scout		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Low-light			LANGAUTO:Giant		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|-2	BONUS:STAT|CON|10		BONUS:STAT|WIS|4				MONCSKILL:Climb|Craft (Trapmaking)|Hide|Knowledge (Geography)|Move Silently|Spot|Survival	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Heavy|SHIELDTYPE=Light	AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE.Simple|TYPE.Martial|Longspear	AUTO:EQUIP|Tundra Cloak (Frost Giant)					LEGS:2	HANDS:2	BONUS:WEAPONPROF=Thrown Rock|TOHIT|1|TYPE=Racial	BONUS:WEAPONPROF=Giant Rock|TOHIT|1|TYPE=Racial		NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4	NATURALATTACKS:Thrown Rock,Weapon.Natural.Ranged.Thrown.Bludgeoning,*1,2d6	ABILITY:Special Ability|AUTOMATIC|Vulnerability To Fire|Immunity To Cold|Rock Throwing|Rock Catching									MONSTERCLASS:Giant:14	RACETYPE:Giant	RACESUBTYPE:Cold	TYPE:Giant						LEVELADJUSTMENT:4	CR:10	SOURCEPAGE:Fro	KIT:1|Default Giant Rock (Large)						
#Goblin		FAVCLASS:Rogue	STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Goblin	LANGBONUS:Draconic,Elven,Giant,Gnoll,Orc			BONUS:SKILL|Move Silently,Ride|4|TYPE=Racial				BONUS:STAT|STR|-2	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-2																													RACETYPE:Humanoid	RACESUBTYPE:Goblinoid	TYPE:Humanoid							CR:1/2	SOURCEPAGE:Fro							
