SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	TYPE:	CLASSES:	Domains granting the spell	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	Components	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Frostburn			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Touch deals 3d12 frostburn damage +1/level (max +20).	SOURCEPAGE:Fro								
Frostburn (Lesser)	OUTPUTNAME:Frostburn, Lesser		TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Touch deals 1d12 frostburn damage +1/level (max +5).	SOURCEPAGE:Fro								
Frostburn (Mass)	OUTPUTNAME:Frostburn, Mass		TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30-ft apart.		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Deals 3d12+1/level (max +20) frostburn damage to many creatures.	SOURCEPAGE:Fro								
Frostfell			TYPE:Arcane.Divine	CLASSES:Druid=8|Sorcerer,Wizard=9		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:20-ft cube/level		DURATION:1 hour/level	SAVEINFO:Fortitude partial; See text	SPELLRES:See text	DESC:Intense cold turns all subjects in area into ice.	SOURCEPAGE:Fro								
Frostfell Slide			TYPE:Divine	CLASSES:Druid=4|Ranger=4		SCHOOL:Conjuration	SUBSCHOOL:Teleportation	DESCRIPTOR:Cold	COMPS:V, S, DF, Frostfell	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hour/level or until expended; See text	SAVEINFO:None	SPELLRES:No	DESC:Move instatky from one area of frostfell into another.	SOURCEPAGE:Fro								
Gelid Blood			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Subject takes -4 penalty on attacks, AC, Str and Dex related checks, 50%% failure of spells with somatic components,	SOURCEPAGE:Fro								
Glacial Globe of Invulnerability			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=3		SCHOOL:Abjuration		DESCRIPTOR:Cold	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:10 ft	TARGETAREA:10-ft radius spherical emanation, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Stops 1st through 3rd level fire spell effects and provides concealment.	SOURCEPAGE:Fro								
Glacial Ward (Greater)	OUTPUTNAME:Glacial Ward, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Area around you provides SR 25 against fire spells and effects.	SOURCEPAGE:Fro								
Glacial Ward			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Subject gains SR 18 against fire spells and effects.	SOURCEPAGE:Fro								
Glacier			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One 20-ft cube/2 levels.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Conjures glaciers that attack your enemies.	SOURCEPAGE:Fro								
Glaze Lock			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Lock touched.		DURATION:10 minutes/level; See text.	SAVEINFO:None	SPELLRES:No	DESC:Jams locks with snow and ice, raising Open Lock DC by 10 and lock's hardenn by 5.	SOURCEPAGE:Fro								
Heartfreeze			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Subject exhausted, dies in 1d3+2 rounds.	SOURCEPAGE:Fro								
Heat Leech			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Fortitude negates; See text	SPELLRES:Yes	DESC:Subject takes 1d8 points of cold damage/round.	SOURCEPAGE:Fro								
Hibernal Healing			TYPE:Divine	CLASSES:Cleric=5|Druid=4		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, Frostfell	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You.		DURATION:Instantaneous	SAVEINFO:Fortitude half (harmless)	SPELLRES:Yes	DESC:You absorb ice, slush and snow, curing 10 points/level of damage (max 150).	SOURCEPAGE:Fro								
Hibernate			TYPE:Divine	CLASSES:Cleric=5|Druid=5		SCHOOL:Necromancy		DESCRIPTOR:Cold	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature.		DURATION:1 week/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Sends subject into state of hibernation for one week/level.	SOURCEPAGE:Fro								
Ice Assassin			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One duplicate creature.		DURATION:Instantaneous	SAVEINFO:None; See text	SPELLRES:No	DESC:Creates duplicate of creature with sole purpose of slay original.	SOURCEPAGE:Fro		COST:20000	XPCOST:5000					
Ice Castle			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S, F	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Fortress of ice and snow.		DURATION:24 hours.	SAVEINFO:None	SPELLRES:No	DESC:Creates castle of snow and ice with an array of magical effects.	SOURCEPAGE:Fro		COST:2000						
Ice Darts			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more ice darts.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Icicle missiles deal 2d4 damage, half of which is cold.	SOURCEPAGE:Fro								
Ice Rift			TYPE:Arcane.Divine	CLASSES:Cleric=6|Druid=6|Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:40-ft radius spread.		DURATION:1 round	SAVEINFO:See text	SPELLRES:No	DESC:Intense quake shakes 40-ft radius spread of ice.	SOURCEPAGE:Fro								
