SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																				
Ice Beast ~ Claw (Fine)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:F	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1																																																																																																																																																																																																		
Ice Beast ~ Claw (Diminutive)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:D	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1																																																																																																																																																																																																		
Ice Beast ~ Claw (Tiny)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:T	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d2																																																																																																																																																																																																		
Ice Beast ~ Claw (Small)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:S	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4																																																																																																																																																																																																		
Ice Beast ~ Claw (Medium)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:M	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6																																																																																																																																																																																																		
Ice Beast ~ Claw (Large)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:L	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8																																																																																																																																																																																																		
Ice Beast ~ Claw (Huge)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:H	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6																																																																																																																																																																																																		
Ice Beast ~ Claw (Gargantuan)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:G	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,3d6																																																																																																																																																																																																		
Ice Beast ~ Claw (Colossal)	VISIBLE:NO	SOURCEPAGE:Fro	PRESIZEEQ:C	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,4d6																																																																																																																																																																																																		
Spirit Animal	VISIBLE:YES	SOURCEPAGE:Fro	PRERACE:1,RACETYPE=Animal	RACETYPE:Fey	RACESUBTYPE:Augmented Animal	TEMPLATE:Fey|Augmented|Augmented (Animal)|Incorporeal	HITDIE:6	ABILITY:Special Ability|AUTOMATIC|Manifestation	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	BONUS:SKILL|Hide,Listen,Search,Spot|4|TYPE=Racial.STACK	BONUS:MISC|CR|1																																																																																																																																																																																										
