SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net														
																
###Block:Alchemical Stuff and Liquids																
# Equipment Name		Type	Cost	Weight	Source Page	Quality and value										
Fiendish Graft (Fiendish Membranous Wing)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:50000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		MOVECLONE:Walk,Fly,*2	ABILITY:Special Ability|VIRTUAL|Flight Maneuverability|Resistance To Fire|Resistance To Cold	BONUS:VAR|Maneuverability|3	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10	
Fiendish Graft (Fiendish Springing Leg)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:35000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		BONUS:MOVEADD|TYPE.Walk|-10	BONUS:SKILL|Jump|30|TYPE=Competence				
Fiendish Graft (Fiendish Sting Tail)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:50000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Poison	ABILITY:Special ability|VIRTUAL|Fiendish Graft ~ Sting Tail				
Fiendish Graft (Fiendish Strong Leg)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:8000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		BONUS:STAT|CON|2|TYPE=Inherent					
Fiendish Graft (Fiendish Trampling Leg)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:5000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Trample	ABILITY:Special Ability|VIRTUAL|Fiendish Graft ~ Trampling Leg				
Fiendish Graft (Fiendish Whip Tail)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:8000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh			ABILITY:Special Ability|VIRTUAL|Fiendish Graft ~ Whip Tail				
Illithid Graft (Illithid Antennae)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.IllithidGraft	COST:20000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Illithid Flesh	PREFEAT:1,Graft Flesh		VISION:Tremorsense (60')					
###TODO:Illithid Graft (Illithid Climbing Legs) LEGS:4
Illithid Graft (Illithid Climbing Legs)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.IllithidGraft	COST:4000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Illithid Flesh	PREFEAT:1,Graft Flesh	SPROP:act as Silppers of Spider Climbing.	MOVE:Climb,15
Illithid Graft (Illithid Goring Horn)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.IllithidGraft	COST:8000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Illithid Flesh	PREFEAT:1,Graft Flesh		VFEAT:Improved Bull Rush	ABILITY:Special Ability|VIRTUAL|Illithid Graft ~ Goring Horn				
																
Venomous Fire (Flask)	TYPE:Goods.Alchemical.Flask.Consumable		COST:220	WT:1.00	SOURCEPAGE:FFo											
