SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net																																																																										
																																																																												
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells												
Bhut			STARTFEATS:1	SIZE:M	MOVE:Fly,50	FACE:5	REACH:5			PREALIGN:NE		LANGBONUS:ALL								BONUS:STAT|DEX|8		BONUS:STAT|INT|4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Listen|Spot|Survival					AUTO:FEAT|Track				LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Touch,*1,1d12		ABILITY:Special Ability|AUTOMATIC|Augmented Critical ~ Bhut|Dreadful Appearance|Poison	ABILITY:Special Ability|AUTOMATIC|Corpsetheft|Vulnerability To Earth (Su)								MONSTERCLASS:Undead:8	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:24		CR:9	SOURCEPAGE:FFo		DEFINE:Maneuverability|5	DEFINE:DreadfulAppearanceRange|30										
Blackstone Gigant			STARTFEATS:1	SIZE:G	MOVE:Walk,40,Climb,20,Fly,40	FACE:20	REACH:20			PREALIGN:NE		LANGBONUS:ALL	BONUS:COMBAT|AC|27|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|34	BONUS:STAT|DEX|-4		BONUS:STAT|INT|-4					MONCSKILL:Climb|Listen|Spot									LEGS:2	HANDS:4				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*4,4d8		ABILITY:Special Ability|AUTOMATIC|Petrification|Trample	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Animate Statue|Resistance To Cold|Resistance To Electricity|Resistance To Fire			ABILITY:Special Ability|AUTOMATIC|Blackstone Gigant Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:32	DR:15/Adamantine		MONSTERCLASS:Construct:32	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:54,96		CR:18	SOURCEPAGE:FFo		DEFINE:Maneuverability|5	DEFINE:AcidResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:FireResistanceBonus|20	DEFINE:ElectricityResistanceBonus|20							
Blood Hawk			STARTFEATS:1	SIZE:S	MOVE:Walk,10,Fly,80	FACE:5	REACH:5	VISION:Darkvision (60')|Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Search|Spot									LEGS:2	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Wounding	ABILITY:Special Ability|AUTOMATIC|Ferocity|PREHD:MIN=2			ABILITY:Special Ability|AUTOMATIC|Blood Hawk Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:1,3		CR:1/2	SOURCEPAGE:FFo		DEFINE:Maneuverability|3											
Bloodthorn				SIZE:L		FACE:10	REACH:10			PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|8		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8												LEGS:0	HANDS:0				NATURALATTACKS:Tendril,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*4,1d8		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Bloodthorn|Improved Grab									MONSTERCLASS:Plant:3	RACETYPE:Plant		TYPE:Plant	TEMPLATE:Mindless				HITDICEADVANCEMENT:6,15		CR:3	SOURCEPAGE:FFo													
Bonespear				SIZE:L	MOVE:Walk,40	FACE:10	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|6	BONUS:STAT|CON|8		BONUS:STAT|WIS|2							AUTO:WEAPONPROF|Bonespear Horn	AUTO:EQUIP|Bonespear Horn|Bonespear Horn					LEGS:4	HANDS:0				NATURALATTACKS:Horn,Weapon.Natural.Melee.Finesseable.Piercing.Poison,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Attach|Drag|Horns|Poison	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Resistance To Fire|Immobile Stance|Resistance To Sonic					SR:23			MONSTERCLASS:Vermin:15	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Mindless				HITDICEADVANCEMENT:15,30,45		CR:12	SOURCEPAGE:FFo		DEFINE:FastHealing|5	DEFINE:FireResistanceBonus|10	DEFINE:SonicResistanceBonus|10									
Canomorph (Haraknin)	OUTPUTNAME:Canomorph, [NAME]	FAVCLASS:Barbarian|Ranger	STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5			PREALIGN:LE	AUTO:LANG|Common|Infernal		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|5|TYPE=Racial				BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-6			MONCSKILL:Hide|Jump|Listen|Move Silently|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Scimitar		AUTO:FEAT|Armor Proficiency (Light)|Track				LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Fire|Rage|Haraknin Rage	ABILITY:Special Ability|AUTOMATIC|Fast Movement ~ Haraknin|Uncanny Dodge ~ Base			ABILITY:Special Ability|AUTOMATIC|Haraknin Skills					MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Canomorph|Extraplanar|Shapechanger|Evil|Fire|Lawful	TYPE:Outsider						LEVELADJUSTMENT:3	CR:3	SOURCEPAGE:FFo		DEFINE:BreathWeaponCone|30	DEFINE:BreathWeaponDice|1	DEFINE:BreathWeaponDamageDie|4	BONUS:VAR|UncannyDodgeLevel|1								
Canomorph (Shadurakul)	OUTPUTNAME:Canomorph, [NAME]	FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:NE	AUTO:LANG|Abyssal|Common|Infernal		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4				MONCSKILL:Hide|Intimidate|Jump|Listen|Move Silently|Search|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy			AUTO:FEAT|Armor Proficiency (Light)|Armor Proficiency (Medium)|Armor Proficiency (Heavy)|Track				LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Bay|Trip	ABILITY:Special Ability|AUTOMATIC|Shadow Blend|Scent			ABILITY:Special Ability|AUTOMATIC|Shadurakul Skills					MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Canomorph|Extraplanar|Shapechanger|Evil	TYPE:Outsider						LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:FFo													
Canomorph (Vultivor)	OUTPUTNAME:Canomorph, [NAME]	FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:CE	AUTO:LANG|Abyssal|Common		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|12	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Hide|Jump|Listen|Move Silently|Search|Spot|Survival|Tumble		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Rapier		AUTO:FEAT|Armor Proficiency (Light)				LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Sneak Attack	ABILITY:Special Ability|AUTOMATIC|Evasion|Scent|Shadow Form|Shadow Jump|Uncanny Dodge ~ Base			ABILITY:Special Ability|AUTOMATIC|Vultivor Skills					MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Canomorph|Extraplanar|Shapechanger|Chaotic|Evil	TYPE:Outsider						LEVELADJUSTMENT:4	CR:4	SOURCEPAGE:FFo		DEFINE:SneakAttackDice|5	DEFINE:PWShadowForm|1	DEFINE:ShadowJump|10	BONUS:VAR|UncannyDodgeLevel|1								
Caryatid Column			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6		BONUS:STAT|INT|-4	BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Diplomacy|Sense Motive			AUTO:WEAPONPROF|Sword (Bastard)		AUTO:FEAT|Weapon Focus(Sword (Bastard))				LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d4			ABILITY:Special Ability|AUTOMATIC|Break Weapon|Column Form|Hardness 8|Magic Weapon ~ Caryatid Column								MONSTERCLASS:Construct:6	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:10,21		CR:6	SOURCEPAGE:FFo													
Century Worm				SIZE:G	MOVE:Walk,30,Burrow,20,Swim,10	FACE:20	REACH:15	VISION:Tremorsense (120')		PREALIGN:TN			BONUS:COMBAT|AC|30|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|-4	BONUS:STAT|CON|12			BONUS:STAT|CHA|-8			MONCSKILL:Swim									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Keening|Swallow Whole|Wriggling Progeny	ABILITY:Special Ability|AUTOMATIC|Resistance to Acid								MONSTERCLASS:Vermin:15	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Mindless				HITDICEADVANCEMENT:80,120		CR:19	SOURCEPAGE:FFo		DEFINE:AcidResistanceBonus|20											
Chronotyryn			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,70	FACE:10	REACH:10	VISION:Darkvision (60')|Low-Light			AUTO:LANG|Abyssal|Celestial|Draconic|Infernal	LANGBONUS:ALL	BONUS:COMBAT|AC|22|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|10|TYPE=Racial				BONUS:STAT|STR|16	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|12	BONUS:STAT|WIS|6	BONUS:STAT|CHA|16			MONCSKILL:Concentration|Knowledge (Arcana)|Knowledge (History)|Knowledge (The Planes)|Listen|Sense Motive|Spellcraft|Spot					AUTO:FEAT|Silent Spell|Still Spell				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Wing Buffets,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Rake|Dual Action|Feather Flurry|Sonic Screech	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Adamantine Feathers|Resistance To Cold|Detect Magic (Sp at will)|Resistance To Electricity|Resistance To Fire|Knowledgeable|Immunity To Sonic				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:31	DR:15/Magic		MONSTERCLASS:Chronotyryn:17	RACETYPE:Magical Beast	RACESUBTYPE:Extraplanar	TYPE:Magical Beast					HITDICEADVANCEMENT:22,51		CR:19	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Blink|Feeblemind,15+CHA|Teleport (Greater),17+CHA	DEFINE:Maneuverability|3	DEFINE:FeatherFlurryPerDay|3	DEFINE:BreathWeaponCone|20	DEFINE:BreathWeaponDice|8	DEFINE:BreathWeaponDamageDie|6	DEFINE:AcidResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:DetectMagicWillLVL|20	DEFINE:ElectricityResistanceBonus|20	DEFINE:FireResistanceBonus|20	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Displacement,13+CHA|Time Stop	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Iron Body|Plane Shift,17+CHA|Temporal Stasis,18+CHA
Chwidencha			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Burrow,20	FACE:10	REACH:5	VISION:Tremorsense (60')|Darkvision (60')		PREALIGN:TN	AUTO:LANG|Undercommon		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Listen|Move Silently|Spot									LEGS:16	HANDS:4				NATURALATTACKS:Leg Rake,Weapon.Natural.Melee.Finesseable.Piercing.Bludgeoning,*4,1d6		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Leg Regeneration|Vulnerability To Sonic								MONSTERCLASS:Aberration:12	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:18,36		CR:9	SOURCEPAGE:FFo													
Crawling Head			STARTFEATS:1	SIZE:H	MOVE:Walk,20,Climb,20	FACE:15	REACH:10	VISION:True Seeing		PREALIGN:CE	AUTO:LANG|Common|Giant		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|20	BONUS:STAT|DEX|-4		BONUS:STAT|INT|10	BONUS:STAT|WIS|8	BONUS:STAT|CHA|14			MONCSKILL:Climb|Concentration|Knowledge (Arcana)|Knowledge (Religion)|Search|Spellcraft|Spot|Survival|Use Magic Device									LEGS:99	HANDS:4				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Tentacle,Weapon.Natural.Melee.Reach.Finesseable.Bludgeoning,*4,1d8		ABILITY:Special Ability|AUTOMATIC|Cacophony|Constrict|Improved Grab|Vorpal Bite	ABILITY:Special Ability|AUTOMATIC|Absorb Head|Immunity To Electricity|Immunity To Sonic|True Seeing|Vulnerability To Water			ABILITY:Special Ability|AUTOMATIC|Crawling Head Skills		SR:31	DR:20/Magic and Piercing		MONSTERCLASS:Undead:28	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:56,84		CR:20	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Animate Dead|Control Undead,17+CHA|Death Knell,12+CHA|Inflict Serious Wounds,13+CHA|Fear,14+CHA|Gentle Repose,13+CHA|Shield|Speak with Dead,13+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Create Undead|Create Greater Undead|Finger of Death,17+CHA|Wail of the Banshee,19+CHA											
