SOURCELONG:Seafarer's Handbook	SOURCESHORT:Ssh	SOURCEWEB:http://www.gozzilioni.net																																											
																																													
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page				
Parry	TYPE:General			PREATT:3		PREFEAT:1,Combat Expertise									PRESTAT:1,DEX=13									DESC:You can deflect a melee attack against you with your own weapon																	SOURCEPAGE:Ssh				
Parrying Weapon	TYPE:General					PREFEAT:1,Two Weapon Fighting																		DESC:You can use an off-hand weapon as if it were a shield																	SOURCEPAGE:Ssh				
Polar Bear Skin	TYPE:General																							DESC:Your skin is better able to withstand the affects of extremely cold water than the average person's																	SOURCEPAGE:Ssh				
Port Savvy	TYPE:General																							DESC:You know all the ins and outs of life in the seedy ports of call that sailors use as stopover points in their journeys																	SOURCEPAGE:Ssh				
Pressure Survival	TYPE:General											PRESKILL:1,Swim=1												DESC:You are extremely tolerant to the pressures of the deep																	SOURCEPAGE:Ssh				
Riposte	TYPE:General			PREATT:6		PREFEAT:1,Parry																		DESC:You may attempt to turn a successful parry into an additional attack against your opponent																	SOURCEPAGE:Ssh				
Rope Climber	TYPE:General														PRESTAT:1,DEX=13									DESC:You are as comfortable climbing ropes and rigging as you are walking on the ground																	SOURCEPAGE:Ssh				
Sea Brother	TYPE:General																							DESC:An intelligent aquatic race considers you a friend and is well disposed toward requests you make of them	STACK:NO	MULT:YES	CHOOSE:STRING|Aquatic Elf|Half-Merrow|Merfolk														SOURCEPAGE:Ssh				
Sea Dog	TYPE:General																							DESC:You have a knack for endeavors relating to sea travel													BONUS:SKILL|Profession (Sailor),Profession (Navigator),Use Rope|2				SOURCEPAGE:Ssh				
Scurvy Dog	TYPE:General														PRESTAT:1,CON=13									DESC:Your body is accustomed to unhealthy conditions and resists disease better than people who live in less-squalid environments																	SOURCEPAGE:Ssh				
Shanty Man	TYPE:General											PRESKILL:1,TYPE.Perform=1												DESC:You are familiar with the songs of the sea and can sing them with such zest and aplomb as to gain the confidence of sailors everywhere																	SOURCEPAGE:Ssh				
Shorewalker	TYPE:General																			PREMULT:1,[PRERACE:1,RACESUBTYPE=Merfolk,Ogre (Half Merrow),Elf (Aquatic),Elf (Coral),Elf (Kelp),Locathah,Sahuagin,Triton],[PRERACE:1,RACESUBTYPE=Aquatic]				DESC:You are an experienced traveler in the surface world																	SOURCEPAGE:Ssh				
Storm Sense	TYPE:General																							DESC:You can reliably predict the onset of storms and other weather																	SOURCEPAGE:Ssh				
Swing-By Attack	TYPE:General					PREFEAT:1,Rope Climber						PRESKILL:1,Climb=1												DESC:You can swing from a rope past a foe and attack at the same time																	SOURCEPAGE:Ssh				
Tail Slam	TYPE:General																		PRETEXT:Must have a tail.	PRERACE:1,RACESUBTYPE=Merfolk,Ogre (Half Merrow)				DESC:You are trained to use your powerful tail and flukes as a weapon																	SOURCEPAGE:Ssh				
Tail Walking	TYPE:General																		PRETEXT:Must have a tail.	PRERACE:1,RACESUBTYPE=Merfolk,Ogre (Half Merrow)				DESC:You have learned to use your tail while out of water somewhat more gracefully than most of your kind																	SOURCEPAGE:Ssh	BONUS:MOVEADD|TYPE=Walk|5			
#Two-Weapon Defense	aggiornato																							DESC:You can attack and defend with a weapon in each hand. You can fight defensively while still making your normal attacks each round																	SOURCEPAGE:Ssh				
Waterfront Native	TYPE:General										PREPCLEVEL:MAX=1													DESC:You grew up in an area close to water. You are especially adept at operating in and under the water													CSKILL:Swim				SOURCEPAGE:Ssh				
Weapons of Opportunity	TYPE:General			PREATT:4																				DESC:You can use mundane objects as weapons in combat																	SOURCEPAGE:Ssh				
