SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	CLASSES:	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Babau Slime			TYPE:Arcane.Divine	CLASSES:Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:1 minute/level	SAVEINFO:See text (harmless)	SPELLRES:Yes	DESC:Secrete a body-covering acid that damages foes' weapons.	SOURCEPAGE:PH									
Balor Nimbus			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Subject's flaming body damages foes in grapple.	SOURCEPAGE:PH									
Barghest's Feast			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 round	RANGE:Touch	TARGETAREA:Corpse touched.		DURATION:1 minute/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Destroy target corpse, potentially preventing its return to life.	SOURCEPAGE:PH		COST:5000							
Beastland Ferocity			TYPE:Divine	CLASSES:Bard=1|Druid=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Subject fights without penalty while disabled or dying.	SOURCEPAGE:PH									
Belker Claws			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Air	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature or creatures touched (up to 1/level).		DURATION:1 round/3 level	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:One touch/level deals 3d4 damage and lingers +1 round/3 levels.	SOURCEPAGE:PH									
Bodak's Glare			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	COMPS:V, S, DF	CASTTIME:1 round	RANGE:30-ft	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You slay a creature, wich turns into a bodak 24 hours later.	SOURCEPAGE:PH									
Call Kolyarut			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Lawful	COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One called kolyarut		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:A Kolyarut aids you in punishing an oathbreaker.	SOURCEPAGE:PH			XPCOST:250						
Call Marut			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Lawful	COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One called marut		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:A Marut aids you in pursuing one seeking to cheat time.	SOURCEPAGE:PH			XPCOST:500						
Call Zelekhut			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Lawful	COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:one called zelekhut.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:A Zelekhut aids you in hunting a fugitive.	SOURCEPAGE:PH			XPCOST:100						
Cloak Pool			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one color pool		DURATION:1 hour/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:No	DESC:Hide a color pool on the Astral Plane from view.	SOURCEPAGE:PH									
Corporeal Instability			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Transform a target creature into an amorphous mass.	SOURCEPAGE:PH									
Death Throes			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level or until you are killed	SAVEINFO:None	SPELLRES:No	DESC:Your body explodes when you die.	SOURCEPAGE:PH									
Demon Dirge			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Living creature		DURATION:Instantaneous or 1d4 rounds	SAVEINFO:See text	SPELLRES:See text	DESC:Demons are stunned and take 3d6 damage/round for 1d4 rounds.	SOURCEPAGE:PH									
Devil Blight			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Living creature		DURATION:Instantaneous or 1d6 rounds	SAVEINFO:See text	SPELLRES:See text	DESC:Damage and confuse baatezu; damage other lawful and evil creatures.	SOURCEPAGE:PH									
Discolor Pool			TYPE:Divine	CLASSES:Bard=2		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one color pool		DURATION:1 hour/level	SAVEINFO:Will disbelies (harmless)	SPELLRES:No	DESC:Change the color of a color pool on the Astral Plane.	SOURCEPAGE:PH									
Evil Glare			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Evil|Fear|Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:30-ft	TARGETAREA:Living creature		DURATION:1 round/level and 1d8 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Paralyze creature with your glare.	SOURCEPAGE:PH									
False Gravity			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Travel on a solid surface as if that surface had its own gravity.	SOURCEPAGE:PH									
Fierce Pride of the Beastland			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaotic|Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Two or more summoned creature, no two of wich can be more than 30-ft apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Summon celestial lions and celestial dire lions to follow your commands.	SOURCEPAGE:PH									
Focus Touchstone Energy			TYPE:Divine	CLASSES:Cleric=4|Druid=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Convert unused touchstone abilities into temporary hit points.	SOURCEPAGE:PH									
Hamatula Barbs			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Subjects grow barbs, which damage foes that attack subject in melee.	SOURCEPAGE:PH									
Heavenly Host			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Good|Lawful	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creature, no two of wich can be more than 30-ft apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Summons archons to fight for you.	SOURCEPAGE:PH									
Hellish Horde			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil|Lawful	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creature, no two of wich can be more than 30-ft apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Summons devils to fight for you.	SOURCEPAGE:PH									
Holy Storm			TYPE:Divine	CLASSES:Cleric=3|Paladin=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Good|Water	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:20-ft radius, centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Good-aligned rain falls in 20-ft radius.	SOURCEPAGE:PH									
Hunters of Hades			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 minute	RANGE:Medium	TARGETAREA:Two or more summoned pack fiends, no two of wich can be more than 30-ft apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Summons a pair of pack fiends to follow your commands.	SOURCEPAGE:PH									
Infernal Wound			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Weapon inflicts persistent, bleeding wounds.	SOURCEPAGE:PH									
Lay of the Land			TYPE:Arcane.Divine	CLASSES:Bard=4|Druid=4|Ranger=1		SCHOOL:Divination			COMPS:V, S, F	CASTTIME:3 rounds	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You gain an overview of the geography around you.	SOURCEPAGE:PH									
Light of Lunia			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and creature(s) touched with ray (up to 2)		DURATION:10 minutes/level or until used up	SAVEINFO:None	SPELLRES:Yes	DESC:You radiate silvery light, which you can expend as 2 bolts that deal 1d6 damage.	SOURCEPAGE:PH									
Light of Mercuria			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and creature(s) touched with ray (up to 2)		DURATION:10 minutes/level or until used up	SAVEINFO:None	SPELLRES:Yes	DESC:You radiate golden light, which you can expend as 2 bolts that deal 1d6 damage, 2d6 against undead and evil outsiders.	SOURCEPAGE:PH									
Light of Venya			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Good|Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and creature(s) touched with ray (up to 2)		DURATION:10 minutes/level or until used up	SAVEINFO:None	SPELLRES:Yes	DESC:You radiate golden light, which you can expend as 2 bolts that deal 3d6 against undead and evil outsiders or heal 3d6 points of damage.	SOURCEPAGE:PH									
Locate Touchstone			TYPE:Arcane.Divine	CLASSES:Bard=1|Cleric=2|Druid=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Find nearest planar touchstone on the plane you currently inhbit.	SOURCEPAGE:PH									PREFEAT:1,Planar Touchstone
Mantle of Chaos			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with the law descriptor.	SOURCEPAGE:PH									
Mantle of Evil			TYPE:Divine	CLASSES:Blackguard=3|Cleric=3		SCHOOL:Abjuration		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with the good descriptor.	SOURCEPAGE:PH									
Mantle of Good			TYPE:Divine	CLASSES:Cleric=3|Paladin=3		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with the evil descriptor.	SOURCEPAGE:PH									
Mantle of Law			TYPE:Divine	CLASSES:Cleric=3|Paladin=3		SCHOOL:Abjuration		DESCRIPTOR:Lawful	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:You gain SR 12 + caster level against spells with the chaotic descriptor.	SOURCEPAGE:PH									
Mechanus Mind			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Lawful|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Reformat subject's mind to be coldly calculating.	SOURCEPAGE:PH									
Miasma of Entropy			TYPE:Arcane.Divine	CLASSES:Druid=6|Sorcerer,Wizard=6		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:30-ft	TARGETAREA:Cone-shaped burst, one solid object or one organic construct.		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Rot all natural materials in 30-ft cone-shaped burst.	SOURCEPAGE:PH									
Negative Energy Aura			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft radius emanation centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:10-ft radius surrounding you deals 2 points of damage/round	SOURCEPAGE:PH									
Opalescent Glare			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Necromancy		DESCRIPTOR:Death|Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Kill evil creatures wiuth a look or make them very afraid.	SOURCEPAGE:PH									
Perinarch			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See text		DURATION:1 round/level; see text	SAVEINFO:See text	SPELLRES:No	DESC:Gain greater control over Limbo's morphic essence.	SOURCEPAGE:PH									
Perinarch (Planar)	OUTPUTNAME:Perinarch, Planar		TYPE:Arcane.Divine	CLASSES:Druid=9|Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See text		DURATION:1 round/level; see text	SAVEINFO:See text	SPELLRES:No	DESC:Gain control over a small area of any divinely morphic plane.	SOURCEPAGE:PH									
Planar Bubble			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft radius emanation from touched creature.		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:Create a bubble around target creature that em ulates target's native planar environment.	SOURCEPAGE:PH									
Planar Exchange			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See text	COMPS:V, S, DF	CASTTIME:1 round	RANGE:0-ft.	TARGETAREA:One called creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Trade places with one of three planar creatures (your choice)	SOURCEPAGE:PH									
Planar Exchange (Greater)	OUTPUTNAME:Planar Exchange, Greater		TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See text	COMPS:V, S, DF	CASTTIME:1 round	RANGE:0-ft.	TARGETAREA:One called creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Trade places with one of three greater planar creatures (your choice)	SOURCEPAGE:PH									
Planar Exchange (Lesser)	OUTPUTNAME:Planar Exchange, Lesser		TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:See text	COMPS:V, S, DF	CASTTIME:1 round	RANGE:0-ft.	TARGETAREA:One called creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Trade places with one of four lesser planar creatures (your choice)	SOURCEPAGE:PH									
Planar Tolerance			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=4|Ranger=4|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:20-ft.	TARGETAREA:One creature in a 20-ft radius burst centered on you.		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Provides long-term protection against overtly damaging planar traits.	SOURCEPAGE:PH									
Plane Shift (Greater)	OUTPUTNAME:Plane Shift, Greater		TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=8		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched, or up to eight willing creatures joining hands		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Plane Shift accurately to your desired destination.	SOURCEPAGE:PH	ITEM:Potion								
Positive Energy Aura			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft radius emanation centered on you.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:10-ft radius surrounding you heals 2 points of damage/round	SOURCEPAGE:PH									
Precipitate Breach			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:Planar Breach; See text.		DURATION:See text	SAVEINFO:None	SPELLRES:Yes	DESC:You can force planar boundaries to rip, creating a planar breach.	SOURCEPAGE:PH		COST:250							
Precipitate Complete Breach			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, M, XP	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:Complete Planar Breach; See text.		DURATION:See text	SAVEINFO:None	SPELLRES:Yes	DESC:You rip wide the boundary between two planes.	SOURCEPAGE:PH		COST:1000	XPCOST:1000						
#Protection from Negative Energy			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ignore 10 points of negative energy damage per attack.	SOURCEPAGE:PH									
#Protection from Positive Energy			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Undead creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Ignore 10 points of positive energy damage per attack.	SOURCEPAGE:PH									
Interplanar Telepathic Bond			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You plus (CASTERLEVEL/3) willing creatures, no two of which can be more than 30 ft. apart		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Link lets allies communicate across planes.	SOURCEPAGE:PH	ITEM:Potion								
Resist Planar Alignment			TYPE:Arcane.Divine	CLASSES:Cleric=1|Druid=1|Paladin=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Subject can resist penalties for being on an opposed aligned Outer Plane.	SOURCEPAGE:PH									
Seal Portal			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One interplanar Gate or portal.		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Seal an interplanar portal or Gate.	SOURCEPAGE:PH		COST:50							
Spell Vulnerability			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 round	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Fortitude negates; see text	SPELLRES:No	DESC:Reduce target creature's spell resistance by 1 per caster level (max reduction 15)	SOURCEPAGE:PH									
Summon Babau Demon			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaotic|Evil	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One summoned Babau Demon		DURATION:Concentration, up to 1 round/level, plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon a Babau Demon to follow your commands.	SOURCEPAGE:PH									
Summon Bearded Devil			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil|Lawful	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One summoned Bearded Devil		DURATION:Concentration, up to 1 round/level, plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon a Bearded Devil to follow your commands.	SOURCEPAGE:PH									
