SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								BONUS:VAR|Maneuverability|
Energon (Xap Yaup)	OUTPUTNAME:Xac-Yaup		STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=Deflection.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Hide|Knowledge (The Planes)|Search|Sense Motive|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6	NATURALATTACKS:Energon Energy Ray,Weapon.Natural.Ranged.Finesseable.Touch,*1,0			ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Energon	TYPE:Outsider	TEMPLATE:Outsider|Energon	TEMPLATE:Extraplanar|Incorporeal			HITDICEADVANCEMENT:9,15		CR:5	SOURCEPAGE:PH									BONUS:VAR|Maneuverability|4
Energon (Xong Yong)	OUTPUTNAME:Xong-Yong		STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=Deflection.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Hide|Knowledge (The Planes)|Search|Sense Motive|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6	NATURALATTACKS:Energon Energy Ray,Weapon.Natural.Ranged.Finesseable.Touch,*1,0			ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic			ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Energon	TYPE:Outsider	TEMPLATE:Outsider|Energon	TEMPLATE:Extraplanar|Incorporeal			HITDICEADVANCEMENT:9,15		CR:5	SOURCEPAGE:PH									BONUS:VAR|Maneuverability|4
Energon (Xor Yost)	OUTPUTNAME:Xor-Yost		STARTFEATS:1	SIZE:M	MOVE:Fly,20	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=Deflection.REPLACE								BONUS:STAT|CON|8	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8			MONCSKILL:Hide|Knowledge (The Planes)|Search|Sense Motive|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Melee.Finesseable.Piercing,*4,1d6	NATURALATTACKS:Energon Energy Ray,Weapon.Natural.Ranged.Finesseable.Touch,*1,0						ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Outsider:5	RACETYPE:Outsider	RACESUBTYPE:Energon	TYPE:Outsider	TEMPLATE:Outsider|Energon	TEMPLATE:Extraplanar|Cold|Incorporeal			HITDICEADVANCEMENT:9,15		CR:5	SOURCEPAGE:PH									BONUS:VAR|Maneuverability|4
Gaspar			STARTFEATS:1	SIZE:H	MOVE:Walk,60	FACE:15	REACH:10	VISION:Darkvision (60')|Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|4	BONUS:STAT|CON|16	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d8|Lesser Gore,Weapon.Natural.Melee.Finesseable.Piercing,*4,2d6|Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Plane Shift (Su)|Powerful Charge						SR:20			MONSTERCLASS:Magical Beast:14	RACETYPE:Magical Beast		TYPE:Magical Beast		TEMPLATE:Extraplanar			HITDICEADVANCEMENT:28,42		CR:10	SOURCEPAGE:PH									
Limbo Stalker			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	VISION:Darkvision (90')|Low-Light		PREALIGN:CN			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d10|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8			ABILITY:Special Ability|AUTOMATIC|Fast Healing|Limited Invisibility|Scent	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Fire|Resistance to Acid|Resistance To Cold							MONSTERCLASS:Magical Beast:8	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Chaotic|Extraplanar			HITDICEADVANCEMENT:15,25		CR:8	SOURCEPAGE:PH		BONUS:VAR|FastHealing|5	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus|5						
Nightmare (Lesser)	OUTPUTNAME:Nightmare, Lesser		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	AUTO:LANG|Infernal|Abyssal		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Survival (Find or follow tracks),Survival (The Planes)|2|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Flaming Hooves|Smoke									MONSTERCLASS:Outsider:6	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider	TEMPLATE:Evil|Extraplanar			HITDICEADVANCEMENT:10,18	LEVELADJUSTMENT:3	CR:4	SOURCEPAGE:PH									
Pack Fiend			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Climb,30	FACE:10	REACH:5	VISION:Blindsight (30')|Darkvision (90')		PREALIGN:NE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently,Survival|4|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|6	BONUS:STAT|CON|8		BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Spot|Survival					VFEAT:Track				LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6	NATURALATTACKS:Sting,Weapon.Natural.Melee.Finesseable.Piercing.Poison,*1,2d4	ABILITY:Special Ability|AUTOMATIC|Poison|Pounce	ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Immunity To Charm Effects|Immunity To Sleep|Immunity To Fear|Resistance To Cold|Resistance To Fire				SR:19	DR:10/Magic		MONSTERCLASS:Magical Beast:8	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Evil|Extraplanar			HITDICEADVANCEMENT:12,16		CR:8	SOURCEPAGE:PH		BONUS:VAR|ColdResistanceBonus,FireResistanceBonus|10							
Ooze (Shadow Jelly)	OUTPUTNAME:[NAME]			SIZE:L	MOVE:Walk,10,Climb,10	FACE:10	REACH:5	VISION:Blindsight (60')		PREALIGN:TN					BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|-10	BONUS:STAT|CON|8		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|10			MONCSKILL:Climb|Hide			BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))						LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,0		ABILITY:Special Ability|AUTOMATIC|Strength Damage ~ Shadow Jelly|Improved Grab		ABILITY:Special Ability|AUTOMATIC|Shadow Jelly Skills							MONSTERCLASS:Ooze:6	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Ooze|Mindless	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:9,18		CR:6	SOURCEPAGE:PH									
Unraveller			STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:LN			BONUS:COMBAT|AC|5|TYPE=Deflection.REPLACE		BONUS:SKILL|Survival (Find or follow tracks)|2|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|6			BONUS:STAT|CHA|10			MONCSKILL:Climb|Escape Artist|Hide|Jump|Listen|Search|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Disjoin	ABILITY:Special Ability|AUTOMATIC|Elemental Immunity					SR:17			MONSTERCLASS:Outsider:8	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider|Incorporeal	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:12,24		CR:9	SOURCEPAGE:PH									
Ur'Epona			STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5	VISION:Low-Light					BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Hoof|TOHIT|-5			NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6			ABILITY:Special Ability|AUTOMATIC|Plane Shift (Sp)|Scent								MONSTERCLASS:Magical Beast:3	RACETYPE:Magical Beast	RACESUBTYPE:Horse	TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Extraplanar|Horse Untrained					CR:1	SOURCEPAGE:PH		BONUS:VAR|PlaneShiftPerDay|1	BONUS:VAR|PlaneShiftLVL|9						
Ooze (Void Ooze)	OUTPUTNAME:[NAME]			SIZE:L	MOVE:Fly,30	FACE:10	REACH:5	VISION:Blindsight (60')		PREALIGN:TN									BONUS:STAT|STR|10	BONUS:STAT|DEX|-10	BONUS:STAT|CON|16		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|10						BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))						LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Energy Drain|Engulf	ABILITY:Special Ability|AUTOMATIC|Death Ward (Su)|Shadow Shield|Split								MONSTERCLASS:Ooze:10	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Ooze|Mindless	TEMPLATE:Extraplanar					CR:8	SOURCEPAGE:PH		BONUS:VAR|EnergyDrainLevels|1							
