SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Doomlord Destructive Expertise	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DoomlordDestructiveExpertiseLVL|0					BONUS:VAR|DestructiveExpertiseBonus|DoomlordDestructiveExpertiseLVL/2																		SOURCEPAGE:PH
Fatemaker Take Charge Appeal	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:FatemakerTakeChargeAppealLVL|0					BONUS:VAR|TakeChargeAppealBonus|(FatemakerTakeChargeAppealLVL+5)/5																		SOURCEPAGE:PH
Fatemaker Confidence of the Fated	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:FatemakerConfidenceOfTheFatedLVL|0					BONUS:VAR|ConfidenceOfTheFatedPerDay|(FatemakerConfidenceOfTheFatedLVL+3)/5	BONUS:VAR|ConfidenceOfTheFatedBonus|FatemakerConfidenceOfTheFatedLVL																	SOURCEPAGE:PH
Fatemaker Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:FatemakerSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|FatemakerSneakAttackLVL/3																		SOURCEPAGE:PH
Fatemaker Aura of Confidence	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:FatemakerAuraOfConfidenceLVL|0					BONUS:VAR|AuraOfConfidenceBonus|FatemakerAuraOfConfidenceLVL/4																		SOURCEPAGE:PH
Fatemaker Ego Manifestation	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|EgoManifestationPerDay|1																		SOURCEPAGE:PH
Visionary Seeker Divination Expertise	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VisionarySeekerDivinationExpertiseLVL|0					BONUS:VAR|DivinationExpertiseBonus|VisionarySeekerDivinationExpertiseLVL																		SOURCEPAGE:PH
Visionary Seeker Intuition	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VisionarySeekerIntuitionLVL|0					BONUS:VAR|IntuitionBonus|(((VisionarySeekerIntuitionLVL+3)/5)*2)																		SOURCEPAGE:PH
Visionary Seeker Bend Fate	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|BendFatePerDay|1																		SOURCEPAGE:PH
Visionary Seeker Trick Fate	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|TrickFatePerDay|1																		SOURCEPAGE:PH
Cipher Adept Combat Instinct	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:CipherAdeptCombatInstinctACLVL|0					BONUS:VAR|CombatInstinctAC|CipherAdeptCombatInstinctACLVL/3																		
Chaotican Anarchic Grace	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ChaoticianAnarchicGraceLVL|0					BONUS:VAR|AnarchicGracePerDay|ChaoticianAnarchicGraceLVL/2																		
Astral Dancer Astral Dodge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:AstralDancerAstralDodgeLVL|0					BONUS:VAR|AstralDodgeBonus|(AstralDancerAstralDodgeLVL/5)*2																		
Elemental Warrior Elemental Manifestation	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalWarriorElementalManifestationLVL|0					BONUS:VAR|ElementalManifestationPerDay|ElementalWarriorElementalManifestationLVL																		
Elemental Warrior Elemental Weapon	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalWarriorElementalWeaponLVL|0					BONUS:VAR|ElementalWeaponPerDay|ElementalWarriorElementalWeaponLVL	BONUS:VAR|ElementalWeaponPower|1|PREVARGTEQ:ElementalWarriorElementalWeaponLVL,5																	
Elemental Warrior Elemental Strike	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalWarriorElementalStrikeLVL|0					BONUS:VAR|ElementalStrikePerDay|1	BONUS:VAR|ElementalStrikeDC|ElementalWarriorElementalStrikeLVL																	
#																																
Domain ~ Elysium Smite Evil	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DomainElysiumSmiteEvilLVL|0					BONUS:VAR|SmiteEvil|1+(DomainElysiumSmiteEvilLVL/5)	BONUS:VAR|SmiteEvilDamage|DomainElysiumSmiteEvilLVL																SOURCEPAGE:PH	
Domain ~ Hades Smite Good	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DomainHadesSmiteGoodLVL|0					BONUS:VAR|SmiteGood|1+(DomainHadesSmiteGoodLVL/5)	BONUS:VAR|SmiteGoodDamage|DomainHadesSmiteGoodLVL																SOURCEPAGE:PH	
Domain ~ Limbo Smite Law	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DomainLimboSmiteLawLVL|0					BONUS:VAR|SmiteLaw|1+(DomainLimboSmiteLawLVL/5)	BONUS:VAR|SmiteLawDamage|DomainLimboSmiteLawLVL																SOURCEPAGE:PH	
Domain ~ Mechanus Smite Chaos	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DomainMechanusSmiteChaosLVL|0					BONUS:VAR|SmiteChaos|1+(DomainMechanusSmiteChaosLVL/5)	BONUS:VAR|SmiteChaosDamage|DomainMechanusSmiteChaosLVL																SOURCEPAGE:PH	
#																																
CATEGORY=Special Ability|Fiendish Servant.MOD	COMPANIONLIST:Fiendish Servant|Nightmare (Lesser)|FOLLOWERADJUSTMENT:-2																															
