SOURCELONG:Gozzilioni Rsrd Modifications monster	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																											
																																														
#																																														
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page														
Baatezu Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Baatezu ~ Summon Baatezu|Baatezu ~ Telepathy|Immunity To Fire|Immunity To Poison|Resistance To Acid|Resistance To Cold								BONUS:VAR|HasSeeInDarknessVision|1	BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance																			SOURCEPAGE:MM2														
Telepathy	CATEGORY:Special Ability	TYPE:BaatezuSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Baatezu can communicate telepathically with any creature within %1 feet that has a language.|TelepathyRange	KEY:Baatezu ~ Telepathy									BONUS:VAR|TelepathyRange|100									ABILITY:Special Ability|VIRTUAL|Telepathy									SOURCEPAGE:MM2														
Summon Baatezu	CATEGORY:Special Ability	TYPE:BaatezuSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All Baatezu can summon other baatezu much as though casting Summon Monster spell.	KEY:Baatezu ~ Summon Baatezu																											SOURCEPAGE:MM2														
Natural Weapons	CATEGORY:Special Ability	TYPE:BaatezuSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All Baatezu natural attacks and any weapon they wields count as evil and lawfull aligned for purposes of bypassing DR.	KEY:Baatezu ~ Natural Weapons																											SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Clockwork Horror Traits|PRERACE:1,RACESUBTYPE=Clockwork Horror																																													
Clockwork Horror Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Clockwork	ABILITY:Special Ability|AUTOMATIC|Clockwork Horror ~ Linked Mind|Clockwork Horror ~ Spell Vulnerability|Immunity To Electricity																												SOURCEPAGE:MM2														
Linked Mind	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All Clockwork Horror within 10 miles of a gold, platinum or adamantine horror are in constant communication. If one is aware of a particular danger, they all are. If one in a particular group is not flat-footed, none of them are. No clockwork horror in such a group is considered flanked unless they all are.	KEY:Clockwork Horror ~ Linked Mind																											SOURCEPAGE:MM2														
Spell Vulnerability	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Clockwork Horro is susceptible to the Shatter spell, which blinds it for 1d4+1 rounds.	KEY:Clockwork Horror ~ Spell Vulnerability																											SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Desmodu Bat Traits|PRERACE:1,RACESUBTYPE=Desmodu Bat																																													
Desmodu Bat Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	BONUS:VAR|BlindsenseRange|120	ABILITY:Special Ability|AUTOMATIC|Immunity To Desmodu Screech																												SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Dinosaur Traits|PRERACE:1,RACESUBTYPE=Dinosaur																																													
Dinosaur Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Scent																													SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Elemental Weird Traits|PRERACE:1,RACESUBTYPE=Elemental Weird																																													
Elemental Weird Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Elemental Weird ~ Comunication|Elemental Weird ~ Elemental Command|Elemental Weird ~ Elemental Pool|Elemental Weird ~ Prescience																													SOURCEPAGE:MM2														
Comunication	CATEGORY:Special Ability	TYPE:ElementalWeirdSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Elemental Weird can communicate with any creature that has a language.	KEY:Elemental Weird ~ Comunication																											SOURCEPAGE:MM2														
Elemental Command	CATEGORY:Special Ability	TYPE:ElementalWeirdSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A Weird can attempt to gain control over any elemental within 100-feet regardless of the latter's elemental type. The elemental must make a succesful Will save (DC %1) or succumb to the Weird's control. There is no limit to the number of elementals that a Weird can control.|ElementalCommandDC	KEY:Elemental Weird ~ Elemental Command				DEFINE:ElementalCommandDC|0					BONUS:VAR|ElementalCommandDC|DefaultDCCha	BONUS:VAR|ElementalCommandDC|2|PREFEAT:1,Ability Focus (Elemental Command)								ABILITY:Ability Focus|AUTOMATIC|Elemental Command									SOURCEPAGE:MM2														
Elemental Pool	CATEGORY:Special Ability	TYPE:ElementalWeirdSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Each weird dwells within a large pool (at least 20 feet across and 40 feet deep) filled of the pures form of its element. 3 times a day can summon forth 2d4 huge elementals, 1d2 greater elementals or 1 elder elemental from the pool. Any non-elemental creature entering a pool without the Weird's permission must succed at a Fort save (DC %1) each round or be irrevocably transformed into the elemental material of the pool.|ElementalPoolDC	KEY:Elemental Weird ~ Elemental Pool				DEFINE:ElementalPoolDC|0					BONUS:VAR|ElementalPoolDC|DefaultDCCha																		SOURCEPAGE:MM2														
Prescience	CATEGORY:Special Ability	TYPE:ElementalWeirdSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At will and as a free action, a Weird can duplicate the effect of any of the following divination spells: Analyze dweomer, Clairaudiance/clairvoyance, contact other plane, detect thoughts, discern location, find the path, foresight, scry, legend lore, locate creature, locate object, tongues, true seeing and vision.	KEY:Elemental Weird ~ Prescience																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Analyze Dweomer|Clairaudience/Clairvoyance|Contact Other Plane|Detect Thoughts|Discern Location|Find the Path|Foresight|Legend Lore|Locate Creature|Locate Object|Scrying|Tongues|True Seeing|Vision									SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Felldrake Traits|PRERACE:1,RACESUBTYPE=Felldrake																																													
Felldrake Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Draconic|Sylvan																													SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Fihyr Traits|PRERACE:1,RACESUBTYPE=Fihyr																																													
Fihyr Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Fihyr ~ Frightful Presence|Fihyr ~ Vulnerable to Sunlight																													SOURCEPAGE:MM2														
Frightful Presence	CATEGORY:Special Ability	TYPE:FihyrSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any creature that witnesses a Fihyr attacking must make a Will save (DC %1) or become panicked.|FrightfulPresenceDC	KEY:Fihyr ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREFEAT:1,Ability Focus (Frightful Presence)								ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Golem Traits|PRERACE:1,RACESUBTYPE=Golem																																													
Golem Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Golem Shared ~ Immunity To Magic																													SOURCEPAGE:MM														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Guardinal Traits|PRERACE:1,RACESUBTYPE=Guardinal																																													
Guardinal Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Celestial|Infernal|Draconic	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowlightVision|1	ABILITY:Special Ability|AUTOMATIC|Guardinal ~ Lay on Hands|Guardinal ~ Speak with Animals|Immunity To Electricity|Immunity To Petrification|Resistance To Cold|Resistance To Poison|Resistance To Sonic								BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|SonicResistanceBonus|10|TYPE=Resistance	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial																SOURCEPAGE:MM														
Lay on Hands	CATEGORY:Special Ability	TYPE:GuardinalSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Guardinal can heal an amount of damage equal to its full normal hit poins.	KEY:Guardinal ~ Lay on Hands																											SOURCEPAGE:MM														
Speak with Animals	CATEGORY:Special Ability	TYPE:GuardinalSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Like Speak with Animals spell (caster level 8th) but its a free action and doesn't require sound.	KEY:Guardinal ~ Speak with Animals																											SOURCEPAGE:MM														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Legendary Animal Traits|PRERACE:1,RACESUBTYPE=Legendary Animal																																													
Legendary Animal Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Legendary Animal ~ Saving Throws																													SOURCEPAGE:MM2														
Saving Throws	CATEGORY:Special Ability	TYPE:LegendaryAnimalSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A legendary animal has all good saves.	KEY:Legendary Animal ~ Saving Throws																											SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Myconid Traits|PRERACE:1,RACESUBTYPE=Myconid																																													
Myconid Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:MyconidAgeCategory|0	DEFINE:MyconidLevelAdjustment|0	DEFINE:MyconidSizeTracker|0			BONUS:VAR|SporesTimes|PlantLVL									ABILITY:Special Ability|AUTOMATIC|Myconid ~ Spores	ABILITY:Internal|AUTOMATIC|SIZE_T|FACE_2|REACH_0|PREVAREQ:MyconidSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_S|FACE_5|REACH_5|PREVAREQ:MyconidSizeTracker,2	ABILITY:Internal|AUTOMATIC|SIZE_M|FACE_5|REACH_5|PREVAREQ:MyconidSizeTracker,3	ABILITY:Internal|AUTOMATIC|SIZE_L|FACE_5|REACH_10|PREVAREQ:MyconidSizeTracker,4	ABILITY:Internal|AUTOMATIC|SIZE_H|FACE_10|REACH_10|PREVAREQ:MyconidSizeTracker,5	ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_1|PREVAREQ:MyconidLevelAdjustment,1	ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_2|PREVAREQ:MyconidLevelAdjustment,2	ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_3|PREVAREQ:MyconidLevelAdjustment,3	SOURCEPAGE:MM2	ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_4|PREVAREQ:MyconidLevelAdjustment,4	ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_5|PREVAREQ:MyconidLevelAdjustment,5	ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_6|PREVAREQ:MyconidLevelAdjustment,6	ABILITY:Internal|AUTOMATIC|Myconid ~ Junior Worker|PREVARLTEQ:MyconidAgeCategory,1	ABILITY:Internal|AUTOMATIC|Myconid ~ Average Worker|PREVAREQ:MyconidAgeCategory,2	ABILITY:Internal|AUTOMATIC|Myconid ~ Elder Worker|PREVAREQ:MyconidAgeCategory,3	ABILITY:Internal|AUTOMATIC|Myconid ~ Guard|PREVAREQ:MyconidAgeCategory,4	ABILITY:Internal|AUTOMATIC|Myconid ~ Circle Leader|PREVAREQ:MyconidAgeCategory,5	ABILITY:Internal|AUTOMATIC|Myconid ~ Sovereign|PREVARGTEQ:MyconidAgeCategory,6	ABILITY:Internal|AUTOMATIC|MYCONID_ATTACKS_T|PRESIZEEQ:T	ABILITY:Internal|AUTOMATIC|MYCONID_ATTACKS_S|PRESIZEEQ:S	ABILITY:Internal|AUTOMATIC|MYCONID_ATTACKS_M|PRESIZEEQ:M	ABILITY:Internal|AUTOMATIC|MYCONID_ATTACKS_L|PRESIZEEQ:L	ABILITY:Internal|AUTOMATIC|MYCONID_ATTACKS_H|PRESIZEEQ:H
Spores	CATEGORY:Special Ability	TYPE:MyconidSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a standard action, a myconid can release a cloud of spores. These spores come in several different varieties, as described below.	KEY:Myconid ~ Spores				DEFINE:SporesDC|0					BONUS:VAR|SporesDC|DefaultDCCon	BONUS:VAR|SporesDC|2|PREFEAT:1,Ability Focus (Spores)								ABILITY:Ability Focus|AUTOMATIC|Spores									SOURCEPAGE:MM2														
Junior Worker	CATEGORY:Internal	VISIBLE:NO	KEY:Myconid ~ Junior Worker	TEMPLATE:Myconid ~ Junior Worker																																										
Average Worker	CATEGORY:Internal	VISIBLE:NO	KEY:Myconid ~ Average Worker	TEMPLATE:Myconid ~ Average Worker																																										
Elder Worker	CATEGORY:Internal	VISIBLE:NO	KEY:Myconid ~ Elder Worker	TEMPLATE:Myconid ~ Elder Worker																																										
Guard	CATEGORY:Internal	VISIBLE:NO	KEY:Myconid ~ Guard	TEMPLATE:Myconid ~ Guard																																										
Circle Leader	CATEGORY:Internal	VISIBLE:NO	KEY:Myconid ~ Circle Leader	TEMPLATE:Myconid ~ Circle Leader																																										
Sovereign	CATEGORY:Internal	VISIBLE:NO	KEY:Myconid ~ Sovereign	TEMPLATE:Myconid ~ Sovereign																																										
MYCONID_ATTACKS_T	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d3																																											
MYCONID_ATTACKS_S	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d4																																											
MYCONID_ATTACKS_M	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6																																											
MYCONID_ATTACKS_L	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8																																											
MYCONID_ATTACKS_H	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6																																											

CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Neogi Traits|PRERACE:1,RACESUBTYPE=Neogi																																													
Neogi Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Common|Undercommon	ABILITY:Special Ability|AUTOMATIC|Neogi ~ Poison|Neogi ~ Skills|Immunity To Mind-Affecting					DEFINE:NeogiAgeCategory|0	DEFINE:NeogiLevelAdjustment|0	DEFINE:NeogiSizeTracker|0												ABILITY:Internal|AUTOMATIC|SIZE_T|FACE_2|REACH_0|PREVAREQ:NeogiSizeTracker,1	ABILITY:Internal|AUTOMATIC|SIZE_M|FACE_5|REACH_5|PREVAREQ:NeogiSizeTracker,2		ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_5|PREVAREQ:NeogiLevelAdjustment,5	ABILITY:Internal|AUTOMATIC|Neogi ~ Spawn|PREVAREQ:NeogiAgeCategory,1	ABILITY:Internal|AUTOMATIC|Neogi ~ Adult|PREVAREQ:NeogiAgeCategory,2				SOURCEPAGE:MM2										ABILITY:Internal|AUTOMATIC|NEOGI_ATTACKS_T|PRESIZEEQ:T	ABILITY:Internal|AUTOMATIC|NEOGI_ATTACKS_S|PRESIZEEQ:S			
Poison	CATEGORY:Special Ability	TYPE:NeogiSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Fort DC %1. Initial: 1d4 points of WIS damage. Secondary: 1d4 points of WIS damage. The save DC is Constitution-based.|PoisonDC	KEY:Neogi ~ Poison									BONUS:VAR|PoisonDC|2|PREFEAT:1,Ability Focus (Poison)									ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2														
Skills	CATEGORY:Special Ability	TYPE:NeogiSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A Neogi uses its Dex score instead of its Str score for Climb and Jump checks.	KEY:Neogi ~ Skills									BONUS:SKILL|Climb,Jump|max(STR,DEX)-STR																		SOURCEPAGE:MM2														
Spawn	CATEGORY:Internal	VISIBLE:NO	KEY:Neogi ~ Spawn	TEMPLATE:Neogi ~ Spawn										AUTO:FEAT|Weapon Finesse																																
Adult	CATEGORY:Internal	VISIBLE:NO	KEY:Neogi ~ Adult	TEMPLATE:Neogi ~ Adult										AUTO:FEAT|Weapon Finesse									ABILITY:Internal|AUTOMATIC|TYPE.WeaponProfSimple																							
NEOGI_ATTACKS_T	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3											BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))																																
NEOGI_ATTACKS_S	CATEGORY:Internal	VISIBLE:NO	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3																																											

CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Slaad Traits|PRERACE:1,RACESUBTYPE=Slaad
Slaad Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Slaad	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance to Fire|Slaad ~ Summon Slaad								BONUS:VAR|AcidResistanceBonus|5|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|5|TYPE=Resistance	BONUS:VAR|ElectricityResistanceBonus|5|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance																	SOURCEPAGE:MM														
Summon Slaad	CATEGORY:Special Ability	TYPE:SlaadSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Slaadi can summon other slaadi much as though casting Summon Monster spell.	KEY:Slaad ~ Summon Slaad																											SOURCEPAGE:MM														

CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Tanar'ri Traits|PRERACE:1,RACESUBTYPE=Tanar'ri																																													
Tanar'ri Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Poison|Resistance To Acid|Resistance To Cold|Resistance to Fire|Tanar'ri ~ Summon Tanar'ri|Tanar'ri ~ Telepathy								BONUS:VAR|AcidResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance																			SOURCEPAGE:MM2														
Telepathy	CATEGORY:Special Ability	TYPE:Tanar'riSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Tanar'ri can communicate telepathically with any creature within %1 feet that has a language.|TelepathyRange	KEY:Tanar'ri ~ Telepathy									BONUS:VAR|TelepathyRange|100									ABILITY:Special Ability|VIRTUAL|Telepathy									SOURCEPAGE:MM2														
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:Tanar'riSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All Tanar'ri can summon other tanar'ri much as though casting Summon Monster spell.	KEY:Tanar'ri ~ Summon Tanar'ri																											SOURCEPAGE:MM2														
																																														
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Xorn Traits|PRERACE:1,RACESUBTYPE=Xorn																																													
Xorn Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Common|Terran	ABILITY:Special Ability|AUTOMATIC|Xorn ~ MM ~ All-Around Vision|Xorn ~ MM ~ Earth Glide																												SOURCEPAGE:MM														
All-Around Vision	CATEGORY:Special Ability	TYPE:XornMMSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A xorn's symmetrically placed eyes allow it to look in any direction, providing a +4 racial bonus on Spot and Search checks. A xorn can't be flanked.	KEY:Xorn ~ MM ~ All-Around Vision									BONUS:SKILL|Spot,Search|4|TYPE=Racial																		SOURCEPAGE:MM														
Earth Glide	CATEGORY:Special Ability	TYPE:XornMMSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A xorn can glide through stone, dirt, or almost any other sort of earth except metal as easily as a fish swims through water. Its burrowing leaves behind no tunnel or hole, nor does it create any ripple or other signs of its presence. A move earth spell cast on an area containing a burrowing xorn flings the xorn back 30 feet, stunning the creature for 1 round unless it succeeds on a DC 15 Fortitude save.	KEY:Xorn ~ MM ~ Earth Glide																											SOURCEPAGE:MM														

CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti Traits|PRERACE:1,RACESUBTYPE=Yuan-Ti																																													
Yuan-Ti Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	AUTO:LANG|Yuan-Ti|Common|Draconic|Abyssal	AUTO:FEAT|Alertness|Blind-Fight	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti ~ Alternate Form|Yuan-Ti ~ Detect Poison																											SOURCEPAGE:MM														
Alternate Form	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All yuan-ti can assume the form of a Tiny to Large Viper as a psionic ability.	KEY:Yuan-Ti ~ Alternate Form																											SOURCEPAGE:MM														
Detect Poison	CATEGORY:Special Ability	TYPE:YuanTiSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:All yuan-ti have the psionic ability to Detect Poison as the spell (caster level 6th).	KEY:Yuan-Ti ~ Detect Poison																											SOURCEPAGE:MM														
