SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																			
																																																																					
###Block: A																																																																					
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells					
Demon (Hezrou).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Demon (Marilith).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Demon (Nalfeshnee).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Demon (Retriever).MOD	BONUS:VAR|FastHealing|5																																																																				
Demon (Succubus).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Demon (Vrock).MOD	TEMPLATE:Tanar'ri	SOURCEPAGE:MM																																																																			
Devil (Barbed (Hamatula)).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Bearded (Barbazu)).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Bone (Osyluth)).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Chain (Kyton)).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Erinyes).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Horned (Cornugon)).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Ice (Gelugon)).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Lemure).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Devil (Pit Fiend).MOD	TEMPLATE:Baatezu	SOURCEPAGE:MM																																																																			
Dire Animal (Dire Ape).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Badger).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Bat).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Bear).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Boar).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Lion).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Rat).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Shark).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Tiger).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Weasel).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Wolf).MOD	RACESUBTYPE:Dire																																																																				
Dire Animal (Dire Wolverine).MOD	RACESUBTYPE:Dire																																																																				
Displacer Beast			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|8|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Move Silently|Hide|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Tentacle,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Distortion	ABILITY:Special Ability|AUTOMATIC|Resistance To Ranged Attack	ABILITY:Special Ability|AUTOMATIC|Displacer Beast Skill							MONSTERCLASS:Magical Beast:6	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:9,18		CR:4	SOURCEPAGE:MM		BONUS:VAR|RangedAttackResistanceBonus|2				
Ghoul (Ghast).MOD	LEVELADJUSTMENT:4																																																																				
Ghoul.MOD	LEVELADJUSTMENT:3																																																																				
Githyanki		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Githyanki	LANGBONUS:Common,Infernal,Draconic,Undercommon								BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|-2													LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Red Dragon Pact						SR:TL+5			MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar	TYPE:Humanoid	TEMPLATE:Humanoid	TEMPLATE:Extraplanar				LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Daze,10+CHA|Mage Hand	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Blur|PRELEVEL:MIN=3	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Dimension Door|PRELEVEL:MIN=6	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Telekinesis,15+CHA|PRELEVEL:MIN=9	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift,17+CHA|PRELEVEL:MIN=9	
Githzerai		FAVCLASS:Monk	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Githzerai	LANGBONUS:Common,Slaad,Undercommon								BONUS:STAT|DEX|6		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2													LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Inertial Armor (Sp)						SR:TL+5			MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar	TYPE:Humanoid	TEMPLATE:Humanoid	TEMPLATE:Extraplanar				LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Daze,10+CHA|Feather Fall|Shatter,12+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift,17+CHA|PRELEVEL:MIN=11				
Leonal (MM)	OUTPUTNAME:[NAME] Guardinal		STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5	VISION:Low-Light		PREALIGN:NG			BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Balance,Hide,Move silently|4|TYPE.Racial				BONUS:STAT|STR|16	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Balance|Concentration|Diplomacy|Hide|Intimidate|Jump|TYPE.Knowledge|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning,*1,1d8|Rake,Weapon.Natural.Melee.Slashing.Extraordinary,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Roar|Rake|Pounce|Improved Grab				ABILITY:Special Ability|AUTOMATIC|Protective Aura		SR:28	DR:10/Evil and Silver		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Good	TYPE:Outsider	TEMPLATE:Outsider|Guardinal	TEMPLATE:Good			HITDICEADVANCEMENT:18,36		CR:12	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Detect Thoughts,12+CHA|Fireball,13+CHA|Hold Monster,15+CHA|Polymorph,14+CHA|Wall of Force,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Heal,16+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=10|Cure Critical Wounds,14+CHA|Neutralize Poison,13+CHA|Remove Disease,13+CHA			
Mind Flayer		FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Undercommon,Telepathy	LANGBONUS:Abyssal,Aquan,Draconic,Dwarven,Elven,Gnome,Infernal,Terran	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Disguise (Act in character)|2|TYPE=Racial				BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|TYPE.Knowledge|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d4			ABILITY:Special Ability|AUTOMATIC|Mind Blast (Sp)|Improved Grab|Extract|Telepathy					SR:25			MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Mind Flayer	TYPE:Aberration	TEMPLATE:Aberration					LEVELADJUSTMENT:7	CR:8	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Charm Monster,14+CHA|Detect Thoughts,12+CHA|Levitate|Plane Shift|Suggestion,13+CHA	BONUS:MISC|SR|TL-HD	DEFINE:TelepathyRange|100			
Mephit (Air).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Dust).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Earth).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Fire).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Ice).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Magma).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Ooze).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Salt).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Steam).MOD	RACESUBTYPE:Mephit																																																																				
Mephit (Water).MOD	RACESUBTYPE:Mephit																																																																				
Mohrg.MOD	LEVELADJUSTMENT:6																																																																				
Mummy.MOD	LEVELADJUSTMENT:5																																																																				
Slaad (Blue)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Darkvision (60')											BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4				MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Slaad Fever|Summon Slaad ~ Blue Slaad	ABILITY:Special Ability|AUTOMATIC|Fast Healing								MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Slaad	TYPE:Outsider	TEMPLATE:Outsider|Slaad	TEMPLATE:Chaotic|Extraplanar			HITDICEADVANCEMENT:12,24	LEVELADJUSTMENT:8	CR:8	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Hold Person,13+CHA|Passwall|Telekinesis,15+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Chaos Hammer,14+CHA	DEFINE:FastHealing|5			
Slaad (Death)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Telepathy								BONUS:STAT|STR|10	BONUS:STAT|DEX|12	BONUS:STAT|CON|10	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8			MONCSKILL:Climb|Concentration|Escape Artist|Hide|Intimidate|Jump|TYPE.Knowledge|Listen|Move silently|Search|Spot|Survival|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,3d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d10		ABILITY:Special Ability|AUTOMATIC|Stun|Summon Slaad ~ Death Slaad	ABILITY:Special Ability|AUTOMATIC|Change Shape|Fast Healing|Telepathy						DR:10/Lawful		MONSTERCLASS:Outsider:15	RACETYPE:Outsider	RACESUBTYPE:Slaad	TYPE:Outsider	TEMPLATE:Outsider|Slaad	TEMPLATE:Chaotic|Extraplanar			HITDICEADVANCEMENT:22,45		CR:13	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Animate Objects|Chaos Hammer,14+CHA|Deeper Darkness|Detect Magic|Dispel Law,15+CHA|Fear,14+CHA|Finger of Death,17+CHA|Fireball,13+CHA|Fly|Identify|Invisibility|Magic Circle against Law|See Invisibility|Shatter,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Circle of Death,16+CHA|Cloak of Chaos,18+CHA|Word of Chaos,17+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=15|Implosion,19+CHA|Power Word Blind	DEFINE:FastHealing|5		
Slaad (Green)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Darkvision (60')											BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|8			BONUS:STAT|CHA|2			MONCSKILL:Climb|Concentration|Hide|Jump|Listen|Move Silently|Search|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Summon Slaad ~ Green Slaad	ABILITY:Special Ability|AUTOMATIC|Change Shape|Fast Healing								MONSTERCLASS:Outsider:9	RACETYPE:Outsider	RACESUBTYPE:Slaad	TYPE:Outsider	TEMPLATE:Outsider|Slaad	TEMPLATE:Chaotic|Extraplanar			HITDICEADVANCEMENT:15,27	LEVELADJUSTMENT:7	CR:9	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Chaos Hammer,14+CHA|Detect Magic|Detect Thoughts,12+CHA|Fear,14+CHA|Protection from Law|See Invisibility|Shatter,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=9|Dispel Law,15+CHA|Deeper Darkness|Fireball,13+CHA	DEFINE:FastHealing|5			
Slaad (Grey)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')											BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Climb|Concentration|Hide|Jump|Knowledge (Arcana)|Listen|Move silently|Search|Spellcraft|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Summon Slaad ~ Grey Slaad	ABILITY:Special Ability|AUTOMATIC|Change Shape|Fast Healing						DR:10/Lawful		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Slaad	TYPE:Outsider	TEMPLATE:Outsider|Slaad	TEMPLATE:Chaotic|Extraplanar			HITDICEADVANCEMENT:15,30	LEVELADJUSTMENT:6	CR:10	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Chaos Hammer|Deeper Darkness|Detect Magic|Identify|Invisibility|Lightning Bolt,13+CHA|Magic circle against Law|See Invisibility|Shatter,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=10|Animate Objects|Dispel Law,15+CHA|Fly	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Power Word Stun	DEFINE:FastHealing|5		
Slaad (Red)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Darkvision (60')											BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Pounce|Implant|Stunning Croak|Summon Slaad ~ Red Slaad	ABILITY:Special Ability|AUTOMATIC|Fast Healing								MONSTERCLASS:Outsider:7	RACETYPE:Outsider	RACESUBTYPE:Slaad	TYPE:Outsider	TEMPLATE:Outsider|Slaad	TEMPLATE:Chaotic|Extraplanar			HITDICEADVANCEMENT:10,21	LEVELADJUSTMENT:6	CR:7	SOURCEPAGE:MM		DEFINE:FastHealing|5				
Vampire Spawn.MOD	LEVELADJUSTMENT:4	RACESUBTYPE:Vampire																																																																			
Wight.MOD	LEVELADJUSTMENT:4																																																																				
Yuan Ti (Abomination)	OUTPUTNAME:[NAME] Yuan-Ti		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,20,Swim,20	FACE:10	REACH:10	VISION:Darkvision (60')			LANGAUTO:Yuan-Ti,Common,Draconic,Abyssal		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|Hide|Listen|Move Silently|Spot	AUTO:FEAT|Shield Proficiency		AUTO:WEAPONPROF|Scimitar|Longbow		VFEAT:Alertness|Blind Fight				LEGS:0	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Poison|Produce Acid|Chameleon Power|Scent	ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab			ABILITY:Special Ability|AUTOMATIC|Yuan Ti Abomination Skill		SR:18			MONSTERCLASS:Monstrous Humanoid:9	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Yuan-Ti|Yuan-Ti Abomination	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid|Yuan Ti					LEVELADJUSTMENT:7	CR:7	SOURCEPAGE:MM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Animal Trance,12+CHA|Entangle,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=10|Deeper Darkness,14+CHA|Neutralize Poison,14+CHA|Suggestion,13+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Baleful Polymorph,14+CHA	SPELLS:Aversion|TIMES=ATWILL|CASTERLEVEL=16|Antipathy,18+CHA		
Yuan Ti (Half Blood)	OUTPUTNAME:[NAME] Yuan-Ti		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Yuan-Ti,Common,Draconic,Abyssal		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|Hide|Listen|Spot	AUTO:FEAT|Shield Proficiency	AUTO:FEAT|Armor Proficiency (Light)	AUTO:WEAPONPROF|Scimitar|Longbow		VFEAT:Alertness|Blind Fight				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison|Produce Acid|Chameleon Power|Scent						SR:16			MONSTERCLASS:Monstrous Humanoid:7	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Yuan-Ti|Yuan-Ti Half-Blood	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid|Yuan Ti					LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Animal Trance,12+CHA|Cause Fear,11+CHA|Entangle,11+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Deeper Darkness|Neutralize Poison,14+CHA|Suggestion,13+CHA				
