SOURCELONG:Pandius	SOURCESHORT:Pnd	SOURCEWEB:http://www.gozzilioni.net																																																															
																																																																	
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	
Horse (Rahedan).MOD																			BONUS:STAT|STR|2		BONUS:STAT|CON|2						MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Winter's Child											ABILITY:Special Ability|AUTOMATIC|Training ~ Horse											RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Heavy).COPY=Horse (Randellyn)																																																																	
Horse (Randellyn).MOD																			BONUS:STAT|STR|2		BONUS:STAT|CON|2		BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Easily Managed																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Heavy).COPY=Horse (Stregger)																																																																	
Horse (Stregger).MOD																					BONUS:STAT|CON|2		BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Jump|Listen|Spot																											RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Medium).COPY=Horse (Cayuse)																																																																	
Horse (Cayuse).MOD					BONUS:MOVEADD|TYPE.Walk|10															BONUS:STAT|DEX|2							MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Skill Focus(Jump)																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Medium).COPY=Horse (Kerendan)																																																																	
Horse (Kerendan).MOD					BONUS:MOVEADD|TYPE.Walk|10															BONUS:STAT|DEX|2							MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Skill Focus(Jump)																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Medium).COPY=Horse (Ytronner)																																																																	
Horse (Ytronner).MOD																											MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Easily Managed																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Light).COPY=Horse (Akhal-Teke)																																																																	
Horse (Akhal-Teke).MOD																				BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|-2	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Grass Trekker																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Light).COPY=Horse (Alasiyan)																																																																	
Horse (Alasiyan).MOD					BONUS:MOVEADD|TYPE.Walk|20															BONUS:STAT|DEX|4			BONUS:STAT|WIS|-2				MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Desert Dweller																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Light).COPY=Horse (Antalian Cob)																																																																	
Horse (Antalian Cob).MOD					BONUS:MOVEADD|TYPE.Walk|-10															BONUS:STAT|DEX|2							MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Winter's Child																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Pony.COPY=Pony (Cabalsaw)																																																																	
Pony (Cabalsaw).MOD	OUTPUTNAME:Pony, [NAME]				BONUS:MOVEADD|TYPE.Walk|20																						MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Alertness									NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d3													RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Pony.COPY=Pony (Ostlandic)																																																																	
Pony (Ostlandic).MOD	OUTPUTNAME:Pony, [NAME]				BONUS:MOVEADD|TYPE.Walk|20																						MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Winter's Child																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Heavy).COPY=Horse (Percherval)																																																																	
Horse (Percherval).MOD																					BONUS:STAT|CON|2		BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Easily Managed																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Medium).COPY=Horse (Elstrick)																																																																	
Horse (Elstrick).MOD																											MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Great Fortitude																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Light).COPY=Horse (Arapaloosa)																																																																	
Horse (Arapaloosa).MOD																				BONUS:STAT|DEX|2							MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Skill Focus(Climb)																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Light).COPY=Horse (Painted)																																																																	
Horse (Painted).MOD					BONUS:MOVEADD|TYPE.Walk|-10															BONUS:STAT|DEX|2			BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Alertness																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Pony.COPY=Pony (Cruth Mountain)																																																																	
Pony (Cruth Mountain).MOD																			BONUS:STAT|STR|2	BONUS:STAT|DEX|2							MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Peak Hopper																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Heavy).COPY=Horse (Tilsdale)																																																																	
Horse (Tilsdale).MOD																			BONUS:STAT|STR|2		BONUS:STAT|CON|2						MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Great Fortitude																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Medium).COPY=Horse (Guadalante)																																																																	
Horse (Guadalante).MOD																				BONUS:STAT|DEX|2			BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Easily Managed																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Pony.COPY=Pony (Thothian)																																																																	
Pony (Thothian).MOD					BONUS:MOVEADD|TYPE.Walk|-10														BONUS:STAT|STR|-2				BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Easily Managed																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Pony.COPY=Pony (Krugel)																																																																	
Pony (Krugel).MOD																			BONUS:STAT|STR|2	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-2			MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Peak Hopper																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Pony.COPY=Pony (Rochuin/Lesser)																																																																	
Pony (Rochuin/Lesser).MOD	OUTPUTNAME:Pony, Lesser Rochuin				BONUS:MOVEADD|TYPE.Walk|10															BONUS:STAT|DEX|2			BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Weapon Finesse																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
Horse (Heavy).COPY=Horse (Bombfar)																																																																	
Horse (Bombfar).MOD																			BONUS:STAT|STR|2	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4						MONCSKILL:Balance|Climb|Jump|Listen|Spot					AUTO:FEAT|Toughness																						RACESUBTYPE:Horse									SOURCEPAGE:Pnd		
