SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Fiendish Quickening			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, Fiend	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's ability to teleport without error is quickened.	SOURCEPAGE:BoVD									
Flesh Armor			TYPE:Divine	CLASSES:Assassin=4		SCHOOL:Abjuration		DESCRIPTOR:Evil	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Caster gains DR 10/+1 (10/magic)	SOURCEPAGE:BoVD									
Flesh Ripper			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V, S, Undead, Fiend	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Black claw deals 1d8 damage/level and critical hits deal bleeding wounds.	SOURCEPAGE:BoVD									
Glimpse of Truth			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Divination		DESCRIPTOR:Evil	COMPS:V, S, Drug	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour	SAVEINFO:None	SPELLRES:No	DESC:Caster gets an answer to a yes-or-no question. Drug: Mordayn Vapor	SOURCEPAGE:BoVD									
Graz'zt's Long Grasp			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's hand flies from her arm to make grapple attacks.	SOURCEPAGE:BoVD									
Grim Revenge			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, Undead	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one living humanoid		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Tears hand from target, dealing 6d6 damage, then hand attacks target.	SOURCEPAGE:BoVD									
Gutwrench			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	COMPS:V, S, Undead	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Kills subject and gives caster 4d6 temporary hit points and +4 STR.	SOURCEPAGE:BoVD									
Heartache			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject helpless for 1 round.	SOURCEPAGE:BoVD									
Heartclutch			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:the heart of one creature		DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Subject dies in 1d3 rounds or take 3d6 damage ++1/level. Disease: Soul Rot	SOURCEPAGE:BoVD									
Hellfire			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft radius spread		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Explosion of brimstone deals 3d6 damage in 5-ft radius.	SOURCEPAGE:BoVD									
Hellfire Storm			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius spread		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Explosion of brimstone deals 5d6 damage in 20-ft radius.	SOURCEPAGE:BoVD									
Hell's Power			TYPE:Arcane.Divine	CLASSES:Blackguard=3|Cleric=4|Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M, Devil	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +2 AC and +1 to existing DR.	SOURCEPAGE:BoVD									
Identify Transgressor			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Divination		DESCRIPTOR:Evil	COMPS:V, S, Drug, Location	CASTTIME:10 minutes	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Caster learns the identity of one person. Drug: Vodare. Location: an area under the effect of a Desecrate or Unhallw spell.	SOURCEPAGE:BoVD									
Impotent Possessor			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one possessing creature		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject that can possess creatures is rendered powerless.	SOURCEPAGE:BoVD									
Imprison Possessor			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one possessing creature and its host		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject that can possess creatures is trapped in current body.	SOURCEPAGE:BoVD									
Imprison Soul			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:No	DESC:Traps soul in a small object, and victim takes 1d4 CON damage/day.	SOURCEPAGE:BoVD									
Liquid Pain			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Necromancy			COMPS:V, S, F	CASTTIME:1 day	RANGE:Touch	TARGETAREA:one living creature		DURATION:Permanent	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Extracts one dose of liquid pain from tortured victim.	SOURCEPAGE:BoVD									
Masochism			TYPE:Arcane.Divine	CLASSES:Assassin=3|Blackguard=3|Cleric=3|Sorcerer,Wizard=2		SCHOOL:Enchantment		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:For every 10 hp damage caster takes, he gains +1 on attacks, saves and checks.	SOURCEPAGE:BoVD									
Mindrape			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Caster learns everything subject knows and can alter its memory or knowledge.	SOURCEPAGE:BoVD									
Mirror Sending			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:See text	RANGE:See text	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Caster sends her image to a mirror and can see and speak through it.	SOURCEPAGE:BoVD		COST:1000							
Morality Undone			TYPE:Divine	CLASSES:Bard=5|Cleric=5		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one nonevil creature		DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject becomes evil.	SOURCEPAGE:BoVD									
