SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net																																										
																																												
# BASICS																																												
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page			
Improved Disarm.MOD	TYPE:ViolentKnowledge																																											
Improved Initiative.MOD	TYPE:ViolentKnowledge																																											
Improved Trip.MOD	TYPE:ViolentKnowledge																																											
Improved Two Weapon Fighting.MOD	TYPE:ViolentKnowledge																																											
Improved Unarmed Strike.MOD	TYPE:ViolentKnowledge																																											
Mobility.MOD	TYPE:ViolentKnowledge																																											
Mounted Archery.MOD	TYPE:ViolentKnowledge																																											
Mounted Combat.MOD	TYPE:ViolentKnowledge																																											
Point Blank Shot.MOD	TYPE:ViolentKnowledge																																											
Power Attack.MOD	TYPE:ViolentKnowledge																																											
Precise Shot.MOD	TYPE:ViolentKnowledge																																											
Quick Draw.MOD	TYPE:ViolentKnowledge																																											
Rapid Shot.MOD	TYPE:ViolentKnowledge																																											
Ride By Attack.MOD	TYPE:ViolentKnowledge																																											
Shot on the Run.MOD	TYPE:ViolentKnowledge																																											
Spirited Charge.MOD	TYPE:ViolentKnowledge																																											
Spring Attack.MOD	TYPE:ViolentKnowledge																																											
Stunning Fist.MOD	TYPE:ViolentKnowledge																																											
Improved Sunder.MOD	TYPE:ViolentKnowledge																																											
Trample.MOD	TYPE:ViolentKnowledge																																											
Two Weapon Fighting.MOD	TYPE:ViolentKnowledge																																											
Weapon Finesse.MOD	TYPE:ViolentKnowledge																																											
Weapon Focus.MOD	TYPE:ViolentKnowledge																																											
Weapon Specialization.MOD	TYPE:ViolentKnowledge																																											
Whirlwind Attack.MOD	TYPE:ViolentKnowledge																																											
