SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net													
#															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE			
1	BONUS:VAR|AlignmentAuraBase|CL	DEFINE:AlignmentAuraBase|0		ABILITY:Special Ability|VIRTUAL|Aura of Chaos|PREDEITYALIGN:CG,CN,CE											
1				ABILITY:Special Ability|VIRTUAL|Aura of Evil|PREDEITYALIGN:LE,NE,CE											
1				ABILITY:Special Ability|VIRTUAL|Aura of Good|PREDEITYALIGN:LG,NG,CG											
1				ABILITY:Special Ability|VIRTUAL|Aura of Law|PREDEITYALIGN:LG,LN,LE											
#															
1	CAST:0,0					BONUS:DOMAIN|NUMBER|1									
2	CAST:0,1,0														
3	CAST:0,2,1,0			ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity			BONUS:VAR|ElectricityResistanceBonus|5								
4	CAST:0,2,2,1,0						BONUS:VAR|WeapSpecQualify|CL	BONUS:ABILITYPOOL|Deity Weapon Proficiency|1							
5	CAST:0,3,2,2,1,0														
6	CAST:0,3,3,2,2,1,0			ABILITY:Special Ability|AUTOMATIC|Resistance To Acid			BONUS:VAR|AcidResistanceBonus|5								
7	CAST:0,3,3,3,2,2,1,0			VISION:Darkvision (60')											
8	CAST:0,3,3,3,3,2,2,1,0														
9	CAST:0,3,3,3,3,3,2,2,1,0						BONUS:VAR|ElectricityResistanceBonus|5	BONUS:VAR|AcidResistanceBonus|5							
10	CAST:0,3,3,3,3,3,3,2,2,1			ABILITY:Special Ability|AUTOMATIC|Divine Crusader Perfect Self											
#															
CLASS:Ex Divine Crusader	HD:8	TYPE:Prestige	ABB:xDic	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/3*4|TYPE=Base.REPLACE			VISIBLE:NO			
CLASS:Ex Divine Crusader	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Intimidate|Jump|Knowledge (Religion)|Ride|Swim													
1															
#															
CLASS:Divine Oracle	HD:6	TYPE:Prestige	ABB:Ora	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE						
CLASS:Divine Oracle	PRESKILL:1,Knowledge (Religion)=8	PREFEAT:1,Skill Focus(Knowledge (Religion))	PRESPELLSCHOOL:2,Divination=1												
CLASS:Divine Oracle	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Heal|Intimidate|Jump|Knowledge (Arcana)|Knowledge (Religion)|TYPE.Profession|Spellcraft													
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Scry Bonus|Divine Oracle Scry Bonus		DOMAIN:Oracle	BONUS:DOMAIN|NUMBER|1								
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Trap Sense Ability|Divine Oracle Trap Sense|Prescient Sense			BONUS:VAR|DivineOracleTrapSenseLVL|CL								
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Divination Enhancement											
4	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base			BONUS:VAR|UncannyDodgeFlankingLevel|CL|TYPE=EachClass.STACK	BONUS:VAR|UncannyDodgeLevel|1							
5	ADD:SPELLCASTER|ANY														
6	ADD:SPELLCASTER|ANY							BONUS:VAR|UncannyDodgeLevel|1							
7	ADD:SPELLCASTER|ANY														
8	ADD:SPELLCASTER|ANY														
9	ADD:SPELLCASTER|ANY														
10	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Immunity to Surprise											
#															
CLASS:Entropomancer	HD:8	TYPE:Prestige.Oriental	ABB:Epm	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/3*4|TYPE=Base.REPLACE						
CLASS:Entropomancer	PREALIGN:LN,LE,TN,NE,CN,CE	PRESKILL:2,Concentration=5,Knowledge (Arcana)=5	PREFEAT:2,Great Fortitude,Magical Aptitude	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=4										
CLASS:Entropomancer	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Heal|Intimidate|Knowledge (Arcana)|Knowledge (Local)|Knowledge (Religion)|TYPE.Profession|Spellcraft						DEFINE:EntropicFieldTimes|0							
1				ABILITY:Special Ability|AUTOMATIC|Shard of Entropy|Entropomancer Shard of Entropy			BONUS:VAR|ShardOfEntropyLVL|CL								
2	ADD:SPELLCASTER|Divine														
3				ABILITY:Special Ability|AUTOMATIC|Entropic Shield|Entropomancer Entropic Shield			BONUS:VAR|EntropicFieldLVL|CL								
4	ADD:SPELLCASTER|Divine														
5															
6	ADD:SPELLCASTER|Divine														
7															
8	ADD:SPELLCASTER|Divine														
9															
10	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Control Sphere											
#															
CLASS:Evangelist	HD:6	TYPE:Prestige	ABB:Eva	MAXLEVEL:5	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/3*4|TYPE=Base.REPLACE						
CLASS:Evangelist	PRESKILL:1,Bluff=8	PRESKILL:3,Gather Information=5,Knowledge (Religion)=5,Sense Motive=5	PRESKILL:1,Perform (Oratory)=6	PREFEAT:1,Negotiator,Persuasive											
CLASS:Evangelist	STARTSKILLPTS:6	CSKILL:Bluff|TYPE.Craft|Diplomacy|Disguise|Escape Artist|Intimidate|TYPE.Knowledge|Listen|TYPE.Perform|TYPE.Profession|Sense Motive|Speak Language													
1				ABILITY:Special Ability|AUTOMATIC|Great Oratory ~ Base|Evangelist Great Oratory			BONUS:VAR|GreatOratoryLVL|CL	BONUS:ABILITYPOOL|Great Oratory|1							
2				ABILITY:Special Ability|AUTOMATIC|Fast Talk											
3								BONUS:ABILITYPOOL|Great Oratory|1							
4								BONUS:ABILITYPOOL|Skill Mastery|1+INT
5								BONUS:ABILITYPOOL|Great Oratory|1							
#															
CLASS:Geomancer	HD:6	TYPE:Prestige	ABB:Geo	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/3*4|TYPE=Base.REPLACE						
CLASS:Geomancer	PRESKILL:2,Knowledge (Arcana)=6,Knowledge (Nature)=6	PRESPELLCAST:TYPE=Arcane,TYPE=Divine	PRESPELLTYPE:1,Arcane=1	PRESPELLTYPE:1,Divine=1											
CLASS:Geomancer	STARTSKILLPTS:4	CSKILL:Climb|Concentration|TYPE.Craft|Diplomacy|Handle Animal|Heal|Knowledge (Arcana)|Knowledge (Nature)|Spellcraft|Survival|Swim													
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Spell Versatility			BONUS:VAR|GeomancerSpellVersatilityLVL|CL	BONUS:ABILITYPOOL|Geomancer Drift|1							
2	ADD:SPELLCASTER|ANY						BONUS:ABILITYPOOL|Geomancer Ley Line|1	BONUS:ABILITYPOOL|Geomancer Drift|1							
3	ADD:SPELLCASTER|ANY							BONUS:ABILITYPOOL|Geomancer Drift|1							
4	ADD:SPELLCASTER|ANY							BONUS:ABILITYPOOL|Geomancer Drift|1							
5	ADD:SPELLCASTER|ANY							BONUS:ABILITYPOOL|Geomancer Drift|1							
6	ADD:SPELLCASTER|ANY						BONUS:ABILITYPOOL|Geomancer Ley Line|1	BONUS:ABILITYPOOL|Geomancer Drift|1							
7	ADD:SPELLCASTER|ANY							BONUS:ABILITYPOOL|Geomancer Drift|1							
8	ADD:SPELLCASTER|ANY							BONUS:ABILITYPOOL|Geomancer Drift|1							
9	ADD:SPELLCASTER|ANY							BONUS:ABILITYPOOL|Geomancer Drift|1							
10	ADD:SPELLCASTER|ANY						BONUS:ABILITYPOOL|Geomancer Ley Line|1	BONUS:ABILITYPOOL|Geomancer Drift|1							
#															
CLASS:Holy Liberator	HD:10	TYPE:Prestige	ABB:Hli	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE	EXCLASS:Ex Holy Liberator					
CLASS:Holy Liberator	PREALIGN:CG	PREATT:5	PRESKILL:2,Diplomacy=5,Sense Motive=5	PREFEAT:1,Iron Will											
CLASS:Holy Liberator	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Handle Animal|Heal|Intimidate|Knowledge (Religion)|TYPE.Profession|Ride|Sense Motive	SPELLSTAT:WIS	SPELLTYPE:Divine		KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Holy Liberator|CL+classlevel("Paladin")+classlevel("Ex Paladin")	SPELLLIST:2|Holy Liberator|Paladin							
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Holy Liberator
#															
1	PROHIBITSPELL:ALIGNMENT.Lawful									DEFINE:AllowHolyAvenger|1					
#															
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Aura of Good|Detect Evil|Smite Evil|Holy Liberator Smite Evil			BONUS:VAR|AuraGood|CL	BONUS:VAR|DetectEvilLVL|CL	BONUS:VAR|HolyLiberatorSmiteEvilLVL|CL+classlevel("Paladin")+classlevel("Ex Paladin")						
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Remove Fatigue											
3	CAST:0,1,0			ABILITY:Special Ability|AUTOMATIC|Aura of Resolve											
4	CAST:0,1,1			ABILITY:Special Ability|AUTOMATIC|Divine Grace|Break Enchantment|Holy Liberator Break Enchantment			BONUS:VAR|HolyLiberatorBreakEnchantmentLVL|CL								
5	CAST:0,1,1,0														
6	CAST:0,1,1,1			ABILITY:Special Ability|AUTOMATIC|Celestial Companion			BONUS:VAR|CelestialCompanionLVL|CL								
7	CAST:0,2,1,1,0														
8	CAST:0,2,1,1,1														
9	CAST:0,2,2,1,1														
10	CAST:0,2,2,2,1														
#															
CLASS:Ex Holy Liberator	HD:10	TYPE:Prestige	ABB:xHli	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			VISIBLE:NO			
CLASS:Ex Holy Liberator	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Handle Animal|Heal|Intimidate|Knowledge (Religion)|TYPE.Profession|Ride|Sense Motive													
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Holy Liberator
#															
###TODO CONTIGUOUS:Paladin															
CLASS:Hospitaler	HD:8	TYPE:Prestige	ABB:Hos	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE	EXCLASS:Ex Hospitaler					
CLASS:Hospitaler	PREALIGN:LG,LN,LE,NG,TN,NE	PREATT:5	PRESKILL:2,Handle Animal=5,Ride=5	PREFEAT:1,Mounted Combat,Ride By Attack	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1									
CLASS:Hospitaler	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Handle Animal|Heal|Knowledge (Religion)|TYPE.Profession|Ride													
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Hospitaler
#															
1				ABILITY:Special Ability|AUTOMATIC|Lay on Hands			BONUS:VAR|LayOnHandsLVL|CL	BONUS:ABILITYPOOL|Fighter Feat|1							
2	ADD:SPELLCASTER|Divine														
3	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Remove Disease|Hospitaler Remove Disease			BONUS:VAR|HospitalerRemoveDiseaseLVL|CL								
4	ADD:SPELLCASTER|Divine														
5								BONUS:ABILITYPOOL|Fighter Feat|1							
6	ADD:SPELLCASTER|Divine														
7	ADD:SPELLCASTER|Divine														
8	ADD:SPELLCASTER|Divine														
9								BONUS:ABILITYPOOL|Fighter Feat|1							
10	ADD:SPELLCASTER|Divine														
#															
CLASS:Ex Hospitaler	HD:8	TYPE:Prestige	ABB:xHos	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			VISIBLE:NO			
CLASS:Ex Hospitaler	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Handle Animal|Heal|Knowledge (Religion)|TYPE.Profession|Ride													
#															
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Hospitaler
#															
CLASS:Pious Templar	HD:10	TYPE:Prestige	ABB:Pte	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE					ALLOWBASECLASS:NO	
CLASS:Pious Templar	PREATT:5	PRESKILL:1,Knowledge (Religion)=4	PREFEAT:2,True Believer,Weapon Focus	PRETEXT:Weapon focus in deity's favored weapon											
CLASS:Pious Templar	STARTSKILLPTS:2	CSKILL:Climb|Concentration|TYPE.Craft|Heal|Jump|Knowledge (Religion)|TYPE.Profession|Swim								
CLASS:Pious Templar	SPELLSTAT:WIS	SPELLTYPE:Divine	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Pious Templar|CL
#															
SUBCLASS:Pious Templar Paladin	COST:0	PREALIGN:LG,LN,NG,TN,CG,CN	SPELLLIST:1|Paladin
SUBCLASS:Pious Templar Blackguard	COST:0	PREALIGN:LE,LN,NE,TN,CE,CN	SPELLLIST:1|Blackguard
#															
1				ABILITY:Special Ability|AUTOMATIC|Pious Templar Level Advanced Feat Tracker			BONUS:VAR|PiousTemplarLVL|CL								
1				ABILITY:Special Ability|AUTOMATIC|Pious Templar Weapon Specialization Qualify											
#															
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Mettle											
