SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net														
																
#Rod of Reversal	COST:132000															
#Rod of Recluse	COST:33600															
																
###Block																
Rod of Reversal		TYPE:Magic.Rod.Relic	COST:132000	WT:5.00	BASEITEM:Rod	SOURCEPAGE:CD	PREDEITY:1,Boccob	MODS:NO	ABILITY:Special Ability|VIRTUAL|Rod of Reversal Ability							
Staff (Oaken Battle)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:13500	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Pain)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:27844	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Planar Defence)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:44344	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Saintly/Lesser)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:28266	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Saintly/Greater)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:78750	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Soul-Ward)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:82417	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Storms)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:118125	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (True Belief)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:31688	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Vaporous Menace)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:40094	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Wanton/Lesser)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:28266	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (the Wanton/Greater)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:78750	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
Staff (Winds)	OUTPUTNAME:Staff of [NAME]	TYPE:Magic.Staff	COST:37969	WT:5.00	BASEITEM:Staff	SOURCEPAGE:CD	EQMOD:CHARGED_ITEM_50|CHARGES[50]									
