SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Blast of Force			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Ray deals 1d6 damage/2 caster level (max 5d6)	SOURCEPAGE:CD								
Blessed Aim			TYPE:Divine	CLASSES:Blackguard=2|Cleric=3|Paladin=2		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:60-ft-spread, centered on you		DURATION:Concentration	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:+2 bonus for allies' ranged attacks	SOURCEPAGE:CD								
Blessing of Bahamut			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain damage reduction 1'/magic	SOURCEPAGE:CD								
Blink (Improved)	OUTPUTNAME:Blink, Improved		TYPE:Arcane.Divine	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Blink, But safer and with control	SOURCEPAGE:CD								
Body of the Sun			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:5 ft.	TARGETAREA:5-ft-radius emanation centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your body emanates fire, dealing 1d4+1 damage	SOURCEPAGE:CD								
#Bolt of Glory			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Positive energy ray deals extra damage to evil outsiders and undead	SOURCEPAGE:CD								
Bolt of Glory.MOD	DESC:Positive energy ray deals extra damage to evil outsiders and undead	SOURCEPAGE:CD																								
#Bolts of Bedevilment			TYPE:Divine			SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:One ray/round, dazes 1d3 rounds	SOURCEPAGE:CD								
Bolts of Bedevilment.MOD	SOURCEPAGE:CD
Bottle of Smoke			TYPE:Divine	CLASSES:Druid=4|Ranger=3		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One smokey, horselike creature		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Uncorking bottle creates fast horse made of smoke	SOURCEPAGE:CD		COST:50						
#Brain Spider			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Divination		DESCRIPTOR:Mind-Affecting	COMPS:V, S, M, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:Up to eight living creatures within range		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Listen to thoughts of up to eight other creatures	SOURCEPAGE:CD								
Brain Spider.MOD	DESC:Listen to thoughts of up to eight other creatures	SOURCEPAGE:CD																								
Brambles			TYPE:Divine	CLASSES:Cleric=2|Druid=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Wooden weapon touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Wooden weapon grows spikes that deal +1 damage/caster level (max +10)	SOURCEPAGE:CD								
Briar Web			TYPE:Divine	CLASSES:Cleric=3|Druid=2|Ranger=2		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Plants in a 20-ft radius spread		DURATION:1 minute/level	SAVEINFO:Reflex negates; See text	SPELLRES:No	DESC:Area entangles creatures and thorns deal 2d6 damage	SOURCEPAGE:CD								
Brilliant Aura			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:1 person per 2 levels, all of whom must be within 30-ft of each other		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Allies' weapons become brilliant energy, ignoring armor	SOURCEPAGE:CD								
Camouflage			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Grants +10 bonus on hide checks	SOURCEPAGE:CD								
Camouflage (Mass)	OUTPUTNAME:Campuflage, Mass		TYPE:Divine	CLASSES:Druid=4|Ranger=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Any number of creatures, no two of wich can be more that 60-ft apart		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As Camouflage, but multiple targets	SOURCEPAGE:CD								
Castigate			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft-radius emanation		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Verbal rebuke deafens all who hear and damages those whose alignment differs from yours	SOURCEPAGE:CD								
Chain of Eyes			TYPE:Divine	CLASSES:Cleric=3|Druid=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You send magical sensor to infiltrate an area	SOURCEPAGE:CD								
Cloudburst			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Evocation		DESCRIPTOR:Water	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:100-ft-radius emanation		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Hampers vision and ranged attacks, puts out normal fires	SOURCEPAGE:CD								
Cloudwalkers			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of wich can be more than 30-ft apart		DURATION:1 hour/level	SAVEINFO:Reflex negates (harmless)	SPELLRES:Yes	DESC:Targets can walk on clouds, flying at high altitudes	SOURCEPAGE:CD								
Cometfall			TYPE:Divine	CLASSES:Cleric=6|Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:400-pound ball of rock and ice		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:Comet falls atop foes, damaging them and knocking them prone	SOURCEPAGE:CD								
Contagious Touch			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You infect one creature per round with chosen disease	SOURCEPAGE:CD								
Creeping Cold			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:3 rounds	SAVEINFO:Fort half	SPELLRES:Yes	DESC:Creature feels chill that increases with each round	SOURCEPAGE:CD		COST:25						
Creeping Cold (Greater)	OUTPUTNAME:Creeping Cold, Greater		TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation		DESCRIPTOR:Cold	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:See text	SAVEINFO:Fort half	SPELLRES:Yes	DESC:As Creeping Cols, but longer duration and more damage	SOURCEPAGE:CD		COST:25						
#Crown of Glory			TYPE:Divine			SCHOOL:Evocation			COMPS:V, S, M, DF	CASTTIME:1 full round	RANGE:120 ft.	TARGETAREA:120-ft-radius emanation, centered on you		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You gain +4 CHA and enthrall those who hear you	SOURCEPAGE:CD		COST:200						
Crown of Glory.MOD	SOURCEPAGE:CD
Crumble			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One structure or construct		DURATION:Instantaneous	SAVEINFO:Fort partial (Object)	SPELLRES:Yes	DESC:You erode building or other structure	SOURCEPAGE:CD								
Curse of Ill Fortune			TYPE:Divine	CLASSES:Blackguard=2|Cleric=2		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target suffer -3 penalty on attacks, checks and saves	SOURCEPAGE:CD								
Curse of Lycanthropy			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Humanoid touched		DURATION:Permanent; See text	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Cause temporary lycanthropy in subject	SOURCEPAGE:CD								
Dance of the Unicorn			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Puryfing mist washes the air clean of smoke, dust and poisons	SOURCEPAGE:CD								
Death Pact			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M, DF, XP	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched		DURATION:Permanent, until triggered	SAVEINFO:None	SPELLRES:No	DESC:Deity brings you back from the dead automatically	SOURCEPAGE:CD		COST:500	XPCOST:250					
Decomposition			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:50 ft.	TARGETAREA:All enemies within 50-ft-radius emanation centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Wounds deal 1 extra point of damage each round	SOURCEPAGE:CD								
Deific Vengeance			TYPE:Divine	CLASSES:Cleric=2		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will half	SPELLRES:Yes	DESC:God's punishment deals 1d6 damage/2 caster levels (max 5d6)	SOURCEPAGE:CD								
Detect Favored Enemy			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Quarter circle emanating from you to the extent of the range		DURATION:Concentration, up to 10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You know if favored enemies are within 60 ft	SOURCEPAGE:CD								
Divine Agility			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:You improve creature's Reflex saves, Dexterity and maneuverability in combat	SOURCEPAGE:CD								
Divine Sacrifice			TYPE:Divine	CLASSES:Blackguard=1|Paladin=1		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You sacrifice hit points to deal extra damage	SOURCEPAGE:CD								
Doomtide			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Illusion	SUBSCHOOL:Pattern		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:80 ft.	TARGETAREA:Eight 10-ft cubes extending from the caster's location		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Black mist obscures sight, dazes those inside	SOURCEPAGE:CD								
Dragon Breath			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Good|Evil	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You choose a dragon type and mimic its breath weapon	SOURCEPAGE:CD								
Dream Sight			TYPE:Divine			SCHOOL:Divination			COMPS:S, DF	CASTTIME:1 full round	RANGE:See text	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Your spirit can hear and see at a distance for 1 min/level	SOURCEPAGE:CD								
Energy Vortex			TYPE:Divine	CLASSES:Cleric=4|Druid=4		SCHOOL:Evocation		DESCRIPTOR:Air|Cold|Fire|Electricity|Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:All creature within 20-ft-radius burst centered on you		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Burst of energy centered on you damages nearby creatures	SOURCEPAGE:CD								
Enveloping Cocoon			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cocoon of force around one Large or smaller creature		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Entraps target creature and denies save for attached spell	SOURCEPAGE:CD								
Fire Wings			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M, F	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Your amrs become wings that enable flight, deals 2d6 fire damage	SOURCEPAGE:CD								
Fires of Purity			TYPE:Arcane.Divine	CLASSES:Druid=6|Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Reflex negates (harmless); See text	SPELLRES:Yes	DESC:Target bursts into flame, becoming a dangerous weapon	SOURCEPAGE:CD								
Flame of Faith			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Nonmagical weapon touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gives weapon the flaming burst quality	SOURCEPAGE:CD								
Forestfold			TYPE:Divine	CLASSES:Druid=4|Ranger=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You gain +20 on Hide and Move Silently checks as long as you don't move away	SOURCEPAGE:CD								
Golden Barding			TYPE:Divine	CLASSES:Blackguard=1|Paladin=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Special mount touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Your mount gets force armor	SOURCEPAGE:CD								
Hawkeye			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You gain +5 on spot checks and fire ranged weapons better	SOURCEPAGE:CD								
Implacable Pursuer			TYPE:Divine	CLASSES:Blackguard=4|Ranger=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 minute	RANGE:Long	TARGETAREA:One creature		DURATION:1 hour/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:You know where prey is, as long as it's moving	SOURCEPAGE:CD								
Infestation of Maggot			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/2 level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Touch attack deals 1d4 CON per round	SOURCEPAGE:CD								
Languor			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Ray slows target and diminishes its strength	SOURCEPAGE:CD								
Last Breath			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Dead creature touched		DURATION:Instantaneous	SAVEINFO:None (harmless); See text	SPELLRES:Yes	DESC:Return a dead creature to 0 hp if died the round before.	SOURCEPAGE:CD								
#Maddening Scream			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1d4+1 rounds	SAVEINFO:None	SPELLRES:Yes	DESC:Subject has -4 AC, no shield, Reflex save on 20 only.	SOURCEPAGE:CD								
Maddening Scream.MOD	DESC:Subject has -4 AC, no shield, Reflex save on 20 only.	SOURCEPAGE:CD
Maelstrom			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:A whirlpool 120-ft wide and 60-ft deep		DURATION:1 round/level	SAVEINFO:Reflex negates; See text	SPELLRES:No	DESC:Causes a deadly vortex to form in water	SOURCEPAGE:CD								
Mark of the Hunter			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature, wich must be a favored enemy of the caster		DURATION:10 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Rune on creature makes it easier to track and attack	SOURCEPAGE:CD								
Miasma			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:3 rounds/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Gas fills creature's mouth, suffocating it	SOURCEPAGE:CD								
Monstrous Thrall			TYPE:Divine			SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, XP	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As True Domination, but permanent and affects any creature.	SOURCEPAGE:CD			XPCOST:500					
Murderous Mist			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cloud that spreads in 30-ft radius, 20-ft high		DURATION:1 round/level	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Stram deals 2d6 damage, blinds creatures	SOURCEPAGE:CD								
Nature's Avatar			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Animal gains +10 on attack and damage, extra attack, and 1d8 hp/caster level	SOURCEPAGE:CD								
Nature's Favor			TYPE:Divine	CLASSES:Druid=3|Ranger=2		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target animal gains an attack and damage bonus of +1/2 level	SOURCEPAGE:CD								
Naturewatch			TYPE:Divine	CLASSES:Druid=0|Ranger=1		SCHOOL:Necromancy			COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Quarter circle emanating from you to the extent of the range		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As Deathwatch, but on animals and plants	SOURCEPAGE:CD								
Nimbus of Light			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Sunlight illuminates you until released as an attack for 1d8+1/level damage	SOURCEPAGE:CD								
Obedient Avalanche			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius avalanche of snow, centered anywhere within range		DURATION:Instantaneous	SAVEINFO:Reflex half; See text	SPELLRES:No	DESC:Snowy avalanche crushes and buries your foes	SOURCEPAGE:CD								
Omen of Peril			TYPE:Divine	CLASSES:Cleric=1|Druid=1		SCHOOL:Divination			COMPS:V, F	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You know how dangerous the future will be	SOURCEPAGE:CD		COST:25						
Otyugh Swarm			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Three or more otyughs, no two of wich are more than 30-ft apart		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Creates 3d4 otyughs or 1d3+1 Huge Otyughs	SOURCEPAGE:CD								
Pavillon of Grandeur			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:Extradimensional pavillon, up to five 10-ft cubes/level, plus feast for 12 creatures/level		DURATION:1 day/level + 12 hours	SAVEINFO:None	SPELLRES:No	DESC:A feast and a great pavillion are created	SOURCEPAGE:CD								
Phantasmal Decoy			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:Yes	DESC:Creates illusory enemy for foe to chase	SOURCEPAGE:CD								
Phantasmal Disorientation			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature		DURATION:10 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Fools creature's sense of direction, making movement difficult	SOURCEPAGE:CD								
Phantom Bear			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One summoned phantom bear		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Incorporeal bear fights for you	SOURCEPAGE:CD								
Phantom Stag			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:One quasi-real, staglike creature		DURATION:1 hour/level	SAVEINFO:None; See text	SPELLRES:No	DESC:Magic stag appears for 1 hour/level	SOURCEPAGE:CD								
Phantom Wolf			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:One summoned phantom wolf		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Incorporeal wolf fights for you	SOURCEPAGE:CD								
Plague of Rats			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Swarm of dire rats in a 20-ft spread		DURATION:1 round/level	SAVEINFO:None; See text	SPELLRES:Yes	DESC:Summons horde of diseased rats	SOURCEPAGE:CD								
