SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																															
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Radiant Servant Positive Energy Burst	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:2 turning attempts					DEFINE:RspPositiveBurstLVL|0					BONUS:VAR|PositiveEnergyBurstDC|RspPositiveBurstLVL|TYPE=LevelBurst.REPLACE	BONUS:VAR|PositiveEnergyDie|RspPositiveBurstLVL|TYPE=LevelBurst.STACK																	SOURCEPAGE:CD	
Rainbow Servant Couatl Wings	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:RainbowServantCouatlWingsLVL|0					BONUS:VAR|CouatlWingsDuration|RainbowServantCouatlWingsLVL																		SOURCEPAGE:CD	
Sacred Exorcist Turning	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:AllowExtraTurning|1	DEFINE:AllowImprovedTurning|1				BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base																	SOURCEPAGE:CD	
Sacred Exorcist Chosen Foe	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SacredExorcistChosenFoeLVL|0					BONUS:VAR|ChosenFoes|1	BONUS:VAR|ChosenFBonuses|SacredExorcistChosenFoeLVL/3																	SOURCEPAGE:CD	
Sacred Exorcist Dispel Evil	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SacredExorcistDispelEvilLVL|0					BONUS:VAR|DispelEvilTimes|(SacredExorcistDispelEvilLVL-1)/3																		SOURCEPAGE:CD	
Sacred Exorcist Holy Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|HolyAuraTimes|1																		SOURCEPAGE:CD	
Sacred Fist AC	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	OUTPUTNAME:AC Bonus					DEFINE:SacredFistAC|0	DEFINE:SacredFistACLVL|0				BONUS:VAR|SacredFistAC|((SacredFistACLVL)/5)+1	BONUS:COMBAT|AC|SacredFistAC|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0																	SOURCEPAGE:CD	
Sacred Fist Unarmed Damage	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SacredFistUnarmedLVL|0					BONUS:UDAM|CLASS.Monk|SacredFistUnarmedLVL																		SOURCEPAGE:CD	
Sacred Fist Movement	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	OUTPUTNAME:Fast Movement					DEFINE:SacredFistMoveLVL|0	DEFINE:SacredFistMoveBonus|0				BONUS:VAR|SacredFistMoveBonus|10*(floor(SacredFistMoveLVL)/3)	BONUS:MOVEADD|TYPE=Walk|SacredFistMoveBonus|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0																	SOURCEPAGE:CD	
Sacred Fist Sacred Flames	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SacredFistFlameLVL|0					BONUS:VAR|SacredFlamesTimes|SacredFistFlameLVL/4	BONUS:VAR|SacredFlamesDamage|SacredFistFlameLVL																	SOURCEPAGE:CD	
Seeker Arcane Sight	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SeekerArcaneSightLVL|0					BONUS:VAR|ArcaneSightPerDay|3	BONUS:VAR|ArcaneSightLVL|SeekerArcaneSightLVL																	SOURCEPAGE:CD	
Seeker Discern Location	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SeekerDiscernLocationLVL|0					BONUS:VAR|DiscernLocationPerDay|1	BONUS:VAR|DiscernLocationLVL|SeekerDiscernLocationLVL																	SOURCEPAGE:CD	
Shining Blade Shock Blade	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShiningShockBladeLVL|0					BONUS:VAR|ShockBladeTimes|2	BONUS:VAR|ShockBladeDuration|ShiningShockBladeLVL																	SOURCEPAGE:CD	
Stormlord Enhanced Javelin	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:StormlordEnhancedJavelinLVL|0					BONUS:VAR|EnhancedJavelinBonus|1|PREVARGTEQ:StormlordEnhancedJavelinLVL,1	BONUS:VAR|EnhancedJavelinBonus|1|PREVARGTEQ:StormlordEnhancedJavelinLVL,6	BONUS:VAR|EnhancedJavelinBonus|1|PREVARGTEQ:StormlordEnhancedJavelinLVL,10																SOURCEPAGE:CD	
Stormlord Storm of Elemental Fury	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|StormElementalFuryPerDay|1																		SOURCEPAGE:CD	
Temple Raider Trap Sense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:TempleRaiderTrapSenseLVL|0					BONUS:VAR|TrapSenseBonus|(TempleRaiderTrapSenseLVL+2)/3																		SOURCEPAGE:CD	
Temple Raider Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:TempleRaiderSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|(TempleRaiderSneakAttackLVL+1)/3																		SOURCEPAGE:CD	
Ur-Priest Turning	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:AllowExtraTurning|1	DEFINE:AllowImprovedTurning|1				BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base																	SOURCEPAGE:CD	
Void Disciple Sense the Void	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VoidDiscipleSenseTheVoidLVL|0					BONUS:VAR|SenseVoidTimes|(VoidDiscipleSenseTheVoidLVL+1)/2	BONUS:VAR|SenseVoidPower|(VoidDiscipleSenseTheVoidLVL+3)/4																	SOURCEPAGE:CD	
Void Disciple Moment of Clarity	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VoidDisipleMomentOfClarityLVL|0					BONUS:VAR|MomentOfClarityTimes|(VoidDisipleMomentOfClarityLVL/4)+1																		SOURCEPAGE:CD	
Void Disciple Void Release	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VoidDiscipleReleaseLVL|0					BONUS:VAR|VoidReleaseTimes|3	BONUS:VAR|VoidReleaseDuration|VoidDiscipleReleaseLVL																	SOURCEPAGE:CD	
Void Disciple Void Suppression	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VoidDiscipleSuppressionLVL|0					BONUS:VAR|VoidSuppressionTimes|1	BONUS:VAR|VoidSuppressionDuration|5																	SOURCEPAGE:CD	
Warpriest Turn Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WrpTurnUndeadLVL|0					BONUS:VAR|TurnLevelBase|WrpTurnUndeadLVL	BONUS:VAR|TurnDamagePlusBase|WrpTurnUndeadLVL																	SOURCEPAGE:CD	
Warpriest Inflame	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WarpriestInflameLVL|0					BONUS:VAR|InflameBonus|2*(WarpriestInflameLVL/2)																		SOURCEPAGE:CD	
Warpriest Fear Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WarpriestFearAuraLVL|0					BONUS:VAR|FearAuraTimes|1	BONUS:VAR|FearAuraDuration|WarpriestFearAuraLVL	BONUS:VAR|FearAuraDC|WarpriestFearAuraLVL																SOURCEPAGE:CD	
#																															SOURCEPAGE:CD		
Armor of the Fallen Leaves Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Gaseous Form up to 30 minutes/day										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Raptor Arrow Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Special Returning										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Axe of Ancestral Virtue Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Intelligent Weapon										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Belt of the Champion Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:+6 bonus on Strength Check										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]	BONUS:COMBAT|TOHIT.GRAPPLE|4																	SOURCEPAGE:CD	
Boot of the Unending Journey Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	ABILITY:Special Ability|VIRTUAL|Immunity to Exhaustion|Immunity to Fatigue										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Bow of Winterwood Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Censer of the Last Breath Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]																		SOURCEPAGE:CD	
Chain of Obeisance Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Grapple creatures of any size. If pinned Dominate Monster (Will DC 22)										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Chromatic Rod Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Spell-like abilities										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Dragonscale Cloak Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,FireResistanceBonus,ElectricityResistanceBonus|10																	SOURCEPAGE:CD	
Cornucopia of the Needful Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:fruits with various effects										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Cudgel that Never Forgets Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Intelligent Weapon, Retributive damage (+2 to hit, +2d6 damage)										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Dagger of Denial Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Intelligent Weapon										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]																		SOURCEPAGE:CD	
Dawnstar Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=7|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=13]																		SOURCEPAGE:CD	
Ehlonna's Seed Pouch Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Each day refill Acorns with various effects.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]																		SOURCEPAGE:CD	AUTO:EQUIP|Acorn (6)
Enveloping Pit Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Reflex DC 22										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Executioner's Hood Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Coup-de-grace as standard action.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]																		SOURCEPAGE:CD	
Gauntlet of the Blood Lord Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:+4 bonus on Touch attack. Maximize touch spells.										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]	BONUS:COMBAT|TOHIT.Unarmed|4																	SOURCEPAGE:CD	
Gauntlet of the Talon Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:as Monk's Belt, cumulative										BONUS:SPELLCAST|CLASS=Cleric;LEVEL=6|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=11]	BONUS:COMBAT|TOHIT.Unarmed|4			BONUS:COMBAT|AC|1+max(0,WIS)|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0|PREVAREQ:MonkACLVL,0	BONUS:UDAM|CLASS.Monk|5	BONUS:VAR|MonkACLVL|5	BONUS:VAR|StunningFistAttack|1	BONUS:WEAPONPROF=Unarmed Strike|DAMAGESIZE|3|PREVAREQ:MonkACLVL,0										SOURCEPAGE:CD	
Gem of Glitterdepth Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]	BONUS:STAT|WIS|6|TYPE=Enhancement																	SOURCEPAGE:CD	
Helm of Platinum Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	ABILITY:Special Ability|VIRTUAL|Frightful Presence	VISION:Blindsense (60')									BONUS:SPELLCAST|CLASS=Cleric;LEVEL=8|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=15]	BONUS:VAR|FrightfulPresRange|150																	SOURCEPAGE:CD	
Helm of the Purple Plume Ability	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	ABILITY:Special Ability|VIRTUAL|Immunity To Fear	SAB:Heroism when affected by fear effects									BONUS:SPELLCAST|CLASS=Cleric;LEVEL=5|-1|!PREMULT:2,[PREFEAT:1,True Believer],[PRELEVEL:MIN=9]	BONUS:STAT|CHA|2																	SOURCEPAGE:CD	
