SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																																				
#																																						
# type		HITDIE:12		CR:2	DR:10/Silver and Magic		LEVELADJUSTMENT:8	TEMPLATE:Undead	TEMPLATE:CHOOSE:Slam (Fine)|Slam (Diminutive)|Slam (Tiny)|Slam (Small)|Slam (Medium)|Slam (Large)|Slam (Huge)|Slam (Gargantuan)|Slam (Colossal)	SOURCEPAGE:MonstersT-Z.rtf	SAB:Blood Drain (Ex)	SAB:Children of the Night (Su)	SAB:Dominate (Su) DC%1|VampireAbilityDC	SAB:Energy Drain (Su)	SAB:Create Spawn (Su)	SAB:Alternate Form (Su)	SAB:Fast Healing 5 (Ex)	SAB:Gaseous Form (Su)	SAB:Energy Resistance Cold/Electricity 10	SAB:Turn Resistance +4 (Ex)	SAB:Spider Climb (Ex)	DEFINE:VampireAbilityDC|0		PREALIGN:2,5,8		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial	BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	BONUS:VAR|VampireAbilityDC|15+CHA		FEAT:Alertness,Combat Reflexes,Dodge,Improved Initiative,Lightning Reflexes		TYPE:Undead
Geomancer Jaw Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,1																													
Geomancer Jaw Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,1																													
Geomancer Jaw Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,1																													
Geomancer Jaw Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d2																													
Geomancer Jaw Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d3																													
Geomancer Jaw Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d4																													
Geomancer Jaw Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,1d6																													
Geomancer Jaw Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,2d6																													
Geomancer Jaw Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Jaw,Weapon.Natural.Melee.Finesseable.Slashing,*1,2d8																													
																																						
Geomancer Horn	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Horn Fine|Geomancer Horn Diminutive|Geomancer Horn Tiny|Geomancer Horn Small|Geomancer Horn Medium|Geomancer Horn Large|Geomancer Horn Huge|Geomancer Horn Gargantuan|Geomancer Horn Colossal	PRECLASS:1,Geomancer=1																																		
Geomancer Horn Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d2																													
Geomancer Horn Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d3																													
Geomancer Horn Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d4																													
Geomancer Horn Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d6																													
Geomancer Horn Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8																													
Geomancer Horn Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d6																													
Geomancer Horn Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d8																													
Geomancer Horn Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,4d6																													
Geomancer Horn Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,4d8																													
																																						
Geomancer Wings	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Feathered Wings|Geomancer Batlike Wings	PRECLASS:1,Geomancer=1																																		
Geomancer Feathered Wings	VISIBLE:NO										DESC:Feathered Wings																											
Geomancer Batlike Wings	VISIBLE:NO										DESC:Batlike Wings																											
																																						
Geomancer Feets	VISIBLE:DISPLAY		TEMPLATE:CHOOSE:Geomancer Trample Fine|Geomancer Trample Diminutive|Geomancer Trample Tiny|Geomancer Trample Small|Geomancer Trample Medium|Geomancer Trample Large|Geomancer Trample Huge|Geomancer Trample Gargantuan|Geomancer Trample Colossal	PRECLASS:1,Geomancer=1																																		
Geomancer Trample Fine	VISIBLE:NO		PRESIZEEQ:F						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d2																													
Geomancer Trample Diminutive	VISIBLE:NO		PRESIZEEQ:D						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d3																													
Geomancer Trample Tiny	VISIBLE:NO		PRESIZEEQ:T						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d4																													
Geomancer Trample Small	VISIBLE:NO		PRESIZEEQ:S						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6																													
Geomancer Trample Medium	VISIBLE:NO		PRESIZEEQ:M						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d4																													
Geomancer Trample Large	VISIBLE:NO		PRESIZEEQ:L						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6																													
Geomancer Trample Huge	VISIBLE:NO		PRESIZEEQ:H						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8																													
Geomancer Trample Gargantuan	VISIBLE:NO		PRESIZEEQ:G						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6																													
Geomancer Trample Colossal	VISIBLE:NO		PRESIZEEQ:C						NATURALATTACKS:Trample,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d8																													
