SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net
Dismissal.MOD	CLASSES:Consecrated Harrier=4	
Dominate Person.MOD	CLASSES:Consecrated Harrier=4	
Legend Lore.MOD	CLASSES:Consecrated Harrier=4	
Mark of Justice.MOD	CLASSES:Consecrated Harrier=4	
Protection from Law.MOD	CLASSES:Holy Liberator=1	
Heroism.MOD	CLASSES:Holy Liberator=2	
Magic Circle against Law.MOD	CLASSES:Holy Liberator=3	
Dispel Law.MOD	CLASSES:Holy Liberator=4	
Freedom of Movement.MOD	CLASSES:Holy Liberator=4	
Detect Law.MOD	CLASSES:Temple Raider of Olidammara=1	
Detect Secret Doors.MOD	CLASSES:Temple Raider of Olidammara=1	
Disguise Self.MOD	CLASSES:Temple Raider of Olidammara=1	
Invisibility to Undead.MOD	CLASSES:Temple Raider of Olidammara=1	
Obscuring Mist.MOD	CLASSES:Temple Raider of Olidammara=1	
Protection from Law.MOD	CLASSES:Temple Raider of Olidammara=1	
Augury.MOD	CLASSES:Temple Raider of Olidammara=2	
Cat's Grace.MOD	CLASSES:Temple Raider of Olidammara=2	
Darkvision.MOD	CLASSES:Temple Raider of Olidammara=2	
Delay Poison.MOD	CLASSES:Temple Raider of Olidammara=2	
Invisibility.MOD	CLASSES:Temple Raider of Olidammara=2	
Restoration (Lesser).MOD	CLASSES:Temple Raider of Olidammara=2	
Undetectable Alignment.MOD	CLASSES:Temple Raider of Olidammara=2	
Locate Object.MOD	CLASSES:Temple Raider of Olidammara=3	
Magic Circle against Law.MOD	CLASSES:Temple Raider of Olidammara=3	
Nondetection.MOD	CLASSES:Temple Raider of Olidammara=3	
Obscure Object.MOD	CLASSES:Temple Raider of Olidammara=3	
Remove Curse.MOD	CLASSES:Temple Raider of Olidammara=3	
Resist Energy.MOD	CLASSES:Temple Raider of Olidammara=3	
See Invisibility.MOD	CLASSES:Temple Raider of Olidammara=3	
Air Walk.MOD	CLASSES:Temple Raider of Olidammara=4	
Confusion.MOD	CLASSES:Temple Raider of Olidammara=4	
Death Ward.MOD	CLASSES:Temple Raider of Olidammara=4	
Freedom of Movement.MOD	CLASSES:Temple Raider of Olidammara=4	
Neutralize Poison.MOD	CLASSES:Temple Raider of Olidammara=4	
Restoration.MOD	CLASSES:Temple Raider of Olidammara=4	
Spell Immunity.MOD	CLASSES:Temple Raider of Olidammara=4	
Daze.MOD	CLASSES:Air Shugenja=0	
Ghost Sound.MOD	CLASSES:Air Shugenja=0	
Guidance.MOD	CLASSES:Air Shugenja=0	
Know Direction.MOD	CLASSES:Air Shugenja=0	
Mage Hand.MOD	CLASSES:Earth Shugenja=0	
Mending.MOD	CLASSES:Earth Shugenja=0	
Resistance.MOD	CLASSES:Earth Shugenja=0	
Virtue.MOD	CLASSES:Earth Shugenja=0	
Dancing Lights.MOD	CLASSES:Fire Shugenja=0	
Disrupt Undead.MOD	CLASSES:Fire Shugenja=0	
Flare.MOD	CLASSES:Fire Shugenja=0	
Light.MOD	CLASSES:Fire Shugenja=0	
Create Water.MOD	CLASSES:Water Shugenja=0	
Cure Minor Wounds.MOD	CLASSES:Water Shugenja=0	
Detect Poison.MOD	CLASSES:Water Shugenja=0	
Purify Food and Drink.MOD	CLASSES:Water Shugenja=0	
Detect Magic.MOD	CLASSES:Shugenja=0	
Read Magic.MOD	CLASSES:Shugenja=0	
Detect Snares and Pits.MOD	CLASSES:Air Shugenja=1	
Disguise Self.MOD	CLASSES:Air Shugenja=1	
Expeditious Retreat.MOD	CLASSES:Air Shugenja=1	
Feather Fall.MOD	CLASSES:Air Shugenja=1	
Silent Image.MOD	CLASSES:Air Shugenja=1	
Sleep.MOD	CLASSES:Air Shugenja=1	
Magic Stone.MOD	CLASSES:Earth Shugenja=1	
Magic Weapon.MOD	CLASSES:Earth Shugenja=1	
Pass without Trace.MOD	CLASSES:Earth Shugenja=1	
Sanctuary.MOD	CLASSES:Earth Shugenja=1	
Shield of Faith.MOD	CLASSES:Earth Shugenja=1	
Burning Hands.MOD	CLASSES:Fire Shugenja=1	
Cause Fear.MOD	CLASSES:Fire Shugenja=1	
Faerie Fire.MOD	CLASSES:Fire Shugenja=1	
Hypnotism.MOD	CLASSES:Fire Shugenja=1	
Shocking Grasp.MOD	CLASSES:Fire Shugenja=1	
Speak with Animals.MOD	CLASSES:Water Shugenja=1	
Bless.MOD	CLASSES:Water Shugenja=1	
Cure Light Wounds.MOD	CLASSES:Water Shugenja=1	
Obscuring Mist.MOD	CLASSES:Water Shugenja=1	
Remove Fear.MOD	CLASSES:Water Shugenja=1	
Endure Elements.MOD	CLASSES:Shugenja=1	
Detect Thoughts.MOD	CLASSES:Air Shugenja=2	
Levitate.MOD	CLASSES:Air Shugenja=2	
Minor Image.MOD	CLASSES:Air Shugenja=2	
Silence.MOD	CLASSES:Air Shugenja=2	
Color Spray.MOD	CLASSES:Air Shugenja=2	
Barkskin.MOD	CLASSES:Earth Shugenja=2	
Bear's Endurance.MOD	CLASSES:Earth Shugenja=2	
Bull's Strength.MOD	CLASSES:Earth Shugenja=2	
Hold Person.MOD	CLASSES:Earth Shugenja=2	
Make Whole.MOD	CLASSES:Earth Shugenja=2	
Glitterdust.MOD	CLASSES:Earth Shugenja=2	
Cat's Grace.MOD	CLASSES:Fire Shugenja=2	
Flame Blade.MOD	CLASSES:Fire Shugenja=2	
Flaming Sphere.MOD	CLASSES:Fire Shugenja=2	
Heat Metal.MOD	CLASSES:Fire Shugenja=2	
Produce Flame.MOD	CLASSES:Fire Shugenja=2	
Fog Cloud.MOD	CLASSES:Water Shugenja=2	
Cure Moderate Wounds.MOD	CLASSES:Water Shugenja=2	
Delay Poison.MOD	CLASSES:Water Shugenja=2	
Restoration (Lesser).MOD	CLASSES:Water Shugenja=2	
Locate Object.MOD	CLASSES:Water Shugenja=2	
Remove Paralysis.MOD	CLASSES:Water Shugenja=2	
Resist Energy.MOD	CLASSES:Shugenja=2	
Clairaudience/Clairvoyance.MOD	CLASSES:Air Shugenja=3	
Gust of Wind.MOD	CLASSES:Air Shugenja=3	
Haste.MOD	CLASSES:Air Shugenja=3	
Invisibility.MOD	CLASSES:Air Shugenja=3	
Major Image.MOD	CLASSES:Air Shugenja=3	
Wind Wall.MOD	CLASSES:Air Shugenja=3	
Magic Weapon (Greater).MOD	CLASSES:Earth Shugenja=3	
Meld into Stone.MOD	CLASSES:Earth Shugenja=3	
Plant Growth.MOD	CLASSES:Earth Shugenja=3	
Prayer.MOD	CLASSES:Earth Shugenja=3	
Stone Shape.MOD	CLASSES:Earth Shugenja=3	
Call Lightning.MOD	CLASSES:Fire Shugenja=3	
Daylight.MOD	CLASSES:Fire Shugenja=3	
Fire Wings.MOD	CLASSES:Fire Shugenja=3	
Keen Edge.MOD	CLASSES:Fire Shugenja=3	
Searing Light.MOD	CLASSES:Fire Shugenja=3	
Cure Serious Wounds.MOD	CLASSES:Water Shugenja=3	
Remove Blindness/Deafness.MOD	CLASSES:Water Shugenja=3	
Remove Curse.MOD	CLASSES:Water Shugenja=3	
Remove Disease.MOD	CLASSES:Water Shugenja=3	
Water Breathing.MOD	CLASSES:Water Shugenja=3	
Water Walk.MOD	CLASSES:Water Shugenja=3	
Dispel Magic.MOD	CLASSES:Shugenja=3	
Glyph of Warding.MOD	CLASSES:Shugenja=3	
Protection from Energy.MOD	CLASSES:Shugenja=3	
Summon Nature's Ally III.MOD	CLASSES:Shugenja=3	
Air Walk.MOD	CLASSES:Air Shugenja=4	
Detect Scrying.MOD	CLASSES:Air Shugenja=4	
Discern Lies.MOD	CLASSES:Air Shugenja=4	
Hallucinatory Terrain.MOD	CLASSES:Air Shugenja=4	
Illusory Wall.MOD	CLASSES:Air Shugenja=4	
Death Ward.MOD	CLASSES:Earth Shugenja=4	
Dismissal.MOD	CLASSES:Earth Shugenja=4	
Spell Immunity.MOD	CLASSES:Earth Shugenja=4	
Spike Stones.MOD	CLASSES:Earth Shugenja=4	
Dimensional Anchor.MOD	CLASSES:Earth Shugenja=4	
Fire Shield.MOD	CLASSES:Fire Shugenja=4	
Flame Arrow.MOD	CLASSES:Fire Shugenja=4	
Lightning Bolt.MOD	CLASSES:Fire Shugenja=4	
Quench.MOD	CLASSES:Fire Shugenja=4	
Wall of Fire.MOD	CLASSES:Fire Shugenja=4	
Control Water.MOD	CLASSES:Water Shugenja=4	
Cure Critical Wounds.MOD	CLASSES:Water Shugenja=4	
Locate Creature.MOD	CLASSES:Water Shugenja=4	
Neutralize Poison.MOD	CLASSES:Water Shugenja=4	
Restoration.MOD	CLASSES:Water Shugenja=4	
Control Winds.MOD	CLASSES:Air Shugenja=5	
Dimension Door.MOD	CLASSES:Air Shugenja=5	
Invisibility (Greater).MOD	CLASSES:Air Shugenja=5	
Mirage Arcana.MOD	CLASSES:Air Shugenja=5	
Persistent Image.MOD	CLASSES:Air Shugenja=5	
Passwall.MOD	CLASSES:Earth Shugenja=5	
Spell Resistance.MOD	CLASSES:Earth Shugenja=5	
Wall of Iron.MOD	CLASSES:Earth Shugenja=5	
Wall of Stone.MOD	CLASSES:Earth Shugenja=5	
Energy Vortex.MOD	CLASSES:Fire Shugenja=5	
Confusion.MOD	CLASSES:Fire Shugenja=5	
Feeblemind.MOD	CLASSES:Fire Shugenja=5	
Dragon Breath.MOD	CLASSES:Fire Shugenja=5	
Flame Strike.MOD	CLASSES:Fire Shugenja=5	
Atonement.MOD	CLASSES:Water Shugenja=5	
Cure Light Wounds (Mass).MOD	CLASSES:Water Shugenja=5	
Righteous Might.MOD	CLASSES:Water Shugenja=5	
Scrying.MOD	CLASSES:Water Shugenja=5	
Wall of Ice.MOD	CLASSES:Water Shugenja=5	
Commune with Nature.MOD	CLASSES:Shugenja=5	
Summon Nature's Ally V.MOD	CLASSES:Shugenja=5	
Cloudkill.MOD	CLASSES:Air Shugenja=6	
Permanent Image.MOD	CLASSES:Air Shugenja=6	
Teleport.MOD	CLASSES:Air Shugenja=6	
Veil.MOD	CLASSES:Air Shugenja=6	
Wind Walk.MOD	CLASSES:Air Shugenja=6	
Antimagic Field.MOD	CLASSES:Earth Shugenja=6	
Banishment.MOD	CLASSES:Earth Shugenja=6	
Move Earth.MOD	CLASSES:Earth Shugenja=6	
Stoneskin.MOD	CLASSES:Earth Shugenja=6	
Fire Seeds.MOD	CLASSES:Fire Shugenja=6	
Fires of Purity.MOD	CLASSES:Fire Shugenja=6	
Glyph of Warding (Greater).MOD	CLASSES:Fire Shugenja=6	
Anger of the Noonday Sun.MOD	CLASSES:Fire Shugenja=6	
Contingency.MOD	CLASSES:Water Shugenja=6	
Control Weather.MOD	CLASSES:Water Shugenja=6	
Heal.MOD	CLASSES:Water Shugenja=6	
Master of the Rolling River.MOD	CLASSES:Water Shugenja=6	
True Seeing.MOD	CLASSES:Water Shugenja=6	
Dispel Magic (Greater).MOD	CLASSES:Shugenja=6	
Summon Nature's Ally VI.MOD	CLASSES:Shugenja=6	
Invisibility (Mass).MOD	CLASSES:Air Shugenja=7	
Mislead.MOD	CLASSES:Air Shugenja=7	
Programmed Image.MOD	CLASSES:Air Shugenja=7	
Teleport Object.MOD	CLASSES:Air Shugenja=7	
Disintegrate.MOD	CLASSES:Earth Shugenja=7	
Spell Turning.MOD	CLASSES:Earth Shugenja=7	
Statue.MOD	CLASSES:Earth Shugenja=7	
Flesh to Stone.MOD	CLASSES:Earth Shugenja=7	
Chain Lightning.MOD	CLASSES:Fire Shugenja=7	
Fire Storm.MOD	CLASSES:Fire Shugenja=7	
Sunbeam.MOD	CLASSES:Fire Shugenja=7	
Restoration (Greater).MOD	CLASSES:Water Shugenja=7	
Scrying (Greater).MOD	CLASSES:Water Shugenja=7	
Resurrection.MOD	CLASSES:Water Shugenja=7	
Creeping Cold (Greater).MOD	CLASSES:Water Shugenja=7	
Summon Nature's Ally VII.MOD	CLASSES:Shugenja=7	
Screen.MOD	CLASSES:Air Shugenja=8	
Teleport (Greater).MOD	CLASSES:Air Shugenja=8	
Whirlwind.MOD	CLASSES:Air Shugenja=8	
Binding.MOD	CLASSES:Earth Shugenja=8	
Earthquake.MOD	CLASSES:Earth Shugenja=8	
Protection from Spells.MOD	CLASSES:Earth Shugenja=8	
Incendiary Cloud.MOD	CLASSES:Fire Shugenja=8	
Power Word Blind.MOD	CLASSES:Fire Shugenja=8	
Sunburst.MOD	CLASSES:Fire Shugenja=8	
Discern Location.MOD	CLASSES:Water Shugenja=8	
Heal (Mass).MOD	CLASSES:Water Shugenja=8	
Regenerate.MOD	CLASSES:Water Shugenja=8	
Summon Nature's Ally VIII.MOD	CLASSES:Shugenja=8	
Teleportation Circle.MOD	CLASSES:Air Shugenja=9	
Etherealness.MOD	CLASSES:Air Shugenja=9	
Antipathy.MOD	CLASSES:Earth Shugenja=9	
Imprisonment.MOD	CLASSES:Earth Shugenja=9	
Meteor Swarm.MOD	CLASSES:Fire Shugenja=9	
Implosion.MOD	CLASSES:Fire Shugenja=9	
True Resurrection.MOD	CLASSES:Water Shugenja=9	
Storm of Vengeance.MOD	CLASSES:Water Shugenja=9	
Elemental Swarm.MOD	CLASSES:Shugenja=9	
Summon Nature's Ally IX.MOD	CLASSES:Shugenja=9	
