SOURCELONG:Noble Steed	SOURCESHORT:Nob	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Destrier 7	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Destrier 6						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Destrier 7									SOURCEPAGE:Nob
Destrier 8	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES	DESC:add 1skill point				PREABILITY:1,CATEGORY=Special Ability,Destrier 7						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Destrier 8									SOURCEPAGE:Nob
Destrier 9	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Destrier 8						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Destrier 9									SOURCEPAGE:Nob
Destrier 10	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Destrier 9															TEMPLATE:Destrier 10									SOURCEPAGE:Nob
Palfrey 1	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES	DESC:add 4 skill points			!PREABILITY:1,CATEGORY=Special Ability,TYPE.AdvancedTraining	PREMULT:2,[PRESTAT:1,DEX=16],[PRESTAT:1,INT=3]						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 1									SOURCEPAGE:Nob
Palfrey 2	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Palfrey 1						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 2									SOURCEPAGE:Nob
Palfrey 3	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Palfrey 2						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 3									SOURCEPAGE:Nob
Palfrey 4	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES	DESC:add 1skill point				PREABILITY:1,CATEGORY=Special Ability,Palfrey 3						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 4									SOURCEPAGE:Nob
Palfrey 5	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Palfrey 4						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 5									SOURCEPAGE:Nob
Palfrey 6	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Palfrey 5						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 6									SOURCEPAGE:Nob
Palfrey 7	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Palfrey 6						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 7									SOURCEPAGE:Nob
Palfrey 8	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES	DESC:add 1skill point				PREABILITY:1,CATEGORY=Special Ability,Palfrey 7						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 8									SOURCEPAGE:Nob
Palfrey 9	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Palfrey 8						BONUS:ABILITYPOOL|Advanced Training|1									TEMPLATE:Palfrey 9									SOURCEPAGE:Nob
Palfrey 10	CATEGORY:Special Ability	TYPE:AdvancedTraining	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Palfrey 9															TEMPLATE:Palfrey 10									SOURCEPAGE:Nob
