SOURCELONG:Magic of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net																										
###Block: AB																												
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose		
Azuth's Spell Shield			TYPE:Arcane			SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one creature/levels, no two of which can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subjects gain +12 +1/level SR.	SOURCEPAGE:MoF										
Backlash			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent or until discharged	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target cursed if it uses spells against another creature.	SOURCEPAGE:MoF										
Balagarn's Iron Horn			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=2		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:Instantaneous	SAVEINFO:None; See Text	SPELLRES:Yes	DESC:Intense vibrations trip those in area.	SOURCEPAGE:MoF										
Ball Lightning			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or more balls of lightning, up to 1/level.		DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Changeabke number of energy balls dealing 1d6/level electrical damage.	SOURCEPAGE:MoF										
Battering Ram			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object or creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Deals 1d6 damage plus bull rush.	SOURCEPAGE:MoF										
Battletide			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and up to one creature/level, no two of which can be more than 30-ft. Apart.		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Targets have attack penalties and you gain a partial action each round.	SOURCEPAGE:MoF										
Binding Winds			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.		DURATION:Concentration	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Sound can not penetrare to or from target and -2 on ranged attacks.	SOURCEPAGE:MoF										
Black Blade of Disaster			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Sword-shaped planar rift		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Floating magic weapon deals damage and may Disintegrate targets.	SOURCEPAGE:MoF										
Blackstaff			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Staff or quarterstaff touched		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Greatly enhances staff or quarterstaff.	SOURCEPAGE:MoF										
Blade Thirst			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One slashing weapon		DURATION:1 round/level	SAVEINFO:None (object)	SPELLRES:No	DESC:Slashing weapon glows and gains +3 bonus.	SOURCEPAGE:MoF										
Blinding Spittle			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One missile of spit.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Ranged touch attack makes subject blind.	SOURCEPAGE:MoF										
Blindsight			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Grants the blinsight ability for 1 hour/level.	SOURCEPAGE:MoF										
Blood Frenzy			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Rage gives +2 to Str and Con, +1 to Will saves and -1 to AC.	SOURCEPAGE:MoF										
Body Blades			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You attack as if armed, deal bonus damage, harm grapplers.	SOURCEPAGE:MoF										
Bombardment			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:15-ft-radius burst centered on spot.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Falling rocks deal 1d8 damage/level and bury targets.	SOURCEPAGE:MoF										
Branch to Branch			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:+10 to Climb checks and normal movement in trees.	SOURCEPAGE:MoF										
#Breath of Truth																		SOURCEPAGE:???										
Brilliant Aura			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One person/2 levels, all of whom must be withing 30-ft each other.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Allies glow and their weapons become vrilliant energy weapons +1 damage/2 levels.	SOURCEPAGE:MoF										
Cacophonic Shield			TYPE:Arcane	CLASSES:Bard=6|Sorcerer,Wizard=6		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft radius emanation centered on you.		DURATION:1 minute/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Immobile shield blocks sound, deflects missiles, deals 1d6 +1/level and deafens intruders.	SOURCEPAGE:MoF										
Camouflage			TYPE:Divine	CLASSES:Druid=1|Harper Scout=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:+10 competence bonus on Hide checks.	SOURCEPAGE:MoF									TEMPBONUS:PC|SKILL|Hide|10|TYPE=Competence	
Camouflage (Mass)	OUTPUTNAME:Camouflage, Mass		TYPE:Divine	CLASSES:Druid=4|Harper Scout=4|Ranger=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Any number of creatures, no two of wich can be more that 60-ft apart		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As Camouflage, but multiple targets	SOURCEPAGE:MoF									TEMPBONUS:ANYPC|SKILL|Hide|10|TYPE=Competence	
Cast in Stone			TYPE:Divine	CLASSES:Druid=9		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Personal		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Petrifying gaze attack.	SOURCEPAGE:MoF										
Celebration			TYPE:Arcane	CLASSES:Bard=4		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:15-ft-radius burst		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Intoxicate subjects.	SOURCEPAGE:MoF										
Circle Dance			TYPE:Arcane.Divine	CLASSES:Bard=2|Cleric=3|Druid=3		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Indicates direction to known target.	SOURCEPAGE:MoF										
Claws of the Beast			TYPE:Divine	CLASSES:Druid=1|Ranger=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your hands become 1d6 weapons.	SOURCEPAGE:MoF										
Cloud of Bewilderment			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:Cone.		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Stun and blind targets.	SOURCEPAGE:MoF										
Cloudburst			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Evocation		DESCRIPTOR:Water	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:100-ft radius emanation.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Rain obscures vision, extinguishes fires and hampers missiles.	SOURCEPAGE:MoF										
Cocoon			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M, XP	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Paralyzes and drains levels from target.	SOURCEPAGE:MoF			XPCOST:1000							
Combust			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Touched creature or combustible object that weights no more than 25 lbs/level.		DURATION:Instantaneous	SAVEINFO:Reflex partial	SPELLRES:Yes	DESC:Target rakes 2d6 +1/levelfire damage.	SOURCEPAGE:MoF										
Corrosive Grasp			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature or creatures touched (up to one/level)		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:1 touch/level deals 1d6+1 acid damage.	SOURCEPAGE:MoF										
Crawling Darkness			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Cloud of tentacles provides concealment, skill bonuses and several defenses.	SOURCEPAGE:MoF										
Create Crossroad and Backroad			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF, XP	CASTTIME:1 day	RANGE:Touch	TARGETAREA:two area of up to 50-ft-square		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Links two locations by magical path.	SOURCEPAGE:MoF			XPCOST:3500							
Crumble			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One structure or one construct.		DURATION:Instantaneous	SAVEINFO:Fort partial (object)	SPELLRES:Yes	DESC:1d6/level (bypassing hardness) to manufactured object or structure.	SOURCEPAGE:MoF										
Curse of Ill Fortune			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject suffers -3 penalty on attacks, saves and checks. 	SOURCEPAGE:MoF										
Dark Way			TYPE:Divine			SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One bridge of force 2-ft wide, 1 in. Thick and up to 20-ft/level long		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Creates temporary unbreakable bridge supporting up to 200 lbs/level.	SOURCEPAGE:MoF										
Darkfire			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Flame in your palm		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:As Produce Flame, but dark flames visible with darkvision.	SOURCEPAGE:MoF										
Darsson's Potion			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Flask of water touched		DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Creates a potion that must be used within 1 hour/level.	SOURCEPAGE:MoF										
Deafening Clang			TYPE:Divine			SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:Weapon deafens with a succesful touch attack.	SOURCEPAGE:MoF										
Death Armor			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Black aura damages creatures attacking you.	SOURCEPAGE:MoF		COST:50								
Death Dragon			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Necromancy		DESCRIPTOR:Evil|Fear|Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:Dragon of energy and bones.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain +4 natural armor, +4 deflection and natural attacks.	SOURCEPAGE:MoF										
Death Pact			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, M, DF, XP	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched.		DURATION:Permanent until triggered	SAVEINFO:None	SPELLRES:No	DESC:-2 to Constitution, in exchange for effects of Word of Recall, Raise Dead and Heal.	SOURCEPAGE:MoF		COST:500	XPCOST:250							
Death Symbol of Bane			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy		DESCRIPTOR:Death	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0 ft.; see text	TARGETAREA:One symbol		DURATION:See text	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Triggered rune slays nearby creatures.	SOURCEPAGE:MoF		COST:10000								
Decoy Image			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Illusion	SUBSCHOOL:Figment		COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:Figment that mimics you and all allies within 50-ft of you.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Figment mimics you and allies.	SOURCEPAGE:MoF										
Detect Crossroads			TYPE:Divine	CLASSES:Bard=0|Druid=0		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:Quarter circle emanating from you to the extreme of the range.		DURATION:Concentration, up to 10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Detect fey crossroads within 60-ft.	SOURCEPAGE:MoF										
Dhulark's Glasstrike			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:One creature or 4 cubic ft of material.		DURATION:1 hour/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Turns subject into glass.	SOURCEPAGE:MoF										
Dimensional Lock			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius emanation centered on a point in space.		DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:Protects area from interdimensional travel.	SOURCEPAGE:MoF										
Dirge			TYPE:Divine	CLASSES:Bard=6		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 full round	RANGE:50 ft.	TARGETAREA:All enemies within a 50-ft radius burst centered on you		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Enemies suffer 2 points of STR and DEX damage per round.	SOURCEPAGE:MoF										
Disguise (Minor)	OUTPUTNAME:Disguise, Minor		TYPE:Arcane	CLASSES:Bard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour	SAVEINFO:None	SPELLRES:No	DESC:Makes slight changes to your appearance.	SOURCEPAGE:MoF									TEMPBONUS:PC|SKILL|Disguise|2|TYPE=Competence	TEMPDESC:Grants Disguise bonus
Disguise Undead			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One corporeal undead		DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Change appearance of one corporeal undead.	SOURCEPAGE:MoF										
Disquietude			TYPE:Arcane	CLASSES:Bard=1		SCHOOL:Abjuration		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target avoids physical contact with others.	SOURCEPAGE:MoF										
Distort Speech			TYPE:Arcane	CLASSES:Bard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target's speech becomes unintelligible, hampers spellcasting.	SOURCEPAGE:MoF										
Doomtide			TYPE:Divine			SCHOOL:Illusion	SUBSCHOOL:Pattern		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:80 ft.	TARGETAREA:Eight 10-ft cubes extending from the caster's location.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Black mist obscure vision, dazes creatures.	SOURCEPAGE:MoF										
Drown			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target immediately begins to drown.	SOURCEPAGE:MoF										
Earthfast			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One stone structure or rock formation, up to 25 cu ft/level		DURATION:10 minutes/level	SAVEINFO:Fort negates (harmless,object)	SPELLRES:Yes	DESC:Double hardness and hit points of stone structure or rock formation.	SOURCEPAGE:MoF										
Easy Climb			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Vertical path 10-ft wide and 20-ft tall/level.		DURATION:10 minutes/level	SAVEINFO:None (object)	SPELLRES:Yes	DESC:Changes vertical surface climb DC to 10.	SOURCEPAGE:MoF										
Easy Trail			TYPE:Divine	CLASSES:Druid=2|Harper Scout=2|Ranger=2		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:30-ft cone trailing behind you.		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Makes a trail easier to track.	SOURCEPAGE:MoF										
Echo Skull			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Divination			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal skull touched		DURATION:1 hour/level	SAVEINFO:None (object)	SPELLRES:Yes	DESC:See, hear, and spak through a prepared animal skull for 1 hour/level.	SOURCEPAGE:MoF										
Electric Jolt			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Ranged touch attack deals 1d3 electricity damage.	SOURCEPAGE:MoF										
Elminster's Effulgent Epuration			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:One glowing sphere/level		DURATION:Until expended or 10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Creates one sphere/level that negate hostile magic.	SOURCEPAGE:MoF										
Energy Tranformation Field			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:4 full rounds	RANGE:Close	TARGETAREA:40-ft radius spread		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Area absorbs magic energy to power a predetermined spell.	SOURCEPAGE:MoF		COST:5000	XPCOST:250							
Explosive Cascade			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 5-ft square/level, all of wich must be connected in one continuous path		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Bouncing flame ball deals 1d6/level fire damage.	SOURCEPAGE:MoF										
Faith Healing			TYPE:Divine	CLASSES:Blackguard=1|Cleric=1|Paladin=1		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:Cures 8 hp +1/level damage (max +5) to worshiper of your patron.	SOURCEPAGE:MoF										
Favor of Ilmater		VARIANTS:Divine Fortitude|Pact of Martyrdom	TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing creature		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Subjects gains Endurance plus immunity to non-lethal damage, charme and compulsion effects, pain attacks and other adverse conditions, subject can function at -1 to -9 hp.	SOURCEPAGE:MoF										
Fiendform			TYPE:Divine.Arcane			SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V	CASTTIME:1 action	RANGE:Personal	TARGETAREA:You.		DURATION:1 hours/level	SAVEINFO:None	SPELLRES:No	DESC:The caster assumes a new fiendish form.	SOURCEPAGE:MoF	ITEM:Potion								TEMPBONUS:ANYPC|SKILL|Disguise|10|TYPE=Temporary	
