SOURCELONG:Gozzilioni Rsrd Modifications	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																															
#																																	
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:	
# Mist Form	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:You have the supernatural ability to assume a misty form.																												SOURCEPAGE:MMay	
# Negative Energy Lash	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES																													SOURCEPAGE:MotP
# Paralyzing Gaze	CATEGORY:Special Ability	TYPE:TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:DC %1|ParalyzingGazeDC|PREVARGT:ParalyzingGazeDC,0	DEFINE:ParalyzingGazeDC|0	BONUS:VAR|ParalyzingGazeDC|2|PREFEAT:1,Ability Focus(Paralyzing Gaze)																														SOURCEPAGE:MM	
# Produce Acid	CATEGORY:Special Ability	TYPE:SpecialAttack.Spelllike	VISIBLE:YES																													SOURCEPAGE:MM	
# Protected Sight	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		DESC:+3 racial bonus on saving throw against any light or pattern effect.																											SOURCEPAGE:MM	
# Resistance To Ranged Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:RangedAttackResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Ranged Attack Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Ranged Attack,Vulnerability To Ranged Attack													SOURCEPAGE:MM	
# Resistance To Ranged Attack Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:You gain +%1 resistance bonus to saving throws against ranged magic attack|BacklashResistanceBonus	OUTPUTNAME:Resistance To Ranged Attack	ASPECT:Resistance|Ranged Attack	ASPECT:Ability Benefit|%1|RangedAttackResistanceBonus																									SOURCEPAGE:MM	
# See In Darkness	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Sense	VISIBLE:YES																													SOURCEPAGE:MM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
# Slaad Fever	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:MM	
# Spurt	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:1 fire damage in 5-ft radius																												SOURCEPAGE:MMay	
# Stunning Gaze	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural.AbilityFocus	VISIBLE:YES	DESC:Will DC %1|StunningGazeDC				DEFINE:StunningGazeDC|10+(HD/2)+CHA			BONUS:VAR|StunningGazeDC|2|PREFEAT:1,Ability Focus(Stunning Gaze)																					SOURCEPAGE:MM	
# Stunning Croak	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural.AbilityFocus	VISIBLE:YES	DESC:Fort DC %1|StunningCroakDC				DEFINE:StunningCroakDC|10+(HD/2)+CON			BONUS:VAR|StunningCroakDC|2|PREFEAT:1,Ability Focus(Stunning Croak)																					SOURCEPAGE:MM	
# Summon Slaad ~ Red Slaad	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:1/day summon 1 red slaad 40%%.	OUTPUTNAME:Summon Slaad																											SOURCEPAGE:MM	
# Summon Slaad ~ Blue Slaad	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:1/day summon 1 blue slaad 40%%.	OUTPUTNAME:Summon Slaad																											SOURCEPAGE:MM	
# Summon Slaad ~ Green Slaad	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:1/day summon 1 green slaad 40%%.	OUTPUTNAME:Summon Slaad																											SOURCEPAGE:MM	
# Summon Slaad ~ Grey Slaad	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:2/day summon 1-2 red slaad or 1 blue slaad 60%% or 1 green slaad 40%%.	OUTPUTNAME:Summon Slaad																											SOURCEPAGE:MM	
# Summon Slaad ~ Death Slaad	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:2/day summon 1-2 red slaad or 1 blue slaad 60%% or 1-2 green slaad 40%%.	OUTPUTNAME:Summon Slaad																											SOURCEPAGE:MM	
# Vulnerability To Ranged Attack	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality.Weakness	VISIBLE:YES	DESC:You take half again as much (+50%%) damage as normal from magic ranged attack.																												SOURCEPAGE:MM	
#
###Block: Racial abilities
# Elf Immunity	CATEGORY:Special Ability	TYPE:SpecialQuality.Immunity	VISIBLE:YES		OUTPUTNAME:Immunity to magic sleep effects														ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep													SOURCEPAGE:Srd																																	
# Gnome Perception	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		OUTPUTNAME:+2 racial bonus on saving throws against illusions							BONUS:VAR|IllusionsResistanceBonus|2|TYPE=Racial							ABILITY:Special Ability|AUTOMATIC|Resistance To Illusions													SOURCEPAGE:Srd																																	
# Gnome Speak with Animals	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES		OUTPUTNAME:Speak with Animals (burrowing mammal only, duration 1 minute)														SPELLS:Innate|TIMES=1|CASTERLEVEL=1|Speak with Burrowing Mammals,11+CHA													SOURCEPAGE:Srd																																	
# Stoneworking Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:NO		OUTPUTNAME:+2 racial bonus on Appraise and Craft checks that are related to stone or metal							TEMPBONUS:ANYPC|SKILL|Appraise,TYPE.Craft|2|TYPE=Racial	BONUS:SKILL|Craft (Armorsmithing),Craft (Blacksmithing),Craft (Metalworking),Craft (Stonemasonry),Craft (Stoneworking),Craft (Weaponsmithing)|2|TYPE=Racial	TEMPDESC:Adjusts Appraise and Craft skill bonuses by 2

###Block: Dragon Breath Weapons																																	
# Breath Weapon ~ Cone of Scalding Steam	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural.AbilityFocus	VISIBLE:YES	OUTPUTNAME:Breath Weapon	DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0		DEFINE:BreathWeaponDC|10+(HD/2)+CON	BONUS:VAR|BreathWeaponDC|2|PREFEAT:1,Ability Focus(Breath Weapon)	DESC:%1' Cone of Scalding Steam %2d%3 cold DC %4|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC																					SOURCEPAGE:MMay	
# Breath Weapon ~ Line of Burning Light	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural.AbilityFocus	VISIBLE:YES	OUTPUTNAME:Breath Weapon	DEFINE:BreathWeaponLine|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0		DEFINE:BreathWeaponDC|10+(HD/2)+CON	BONUS:VAR|BreathWeaponDC|2|PREFEAT:1,Ability Focus(Breath Weapon)	DESC:%1' Line of Burning Light %2d%3 fire DC %4|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC																					SOURCEPAGE:MMay	
# Breath Weapon ~ Line of Caustic Slime	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural.AbilityFocus	VISIBLE:YES	OUTPUTNAME:Breath Weapon	DEFINE:BreathWeaponLine|0				DEFINE:BreathWeaponDC|10+(HD/2)+CON	BONUS:VAR|BreathWeaponDC|2|PREFEAT:1,Ability Focus(Breath Weapon)	DESC:%1' Line of Caustic Slime DC %2|BreathWeaponLine|BreathWeaponDC																					SOURCEPAGE:MMay	
# Breath Weapon ~ Cloud of Nauseating Gas	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural.AbilityFocus	VISIBLE:YES	OUTPUTNAME:Breath Weapon	DEFINE:BreathWeaponCloud|0			DEFINE:BreathWeaponDuration|0	DEFINE:BreathWeaponDC|10+(HD/2)+CON	BONUS:VAR|BreathWeaponDC|2|PREFEAT:1,Ability Focus(Breath Weapon)	DESC:%1' radius Cloud of Nauseating Gas DC %2 for %3 rounds|BreathWeaponCloud|BreathWeaponDC|BreathWeaponDuration																					SOURCEPAGE:MMay	
																																	
# Ability Name																																	
# Red Dragon Domain Spell	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	SPELLLEVEL:CLASS|Sorcerer=1|Burning Hands,Protection from Good,Protection from Law|Sorcerer=2|Desecrate,Produce Flame,Shatter|Sorcerer=3|Magic Circle against Good,Magic Circle against Law,Resist Energy|Sorcerer=4|Chaos Hammer,Unholy Blight,Wall of Fire|Sorcerer=5|Dispel Good,Dispel Law,Fire Shield|Sorcerer=6|Animate Objects,Create Undead,Fire Seeds|Sorcerer=7|Blasphemy,Fire Storm,Word of Chaos|Sorcerer=8|Cloak of Chaos,Incendiary Cloud,Unholy Aura|Sorcerer=9|Elemental Swarm,Summon Monster IX																												SOURCEPAGE:MM
