SOURCELONG:Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net																																
#																																		
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define				BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:	
Deathless Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	KEY:Traits Output ~ Deathless	DESC:Deathless do not eat/sleep/breathe. Immune to damage to STR/DEX/CON as well as to fatigue and exhaustion effects. Immune to any effect that requires a Fortitude save (unless it works on objects or is harmless). Not at risk from death from massive damage (but destroyed when reduced to 0 hp).																													SOURCEPAGE:EXD	
#Abomination																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Abomination Traits|PRERACE:1,RACETYPE=Abomination																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Abomination|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Abomination]																																	
Abomination Traits	CATEGORY:Special Ability	TYPE:TraitAbility										BONUS:ABILITYPOOL|Abomination Strenght|2|TYPE=Base	BONUS:ABILITYPOOL|Abomination Weakness|2|TYPE=Base							ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|Immunity To Fear|Immunity To Enchantment													SOURCEPAGE:DD	
Abomination Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	KEY:Traits Output ~ Abomination	DESC:Abomination do not eat/sleep/breathe. Immune to critical hits, they cannot be flanked,  and they never suffer sneak attack damage. Immune to disease, poison, stunning and sleep effects,  and death effects.																													SOURCEPAGE:DD	
																																		
## RaceSubType																																		
#Abeil																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Abeil Traits|PRERACE:1,RACESUBTYPE=Abeil																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Abeil|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Abeil]																																	
Abeil Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Abeil																												SOURCEPAGE:MM2	
Abeil Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Drone|Improved Grab|Hive Mind		AUTO:LANG|Common|Elven|Sylvan											SOURCEPAGE:MM2	
#Abishai																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Abishai Traits|PRERACE:1,RACESUBTYPE=Abishai																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Abishai|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Abishai]																																	
Abishai Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Abishai																												SOURCEPAGE:Mon	
Abishai Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10			BONUS:VAR|RegenerationRate|HD	BONUS:VAR|TelepathyRange|100							ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Immunity To Poison|Regeneration|Resistance To Acid|Resistance To Cold|See In Darkness|Summon Baatezu ~ Abishai|Telepathy|Vulnerability To Holy Water	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Animate Dead|Charm Person|Command|Desecrate|Detect Alignment|Disguise Self|Major Image|Scare|Suggestion												SOURCEPAGE:Mon	
#Aoa																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Aoa Traits|PRERACE:1,RACESUBTYPE=Aoa																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Aoa|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Aoa]																																	
Aoa Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Aoa																												SOURCEPAGE:FFo	
Aoa Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:FireResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:ElectricityResistanceBonus|20	DEFINE:SonicResistanceBonus|20	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:SKILL|Hide|-6|TYPE=Racial							ABILITY:Special Ability|AUTOMATIC|Dispelling Touch|Immunity To Gaze|Reflective Spell Resistance|Resistance To Cold|Resistance To Electricity|Resistance To Fire|Resistance To Sonic	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Detect Magic,10+CHA												SOURCEPAGE:FFo	
#Automaton																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Automaton Traits|PRERACE:1,RACESUBTYPE=Automaton																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Automaton|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Automaton]																																	
Automaton Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Automaton																												SOURCEPAGE:MM2	
Automaton Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Unreliable													SOURCEPAGE:MM2	
#Baatezu																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Baatezu Traits|PRERACE:1,RACESUBTYPE=Baatezu																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Baatezu|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Baatezu]																																	
Baatezu Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Baatezu																												SOURCEPAGE:MM	
Baatezu Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10			BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Immunity to Fire|Immunity To Poison|Resistance To Acid|Resistance To Cold|See in Darkness|Telepathy		AUTO:LANG|Infernal|Celestial|Draconic											SOURCEPAGE:MM	
#Barghest																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Barghest Traits|PRERACE:1,RACESUBTYPE=Barghest																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Barghest|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Barghest]																																	
Barghest Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Barghest																												SOURCEPAGE:MM	
Barghest Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10			BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Natural Weapons ~ Barghest|Spell-Like Abilities ~ Barghest|Feed ~ Barghest|Change Shape ~ Barghest|Pass Without Trace ~ Barghest|Skills ~ Barghest		AUTO:LANG|Goblin|Worg|Infernal											SOURCEPAGE:MM	
#Beholder																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Beholder Traits|PRERACE:1,RACESUBTYPE=Beholder																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Beholder|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Beholder]																																	
Beholder Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Beholder																												SOURCEPAGE:MM	
Beholder Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:SKILL|Spot,Search|4|TYPE=Racial								ABILITY:Special Ability|AUTOMATIC|Eye Rays|All-Around Vision|Flight (Ex)		AUTO:LANG|Beholder|Common											SOURCEPAGE:MM	
#Canomorph																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Canomorph Traits|PRERACE:1,RACESUBTYPE=Canomorph																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Canomorph|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Canomorph]																																	
Canomorph Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Canomorph																												SOURCEPAGE:FFo	
Canomorph Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Change Shape|Command Fiendish Hound|Scent													SOURCEPAGE:FFo	
#Clockwork Horror																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Clockwork Horror Traits|PRERACE:1,RACESUBTYPE=Clockwork Horror																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Clockwork Horror|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Clockwork Horror]																																	
Clockwork Horror Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Clockwork Horror																												SOURCEPAGE:MM2	
Clockwork Horror Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:ClockworkLanguages|1												ABILITY:Special Ability|AUTOMATIC|Linked Mind|Spell Vulnerability|Immunity To Electricity		AUTO:LANG|Clockwork Tickles											SOURCEPAGE:MM2	
#Dark One																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Dark One Traits|PRERACE:1,RACESUBTYPE=Dark One																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Dark One|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Dark One]																																	
Dark One Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Dark One																												SOURCEPAGE:FFo	
Dark One Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:ShadowCloakPerDay|3												ABILITY:Special Ability|AUTOMATIC|Skills ~ Dark One|Light Sensitivity|Shadow Cloak|Sneak Attack		AUTO:LANG|Dark One|Undercommon											SOURCEPAGE:FFo	
Skills	CATEGORY:Special Ability	TYPE:SpecialQuality		DESC:+8 racial bonus on Hide checks when in shadowy areas. +4 racial bonus on Move Silently checks when in shadowy areas.	KEY:Skills ~ Dark One																												SOURCEPAGE:FFo	
#Demodand																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Demodand Traits|PRERACE:1,RACESUBTYPE=Demodand																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Demodand|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Demodand]																																	
Demodand Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Demodand																												SOURCEPAGE:FFo	
Demodand Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Freedom of Movement (Sp always active)|Immunity To Poison		AUTO:LANG|Demodand											SOURCEPAGE:FFo	
#Deva																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Deva Traits|PRERACE:1,RACESUBTYPE=Deva																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Deva|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Deva]																																	
Deva Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Deva																												SOURCEPAGE:FFo	
Deva Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Cold|Immunity To Electricity|Protective Aura		AUTO:LANG|Celestial|Draconic|Infernal											SOURCEPAGE:FFo	
#Desmodu's Bat																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Desmodu's Bat Traits|PRERACE:1,RACESUBTYPE=Desmodu's Bat																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Desmodu's Bat|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Desmodu's Bat]																																	
Desmodu's Bat Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Desmodu's Bat																												SOURCEPAGE:MM2	
Desmodu's Bat Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|BlindsightRange|120|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Immunity to Screech													SOURCEPAGE:MM2	
#Eladrin																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Eladrin Traits|PRERACE:1,RACESUBTYPE=Eladrin																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Eladrin|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Eladrin]																																	
Eladrin Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Eladrin																												SOURCEPAGE:MM	
Eladrin Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:ColdResistanceBonus|10	DEFINE:FireResistanceBonus|10			BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Petrification|Resistance To Cold|Resistance To Fire|Tongues	ABILITY:Special Ability|AUTOMATIC|Vision ~ Low-Light												SOURCEPAGE:MM	
#Elemental Grue																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Elemental Grue Traits|PRERACE:1,RACESUBTYPE=Elemental Grue																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Elemental Grue|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Elemental Grue]																																	
Elemental Grue Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Elemental Grue																												SOURCEPAGE:CA	
Elemental Grue Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Spell Disruption													SOURCEPAGE:CA	
#Elemental Weird																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Elemental Weird Traits|PRERACE:1,RACESUBTYPE=Elemental Weird																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Elemental Weird|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Elemental Weird]																																	
Elemental Weird Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Elemental Weird																												SOURCEPAGE:MM2	
Elemental Weird Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Elemental Command|Elemental Pool	SPELLS:Prescience|TIMES=ATWILL|CASTERLEVEL=16|Analyze Dweomer,16+CHA|Clairaudience/Clairvoyance,13+CHA|Contact Other Plane,15+CHA|Detect Thoughts,12+CHA|Discern Location,18+CHA|Find the Path,16+CHA|Foresight,19+CHA|Legend Lore,16+CHA|Locate Creature,14+CHA|Locate Object,12+CHA|Scrying (Greater),17+CHA|Tongues,13+CHA|True Seeing,16+CHA|Vision,17+CHA												SOURCEPAGE:MM2	
#Energon																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Energon Traits|PRERACE:1,RACESUBTYPE=Energon																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Energon|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Energon]																																	
Energon Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:Do not speack even among themselves.	KEY:Traits Output ~ Energon																												SOURCEPAGE:MotP	
Energon Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Explosion|Energy Ray													SOURCEPAGE:MotP	
#Ethergaunt																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Ethergaunt Traits|PRERACE:1,RACESUBTYPE=Ethergaunt																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Ethergaunt|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Ethergaunt]																																	
Ethergaunt Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES		KEY:Traits Output ~ Ethergaunt																												SOURCEPAGE:FFo	
Ethergaunt Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:EthergauntLanguage|1												ABILITY:Special Ability|AUTOMATIC|Enslave|Immunity To Arcane Spells|Material Jaunt|Stupefying Gaze|Total Vision		AUTO:LANG|Khen-Zai	LANGBONUS:Common,Draconic,Dwarven,Elven										SOURCEPAGE:FFo	
#Felldrake																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Felldrake Traits|PRERACE:1,RACESUBTYPE=Felldrake																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Felldrake|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Felldrake]																																	
Felldrake Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Felldrake																												SOURCEPAGE:MM2	
Felldrake Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis|Vision ~ Low-Light		AUTO:LANG|Draconic|Sylvan											SOURCEPAGE:MM2	
#Fensir																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Fensir Traits|PRERACE:1,RACESUBTYPE=Fensir																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Fensir|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Fensir]																																	
Fensir Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Fensir																												SOURCEPAGE:FFo	
Fensir Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Rock Catching|Rock Throwing|Vulnerability To Sunlight	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Transmute Mud to Rock,15+CHA|Transmute Rock to Mud,15+CHA												SOURCEPAGE:FFo	
#Flame Snake																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Flame Snake Traits|PRERACE:1,RACESUBTYPE=Flame Snake																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Flame Snake|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Flame Snake]																																	
Flame Snake Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Flame Snake																												SOURCEPAGE:FFo	
Flame Snake Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility										BONUS:SKILL|Climb|8|TYPE=Racial								ABILITY:Special Ability|AUTOMATIC|Heat|Scent|Skills ~ Flame Snake		AUTO:LANG|Ignan											SOURCEPAGE:FFo	
Skills	CATEGORY:Special Ability	TYPE:SpecialQuality		DESC:It can always take 10 on a climb check even if rushed or threatened.	KEY:Skills ~ Flame Snake																												SOURCEPAGE:FFo	
#Formian																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Formian Traits|PRERACE:1,RACESUBTYPE=Formian																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Formian|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Formian]																																	
Formian Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Formian																												SOURCEPAGE:FFo	
Formian Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility						DEFINE:FireResistanceBonus|20	DEFINE:ElectricityResistanceBonus|20	DEFINE:SonicResistanceBonus|20										ABILITY:Special Ability|AUTOMATIC|Hive Mind|Immunity To Cold|Immunity To Petrification|Immunity To Poison|Resistance To Electricity|Resistance To Fire|Resistance To Sonic													SOURCEPAGE:FFo	
#Genie																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Genie Traits|PRERACE:1,RACESUBTYPE=Genie																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Genie|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Genie]																																	
Genie Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Genie																												SOURCEPAGE:MM	
Genie Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																		ABILITY:Special Ability|AUTOMATIC|Plane Shift ~ Genie Shared													SOURCEPAGE:MM	
#Giant																																		
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Giant Traits|PRERACE:1,RACESUBTYPE=Giant																																	
CATEGORY=Internal|Master Traits.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Giant|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACESUBTYPE=Giant]																																	
Giant Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.RacialTrait	VISIBLE:YES	DESC:.	KEY:Traits Output ~ Giant																												SOURCEPAGE:MM	
