SOURCELONG:Book of Exalted Deeds	SOURCESHORT:EXD	SOURCEWEB:http://www.gozzilioni.net																																											
																																													
# BASICS																																													
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page				
Exalted Turning	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Turn Undead		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Exalted Wild Shape	TYPE:Exalted.Wild	VISIBLE:YES												PREALIGN:LG,NG,CG					PRETEXT:Wild shaping class of at least level 8th.	PREABILITY:1,CATEGORY=Special Ability,Wild Shape		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
#Favored of the Companions	TYPE:Exalted	VISIBLE:YES				!PREFEAT:1,Servant of the Heavens,Knight of Stars								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Favored of the Companions	TYPE:Exalted.HiddenCelestialPrereq	VISIBLE:YES				!PREFEAT:1,TYPE=CelestialAllegiance								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Fist of the Heavens	TYPE:Exalted.Fighter	VISIBLE:YES				PREFEAT:2,Sanctify Ki Strike,Stunning Fist								PREALIGN:LG,NG,CG	PRESTAT:1,WIS=15							ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Gift of Faith	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,WIS=13							ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Gift of Grace	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Divine Grace		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Hands of a Healer	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,CHA=13					PREABILITY:1,CATEGORY=Special Ability,Lay on Hands		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD	BONUS:VAR|LayOnHands|LayOnHandsLVL|TYPE=HandsOfAHealer			
Holy Ki Strike	TYPE:Exalted	VISIBLE:YES				PREFEAT:2,Improved Unarmed Strike,Sanctify Ki Strike								PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15						PREVARGTEQ:KiStrikeHoly,1	ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Holy Radiance	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Nimbus of Light								PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15							ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Holy Subdual	TYPE:Exalted.Fighter	VISIBLE:YES				PREFEAT:1,Subduing Strike								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Intuitive Attack	TYPE:Exalted.Fighter	VISIBLE:YES		PREATT:1										PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD		BONUS:COMBAT|TOHIT.Natural|(max(STR,WIS)-STR)|TYPE=IntuitiveAttack	BONUS:COMBAT|TOHIT.Simple|(max(STR,WIS)-STR)|TYPE=IntuitiveAttack	
#Knight of Stars	TYPE:Exalted	VISIBLE:YES				!PREFEAT:1,Servant of the Heavens,Favored of the Companions								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Knight of Stars	TYPE:Exalted	VISIBLE:YES				!PREFEAT:1,TYPE=CelestialAllegiance								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Nemesis	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Basic Favored Enemy		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text	STACK:NO	MULT:YES	CHOOSE:ABILITY|Special Ability|TYPE=FavoredEnemy														SOURCEPAGE:EXD				
Nimbus of Light	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
#Nonlethal Substitution	TYPE:Metamagic	VISIBLE:YES				PREFEAT:1,TYPE=Metamagic						PRESKILL:1,Knowledge (Arcana)=5												DESC:See Text	STACK:NO	MULT:YES	CHOOSE:STRING|Acid|Cold|Electricity|Fire|Sonic														SOURCEPAGE:EXD		ADDSPELLLEVEL:0		
Nymph's Kiss	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD		BONUS:SKILLPOINTS|NUMBER|1		
Purify Spell	TYPE:Metamagic	VISIBLE:YES												PREALIGN:LG,NG,CG										DESC:See Text																	SOURCEPAGE:EXD		ADDSPELLLEVEL:1		
Purify Spell Like Ability	TYPE:General	VISIBLE:YES	OUTPUTNAME:Purify Spell-Like Ability											PREALIGN:LG,NG,CG										DESC:See Text	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLBOOK=Innate														SOURCEPAGE:EXD				
Purify Spell Trigger	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Craft Wand,Craft Staff								PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Turn Undead		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Quell the Profane	TYPE:Exalted	VISIBLE:YES		PREATT:8		PREFEAT:2,Power Attack,Resounding Blow								PREALIGN:LG,NG,CG	PRESTAT:1,STR=13							ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Ranged Smite Evil	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Smite Evil		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Resounding Blow	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:1,Power Attack						PRESKILL:1,Intimidate=7			PRESTAT:1,STR=13									DESC:See Text																	SOURCEPAGE:EXD				
Righteous Wrath	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Sacred Strike	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Sneak Attack		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Sacred Vow	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text													BONUS:SKILL|Diplomacy|2|TYPE=Perfection				SOURCEPAGE:EXD				
Sanctify Ki Strike	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Improved Unarmed Strike								PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15						PREVARGTEQ:KiStrikeLawful,1	ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD		BONUS:VAR|KiStrikeHoly|1		
Sanctify Martial Strike	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15							ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|FEAT=Weapon Focus														SOURCEPAGE:EXD				
Sanctify Natural Attack	TYPE:Exalted	VISIBLE:YES		PREATT:5										PREALIGN:LG,NG,CG						PREWEAPONPROF:1,TYPE.Natural		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Sanctify Weapon	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PRESPELL:1,Align Weapon		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
#Servant of the Heavens	TYPE:Exalted	VISIBLE:YES				!PREFEAT:1,Knight of Stars,Favored of the Companions								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Servant of the Heavens	TYPE:Exalted	VISIBLE:YES				!PREFEAT:1,TYPE=CelestialAllegiance								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
#Spell Focus	vedi CD																																												
Stigmata	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Nimbus of Light								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Subduing Strike	TYPE:General.Fighter	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:EXD				
Touch of Golden Ice	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,CON=13							ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Vow of Abstinence	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Sacred Vow								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Vow of Chastity	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Sacred Vow								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Vow of Nonviolence	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Sacred Vow								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Vow of Obedience	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Sacred Vow								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Vow of Peace	TYPE:Exalted	VISIBLE:YES				PREFEAT:2,Sacred Vow,Vow of Nonviolence								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text													BONUS:SKILL|Diplomacy|4|TYPE=Exalted				SOURCEPAGE:EXD		BONUS:COMBAT|CA|2|TYPE=NaturalArmor	BONUS:COMBAT|CA|2|TYPE=Deflection	BONUS:COMBAT|CA|2|TYPE=Exalted
Vow of Poverty	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Sacred Vow								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Vow of Purity	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Sacred Vow								PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Words of Creation	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:2,CHA=15,INT=15					PRECHECKBASE:1,Will=5		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
#																																													
Blind Fight.MOD	TYPE:AnointedKnight																																												
Cleave.MOD	TYPE:AnointedKnight																																												
Endurance.MOD	TYPE:AnointedKnight																																												
Exalted Smite.MOD	TYPE:AnointedKnight																																												
Great Cleave.MOD	TYPE:AnointedKnight																																												
Holy Subdual.MOD	TYPE:AnointedKnight																																												
Improved Bull Rush.MOD	TYPE:AnointedKnight																																												
Improved Disarm.MOD	TYPE:AnointedKnight																																												
Improved Feint.MOD	TYPE:AnointedKnight																																												
Improved Overrun.MOD	TYPE:AnointedKnight																																												
Improved Sunder.MOD	TYPE:AnointedKnight																																												
Improved Trip.MOD	TYPE:AnointedKnight																																												
Mobility.MOD	TYPE:AnointedKnight																																												
Power Attack.MOD	TYPE:AnointedKnight																																												
Sanctify Martial Strike.MOD	TYPE:AnointedKnight																																												
Sanctify Weapon.MOD	TYPE:AnointedKnight																																												
Spring Attack.MOD	TYPE:AnointedKnight																																												
Subduing Strike.MOD	TYPE:AnointedKnight																																												
Whirlwind Attack.MOD	TYPE:AnointedKnight																																												
Vow of Abstinence.MOD	TYPE:InitiateOfPistisSophia																																												
Vow of Chastity.MOD	TYPE:InitiateOfPistisSophia																																												
Vow of Nonviolence.MOD	TYPE:InitiateOfPistisSophia																																												
Vow of Obedience.MOD	TYPE:InitiateOfPistisSophia																																												
Vow of Poverty.MOD	TYPE:InitiateOfPistisSophia																																												
Vow of Purity.MOD	TYPE:InitiateOfPistisSophia																																												
Flyby Attack.MOD	TYPE:FlyingMount																																												
Hover.MOD	TYPE:FlyingMount																																												
Multiattack.MOD	TYPE:FlyingMount																																												
Wingover.MOD	TYPE:FlyingMount																																												
Blind Fight.MOD	TYPE:VassalBahamut																																												
Cleave.MOD	TYPE:VassalBahamut																																												
Combat Reflexes.MOD	TYPE:VassalBahamut																																												
Exalted Smite.MOD	TYPE:VassalBahamut																																												
Gift of Faith.MOD	TYPE:VassalBahamut																																												
Gift of Grace.MOD	TYPE:VassalBahamut																																												
Great Cleave.MOD	TYPE:VassalBahamut																																												
Great Fortitude.MOD	TYPE:VassalBahamut																																												
Hands of a Healer.MOD	TYPE:VassalBahamut																																												
Holy Radiance.MOD	TYPE:VassalBahamut																																												
Improved Bull Rush.MOD	TYPE:VassalBahamut																																												
Improved Overrun.MOD	TYPE:VassalBahamut																																												
Improved Sunder.MOD	TYPE:VassalBahamut																																												
Iron Will.MOD	TYPE:VassalBahamut																																												
Lightning Reflexes.MOD	TYPE:VassalBahamut																																												
Negotiator.MOD	TYPE:VassalBahamut																																												
Nemesis.MOD	TYPE:VassalBahamut																																												
Nimbus of Light.MOD	TYPE:VassalBahamut																																												
Persuasive.MOD	TYPE:VassalBahamut																																												
Power Attack.MOD	TYPE:VassalBahamut																																												
Righteous Wrath.MOD	TYPE:VassalBahamut																																												
Sanctify Weapon.MOD	TYPE:VassalBahamut																																												
Weapon Focus.MOD	TYPE:VassalBahamut																																												
