SOURCELONG:Book of Exalted Deeds	SOURCESHORT:EXD	SOURCEWEB:http://www.gozzilioni.net																																																			
Prophet of Erathaol Ecstasy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ProphetOfErathaolEcstasyLVL|0					BONUS:VAR|EcstasyPerDay|ProphetOfErathaolEcstasyLVL																																							
Risen Martyr Holy Purpose	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:RisenMartyrHolyPurposeLVL|0					BONUS:VAR|HolyPurposeBonus|1+(RisenMartyrHolyPurposeLVL/3)																																							
Sentinel of Barrai Bear Form Progression	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SentinelOfBarraiBearFormLVL|0					BONUS:VAR|BearFormProgression|1|PREVARGTEQ:SentinelOfBarraiBearFormLVL,3	BONUS:VAR|BearFormProgression|1|PREVARGTEQ:SentinelOfBarraiBearFormLVL,7	BONUS:VAR|BearFormHD|SentinelOfBarraiBearFormLVL																SOURCEPAGE:EXD																					
Sentinel of Barrai Cavalry of Dire Bears	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|CavalryOfDireBearsPerWeek|0																																							
Skylord Improved Mounted Combat	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SkylordImprovedMountedCombatLVL|0					BONUS:VAR|ImprovedMountedCombatBonus|(((SkylordImprovedMountedCombatLVL-1)/2)*2)																																							
Skylord Deadly Charge ~ attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DeadlyChargeDie|6	BONUS:VAR|DeadlyCharge|2																																						
Skylord Summon Tempest	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SummonTempestPerWeek|1																																							
Slayer of Domiel Death Touch	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SlayerOfDomielDeathTouchLVL|0					BONUS:VAR|DeathTouchDie|SlayerOfDomielDeathTouchLVL	BONUS:VAR|DeathTouch|1|PREVARGTEQ:SlayerOfDomielDeathTouchLVL,1	BONUS:VAR|DeathTouch|1|PREVARGTEQ:SlayerOfDomielDeathTouchLVL,4	BONUS:VAR|DeathTouch|1|PREVARGTEQ:SlayerOfDomielDeathTouchLVL,8	BONUS:VAR|DeathTouch|1|PREVARGTEQ:SlayerOfDomielDeathTouchLVL,10																																			
Slayer of Domiel Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SlayerOfDomielSneakAttackLVL|0					BONUS:VAR|SneakAttack|(SlayerOfDomielSneakAttackLVL+1)/2																																							
Stalker of Karash Favored Enemy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:StalkerOfKarashFavoredEnemyLVL|0					BONUS:VAR|FavoredKharashEnemies|1	BONUS:VAR|FavoredEBonuses|1	BONUS:VAR|FavoredKharashEBonuses|1																																					
Stalker of Kharash Smite Evil	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:StalkerOfKharashSmiteEvilLVL|0					BONUS:VAR|SmiteEvilDamage|StalkerOfKharashSmiteEvilLVL	BONUS:VAR|SmiteEvil|(StalkerOfKharashSmiteEvilLVL-4)/2	BONUS:VAR|SmiteEvilToHit|max(max(CHA,0),0)-max(CHA,0)+4																SOURCEPAGE:EXD																					
Swanmay Shifting	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SwanmayShiftingLVL|0					BONUS:VAR|ShiftingPerDay|1|PREVARGTEQ:SwanmayShiftingLVL,1	BONUS:VAR|ShiftingPerDay|1|PREVARGTEQ:SwanmayShiftingLVL,2	BONUS:VAR|ShiftingPerDay|1|PREVARGTEQ:SwanmayShiftingLVL,3	BONUS:VAR|ShiftingPerDay|1|PREVARGTEQ:SwanmayShiftingLVL,6	BONUS:VAR|ShiftingPerDay|1|PREVARGTEQ:SwanmayShiftingLVL,10																																			
Swanmay Wild Empathy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SwanmayWildEmpathyLVL|0					BONUS:VAR|WildEmpathy|2|PREVARGTEQ:SwanmayWildEmpathyLVL,4	BONUS:VAR|WildEmpathy|2|PREVARGTEQ:SwanmayWildEmpathyLVL,8	BONUS:VAR|WildEmpathy|2|PREVARGTEQ:SwanmayWildEmpathyLVL,10																																					
Swanmay Favored Enemy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FavoredEnemies|1	BONUS:VAR|FavoredEBonuses|1																																						SOURCEPAGE:ClassesII.rtf
Vassal of Bahamut Imperious Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VassalOfBahamutImperiousAuraLVL|0					BONUS:VAR|ImperiousAuraBonus|VassalOfBahamutImperiousAuraLVL																																							
Vassal of Bahamut Dragonwrack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:VassalOfBahamutDragonwrackLVL|0					BONUS:VAR|Dragonwrack|1+((VassalOfBahamutDragonwrackLVL-1)/3)	BONUS:VAR|DragonwrackDie|6																																						
Rhek Smite Chaos	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SmiteChaosDamage|5	BONUS:VAR|SmiteChaos|3																																						
