SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net/																		
																				
###Block:Familiar																				
# Class of the Master	Type	Spell Res.		Ability		Copy Masters BAB	Copy Masters Checks	HP formula based on Master	Use Masters skills?	Define		Combat bonus			Main Race Type					
FOLLOWER:EcLevel=6	TYPE:Exalted Companion	HD:2		ABILITY:Special Ability|AUTOMATIC|Devotion								BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1	BONUS:STAT|DEX|1					
FOLLOWER:EcLevel=9	TYPE:Exalted Companion	HD:2								VFEAT:Multiattack|PREHANDSGTEQ:3	AUTO:FEAT|Multiattack	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1	BONUS:STAT|DEX|1					
FOLLOWER:EcLevel=12	TYPE:Exalted Companion	HD:2										BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1	BONUS:STAT|DEX|1					
FOLLOWER:EcLevel=15	TYPE:Exalted Companion	HD:2		ABILITY:Special Ability|AUTOMATIC|Improved Evasion								BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1	BONUS:STAT|DEX|1					
FOLLOWER:EcLevel=18	TYPE:Exalted Companion	HD:2										BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1	BONUS:STAT|DEX|1					
																				
FOLLOWER:CULevel=1	TYPE:Unicorn Mount	ABILITY:Special Ability|AUTOMATIC|Telepathic Bond																		
FOLLOWER:CULevel=6	TYPE:Unicorn Mount	ABILITY:Special Ability|AUTOMATIC|Celestial Charger																		
																				
FOLLOWER:FlMLevel=1	TYPE:Flying mount	HD:2		ABILITY:Special Ability|AUTOMATIC|Celestial Flying Mount|Empathic Link	ABILITY:Special Ability|AUTOMATIC|Share Spells|Flying Mount ~ Improved Natural Attacks							BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1						
FOLLOWER:FlMLevel=4	TYPE:Flying mount	HD:2		ABILITY:Special Ability|AUTOMATIC|Flying Mount ~ Improved Fly Speed|Flying Mount ~ Deadly Charge								BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1						
FOLLOWER:FlMLevel=7	TYPE:Flying mount	HD:2	SR:12	ABILITY:Special Ability|AUTOMATIC|Immunity To Hold Effects|Immunity To Paralysis|Immunity To Sleep|Immunity To Charm Effects|Immunity to Compulsion Effects								BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1						
FOLLOWER:FlMLevel=8	TYPE:Flying mount		SR:13																	
FOLLOWER:FlMLevel=9	TYPE:Flying mount		SR:14																	
FOLLOWER:FlMLevel=10	TYPE:Flying mount	HD:2	SR:15									BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:STAT|STR|1						BONUS:ABILITYPOOL|Flying Mount Feat|1
