SOURCELONG:Lord of Madness	SOURCESHORT:LoM	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells						
Neogi (Dwarf)			STARTFEATS:1	SIZE:T	MOVE:Walk,20,Climb,20	FACE:2.5	REACH:0	VISION:Darkvision (60')			AUTO:LANG|Common		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial		BONUS:VAR|PoisonDC|3|TYPE=Racial		BONUS:STAT|STR|-6	BONUS:STAT|DEX|8	BONUS:STAT|CON|-2	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Climb|Disable Device|Hide|Intimidate|Jump|Move Silently|Search|Spot					AUTO:FEAT|Weapon Finesse				LEGS:6	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,1d3						ABILITY:Special Ability|AUTOMATIC|Neogi Skills					MONSTERCLASS:Aberration:3	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration|Neogi						CR:4	SOURCEPAGE:LoM, pag 94	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Crushing Despair,14+CHA|Daze Monster,12+CHA|Deep Slumber,13+CHA|Suggestion,13+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Charm Monster,14+CHA|Fear,14+CHA|Feeblemind,15+CHA					
Grell.MOD											AUTO:LANG|Grell																																ABILITY:Special Ability|AUTOMATIC|Expert Grappler|Sightless											RACESUBTYPE:Grell																
Grell (Hatchling)	OUTPUTNAME:Grell, Hatchling		STARTFEATS:1	SIZE:T	MOVE:Walk,5,Fly,20	FACE:2.5	REACH:0	VISION:Blindsight (60')			AUTO:LANG|Grell		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|2|TYPE=Racial				BONUS:STAT|STR|-8	BONUS:STAT|DEX|4	BONUS:STAT|CON|-2	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently									LEGS:0	HANDS:1				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1		ABILITY:Special Ability|AUTOMATIC|Flight (Ex)|Immunity To Electricity|Immunity To Paralysis|Sightless					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Aberration:1	RACETYPE:Aberration	RACESUBTYPE:Grell	TYPE:Aberration	TEMPLATE:Aberration						CR:1/3	SOURCEPAGE:LoM, pag 111.		DEFINE:Maneuverability|5					
Grell (Juvenile)	OUTPUTNAME:Grell, Juvenile		STARTFEATS:1	SIZE:S	MOVE:Walk,5,Fly,30	FACE:5	REACH:5	VISION:Blindsight (60')			AUTO:LANG|Grell		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|2|TYPE=Racial				BONUS:STAT|STR|-8	BONUS:STAT|DEX|4	BONUS:STAT|CON|-2	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently									LEGS:0	HANDS:10				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*10,1d3		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab|Paralysis (Ex)	ABILITY:Special Ability|AUTOMATIC|Flight (Ex)|Immunity To Electricity|Immunity To Paralysis|Sightless				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Aberration:2	RACETYPE:Aberration	RACESUBTYPE:Grell	TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:9		CR:2	SOURCEPAGE:LoM, pag 111.		DEFINE:Maneuverability|5					
Tsochar			STARTFEATS:1	SIZE:S	MOVE:Walk,20,Climb,20	FACE:5	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Tsochar		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SKILL|Use Magic Device|4|TYPE=Racial		BONUS:SKILL|Climb|DEX-STR	BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Climb|Hide|Knowledge (Dungeoneering)|Move Silently|Sense Motive|Spot|Use Magic Device					AUTO:FEAT|Weapon Finesse				LEGS:0	HANDS:4				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d4		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab|Poison|Take Spell|Wear Flesh	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Telepathy			ABILITY:Special Ability|AUTOMATIC|Tsochar Skills		SR:14	DR:5/Adamantine		MONSTERCLASS:Aberration:4	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration	TEMPLATE:Shapechanger			HITDICEADVANCEMENT:5,12		CR:4	SOURCEPAGE:LoM, pag 122.		BONUS:VAR|ColdResistanceBonus|5	BONUS:VAR|TelepathyRange|100				
Tsochar (Noble)	OUTPUTNAME:Tsochar, [NAME]	FAVCLASS:Sorcerer|Wizard	STARTFEATS:1	SIZE:S	MOVE:Walk,20,Climb,20	FACE:5	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Tsochar		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SKILL|Use Magic Device|4|TYPE=Racial		BONUS:SKILL|Climb|DEX-STR	BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Climb|Hide|Knowledge (Dungeoneering)|Move Silently|Sense Motive|Spot|Use Magic Device					AUTO:FEAT|Weapon Finesse				LEGS:0	HANDS:4				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d4		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab|Poison|Take Spell|Wear Flesh	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Telepathy			ABILITY:Special Ability|AUTOMATIC|Tsochar Skills		SR:14	DR:5/Adamantine		MONSTERCLASS:Aberration:8	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration	TEMPLATE:Shapechanger			HITDICEADVANCEMENT:12		CR:4	SOURCEPAGE:LoM, pag 122.		BONUS:VAR|ColdResistanceBonus|5	BONUS:VAR|TelepathyRange|100				
Tsochar (Strand)	OUTPUTNAME:Tsochar, [NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Climb,10	FACE:2.5	REACH:0	VISION:Darkvision (60')					BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SKILL|Use Magic Device|4|TYPE=Racial		BONUS:SKILL|Climb|DEX-STR	BONUS:STAT|STR|-6	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Hide|Spot					AUTO:FEAT|Weapon Finesse				LEGS:0	HANDS:4				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d3		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab|Poison	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold			ABILITY:Special Ability|AUTOMATIC|Tsochar Skills			DR:5/Adamantine		MONSTERCLASS:Aberration:1	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration	TEMPLATE:Shapechanger			HITDICEADVANCEMENT:4		CR:1/2	SOURCEPAGE:LoM, pag 122.		BONUS:VAR|ColdResistanceBonus|5					
#Beholder	OUTPUTNAME:Beholder		STARTFEATS:1	SIZE:L	MOVE:Walk,5,Fly,20	FACE:10	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Hide|Knowledge (Arcana)|Listen|Search|Spot|Survival					VFEAT:Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*10,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Antimagic Cone									MONSTERCLASS:Aberration:11	RACETYPE:Aberration	RACESUBTYPE:Beholder	TYPE:Aberration	TEMPLATE:Aberration|Beholder				HITDICEADVANCEMENT:16,33		CR:13	SOURCEPAGE:MM							
Beholder (Hive Mother)	OUTPUTNAME:Beholder, Hive Mother		STARTFEATS:1	SIZE:H	MOVE:Walk,5,Fly,20	FACE:15	REACH:10	VISION:Darkvision (60')					BONUS:COMBAT|AC|25|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|12	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|14			MONCSKILL:Hide|Intimidate|TYPE.Knowledge|Listen|Search|Spot|Survival					AUTO:FEAT|Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*10,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Command Beholder|Improved Grab|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Antimagic Cone				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Aberration:20	RACETYPE:Aberration	RACESUBTYPE:Beholder	TYPE:Aberration	TEMPLATE:Aberration|Beholder				HITDICEADVANCEMENT:30,50,60		CR:16	SOURCEPAGE:LoM		DEFINE:Maneuverability|4					
Beholder (Director)	OUTPUTNAME:Beholder, Director		STARTFEATS:1	SIZE:L	MOVE:Walk,5,Fly,20	FACE:10	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Handle Animal,Ride|8|TYPE=Racial				BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|8			MONCSKILL:Handle Animal|Listen|Ride|Search|Spot					AUTO:FEAT|Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*6,0|Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*3,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8			ABILITY:Special Ability|AUTOMATIC|Deflection ~ Beholder Director|Verminbond				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:16			MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Beholder	TYPE:Aberration	TEMPLATE:Aberration|Beholder				HITDICEADVANCEMENT:16,24		CR:8	SOURCEPAGE:LoM		DEFINE:Maneuverability|4					
Beholder (Eye of the Deep)	OUTPUTNAME:Beholder, Eye of the Deep		STARTFEATS:1	SIZE:L	MOVE:Walk,5,Fly,20,Swim,30	FACE:10	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Aquan		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10		BONUS:STAT|CON|8	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Search|Spot|Survival					AUTO:FEAT|Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*2,0|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Baleful Flash|Constrict|Improved Grab					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Aberration:12	RACETYPE:Aberration	RACESUBTYPE:Beholder|Aquatic	TYPE:Aberration	TEMPLATE:Aberration|Beholder	TEMPLATE:Aquatic			HITDICEADVANCEMENT:20,30,36		CR:8	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Persistent Image,15+CHA	DEFINE:Maneuverability|4					
Beholderkin (Overseer)	OUTPUTNAME:Beholderkin, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,5	FACE:10	REACH:10	VISION:Darkvision (60')					BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|10	BONUS:STAT|WIS|8	BONUS:STAT|CHA|12			MONCSKILL:TYPE.Knowledge|Listen|Search|Spot|Survival					AUTO:FEAT|Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Touch,*13,0|Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*8,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*3,1d8		ABILITY:Special Ability|AUTOMATIC|Command Beholder|Constrict|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Fungus Armor					SR:23			MONSTERCLASS:Aberration:14	RACETYPE:Aberration	RACESUBTYPE:Beholder	TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:28,42		CR:15	SOURCEPAGE:LoM							
Beholderkin (Spectator)	OUTPUTNAME:Beholderkin [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,5,Fly,20	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Telepathy		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Knowledge (The Planes)|Listen|Search|Sense Motive|Spot|Survival					AUTO:FEAT|Alertness				LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Finesseable.Touch,*4,0|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6			ABILITY:Special Ability|AUTOMATIC|Planar Fast Healing ~ Mechanus|Spell Turning				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:12			MONSTERCLASS:Aberration:4	RACETYPE:Aberration	RACESUBTYPE:Beholder	TYPE:Aberration	TEMPLATE:Aberration|Beholder	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:12		CR:4	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=3|CASTERLEVEL=6|Create Food and Water	DEFINE:Maneuverability|4	BONUS:VAR|TelepathyRange|100	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Plane Shift,15+CHA			
Cildabrin			STARTFEATS:1	SIZE:L	MOVE:Walk,50,Climb,20	FACE:10	REACH:10	VISION:Darkvision (60')|Tremorsense (60')					BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SKILL|Spot|4|TYPE=Racial			BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|10			BONUS:STAT|CHA|2			MONCSKILL:Climb|Jump|Move Silently|Spot									LEGS:6	HANDS:2				NATURALATTACKS:Pincer,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Tail Stinger,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Poison,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab|Poison				ABILITY:Special Ability|AUTOMATIC|Cildabrin Skills					MONSTERCLASS:Aberration:11	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:21,33		CR:7	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Darkness|Silence,15+CHA|Spike Stones,15+CHA						
Elder Brain			STARTFEATS:1	SIZE:L	MOVE:Walk,10,Fly,30,Swim,30	FACE:10	REACH:10	VISION:Blindsight (240')		PREALIGN:LE	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|28	BONUS:STAT|INT|18	BONUS:STAT|WIS|14	BONUS:STAT|CHA|16			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Intimidate|Knowledge (Arcana)|Knowledge (History)|Knowledge (The Planes)|Listen|Sense Motive|Spellcraft|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Tendrils,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d6		ABILITY:Special Ability|AUTOMATIC|Extract|Mind Blast (Sp)	ABILITY:Special Ability|AUTOMATIC|Bud Brain Golem|Regeneration|Resistance to Cold|Resistance to Fire|Telepathic Awareness				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:34	DR:15/Adamantine		MONSTERCLASS:Elder Brain:26	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:38,78		CR:25	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Astral Projection|Charm Monster,14+CHA|Detect Thoughts,12+CHA|Dominate Monster,19+CHA|Suggestion (Mass),16+CHA|Plane Shift	DEFINE:Maneuverability|4	BONUS:VAR|TelepathyRange|350	BONUS:VAR|MindBlastDC|16	BONUS:VAR|RegenerationRate|10	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10
Elder Brain (Psionic)	OUTPUTNAME:Elder Brain, Psionic		STARTFEATS:1	SIZE:L	MOVE:Walk,10,Fly,30,Swim,30	FACE:10	REACH:10	VISION:Blindsight (240')		PREALIGN:LE	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|28	BONUS:STAT|INT|18	BONUS:STAT|WIS|14	BONUS:STAT|CHA|16			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Intimidate|Knowledge (Dungeoneering)|Knowledge (The Planes)|Knowledge (Psionics)|Listen|Psicraft|Sense Motive|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Tendrils,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d6		ABILITY:Special Ability|AUTOMATIC|Extract|Mind Blast (Sp)	ABILITY:Special Ability|AUTOMATIC|Bud Brain Golem|Regeneration|Resistance to Cold|Resistance to Fire|Telepathic Awareness				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:34	DR:15/Adamantine		MONSTERCLASS:Elder Brain ~ Psionic:26	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:38,78		CR:25	SOURCEPAGE:LoM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Astral Projection|Charm Monster,14+CHA|Detect Thoughts,12+CHA|Dominate Monster,19+CHA|Suggestion (Mass),16+CHA|Plane Shift	DEFINE:Maneuverability|4	BONUS:VAR|TelepathyRange|350	BONUS:VAR|MindBlastDC|16	BONUS:VAR|RegenerationRate|10	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10
Gas Spore			STARTFEATS:1	SIZE:L	MOVE:Walk,5,Fly,20	FACE:10	REACH:5	VISION:Low-Light		PREALIGN:TN									BONUS:STAT|STR|6	BONUS:STAT|DEX|-6	BONUS:STAT|CON|-6			BONUS:STAT|CHA|-10			MONCSKILL:Disguise|Search|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Death Throes|Infestation	ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Beholder Camouflage|Flight (Ex)				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plant:10	RACETYPE:Plant		TYPE:Plant	TEMPLATE:Plant|Mindless						CR:3	SOURCEPAGE:LoM		DEFINE:Maneuverability|1					
