SOURCELONG:Ravenloft Player's Handbook	SOURCESHORT:RLPHB	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Rogue Special Abilities																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
Vechor	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Vechor Region													SOURCEPAGE:RLPHB
Vebrek	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES																TEMPLATE:Vebrek Region													SOURCEPAGE:RLPHB
Amber Wastes (Har'Akir)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Amber Wastes, Har'Akir															TEMPLATE:Har'Akir Region													SOURCEPAGE:RLPHB
Amber Wastes (Pharazia)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Amber Wastes, Pharazia															TEMPLATE:Pharazia Region													SOURCEPAGE:RLPHB
Amber Wastes (Sebua)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Amber Wastes, Sebua															TEMPLATE:Sebua Region													SOURCEPAGE:RLPHB
Frozen Reaches (Sanguinia)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Frozen Reaches, Sanguinia															TEMPLATE:Sanguinia Region													SOURCEPAGE:RLPHB
Frozen Reaches (Vorostokov)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Frozen Reaches, Vorostokov															TEMPLATE:Vorostokov Region													SOURCEPAGE:RLPHB
Shadowlands (Avonleigh)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Shadowlands, Avonleigh															TEMPLATE:Avonleigh Region													SOURCEPAGE:RLPHB
Shadowlands (Nidala)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Shadowlands, Nidala															TEMPLATE:Nidala Region													SOURCEPAGE:RLPHB
Shadowlands (Shadowmanor)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Shadowlands, Shadowmanor															TEMPLATE:Shadowmanor Region													SOURCEPAGE:RLPHB
Verdurous Land (Saragoss)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Verdurous Lands, Saragoss															TEMPLATE:Saragoss Region													SOURCEPAGE:RLPHB
Verdurous Land (Sri Raji)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Verdurous Lands, Sri Raji															TEMPLATE:Sri Raji Region													SOURCEPAGE:RLPHB
Verdurous Land (Wildland)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Verdurous Lands, Wildlands															TEMPLATE:Wildlands Region													SOURCEPAGE:RLPHB
Zherisia (Paridon)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Zherisia, Paridon															TEMPLATE:Paridon Region													SOURCEPAGE:RLPHB
Zherisia (Timor)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Zherisia, Timor															TEMPLATE:Timor Region													SOURCEPAGE:RLPHB
Island of Terror (Bluetspur)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Islands of Terror, Bluetspur															TEMPLATE:Bluetspur Region													SOURCEPAGE:RLPHB
Island of Terror (G'henna)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Islands of Terror, G'Henna															TEMPLATE:G'Henna Region													SOURCEPAGE:RLPHB
Island of Terror (Odiare)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Islands of Terror, Odiare															TEMPLATE:Odiare Region													SOURCEPAGE:RLPHB
Island of Terror (Rokushima Tayioo)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Islands of Terror, Taiyoo															TEMPLATE:Taiyoo Region													SOURCEPAGE:RLPHB
Island of Terror (Souragne)	CATEGORY:Regional	TYPE:RavenloftRegion	VISIBLE:YES	OUTPUTNAME:Islands of Terror, Souragne															TEMPLATE:Souragne Region													SOURCEPAGE:RLPHB
