SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com																			
																					
# Equipment Name		Type	Cost	Weight	Source Page					Bonus to skill		Desc	Special Property								
#Banner of Valor		TYPE:Magic.Wondrous	COST:61000	WT:10	SOURCEPAGE:AaEG									SPELLS:Banner of Valor|TIMES=ATWILL|CASTERLEVEL=9|Remove Fear	SPELLS:Banner of Valor|TIMES=3|CASTERLEVEL=9|Healing Circle,17						
Banner of Valor		TYPE:Magic.Wondrous	COST:61000	WT:10	SOURCEPAGE:AaEG									SPELLS:Banner of Valor|TIMES=ATWILL|CASTERLEVEL=9|Remove Fear	SPELLS:Banner of Valor|TIMES=3|CASTERLEVEL=9|Cure Light Wounds (Mass),17						
Belt of Endurance		TYPE:Magic.Wondrous.Belt	COST:10000	WT:1	SOURCEPAGE:AaEG									BONUS:STAT|CON|2|TYPE=Enhancement	VFEAT:Great Fortitude						
Blindfold of True Darkness		TYPE:Magic.Wondrous.Eyegear	COST:9000	WT:0	SOURCEPAGE:AaEG									VISION:Blindsight (60')	ABILITY:Special Ability|VIRTUAL|Immunity To Gaze						
Bracers of Exit		TYPE:Magic.Wondrous.Bracer	COST:11200	WT:1	SOURCEPAGE:AaEG								SPROP:Negate one Dimensional Anchor per day								
Boots of Mountain King		TYPE:Magic.Wondrous.Boot	COST:48810	WT:1	SOURCEPAGE:AaEG								SPROP:Full movement on rocky, rugged or mountain terrain.	SPELLS:Boots of Mountain|TIMES=2|CASTERLEVEL=12|Stoneskin,16							
Boots of the Sea		TYPE:Magic.Wondrous.Boot	COST:56500	WT:1	SOURCEPAGE:AaEG									BONUS:SKILL|Swim|10|TYPE=Competence	SPELLS:Boots of the Sea|TIMES=ATWILL|CASTERLEVEL=5|Water Walk|Water Breathing						
Boots (Steadfast)	OUTPUTNAME:[NAME] Boots	TYPE:Magic.Wondrous.Boot	COST:6000	WT:1	SOURCEPAGE:AaEG								SPROP:Cannot be tripped or pushed back by Bull Rush. If the wearer has a Medium or greater weapon also count as being set against a charge.								
Boots of Tracklessness		TYPE:Magic.Wondrous.Boot	COST:33500	WT:1	SOURCEPAGE:AaEG								SPROP:Pass without Trace always active	SPELLS:Boots of Tracklessness|TIMES=3|CASTERLEVEL=7|Invisibility (Greater),16							
Boots of Woodland Striding		TYPE:Magic.Wondrous.Boot	COST:23600	WT:1	SOURCEPAGE:AaEG								SPROP:Full movement in forest or jungle.	SPELLS:Boots of Woodland Striding|TIMES=ATWILL|CASTERLEVEL=12|Detect Snares and Pits	SPELLS:Boots of Woodland Striding|TIMES=3|CASTERLEVEL=12|Tree Stride,16						
Candle of Icy Death		TYPE:Magic.Wondrous.Candle.Consumable.LightSource	COST:34800	WT:1	SOURCEPAGE:AaEG								SPROP:Every minute that the candle burn, the temperature in 20-ft radius lower by 1°F until 0° F. Prevent natural and magical healing.	QUALITY:Shadowy Illumination|5 ft.	QUALITY:Duration|1 hr.						
Chocker of Eloquence (Lesser)		TYPE:Magic.Wondrous.Amulet	COST:1500	WT:0	SOURCEPAGE:AaEG					BONUS:SKILL|Diplomacy,Innuendo,Bluff,Perform (Oratory)|5|TYPE=Competence											
Chocker of Eloquence (Greater)		TYPE:Magic.Wondrous.Amulet	COST:6000	WT:0	SOURCEPAGE:AaEG					BONUS:SKILL|Diplomacy,Innuendo,Bluff,Perform (Oratory)|10|TYPE=Competence											
Cinders of the Inferno		TYPE:Magic.Wondrous	COST:7650	WT:0	SOURCEPAGE:AaEG								SPROP:In 1d4+1 rounds small fire elementals leaps from.								
Clasp of the Elder		TYPE:Magic.Wondrous.Amulet	COST:6000	WT:10	SOURCEPAGE:AaEG					BONUS:SKILL|Competence|1|TYPE=Enhamcement|!PRERACE:1,RACESUBTYPE=Dwarf	BONUS:SKILL|Diplomacy,Intimidate|5|TYPE=Competence|PRERACE:1,RACESUBTYPE=Dwarf			BONUS:STAT|WIS|2|TYPE=Enhancement|PRERACE:1,RACESUBTYPE=Dwarf							
Cloak of Shelter		TYPE:Magic.Wondrous.Cape	COST:12080	WT:1	SOURCEPAGE:AaEG								SPROP:On command the cloak transform into a 4-person tent. The tent includes an Alarm spell.								
Coin of Eternal Rest		TYPE:Magic.Wondrous.Coin	COST:6000	WT:0	SOURCEPAGE:AaEG								SPROP:Prevent a corpse beins Resurrected, Raised or turned into undead.								
Dimensional Chalk Holder		TYPE:Magic.Wondrous	COST:22950	WT:0	SOURCEPAGE:AaEG		EQMOD:CHARGED_ITEM_5|CHARGES[5]						SPROP:A normal chalk is imbued the ability to draw in air 1d4+1 times. The draws are a Gate to whenever wish.								
Dragonfly Medallion		TYPE:Magic.Wondrous.Amulet	COST:29760	WT:0	SOURCEPAGE:AaEG									VFEAT:Improved Initiative|!PREFEAT:1,Improved Initiative	BONUS:COMBAT|INITIATIVE|1|TYPE=Enhancement|PREFEAT:1,Improved Initiative						
Droplets of the Storm		TYPE:Magic.Wondrous	COST:7650	WT:0	SOURCEPAGE:AaEG								SPROP:In 1d4+1 rounds small water elementals leaps from.								
Dust of Zephyr		TYPE:Magic.Wondrous	COST:7650	WT:0	SOURCEPAGE:AaEG								SPROP:In 1d4+1 rounds small air elementals leaps from.								
Dimensional Prism		TYPE:Magic.Wondrous	COST:17600	WT:0	SOURCEPAGE:AaEG								SPROP:Shatter to the floor to force any being in 30-ft in transitive planes ti Will save DC 30 or forced into Material plane for 1d6 rounds								
Everfull Mug		TYPE:Magic.Wondrous	COST:800	WT:0	SOURCEPAGE:AaEG								SPROP:3/day fills the mug with 12 ounce of water, cheap ale or watery wine.								
Everlasting Feedbag		TYPE:Magic.Wondrous	COST:15000	WT:1	SOURCEPAGE:AaEG								SPROP:When on the muzzle of Horse, Donkey or other equine it produces an unlimited amount of suitable feed.								
Eversoaking Sponge		TYPE:Magic.Wondrous	COST:26400	WT:0	SOURCEPAGE:AaEG								SPROP:Absorbs 1000 gallons of water per rounds. For other liquids functions as a normal sponge.								
Fan Furious Flame		TYPE:Magic.Wondrous	COST:18750	WT:1	SOURCEPAGE:AaEG								SPROP:3/day the fan create a cone 30-ft long that causes any open flames to explodes (Ref DC 15 for half)								
Fruit Blossom Spike		TYPE:Magic.Wondrous	COST:5800	WT:0	SOURCEPAGE:AaEG								SPROP:When driven or hammered into a fruit tree, it causes the tree to go through fast rejuvenation, growing extremely healthy and producing enormous fruit. After one full round wither and die.								
Gloves of Brachiation		TYPE:Magic.Wondrous.Glove	COST:4000	WT:0	SOURCEPAGE:AaEG					BONUS:SKILL|Jump|10|TYPE=Circumstance				MOVECLONE:Walk,Brachiation,*1							
Googles of the Day		TYPE:Magic.Wondrous.Eyegear	COST:4000	WT:0	SOURCEPAGE:AaEG								SPROP:No penalty in bright light such Flare, Sunbeam or Sunburst spells.								
Hammersphere		TYPE:Magic.Wondrous	COST:2500	WT:0	SOURCEPAGE:AaEG								SPROP:Once per day function as Spiritual Weapon, but does 3d6 hp damage.								
Hat of Anonymity		TYPE:Magic.Wondrous.Headgear	COST:34050	WT:0	SOURCEPAGE:AaEG					BONUS:SKILL|Hide|10|TYPE=Circumstance			SPROP:Nondetection always active.								
Horned Helm		TYPE:Magic.Wondrous.Headgear	COST:38000	WT:1	SOURCEPAGE:AaEG			BONUS:MOVEMULT|TYPE.Walk|2					SPROP:Horned helm, +2 Enhancement to hit with horns and 1d8 damage. 								
Idol of False Vision		TYPE:Magic.Wondrous	COST:54500	WT:400	SOURCEPAGE:AaEG									SPELLS:Idol of False Vision|TIMES=3|CASTERLEVEL=10|False Vision,17							
Incense of the Gorgon		TYPE:Magic.Wondrous	COST:6600	WT:0	SOURCEPAGE:AaEG								SPROP:When burned all creature in 10-ft radius must Fort save DC 19 or be turned to stone								
Insatiable Locust		TYPE:Magic.Wondrous	COST:29975	WT:10	SOURCEPAGE:AaEG								SPROP:Jade Locust tiny construct.								
Ioun Stone of Resistance +1		TYPE:Magic.Wondrous.IounStone	COST:2000	WT:0	SOURCEPAGE:AaEG	BONUS:CHECKS|Fortitude,Will,Reflex|1|TYPE=Resistance							SPROP:+1 Resistance on all saving throw								
Ioun Stone of Resistance +2		TYPE:Magic.Wondrous.IounStone	COST:8000	WT:0	SOURCEPAGE:AaEG	BONUS:CHECKS|Fortitude,Will,Reflex|2|TYPE=Resistance							SPROP:+2 Resistance on all saving throw								
Ioun Stone of Resistance +3		TYPE:Magic.Wondrous.IounStone	COST:18000	WT:0	SOURCEPAGE:AaEG	BONUS:CHECKS|Fortitude,Will,Reflex|3|TYPE=Resistance							SPROP:+3 Resistance on all saving throw								
Ioun Stone of Resistance +4		TYPE:Magic.Wondrous.IounStone	COST:32000	WT:0	SOURCEPAGE:AaEG	BONUS:CHECKS|Fortitude,Will,Reflex|4|TYPE=Resistance							SPROP:+4 Resistance on all saving throw								
Ioun Stone of Resistance +5		TYPE:Magic.Wondrous.IounStone	COST:50000	WT:0	SOURCEPAGE:AaEG	BONUS:CHECKS|Fortitude,Will,Reflex|5|TYPE=Resistance							SPROP:+5 Resistance on all saving throw								
Lantern of Brightness		TYPE:Magic.Wondrous.LightSource	COST:66520	WT:3	SOURCEPAGE:AaEG								SPROP:Permanent Light spell.	SPELLS:Lantern of Brightness|TIMES=2|CASTERLEVEL=13|Sunbeam,18							
Libram of Flesh		TYPE:Magic.Wondrous.Book	COST:178500	WT:5	SOURCEPAGE:AaEG		EQMOD:CHARGED_ITEM_7|CHARGES[7]						SPROP:Details the creation of a Golem								
Magebane Manacles		TYPE:Magic.Wondrous.Bracer	COST:132000	WT:2	SOURCEPAGE:AaEG		EQMOD:MWORKI						SPROP:The manacles has an Antimagic Fields that extends to anyone locked with them including the object is carrying								
Mask of Lies		TYPE:Magic.Wondrous.Headgear	COST:17000	WT:0	SOURCEPAGE:AaEG					BONUS:SKILL|Bluff|5			SPROP:Undetectable Alignment always active.	SPELLS:Mask of Lies|TIMES=-1|CASTERLEVEL=5|Alter Self,11							
Mask of the Feather Queen		TYPE:Magic.Wondrous.Headgear	COST:27120	WT:0	SOURCEPAGE:AaEG									SPELLS:Mask of the Feather Queen|TIMES=ATWILL|CASTERLEVEL=12|Levitate|Charm Animal	SPELLS:Mask of the Feather Queen|TIMES=1|CASTERLEVEL=12|Fly,14						
Medallion of Contact		TYPE:Magic.Wondrous.Amulet	COST:5000	WT:0	SOURCEPAGE:AaEG								SPROP:Once per day on command forge a telepathic bond for 1 minute with one person within 1 mile.								
Medallion of the Lycanthrope		TYPE:Magic.Wondrous.Amulet	COST:44200	WT:0	SOURCEPAGE:AaEG								SPROP:Once per day can cast Antipathy against Lycanthrope. Any weapon carried damage Lycanthrope as if they where silver								
Mirror of Secrets Revealed		TYPE:Magic.Wondrous	COST:95000	WT:.5	SOURCEPAGE:AaEG									SPELLS:Mirror of Secrets Revealed|TIMES=1|CASTERLEVEL=11|Analyze Dweomer,19	SPELLS:Mirror of Secrets Revealed|TIMES=2|CASTERLEVEL=11|True Seeing,17						
Neckalce of the Marauding Beast (Raging Bear)		TYPE:Magic.Wondrous.Amulet	COST:11840	WT:0	SOURCEPAGE:AaEG	BONUS:STAT|STR|2|TYPE=Enhancement	BONUS:VAR|RageDuration|1|PREFEAT:1,Rage														
Neckalce of the Marauding Beast (Frenzied Shark)		TYPE:Magic.Wondrous.Amulet	COST:12160	WT:0	SOURCEPAGE:AaEG	BONUS:STAT|STR|2|TYPE=Enhancement	BONUS:VAR|RageDuration|1|PREFEAT:1,Rage			BONUS:SKILL|Swim|4|TYPE=Circumstance											
#Neckalce of the Marauding Beast (Rampaging Boar)		TYPE:Magic.Wondrous.Amulet	COST:12440	WT:0	SOURCEPAGE:Arms and Equipment Guide	BONUS:STAT|CON|1|TYPE=Enhancement	BONUS:VAR|RageDuration|1|PREFEAT:1,Rage								VFEAT:Improved Sunder|PREFEAT:1,[Improved Sunder]	VFEAT:Great Sunder|PREFEAT:1,Sunder					
#Neckalce of the Marauding Beast (Rampaging Boar)		TYPE:Magic.Wondrous.Amulet	COST:12440	WT:0	SOURCEPAGE:AaEG	BONUS:STAT|CON|2|TYPE=Enhancement	BONUS:VAR|RageDuration|1|PREFEAT:1,Rage								VFEAT:Improved Sunder|!PREFEAT:1,Improved Sunder						
#Necklace of the Wild Beast (Bead of Calming)		TYPE:Magic.Wondrous.Amulet	COST:500	WT:0	SOURCEPAGE:Arms and Equipment Guide								SPROP:Wearer can cast Calm Animals once|PRESPELL:1,Animal Friendship	EQMOD:CHARGED_ITEM_1							
#Necklace of the Wild Beast (Bead of Servitude)		TYPE:Magic.Wondrous.Amulet	COST:1500	WT:0	SOURCEPAGE:Arms and Equipment Guide								SPROP:Wearer can cast Dominate Animal once|PRESPELL:1,Animal Friendship	EQMOD:CHARGED_ITEM_1							
#Necklace of the Wild Beast (Bead of the Fang)		TYPE:Magic.Wondrous.Amulet	COST:1500	WT:0	SOURCEPAGE:Arms and Equipment Guide								SPROP:Wearer can cast Greater Magic Fang once|PRESPELL:1,Animal Friendship	EQMOD:CHARGED_ITEM_1							
#Necklace of the Wild Beast (Bead of Beckoning)		TYPE:Magic.Wondrous.Amulet	COST:2000	WT:0	SOURCEPAGE:Arms and Equipment Guide								SPROP:Wearer can cast Summon Nature's Ally IV  once|PRESPELL:1,Animal Friendship	EQMOD:CHARGED_ITEM_1							
#Necklace of the Wild Beast (Bead of the Great Beast)		TYPE:Magic.Wondrous.Amulet	COST:2500	WT:0	SOURCEPAGE:Arms and Equipment Guide								SPROP:Wearer can cast Animal Growth once|PRESPELL:1,Animal Friendship	EQMOD:CHARGED_ITEM_1							
#Necklace of the Wild Beast (Bead of Awakening)		TYPE:Magic.Wondrous.Amulet	COST:3750	WT:0	SOURCEPAGE:Arms and Equipment Guide								SPROP:Wearer can cast Awaken once|PRESPELL:1,Animal Friendship	EQMOD:CHARGED_ITEM_1							
Necklace of the Wild Beast (Bead of Calming)		TYPE:Magic.Wondrous.Amulet	COST:500	WT:0	SOURCEPAGE:AaEG								SPROP:Wearer can cast Calm Animals once|PRESPELL:1,Charm Animal	EQMOD:CHARGED_ITEM_1							
Necklace of the Wild Beast (Bead of Servitude)		TYPE:Magic.Wondrous.Amulet	COST:1500	WT:0	SOURCEPAGE:AaEG								SPROP:Wearer can cast Dominate Animal once|PRESPELL:1,Charm Animal	EQMOD:CHARGED_ITEM_1							
Necklace of the Wild Beast (Bead of the Fang)		TYPE:Magic.Wondrous.Amulet	COST:1500	WT:0	SOURCEPAGE:AaEG								SPROP:Wearer can cast Greater Magic Fang once|PRESPELL:1,Charm Animal	EQMOD:CHARGED_ITEM_1							
Necklace of the Wild Beast (Bead of Beckoning)		TYPE:Magic.Wondrous.Amulet	COST:2000	WT:0	SOURCEPAGE:AaEG								SPROP:Wearer can cast Summon Nature's Ally IV  once|PRESPELL:1,Charm Animal	EQMOD:CHARGED_ITEM_1							
Necklace of the Wild Beast (Bead of the Great Beast)		TYPE:Magic.Wondrous.Amulet	COST:2500	WT:0	SOURCEPAGE:AaEG								SPROP:Wearer can cast Animal Growth once|PRESPELL:1,Charm Animal	EQMOD:CHARGED_ITEM_1							
Necklace of the Wild Beast (Bead of Awakening)		TYPE:Magic.Wondrous.Amulet	COST:3750	WT:0	SOURCEPAGE:AaEG								SPROP:Wearer can cast Awaken once|PRESPELL:1,Charm Animal	EQMOD:CHARGED_ITEM_1							
Oracle Beads		TYPE:Magic.Wondrous.Amulet	COST:19192	WT:0	SOURCEPAGE:AaEG								SPROP:+5 insight bonus during scrying check.	SPELLS:Oracle Beads|TIMES=1|CASTERLEVEL=7|Divination,16|PRESPELLCAST:TYPE=Arcane	SPELLS:Oracle Beads|TIMES=2|CASTERLEVEL=7|Divination,16|PRESPELLCAST:TYPE=Divine						
Pelt of Animal Senses		TYPE:Magic.Wondrous.Cape	COST:30080	WT:1	SOURCEPAGE:AaEG					BONUS:SKILL|Listen|2|TYPE=Circumstance				ABILITY:Special Ability|VIRTUAL|Scent	VISION:Low-Light						
#Phylactery of Change		TYPE:Magic.Wondrous	COST:11200	WT:0	SOURCEPAGE:AaEG								SPROP:Polymorph Self once per day. The new form is mantained for indefinite times								
Phylactery of Change		TYPE:Magic.Wondrous	COST:11200	WT:0	SOURCEPAGE:AaEG								SPROP:Change Self once per day. The new form is mantained for indefinite times.								
Burrowing Pitons		TYPE:Magic.Wondrous	COST:380	WT:.5	SOURCEPAGE:AaEG					BONUS:SKILL|Climb|2|TYPE=Circumstance			SPROP:1d8 points of damage (x3 critical) against stone or clay golems or earth elementals	EQMOD:CHARGED_ITEM_1							
Pixie Dust		TYPE:Magic.Wondrous	COST:2700	WT:0	SOURCEPAGE:AaEG																
Portable Bridge		TYPE:Magic.Wondrous	COST:36000	WT:1	SOURCEPAGE:AaEG								SPROP:On command the statue of the bridge turn into a bridge 5-ft wide and 5-ft to 50-ft length								
Preserving Jar		TYPE:Magic.Wondrous.Container	COST:3000	WT:2	SOURCEPAGE:AaEG									CONTAINS:2							
Restricting Band		TYPE:Magic.Wondrous.Bracer	COST:5400	WT:2	SOURCEPAGE:AaEG								SPROP:Grows and Shriks on command. Escape Artist DC 30 to escape.								
Rope of Stone		TYPE:Magic.Wondrous	COST:11800	WT:5	SOURCEPAGE:AaEG								SPROP:On command the rope become hard as stone.								
Saddle of Growth		TYPE:Magic.Wondrous.Mount.Saddle	COST:48600	WT:25	SOURCEPAGE:AaEG								SPROP:On command the saddle causes a horses mule or donkey to increase size by one size category.								
Saddle of the Pegasus		TYPE:Magic.Wondrous.Mount.Saddle.Resizable	COST:16875	WT:25	SOURCEPAGE:AaEG									SPELLS:Saddle of the Pegasus|TIMES=3|CASTERLEVEL=5|Fly,14							
#Saddle of Weather Protection		TYPE:Magic.Wondrous.Mount.Saddle	COST:5400	WT:25	SOURCEPAGE:AaEG								SPROP:Feel normal temperature between 0° and 110° F.	SPELLS:Saddle of Weather Protection|TIMES=1|CASTERLEVEL=5|Protection from Elements,14							
Saddle of Weather Protection		TYPE:Magic.Wondrous.Mount.Saddle	COST:5400	WT:25	SOURCEPAGE:AaEG								SPROP:Feel normal temperature between 0° and 110° F.	SPELLS:Saddle of Weather Protection|TIMES=1|CASTERLEVEL=5|Protection from Energy,14							
Saw of Prodigious Cutting		TYPE:Magic.Wondrous.Enhancement.Weapon.Martial.Melee.Slashing.Specific	COST:2000	WT:3	SOURCEPAGE:AaEG								SPROP:As weapon can be used only against Plant creature or backfire against wielder				CRITMULT:x2	CRITRANGE:1	DAMAGE:4d6	EQMOD:STEEL	BONUS:WEAPON|TOHIT|-4
Seeds of the Treants		TYPE:Magic.Wondrous	COST:15300	WT:0	SOURCEPAGE:AaEG								SPROP:2 full round after planted a Treant grows.								
Shards of the Fissure		TYPE:Magic.Wondrous	COST:7650	WT:0	SOURCEPAGE:AaEG								SPROP:In 1d4+1 rounds small earth elementals leaps from.								
Singing Bowl		TYPE:Magic.Wondrous	COST:19440	WT:4	SOURCEPAGE:AaEG									SPELLS:Singing Bowl|TIMES=1|CASTERLEVEL=12|Shatter|Blindness/Deafness							
Sparring Dummy of the Master		TYPE:Magic.Wondrous	COST:30000	WT:40	SOURCEPAGE:AaEG								SPROP:Training with this Dummy for 4 week, 8 hours a day uninterrupted, the monk is allowed to make a 10-foot adjustment instead 5-ft step.								
Stalwart Eye		TYPE:Magic.Wondrous	COST:10000	WT:2	SOURCEPAGE:AaEG																
Steadfast Stone		TYPE:Magic.Wondrous	COST:32400	WT:1	SOURCEPAGE:AaEG								SPROP:Two times per day when throw upon ground the stone create as a Wall of Stone cast by a 9th level cleric.								
Stove of Everlasting Flame		TYPE:Magic.Wondrous	COST:2400	WT:1	SOURCEPAGE:AaEG								SPROP:Continual Flame inside a metal sphere.								
Stylus of the Masterful Hand		TYPE:Magic.Wondrous	COST:3000	WT:0	SOURCEPAGE:AaEG					BONUS:SKILL|Forgery|5|TYPE=Competence											
Testing Chalice		TYPE:Magic.Wondrous	COST:4000	WT:.5	SOURCEPAGE:AaEG								SPROP:The color of the chalice varies depending on the liquid pured into it.								
Thurible of Divining		TYPE:Magic.Wondrous	COST:77000	WT:1	SOURCEPAGE:AaEG																
Thurible of Retribution		TYPE:Magic.Wondrous	COST:77000	WT:1	SOURCEPAGE:AaEG																
Thurible of Warding		TYPE:Magic.Wondrous	COST:77000	WT:1	SOURCEPAGE:AaEG																
Triton Shell (without air)		TYPE:Magic.Wondrous.Container	COST:3000	WT:3	SOURCEPAGE:AaEG											CONTAINS:100					
Triton Shell (with air)		TYPE:Magic.Wondrous.Container	COST:18000	WT:3	SOURCEPAGE:AaEG											CONTAINS:100					
Trumpeter's Gift		TYPE:Magic.Wondrous	COST:12200	WT:0	SOURCEPAGE:AaEG					BONUS:SKILL|TYPE.Performance|5|TYPE=Competence				SPELLS:Trumpeter's Gift|TIMES=1|CASTERLEVEL=7|Shout,16							
Weightless Scabbard		TYPE:Magic.Wondrous.Resizable.Container	COST:1600	WT:1	SOURCEPAGE:AaEG											CONTAINS:*UNLIM|Total=1|Weapon=1					
Yondalla's Wagon Wheel		TYPE:Magic.Wondrous	COST:92880	WT:1	SOURCEPAGE:AaEG								SPROP:Once per day the wheel creates Leomund's Secure Shelter.								
