SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net																																																																
																																																																		
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|					Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells		
Giant Dragonfly				SIZE:L	MOVE:Walk,20,Fly,60	FACE:10	REACH:5	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Hide|Survival|Spot									LEGS:6	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8						ABILITY:Special Ability|AUTOMATIC|Training ~ Giant Dragonfly	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Vermin:3	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Mindless				HITDICEADVANCEMENT:6,9		CR:1	SOURCEPAGE:AaEG		DEFINE:Maneuverability|4	
Giant Firefly				SIZE:L	MOVE:Walk,20,Fly,50	FACE:10	REACH:5	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Hide|Survival|Spot									LEGS:6	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3			ABILITY:Special Ability|AUTOMATIC|Glow			ABILITY:Special Ability|AUTOMATIC|Training ~ Giant Firefly	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Vermin:3	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Mindless				HITDICEADVANCEMENT:6,9		CR:1/2	SOURCEPAGE:AaEG		DEFINE:Maneuverability|4	
Locust (Jade)	OUTPUTNAME:[NAME] Locust			SIZE:T	MOVE:Walk,40,Fly,80	FACE:2.5	REACH:0	VISION:Darkvision (60')		PREALIGN:TN									BONUS:STAT|STR|-2	BONUS:STAT|DEX|4			BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Hide									LEGS:6	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3							ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Construct (Mindless):3	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless						CR:1/2	SOURCEPAGE:AaEG		DEFINE:Maneuverability|4	
																																																																		
Dire Animal (Dire Badger).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Dire Badger																			
Dire Animal (Dire Bat).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Dire Bat																			
Dire Animal (Dire Boar).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Dire Boar																			
Dog (Riding).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Riding Dog																			
Camel.COPY=Camel (Llama)																																																																		
Camel (Llama).MOD	BONUS:STAT|STR|-4	ABILITY:Special Ability|AUTOMATIC|Training ~ Llama	RACESUBTYPE:Camel	TYPE:.CLEAR	TYPE:Mount	SOURCEPAGE:AaEG, See Camel	BONUS:SIZEMOD|NUMBER|-1																																																											
Porpoise.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Porpoise																			
Rhinoceros.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Rhinoceros																			
Dinosaur (Deinonychus).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Deinonychus																			
Dinosaur (Megaraptor).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Megaraptor																			
Dinosaur (Triceratops).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Triceratops																			
Worg.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Worg																			
Couatl.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Couatl																			
Ooze (Gelatinous Cube).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Gelatinous Cube																			
Sphinx (Hieracosphinx).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Hieracosphinx																			
Hydra (Five Headed).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Five Headed Hydra																			
Hydra (Six Headed).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Six Headed Hydra																			
Nightmare.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Nightmare																			
Purple Worm.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Purple Worm																			
Tendriculos.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Tendriculos																			
Wyvern.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Wyvern																			
Giant Ant (Worker).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Giant Worker Ant																			
Giant Ant (Soldier).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Giant Soldier Ant																			
Giant Praying Mantis.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Giant Praying Mantis																			
Giant Wasp.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Giant Wasp																			
Monstrous Scorpion (Large).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Scorpion																			
Monstrous Scorpion (Huge).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Scorpion																			
Monstrous Scorpion (Gargantuan).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Scorpion																			
Monstrous Scorpion (Colossal).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Scorpion																			
Monstrous Spider (Large).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Spider																			
Monstrous Spider (Huge).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Spider																			
Monstrous Spider (Gargantuan).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Spider																			
Monstrous Spider (Colossal).MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Monstrous Spider																			
Girallon.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Girallon																			
Gray Render.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Gray Render																			
Ogre.MOD																																															ABILITY:Special Ability|AUTOMATIC|Training ~ Ogre																			
