SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com												
														
# Equipment Name		Type	Cost	Weight	Source Page	Special Property	Desc	Bonus to skill		Contains				
Candelabra 16-candle silver		TYPE:Goods.Sacred.Resizable.Church.Candelabra.LightSource	COST:25	WT:3	SOURCEPAGE:AaEG		CONTAINS:1|Candle=16	QUALITY:Shadowy Illumination|20 ft.	QUALITY:Duration|1 hr.					
Candle (insectbane)		TYPE:Goods.Sacred.Resizable.Church.Candle.LightSource	COST:.1	WT:0	SOURCEPAGE:AaEG			QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.					
Candle (wick/50-ft)		TYPE:Goods.Sacred.Resizable.Church.Candle.LightSource	COST:.2	WT:0	SOURCEPAGE:AaEG			QUALITY:Shadowy Illumination|50 ft.	QUALITY:Duration|1 hr.					
Candle Mold		TYPE:Goods.Sacred.Resizable.Church.Candelabra	COST:1.2	WT:5	SOURCEPAGE:AaEG									
Crane Portable (str 22)		TYPE:Goods.General.Resizable	COST:30	WT:75	SOURCEPAGE:AaEG									
Crane Portable (str 24)		TYPE:Goods.General.Resizable	COST:60	WT:120	SOURCEPAGE:AaEG									
Crane Portable (str 28)		TYPE:Goods.General.Resizable	COST:120	WT:3250	SOURCEPAGE:AaEG									
Earplug		TYPE:Goods.General.Resizable	COST:0.3	WT:0	SOURCEPAGE:AaEG	SPROP:+1 circumstance on saves against sonic attacks		BONUS:SKILL|Listen|-4|TYPE=Circumstance						
Finger Blades		TYPE:Goods.General.Resizable.Glove	COST:20	WT:0	SOURCEPAGE:AaEG			BONUS:SKILL|Pick Pocket|1|TYPE=Circumstance						
Fishing Tackle		TYPE:Goods.General.Resizable	COST:20	WT:5	SOURCEPAGE:AaEG	SPROP:+1 circumstance on Survival check when gathering food around bodies of water								
Flotation Bags		TYPE:Goods.General.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG			BONUS:SKILL|Swim|2|TYPE=Circcumstance						
Fowler's Snare		TYPE:Goods.General.Resizable	COST:20	WT:5	SOURCEPAGE:AaEG	SPROP:+1 circumstance on Survival check when capturing birds and other small animals								
Game Board (portable)		TYPE:Goods.General.Resizable	COST:2	WT:1	SOURCEPAGE:AaEG									
Glass Cutter		TYPE:Goods.General.Resizable	COST:2	WT:1	SOURCEPAGE:AaEG									
Grappling Hook (collapsing)		TYPE:Goods.General.Resizable	COST:3	WT:2	SOURCEPAGE:AaEG									
Grappling Ladder (10-ft)		TYPE:Goods.General.Resizable	COST:40	WT:8	SOURCEPAGE:AaEG									
Hacksaw (common)		TYPE:Goods.General.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Hacksaw (superior)		TYPE:Goods.General.Resizable	COST:20	WT:1	SOURCEPAGE:AaEG									
Hammock		TYPE:Goods.General.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Heat Mat		TYPE:Goods.General.Resizable	COST:45	WT:0	SOURCEPAGE:AaEG									
Helmet (thieving)		TYPE:Goods.General.Resizable.Headgear	COST:10	WT:1	SOURCEPAGE:AaEG			BONUS:SKILL|Listen|1|TYPE=Circumstance						
Holy Text		TYPE:Goods.Sacred.Resizable	COST:10	WT:3	SOURCEPAGE:AaEG									
Housebreaker Harness		TYPE:Goods.General.Resizable	COST:20	WT:2	SOURCEPAGE:AaEG			BONUS:SKILL|Climb|1|TYPE=Circumstance	BONUS:SKILL|Balance,Escape Artist,Hide,Jump,Pick Pocket,Tumble|-2|TYPE=Circumstance					
Ice Axe		TYPE:Goods.General.Resizable	COST:10	WT:5	SOURCEPAGE:AaEG	SPROP:+1 circumstance on Climb check when climbing icy surfaces								
Insect Netting		TYPE:Goods.General.Resizable	COST:200	WT:5	SOURCEPAGE:AaEG									
Jeweler's Loupe		TYPE:Goods.General.Resizable.Eyegear	COST:20	WT:0	SOURCEPAGE:AaEG			BONUS:SKILL|Appraise|1|TYPE=Circumstance						
Keg (cask)		TYPE:Goods.General.Resizable.Container	COST:1	WT:20	SOURCEPAGE:AaEG		CONTAINS:20|Liquid=20							
Keg (hand)		TYPE:Goods.General.Resizable.Container	COST:.5	WT:10	SOURCEPAGE:AaEG		CONTAINS:10|Liquid=10							
Lantern (fog-cutter)		TYPE:Goods.General.Resizable.LightSource	COST:20	WT:3	SOURCEPAGE:AaEG			QUALITY:Bright Illumination|60 ft. cone	QUALITY:Shadowy Illumination|120 ft. cone	QUALITY:Duration|6 hr./pint				
Leash and Muzzle (diminutive)		TYPE:Goods.General.Resizable	COST:.2	WT:0	SOURCEPAGE:AaEG			BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:Masterwork						
Leash and Muzzle (medium)		TYPE:Goods.General.Resizable	COST:.8	WT:0	SOURCEPAGE:AaEG			BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:Masterwork						
Leash and Muzzle (small)		TYPE:Goods.General.Resizable	COST:.6	WT:0	SOURCEPAGE:AaEG			BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:Masterwork						
Leash and Muzzle (tiny)		TYPE:Goods.General.Resizable	COST:.4	WT:0	SOURCEPAGE:AaEG			BONUS:SKILL|Handle Animal|1|TYPE=Circumstance|PRETYPE:Masterwork						
Magnet (small)		TYPE:Goods.General.Resizable	COST:10	WT:1	SOURCEPAGE:AaEG									
Marbles		TYPE:Goods.General.Resizable	COST:.2	WT:2	SOURCEPAGE:AaEG									
Mess Kit		TYPE:Goods.General.Resizable	COST:.6	WT:1	SOURCEPAGE:AaEG									
Mill (hand)		TYPE:Goods.General.Resizable	COST:2	WT:1	SOURCEPAGE:AaEG									
Money Belt		TYPE:Goods.General.Resizable.Container	COST:4	WT:0	SOURCEPAGE:AaEG					CONTAINS:50|Coins=50				
Music Box		TYPE:Goods.General.Resizable	COST:35	WT:0	SOURCEPAGE:AaEG									
Net (Butterfly)		TYPE:Goods.General.Resizable	COST:10	WT:.25	SOURCEPAGE:AaEG									
Percolator		TYPE:Goods.General.Resizable	COST:1	WT:1	SOURCEPAGE:AaEG									
Periscope		TYPE:Goods.General.Resizable	COST:20	WT:2	SOURCEPAGE:AaEG									
Pestle and Mortar		TYPE:Goods.General.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Pulley		TYPE:Goods.General.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Quiver (scabbard)		TYPE:Goods.General.Resizable	COST:10	WT:2	SOURCEPAGE:AaEG									
Rope (Elven/20 Ft.)		TYPE:Goods.General	COST:50	WT:5	SOURCEPAGE:AaEG			BONUS:SKILL|Use Rope|3|TYPE=Circumstance						
Saw (folding)		TYPE:Goods.General.Resizable	COST:2	WT:2	SOURCEPAGE:AaEG									
Shoes (silent)		TYPE:Goods.General.Resizable.Boot	COST:10	WT:1	SOURCEPAGE:AaEG			BONUS:SKILL|Move Silently|1|TYPE=Circumstance						
Shriek Rock		TYPE:Goods.General.Resizable	COST:3	WT:.25	SOURCEPAGE:AaEG									
Skis and Poles		TYPE:Goods.General.Resizable	COST:15	WT:6	SOURCEPAGE:AaEG									
Slate Board		TYPE:Goods.General.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Snorkel		TYPE:Goods.General.Resizable	COST:1	WT:.5	SOURCEPAGE:AaEG									
Snow Googles		TYPE:Goods.General.Resizable.Eyegear	COST:2	WT:0	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on saves to resist blinding effects		BONUS:SKILL|Spot,Search|-4|TYPE=Circumstance						
Snowshoes		TYPE:Goods.General.Resizable.Boot	COST:15	WT:8	SOURCEPAGE:AaEG									
Sparker		TYPE:Goods.General.Resizable	COST:2	WT:0	SOURCEPAGE:AaEG									
Spider Poles		TYPE:Goods.General.Resizable	COST:35	WT:8	SOURCEPAGE:AaEG									
Sprayer		TYPE:Goods.General.Resizable	COST:15	WT:4	SOURCEPAGE:AaEG									
Springwall		TYPE:Goods.General.Resizable	COST:60	WT:1	SOURCEPAGE:AaEG									
Stilts		TYPE:Goods.General.Resizable	COST:5	WT:8	SOURCEPAGE:AaEG									
Table Case (folding)		TYPE:Goods.General.Resizable	COST:5	WT:5	SOURCEPAGE:AaEG									
Tarp		TYPE:Goods.General.Resizable	COST:5	WT:30	SOURCEPAGE:AaEG									
Tent (1 person)		TYPE:Goods.General.Resizable	COST:5	WT:10	SOURCEPAGE:AaEG									
Tent (4 person)		TYPE:Goods.General.Resizable	COST:20	WT:40	SOURCEPAGE:AaEG									
Tent (20 person/pavilion)		TYPE:Goods.General.Resizable	COST:100	WT:300	SOURCEPAGE:AaEG									
Tent (8 person/Teepee)		TYPE:Goods.General.Resizable	COST:60	WT:100	SOURCEPAGE:AaEG									
Tent (tree/elven)		TYPE:Goods.General.Resizable	COST:30	WT:5	SOURCEPAGE:AaEG									
Tongs (metal)		TYPE:Goods.General.Resizable	COST:3	WT:4	SOURCEPAGE:AaEG									
Tree Stand		TYPE:Goods.General.Resizable	COST:15	WT:5	SOURCEPAGE:AaEG									
Twine (roll/50-ft)		TYPE:Goods.General	COST:.2	WT:0	SOURCEPAGE:AaEG									
Winch (portable/str 18)		TYPE:Goods.General.Resizable	COST:20	WT:20	SOURCEPAGE:AaEG									
Winch (portable/str 20)		TYPE:Goods.General.Resizable	COST:40	WT:40	SOURCEPAGE:AaEG									
Winch (portable/str 22)		TYPE:Goods.General.Resizable	COST:80	WT:80	SOURCEPAGE:AaEG									
														
###Block:Farming Tools														
Billhook		TYPE:Goods.Farming.Resizable	COST:5	WT:2	SOURCEPAGE:AaEG									
Hoe		TYPE:Goods.Farming.Resizable	COST:3	WT:2	SOURCEPAGE:AaEG									
Pitchfork		TYPE:Goods.Farming.Resizable	COST:2	WT:4	SOURCEPAGE:AaEG									
Post-hole digger		TYPE:Goods.Farming.Resizable	COST:4	WT:8	SOURCEPAGE:AaEG									
Rake		TYPE:Goods.Farming.Resizable	COST:1	WT:3	SOURCEPAGE:AaEG									
														
###Block:Alchemical Stuff and Liquids														
Chaotic Water		TYPE:Goods.Liquid	COST:24.5	WT:0.75	SOURCEPAGE:AaEG									
Chaotic Water (flask)		TYPE:Goods.Flask	COST:25	WT:1	SOURCEPAGE:AaEG									
Lawful Water		TYPE:Goods.Liquid	COST:24.5	WT:0.75	SOURCEPAGE:AaEG									
Lawful Water (flask)		TYPE:Goods.Flask	COST:25	WT:1	SOURCEPAGE:AaEG									
														
#Tools														
Animal Trainer's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:50	WT:5	SOURCEPAGE:AaEG			BONUS:SKILL|Handle Animal|2|TYPE=Circumstance						
Forger's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:25	WT:2	SOURCEPAGE:AaEG			BONUS:SKILL|Forgery|2|TYPE=Circumstance						
Jester's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:10	WT:5	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on Perform (Comedy), Perform (Buffoonery) or Disguise								
Navigator's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:250	WT:8	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on Intuit Direction and Wilderness Lore while at sea, and Profession (Cartographer) checks to make maps		BONUS:SKILL|Forgery|2|TYPE=Circumstance						
Scryer's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:40	WT:2	SOURCEPAGE:AaEG			BONUS:SKILL|Scry|2|TYPE=Circumstance						
Swimmer's Kit		TYPE:Goods.Tools.Masterwork.Resizable	COST:15	WT:5	SOURCEPAGE:AaEG			BONUS:SKILL|Swim|2|TYPE=Circumstance						
														
###Block:Clothing														
Outfit (Animal Training)		TYPE:Goods.Clothing.Resizable.Armor.Light	COST:10	WT:20	SOURCEPAGE:AaEG						ACCHECK:-7	MAXDEX:1	SPELLFAILURE:40	BONUS:COMBAT|AC|2|TYPE=Armor.REPLACE
Outfit (Beekeper)		TYPE:Goods.Clothing.Resizable	COST:9	WT:4	SOURCEPAGE:AaEG	SPROP:+6 CA against stinging and biting fine creature								
Outfit (Desert)		TYPE:Goods.Clothing.Resizable	COST:6	WT:3	SOURCEPAGE:AaEG									
Outfit (Heatswit)		TYPE:Goods.Clothing.Resizable	COST:20	WT:15	SOURCEPAGE:AaEG	SPROP:3/Fire								
Outfit (Spelunker)		TYPE:Goods.Clothing.Resizable	COST:5	WT:9	SOURCEPAGE:AaEG									
Bodyswuit (black)		TYPE:Goods.Clothing.Resizable	COST:30	WT:1	SOURCEPAGE:AaEG	SPROP:+2 circumstance bonus on Hide checks in dark condition (at least half concealment)								
Boot (Smuggler's)		TYPE:Goods.Clothing.Resizable.Boot	COST:10	WT:1	SOURCEPAGE:AaEG									
Fullcloth (Winter)		TYPE:Goods.Clothing.Resizable	COST:4	WT:2	SOURCEPAGE:AaEG	SPROP:+1 circumstance bonus on Fortitude against cold								
Helmet (Miner's)		TYPE:Goods.Clothing.Resizable.Headgear.Container	COST:1	WT:1	SOURCEPAGE:AaEG					CONTAINS:1|Candle=1				
Vest (Knife)		TYPE:Goods.Clothing.Resizable.Shirt.Container	COST:25	WT:2	SOURCEPAGE:AaEG					CONTAINS:10|Dagger=10				
Apron (leather)		TYPE:Goods.Clothing.Resizable.Cape	COST:.3	WT:2	SOURCEPAGE:AaEG									
Belt (baldric)		TYPE:Goods.Clothing.Resizable.Belt	COST:.7	WT:.5	SOURCEPAGE:AaEG									
Belt (leather)		TYPE:Goods.Clothing.Resizable.Belt	COST:.2	WT:0	SOURCEPAGE:AaEG									
Belt (fine)		TYPE:Goods.Clothing.Resizable.Belt	COST:25	WT:0	SOURCEPAGE:AaEG									
Boot (high)		TYPE:Goods.Clothing.Resizable.Boot	COST:.5	WT:1	SOURCEPAGE:AaEG									
Boot (hip/wading)		TYPE:Goods.Clothing.Resizable.Boot	COST:1	WT:3	SOURCEPAGE:AaEG									
Boot (low)		TYPE:Goods.Clothing.Resizable.Boot	COST:.3	WT:.5	SOURCEPAGE:AaEG									
Boot (riding)		TYPE:Goods.Clothing.Resizable.Boot	COST:1	WT:1	SOURCEPAGE:AaEG									
Breeches/Pants (Sackcloth)		TYPE:Goods.Clothing.Resizable	COST:.05	WT:1	SOURCEPAGE:AaEG									
Breeches/Pants (Cotton)		TYPE:Goods.Clothing.Resizable	COST:.1	WT:1	SOURCEPAGE:AaEG									
Breeches/Pants (Leather)		TYPE:Goods.Clothing.Resizable	COST:.8	WT:1.5	SOURCEPAGE:AaEG									
Breeches/Pants (Velvet)		TYPE:Goods.Clothing.Resizable	COST:4	WT:1	SOURCEPAGE:AaEG									
Breeches/Pants (silk)		TYPE:Goods.Clothing.Resizable	COST:5	WT:0	SOURCEPAGE:AaEG									
Bustle		TYPE:Goods.Clothing.Resizable	COST:5	WT:1	SOURCEPAGE:AaEG									
Cape (half)		TYPE:Goods.Clothing.Resizable.Cape	COST:1	WT:1	SOURCEPAGE:AaEG									
Cape (full)		TYPE:Goods.Clothing.Resizable.Cape	COST:1	WT:3	SOURCEPAGE:AaEG									
Chemise (Sacklot)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.08	WT:0	SOURCEPAGE:AaEG									
Chemise (Linen)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.1	WT:0	SOURCEPAGE:AaEG									
Chemise (Silk)		TYPE:Goods.Clothing.Resizable.Shirt	COST:6	WT:0	SOURCEPAGE:AaEG									
Coat/jacket/jerkin (Cotton)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.6	WT:2	SOURCEPAGE:AaEG									
Coat/jacket/jerkin (Leather)		TYPE:Goods.Clothing.Resizable.Shirt	COST:1	WT:3	SOURCEPAGE:AaEG									
Coat/jacket/jerkin (Wool)		TYPE:Goods.Clothing.Resizable.Shirt	COST:1	WT:3	SOURCEPAGE:AaEG									
Coat/jacket/jerkin (Velvet)		TYPE:Goods.Clothing.Resizable.Shirt	COST:8	WT:1	SOURCEPAGE:AaEG									
Coat/jacket/jerkin (Silk)		TYPE:Goods.Clothing.Resizable.Shirt	COST:10	WT:1	SOURCEPAGE:AaEG									
Coat/jacket/jerkin (Fur)		TYPE:Goods.Clothing.Resizable.Shirt	COST:50	WT:6	SOURCEPAGE:AaEG									
Cloak (Cotton)		TYPE:Goods.Clothing.Resizable.Cape	COST:.3	WT:2	SOURCEPAGE:AaEG									
Cloak (Wool)		TYPE:Goods.Clothing.Resizable.Cape	COST:.5	WT:3	SOURCEPAGE:AaEG									
Cloak (Fur)		TYPE:Goods.Clothing.Resizable.Cape	COST:20	WT:6	SOURCEPAGE:AaEG									
Codpiece		TYPE:Goods.Clothing.Resizable.Shirt	COST:.6	WT:0	SOURCEPAGE:AaEG									
Collar (Spiked)		TYPE:Goods.Clothing.Resizable.Amulet	COST:10	WT:0	SOURCEPAGE:AaEG									
Corset		TYPE:Goods.Clothing.Resizable.Shirt	COST:10	WT:0	SOURCEPAGE:AaEG									
Double/Vest (Cotton)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.1	WT:0	SOURCEPAGE:AaEG									
Double/Vest (Leather)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.3	WT:.5	SOURCEPAGE:AaEG									
Double/Vest (Velvet)		TYPE:Goods.Clothing.Resizable.Shirt	COST:2	WT:1	SOURCEPAGE:AaEG									
Double/Vest (Brocade)		TYPE:Goods.Clothing.Resizable.Shirt	COST:8	WT:1	SOURCEPAGE:AaEG									
Dress (Peasant)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.5	WT:3	SOURCEPAGE:AaEG									
Dress (Average)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.8	WT:5	SOURCEPAGE:AaEG									
Dress (Fine)		TYPE:Goods.Clothing.Resizable.Shirt	COST:20	WT:8	SOURCEPAGE:AaEG									
Dress (Exquisite)		TYPE:Goods.Clothing.Resizable.Shirt	COST:75	WT:10	SOURCEPAGE:AaEG									
Girdle		TYPE:Goods.Clothing.Resizable.Belt	COST:.6	WT:1	SOURCEPAGE:AaEG									
Gloves (Leather)		TYPE:Goods.Clothing.Resizable.Glove	COST:.5	WT:0	SOURCEPAGE:AaEG									
Gloves (Canvas)		TYPE:Goods.Clothing.Resizable.Glove	COST:.05	WT:0	SOURCEPAGE:AaEG									
Gloves (Mittens)		TYPE:Goods.Clothing.Resizable.Glove	COST:.8	WT:0	SOURCEPAGE:AaEG									
Gloves (Silk)		TYPE:Goods.Clothing.Resizable.Glove	COST:15	WT:0	SOURCEPAGE:AaEG									
Headwear (Hat/broad-brimmed)		TYPE:Goods.Clothing.Resizable.Headgear	COST:8	WT:0	SOURCEPAGE:AaEG									
Headwear (Hat/fur-trimmed)		TYPE:Goods.Clothing.Resizable.Headgear	COST:1.5	WT:0	SOURCEPAGE:AaEG									
Headwear (Cap/Cotton))		TYPE:Goods.Clothing.Resizable.Headgear	COST:.08	WT:0	SOURCEPAGE:AaEG									
Headwear (Cap/Wool)		TYPE:Goods.Clothing.Resizable.Headgear	COST:.1	WT:0	SOURCEPAGE:AaEG									
Headwear (Coif)		TYPE:Goods.Clothing.Resizable.Headgear	COST:.2	WT:0	SOURCEPAGE:AaEG									
Headwear (Fez)		TYPE:Goods.Clothing.Resizable.Headgear	COST:.1	WT:0	SOURCEPAGE:AaEG									
Headwear (Hood/Wool)		TYPE:Goods.Clothing.Resizable.Headgear	COST:.08	WT:0	SOURCEPAGE:AaEG									
Headwear (Hood/Cotton)		TYPE:Goods.Clothing.Resizable.Headgear	COST:.05	WT:0	SOURCEPAGE:AaEG									
Headwear (Hood/Fur)		TYPE:Goods.Clothing.Resizable.Headgear	COST:1	WT:0	SOURCEPAGE:AaEG									
Headwear (Turban)		TYPE:Goods.Clothing.Resizable.Headgear	COST:.2	WT:.5	SOURCEPAGE:AaEG									
Loincloth		TYPE:Goods.Clothing.Resizable	COST:.03	WT:0	SOURCEPAGE:AaEG									
Nightshirt (Silk)		TYPE:Goods.Clothing.Resizable.Shirt	COST:6	WT:0	SOURCEPAGE:AaEG									
Robe (Sackcloth)		TYPE:Goods.Clothing.Resizable.Robe	COST:.1	WT:2	SOURCEPAGE:AaEG									
Robe (Cotton)		TYPE:Goods.Clothing.Resizable.Robe	COST:1	WT:2	SOURCEPAGE:AaEG									
Robe (Linen)		TYPE:Goods.Clothing.Resizable.Robe	COST:1	WT:2	SOURCEPAGE:AaEG									
Robe (Velvet)		TYPE:Goods.Clothing.Resizable.Robe	COST:3	WT:3	SOURCEPAGE:AaEG									
Robe (Silk)		TYPE:Goods.Clothing.Resizable.Robe	COST:5	WT:2	SOURCEPAGE:AaEG									
Pads (Knee)		TYPE:Goods.Clothing.Resizable.Bracer	COST:.3	WT:.5	SOURCEPAGE:AaEG									
Pads (Elbow)		TYPE:Goods.Clothing.Resizable.Bracer	COST:.3	WT:.5	SOURCEPAGE:AaEG									
Pads (Shin Guards)		TYPE:Goods.Clothing.Resizable.Bracer	COST:.4	WT:.5	SOURCEPAGE:AaEG									
Sash (Cotton)		TYPE:Goods.Clothing.Resizable.Amulet	COST:.2	WT:0	SOURCEPAGE:AaEG									
Sash (Wool)		TYPE:Goods.Clothing.Resizable.Amulet	COST:.1	WT:0	SOURCEPAGE:AaEG									
Sash (Silk)		TYPE:Goods.Clothing.Resizable.Amulet	COST:4	WT:0	SOURCEPAGE:AaEG									
Shirt (Sackcloth)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.05	WT:.5	SOURCEPAGE:AaEG									
Shirt (Cotton)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.1	WT:.5	SOURCEPAGE:AaEG									
Shirt (Linen)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.1	WT:.5	SOURCEPAGE:AaEG									
Shirt (Velvet)		TYPE:Goods.Clothing.Resizable.Shirt	COST:5	WT:.5	SOURCEPAGE:AaEG									
Shirt (Silk)		TYPE:Goods.Clothing.Resizable.Shirt	COST:10	WT:0	SOURCEPAGE:AaEG									
Shoes (Leather)		TYPE:Goods.Clothing.Resizable.Boot	COST:.3	WT:1	SOURCEPAGE:AaEG									
Shoes (Sandals)		TYPE:Goods.Clothing.Resizable.Boot	COST:.2	WT:.5	SOURCEPAGE:AaEG									
Shoes (Tabi)		TYPE:Goods.Clothing.Resizable.Boot	COST:.2	WT:.5	SOURCEPAGE:AaEG									
Shoes (Slippers)		TYPE:Goods.Clothing.Resizable.Boot	COST:.1	WT:0	SOURCEPAGE:AaEG									
Shoes (Dancing)		TYPE:Goods.Clothing.Resizable.Boot	COST:15	WT:0	SOURCEPAGE:AaEG									
Warrior's Skirt (Leather)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.5	WT:1	SOURCEPAGE:AaEG									
Stockings		TYPE:Goods.Clothing.Resizable	COST:.4	WT:0	SOURCEPAGE:AaEG									
Suspenders		TYPE:Goods.Clothing.Resizable	COST:.8	WT:0	SOURCEPAGE:AaEG									
Tabard		TYPE:Goods.Clothing.Resizable.Cape	COST:.5	WT:.5	SOURCEPAGE:AaEG									
Toga (Peasant)		TYPE:Goods.Clothing.Resizable.Cape	COST:.08	WT:3	SOURCEPAGE:AaEG									
Toga (Velvet)		TYPE:Goods.Clothing.Resizable.Cape	COST:5	WT:3	SOURCEPAGE:AaEG									
Toga (Silk)		TYPE:Goods.Clothing.Resizable.Cape	COST:45	WT:3	SOURCEPAGE:AaEG									
Tunic (Sackcloth)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.05	WT:1	SOURCEPAGE:AaEG									
Tunic (Cotton)		TYPE:Goods.Clothing.Resizable.Shirt	COST:.05	WT:1	SOURCEPAGE:AaEG									
Tunic (Velvet)		TYPE:Goods.Clothing.Resizable.Shirt	COST:2	WT:1	SOURCEPAGE:AaEG									
Tunic (Silk)		TYPE:Goods.Clothing.Resizable.Shirt	COST:5	WT:1	SOURCEPAGE:AaEG									
														
###Block:Trade Goods														
#Spices														
Angelica		TYPE:Goods.Trade.Resizable	COST:.05	WT:.06	SOURCEPAGE:AaEG									
Anise		TYPE:Goods.Trade.Resizable	COST:.03	WT:.06	SOURCEPAGE:AaEG									
Basil		TYPE:Goods.Trade.Resizable	COST:.1	WT:.06	SOURCEPAGE:AaEG									
Bergamot		TYPE:Goods.Trade.Resizable	COST:.03	WT:.06	SOURCEPAGE:AaEG									
Borage		TYPE:Goods.Trade.Resizable	COST:.02	WT:.06	SOURCEPAGE:AaEG									
Caraway		TYPE:Goods.Trade.Resizable	COST:.02	WT:.06	SOURCEPAGE:AaEG									
Cardamom		TYPE:Goods.Trade.Resizable	COST:2	WT:.06	SOURCEPAGE:AaEG									
