SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.wizards.com																																
																																		
# Modifier Name	Unique Key		Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads				
Bronzewood		KEY:BRNZWOOD_ARMR_HVY	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:9000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO										
Bronzewood		KEY:BRNZWOOD_SHLD	TYPE:BaseMaterial.MasterworkQuality.Shield	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO										
Bronzewood		KEY:BRNZWOOD_ITEM	TYPE:BaseMaterial.MasterworkQuality.Ammunition.Weapon.Instruments.Tools.Goods	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO										
Elukian Clay		KEY:ELKNCLAY_ARMR_LT	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness	ARMORTYPE:Light|Medium				ASSIGNTOALL:NO										
Elukian Clay		KEY:ELKNCLAY_ARMR_MED	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness	ARMORTYPE:Medium|Heavy				ASSIGNTOALL:NO										
Elukian Clay		KEY:ELKNCLAY_ARMR_HVY	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:4000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO										
Elukian Clay		KEY:ELKNCLAY_SHLD	TYPE:BaseMaterial.MasterworkQuality.Shield	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO										
Elukian Clay		KEY:ELKNCLAY_WEAP	TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Piercing,Bludgeoning]										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO										
Elukian Clay		KEY:ELKNCLAY_ITEM	TYPE:BaseMaterial.MasterworkQuality.Ammunition.Instruments.Tools.Goods	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO										
Urdrukar		KEY:URDKR_ARMR_LT	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]					BONUS:EQMARMOR|ACCHECK|-2|TYPE=Enhancement	BONUS:EQMARMOR|MAXDEX|-1|TYPE=Enhancement				SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO										
Urdrukar		KEY:URDKR_ARMR_MED	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]										SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO										
Urdrukar		KEY:URDKR_ARMR_HVY	TYPE:BaseMaterial.MasterworkQuality.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]										SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO										
Urdrukar		KEY:URDKR_SHLD	TYPE:BaseMaterial.MasterworkQuality.Shield	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]										SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO										
Urdrukar		KEY:URDKR_WEAP	TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW	SOURCEPAGE:AaEG	PRETYPE:1,Metal										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO										
Urdrukar		KEY:URDKR_ITEM	TYPE:BaseMaterial.MasterworkQuality.Ammunition.Instruments.Tools.Goods	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO										
