SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03																														
																																	
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier	SOURCEPAGE:	Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus							
Blended Quartz	KEY:BLND_QUARTZ_ARMR_LT		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO									
Blended Quartz	KEY:BLND_QUARTZ_ARMR_MED		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:5000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO									
Blended Quartz	KEY:BLND_QUARTZ_ARMR_HVY		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:10000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO									
Blended Quartz	KEY:BLND_QUARTZ_SHLD		TYPE:BaseMaterial.MasterworkQuality.Shield	COST:2000*WT	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO									
Blended Quartz	KEY:BLND_QUARTZ_WEAP		TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:2000*WT	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKW	SOURCEPAGE:AaEG	PRETYPE:2,Weapon,Metal								BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO									
Bronzewood	KEY:BRNZWOOD_ARMR_LT		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO									
Bronzewood	KEY:BRNZWOOD_ARMR_MED		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:4000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO									
Bronzewood	KEY:BRNZWOOD_ARMR_HVY		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:9000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO									
Bronzewood	KEY:BRNZWOOD_SHLD		TYPE:BaseMaterial.MasterworkQuality.Shield	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO									
Bronzewood	KEY:BRNZWOOD_ITEM		TYPE:BaseMaterial.MasterworkQuality.Ammunition.Weapon.Instruments.Tools.Goods	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal								BONUS:EQM|WEIGHTMULT|0.9|TYPE=Enhancement		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO									
Elukian Clay	KEY:ELKNCLAY_ARMR_LT		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness	ARMORTYPE:Light|Medium				ASSIGNTOALL:NO									
Elukian Clay	KEY:ELKNCLAY_ARMR_MED		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness	ARMORTYPE:Medium|Heavy				ASSIGNTOALL:NO									
Elukian Clay	KEY:ELKNCLAY_ARMR_HVY		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:4000	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO									
Elukian Clay	KEY:ELKNCLAY_SHLD		TYPE:BaseMaterial.MasterworkQuality.Shield	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]					BONUS:EQMARMOR|ACCHECK|-1|TYPE=Enhancement					SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO									
Elukian Clay	KEY:ELKNCLAY_WEAP		TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Piercing,Bludgeoning]										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO									
Elukian Clay	KEY:ELKNCLAY_ITEM		TYPE:BaseMaterial.MasterworkQuality.Ammunition.Instruments.Tools.Goods	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO									
Urdrukar	KEY:URDKR_ARMR_LT		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]					BONUS:EQMARMOR|ACCHECK|-2|TYPE=Enhancement	BONUS:EQMARMOR|MAXDEX|-1|TYPE=Enhancement				SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO									
Urdrukar	KEY:URDKR_ARMR_MED		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]										SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO									
Urdrukar	KEY:URDKR_ARMR_HVY		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Heavy.Armor]										SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO									
Urdrukar	KEY:URDKR_SHLD		TYPE:BaseMaterial.MasterworkQuality.Shield	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:1,Shield]										SPROP:double spellfailure chanche. 30Hp/inch and 10 hardness					ASSIGNTOALL:NO									
Urdrukar	KEY:URDKR_WEAP		TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW	SOURCEPAGE:AaEG	PRETYPE:1,Metal										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO									
Urdrukar	KEY:URDKR_ITEM		TYPE:BaseMaterial.MasterworkQuality.Ammunition.Instruments.Tools.Goods	COST:200*WT	VISIBLE:QUALIFY	ITYPE:Metal.Bronzewood.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal										SPROP:30hp/inch and 10 hardness					ASSIGNTOALL:NO									

###Block:Weapons																																	
Trap Poison - Alforna	KEY:TRAP_POISON_AALF		TYPE:Trap	COST:1500	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|1					SPROP:Trap Poison - Alforna	DEFINE:TrapCR|0													
Trap Poison - Alforna	KEY:TRAP_POISON_ALF		TYPE:Trap	COST:75	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|1					SPROP:Trap Poison - Alforna	DEFINE:TrapCR|0													
Trap Poison - Banelar Essence	KEY:TRAP_POISON_ABAN		TYPE:Trap	COST:6000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Banelar Essence	DEFINE:TrapCR|0													
Trap Poison - Banelar Essence	KEY:TRAP_POISON_BAN		TYPE:Trap	COST:300	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Banelar Essence	DEFINE:TrapCR|0													
Trap Poison - Choldrith Tossin	KEY:TRAP_POISON_ACHT		TYPE:Trap	COST:24000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Choldrith Toxin	DEFINE:TrapCR|0													
Trap Poison - Choldrith Tossin	KEY:TRAP_POISON_CHT		TYPE:Trap	COST:1200	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Choldrith Tossin	DEFINE:TrapCR|0													
Trap Poison - Fang Dragon Venom	KEY:TRAP_POISON_AFDV		TYPE:Trap	COST:6000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Fang Dragon Venom	DEFINE:TrapCR|0													
Trap Poison - Fang Dragon Venom	KEY:TRAP_POISON_FDV		TYPE:Trap	COST:300	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Fang Dragon Venom	DEFINE:TrapCR|0													
Trap Poison - Gray Whinnis	KEY:TRAP_POISON_AGRW		TYPE:Trap	COST:60000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Gray Whinnis	DEFINE:TrapCR|0													
Trap Poison - Gray Whinnis	KEY:TRAP_POISON_GRW		TYPE:Trap	COST:3000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Gray Whinnis	DEFINE:TrapCR|0													
Trap Poison - Haluroot	KEY:TRAP_POISON_AHAL		TYPE:Trap	COST:3000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|1					SPROP:Trap Poison - Haluroot	DEFINE:TrapCR|0													
Trap Poison - Haluroot	KEY:TRAP_POISON_HAL		TYPE:Trap	COST:150	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:RSRD Traps	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|1					SPROP:Trap Poison - Haluroot	DEFINE:TrapCR|0													
