SOURCELONG:Champions of Darkness	SOURCESHORT:RLCoD	SOURCEWEB:http://www.gozzilioni.net
Comprehend Languages.MOD	CLASSES:Scourge=1	TYPE:Arcane
Detect Magic.MOD	CLASSES:Scourge=1	TYPE:Arcane
Detect Poison.MOD	CLASSES:Scourge=1	TYPE:Arcane
Flare.MOD	CLASSES:Scourge=1	TYPE:Arcane
Resistance.MOD	CLASSES:Scourge=1	TYPE:Arcane
Detect Thoughts.MOD	CLASSES:Scourge=2	TYPE:Arcane
Ray of Enfeeblement.MOD	CLASSES:Scourge=2	TYPE:Arcane
Shocking Grasp.MOD	CLASSES:Scourge=2	TYPE:Arcane
Sleep.MOD	CLASSES:Scourge=2	TYPE:Arcane
True Strike.MOD	CLASSES:Scourge=2	TYPE:Arcane
Unseen Servant.MOD	CLASSES:Scourge=2	TYPE:Arcane
Blindness/Deafness.MOD	CLASSES:Scourge=3	TYPE:Arcane
Ghoul Touch.MOD	CLASSES:Scourge=3	TYPE:Arcane
Hold Person.MOD	CLASSES:Scourge=3	TYPE:Arcane
Tasha's Hideous Laughter.MOD	CLASSES:Scourge=3	TYPE:Arcane
