SOURCELONG:Creature del Terrore	SOURCESHORT:CdT	SOURCEWEB:http://www.gozzilioni.net																																																																			
																																																																					
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells					
Chromon		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				LANGAUTO:Common	LANGBONUS:Elven,Giant,Gnome,Halfling,Dwarven	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2		BONUS:STAT|CHA|4			MONCSKILL:Listen|Disguise|Search|Move Silently|Hide|Spot|Sleight of Hand									LEGS:2	HANDS:2				NATURALATTACKS:Tongue,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Sticky|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Mimetism|Hide in Plain Sight (Ex)|All-Around Vision								MONSTERCLASS:Monstrous Humanoid:4	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid					LEVELADJUSTMENT:5	CR:4	SOURCEPAGE:CdT						
Covata Infetta (Sciame Pipistrelli Infetti)			STARTFEATS:1	SIZE:D	MOVE:Walk,5,Fly,40	FACE:10	REACH:0	VISION:Blindsight (20')|Low-light		PREALIGN:NE					BONUS:SKILL|Listen,Spot|4|TYPE=Racial				BONUS:STAT|STR|-8	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-6			MONCSKILL:Listen|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Distraction|Wounding|Infection of the Brood					ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Animal:3	RACETYPE:Animal	RACESUBTYPE:Swarn	TYPE:Animal	TEMPLATE:Animal|Swarm						CR:3	SOURCEPAGE:CdT		BONUS:VAR|Maneuverability|4				
Covata Infetta (Sciame Topi Infetti)			STARTFEATS:1	SIZE:D	MOVE:Walk,15,Climb,15	FACE:10	REACH:0	VISION:Low-light		PREALIGN:NE					BONUS:SKILL|Move Silently,Hide|4|TYPE=Racial	BONUS:SKILL|Balance,Swim,Climb|8|TYPE=Racial	BONUS:SKILL|Swim,Climb|(DEX-STR)		BONUS:STAT|STR|-8	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Listen|Balance|Hide|Swim|Spot|Climb									LEGS:0	HANDS:0				NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Distraction|Infection of the Brood	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:SPECIAL Ability|AUTOMATIC|Sciame Topi Infetti Skills					MONSTERCLASS:Animal:4	RACETYPE:Animal	RACESUBTYPE:Swarn	TYPE:Animal	TEMPLATE:Animal|Swarm						CR:3	SOURCEPAGE:CdT						
Covata Infetta (Ospite Infetto)				SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|-2			BONUS:STAT|WIS|2													LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Final Infection							DR:5/Slashing		MONSTERCLASS:Undead:8	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead|Mindless				HITDICEADVANCEMENT:16,24		CR:7	SOURCEPAGE:CdT						
Cranio Divoratore			STARTFEATS:1	SIZE:T	MOVE:Fly,30	FACE:2.5	REACH:0	VISION:Blindsight (40')|Darkvision (60')			LANGAUTO:Common	LANGBONUS:ALL	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-4	BONUS:STAT|DEX|8		BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Listen|Search|Intimidate|Hide|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Create Spawn|Protective Fog|Constitution Drain ~ Cranio Divoratore				ABILITY:SPECIAL Ability|AUTOMATIC|Cranio Divoratore Skills					MONSTERCLASS:Undead:7	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:15		CR:5	SOURCEPAGE:CdT						
#	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Swim,60	FACE:20	REACH:15			PREALIGN:CN			BONUS:COMBAT|AC|25|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Swim|8|TYPE=Racial				BONUS:STAT|STR|28	BONUS:STAT|DEX|4	BONUS:STAT|CON|28	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Listen|Search|Concentration|Intimidate|Swim|Spot|Sense Motive|Spellcraft|Climb									LEGS:0	HANDS:8				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*8,4d6		ABILITY:Special Ability|AUTOMATIC|Burden of the Tentacles|Improved Grab|Swallow Whole|Corrupting Presence		ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Resistance To Cold|Uthragor Swim Ability				SR:35	DR:10/Epic		MONSTERCLASS:Aberration:36	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration|Piaga Funesta	TEMPLATE:Water			HITDICEADVANCEMENT:49,*		CR:19	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Horrid Wilting,10+CHA+(HD/2)					
#	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:C	MOVE:Walk,40,Climb,40	FACE:40	REACH:30			PREALIGN:CE			BONUS:COMBAT|AC|40|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|34	BONUS:STAT|DEX|-2	BONUS:STAT|CON|30		BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Concentration|Intimidate|Spot|Climb									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,6d8|Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,4d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,4d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Swallow Whole|Throw Limbs	ABILITY:Special Ability|AUTOMATIC|Overwhelming Presence|Glide on Earth					SR:35	DR:15/Epic		MONSTERCLASS:Aberration:42	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration|Piaga Funesta	TEMPLATE:Earth			HITDICEADVANCEMENT:*		CR:20	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=3|CASTERLEVEL=21|Earthquake	BONUS:VAR|FastHealing|-15				
#		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:L	MOVE:Walk,40,Burrow,5	FACE:10	REACH:10	VISION:Blindsight (30')			LANGAUTO:Common,Purpuride	LANGBONUS:Giant,Orc,Terran	BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Survival|4|TYPE=Racial	BONUS:SKILL|Ride|10|TYPE=Racial			BONUS:STAT|STR|8	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Ride|Swim|Survival	AUTO:SHIELDPROF|SHIELDTYPE=Heavy		AUTO:WEAPONPROF|Lance|Longbow						LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Congenital Blindness|Shared Tremorsense|Immunity To Poison|Empatic Contact								MONSTERCLASS:Humanoid (Will):5	RACETYPE:Humanoid		TYPE:Humanoid	TEMPLATE:Humanoid					LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:Nep						
#	OUTPUTNAME:[NAME] Swarm			SIZE:D	MOVE:Walk,20,Fly,30	FACE:15	REACH:0	VISION:Darkvision (60')|Tremorsense (60')		PREALIGN:NE									BONUS:STAT|STR|-10	BONUS:STAT|DEX|8				BONUS:STAT|CHA|-8			MONCSKILL:Listen|Hide|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Distraction|Poison|Implant									MONSTERCLASS:Vermin:10	RACETYPE:Vermin	RACESUBTYPE:Swarn	TYPE:Vermin	TEMPLATE:Vermin|Mindless|Swarm						CR:7	SOURCEPAGE:Nep		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3			
#			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Disguise,Hide,Bluff|8|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|4			BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Listen|Disguise|Intimidate|Move Silently|Hide|Spot|Bluff									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Vase Constrict|Blind Fury	ABILITY:Special Ability|AUTOMATIC|Fake Skin|Vulnerability To Sunlight	ABILITY:Special Ability|AUTOMATIC|Squartatore Scarlatto Skill							MONSTERCLASS:Undead:12	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:24		CR:8	SOURCEPAGE:Nep						
#			STARTFEATS:1	SIZE:S	MOVE:Walk,15	FACE:5	REACH:5				LANGAUTO:Telepathy		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4		BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Listen|Search|Knowledge (Dungeoneering)|Knowledge (Local)|Diplomacy|Perform (Comedy)|Move Silently|Hide|Spot|Sense Motive|Bluff|Jump									LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal Claw,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*2,0		ABILITY:Special Ability|AUTOMATIC|Incorporeal Claws|Possession	ABILITY:Special Ability|AUTOMATIC|Mimetism|Telepathy								MONSTERCLASS:Aberration:4	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:8		CR:4	SOURCEPAGE:Nep				DEFINE:TelepathyRange|30		
#			STARTFEATS:1	SIZE:H	MOVE:Walk,20,Climb,20	FACE:15	REACH:10	VISION:Darkvision (60')|Tremorsense (60')			LANGAUTO:Sylvan		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently|4|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial			BONUS:STAT|STR|16	BONUS:STAT|DEX|-6	BONUS:STAT|CON|14			BONUS:STAT|CHA|-2			MONCSKILL:Listen|Search|Knowledge (Nature)|Diplomacy|Move Silently|Hide|Spot|Sense Motive|Bluff|Climb|Survival									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Adhesive Mucus|Breath Weapon ~ Stinking Blow	ABILITY:Special Ability|AUTOMATIC|Immunity To Critical Hits						DR:5/Piercing		MONSTERCLASS:Monstrous Humanoid:6	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid				HITDICEADVANCEMENT:12,18		CR:5	SOURCEPAGE:Nep				DEFINE:BreathWeaponDC|10+(HD/2)+CON	DEFINE:BreathWeaponCone|50	
#			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Climb,20	FACE:10	REACH:5	VISION:Darkvision (60')|Low-light					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently,Hide|4|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Escape Artist|Listen|Balance|Move Silently|Hide|Spot|Climb									LEGS:6	HANDS:2				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d3|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Poison|Visceral Web	ABILITY:Special Ability|AUTOMATIC|Preserving Saliva	ABILITY:Special Ability|AUTOMATIC|Visceranea Skill							MONSTERCLASS:Magical Beast:11	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:22,33		CR:8	SOURCEPAGE:Nep						
#																																																																					
