SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:PGtF	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Manyjaws			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One pair of disembodied, flying jaws/caster level (max 10)		DURATION:3 rounds	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:One set of jaws /level attacks enemies for 1d4 damages.	SOURCEPAGE:PGtF								
Mold Touch			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Patch of browm mold		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Moonweb			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft high barrier of force in a 5-ft-diameter circle or 10-ft-long line		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Mystic Lash			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Electricity|Evil	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:15 ft.	TARGETAREA:Electric Whip		DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Mystra's Miasma			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft-radius emanation, +5 ft/level		DURATION:1 round/level	SAVEINFO:Will partial; See text	SPELLRES:No	DESC:Solid fog reduces caster level by -4.	SOURCEPAGE:PGtF								
Nature's Balance			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:You tranfer 4 ability score points to the target for 10 minutes/level.	SOURCEPAGE:PGtF								
Nybor's Gentle Reminder			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target is dazed for 1 round, then -2 on attacks, saves and checks and distracted.	SOURCEPAGE:PGtF								
Nybor's Mild Admonishmment			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target is dazed for 1d4 rounds, then -2 on attacks, saves and checks and distracted.	SOURCEPAGE:PGtF								
Nybor's Stern Reproof			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:As Nybor's Mild Admonishment, but the target must save or die.	SOURCEPAGE:PGtF								
Nchaser's Glowing Orb			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Magical, controllable light source		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Creates permanent magical light, you control brightness.	SOURCEPAGE:PGtF								
Obedient Avalanche			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius avalanche of snow. Centered anywhere within range		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:Creates avalanche to bury or bull rush foes, deals varying cold damage.	SOURCEPAGE:PGtF								
Pact of Martyrdom			TYPE:Divine			SCHOOL:Necromancy		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing creature		DURATION:Instantaneous	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Possess Animal			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One animal		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Presper's Moonbow			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:1d4 motes of electricity		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Creates 1d4 motes of light that attack enemies.	SOURCEPAGE:PGtF								
Prismatic Eye			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Magical eye		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Orb produces individual prismatic rays as touch attacks.	SOURCEPAGE:PGtF								
Rosemantle			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Ruby Ray of Reversal			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One natural or magical hazard; See text		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Ray negates magical or mundane hazards.	SOURCEPAGE:PGtF		COST:1000						
Shield of Lathander			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Shield of Lathander (Greater)	OUTPUTNAME:Shield of Lathander, Greater		TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Shroud of Flame			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Reflex negate; See text	SPELLRES:Yes	DESC:Target bursts into flames, taking 2d6 fire damage per round and shooting gouts of flame that deal 1d4 fire damage to creatures within 10-ft.	SOURCEPAGE:PGtF								
Simbul's Spell Matrix			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Matrix that hold one of yout spells		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Magical matrix stores a 3rd level or lower spell to be cast later as quickened spell.	SOURCEPAGE:PGtF		COST:500						
Simbul's Spell Sequencer			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Matrix that hold two of yout spells		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Stores up to two spells of 3rd level or lower to be released later.	SOURCEPAGE:PGtF		COST:1000						
Simbul's Spell Trigger			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Matrix that hold three of yout spells		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Stores up to three spells of 3rd level or lower to be released later.	SOURCEPAGE:PGtF		COST:1500						
Skull of Secret			TYPE:Divine			SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Intangible skull		DURATION:Permanent, until discharged	SAVEINFO:None; See text	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Skull Eyes			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/3 level	SAVEINFO:None; See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Skull Watch			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One humanoid skull		DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Skull shrieks when creature enters warded area.	SOURCEPAGE:PGtF								
Spectral Stag			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:One quasi-real staglike creature		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Spell Enhancer			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Lets you cast another spell in same tound at +2 caster level.	SOURCEPAGE:PGtF								
Spellmantle			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Spell Phylactery			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Scroll touched		DURATION:Permanent, until triggered	SAVEINFO:None (object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Spell Shield			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Stone Body			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Your body becomes living iron.	SOURCEPAGE:PGtF								
Stone Walk			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Teleportation		COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Stone touched		DURATION:Permanent, until discharged	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF		COST:5000						
Strength of the Beast			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:PGtF								
Summon Undead I			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summon Undead to fight for you	SOURCEPAGE:PGtF								
Summon Undead II			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creature, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summon Undead to fight for you	SOURCEPAGE:PGtF								
Summon Undead III			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creature, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summon Undead to fight for you	SOURCEPAGE:PGtF								
Summon Undead IV			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creature, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summon Undead to fight for you	SOURCEPAGE:PGtF								
Summon Undead V			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creature, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summon Undead to fight for you	SOURCEPAGE:PGtF								
Sunrise			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft-radius burst		DURATION:Instantaneous	SAVEINFO:Reflex partial; see text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:PGtF								
Surelife			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Protects you from one kind of certain death.	SOURCEPAGE:PGtF								
Sword and Hammer		VARIANTS:Chaos|Evil|Good|Law	TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Magic weapon of force		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Magical weapon attacks on its own.	SOURCEPAGE:PGtF								
Sword and Hammer (Greater)	OUTPUTNAME:Sword and Hammer, Greater	VARIANTS:Chaos|Evil|Good|Law	TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Magic weapon of force		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Magical weapon attacks on its own.	SOURCEPAGE:PGtF								
