SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
11				ABILITY:Special Ability|AUTOMATIC|Monk of the Long Death Death Attack (Epic)								
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Monk of the Long Death Feat|1											
#												
CLASS:Morninglord of Lathander.MOD	MAXLEVEL:20											
11:REPEATLEVEL:1	ADD:SPELLCASTER|Divine											
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Morninglord of Lathander Feat|1											
#												
CLASS:Runecaster.MOD	MAXLEVEL:20											
11				ABILITY:Special Ability|AUTOMATIC|Runecaster Rune Craft (Epic)								
12				ABILITY:Special Ability|AUTOMATIC|Runecaster Rune Power (Epic)								
11:REPEATLEVEL:1	ADD:SPELLCASTER|Divine											
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Runecaster Feat|1											
#												
CLASS:Shaaryan Hunter.MOD	MAXLEVEL:20											
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Shaaryan Hunter Feat|1											
#												
CLASS:Shadow Adept.MOD	MAXLEVEL:20											
11:REPEATLEVEL:1	ADD:SPELLCASTER|ANY											
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Shadow Adept Feat|1											
#												
CLASS:Netherese Arcanist	HD:4	TYPE:Prestige	ABB:NeA	MAXLEVEL:5	SOURCEPAGE:PGtF	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE	ALLOWBASECLASS:NO
#CLASS:Netherese Arcanist	PRERACE:1,RACESUBTYPE=Human,RACESUBTYPE=Shade	PRESKILL:2,Knowledge (Arcana)=25,Spellcraft=25	PREFEAT:2,Improved Metamagic,Improved Spellcasting	PRESPELLTYPE:1,Arcane=13	PRETEXT:Tradition of netheril.							
CLASS:Netherese Arcanist	PRERACE:1,RACESUBTYPE=Human,RACESUBTYPE=Shade	PRESKILL:2,Knowledge (Arcana)=25,Spellcraft=25	PREFEAT:2,Improved Metamagic,Improved Spell Capacity	PRESPELLTYPE:1,Arcane=13	PRETEXT:Tradition of netheril.							
CLASS:Netherese Arcanist	STARTSKILLPTS:2	CSKILL:Concentration|Decipher Script|TYPE.Knowledge|Speak Language|Spellcraft										
#SUBCLASS:Invention	COST:1	PROHIBITCOST:1	CHOICE:STRING|Invention									
SUBCLASS:Invention	COST:1	PROHIBITCOST:1
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Field Specialization ~ Invention								
#SUBCLASS:Mentalism	COST:1	PROHIBITCOST:1	CHOOSE:STRING|Mentalism									
SUBCLASS:Mentalism	COST:1	PROHIBITCOST:1
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Field Specialization ~ Mentalism								
#SUBCLASS:Variation	COST:1	PROHIBITCOST:1	CHOOSE:STRING|Variation									
SUBCLASS:Variation	COST:1	PROHIBITCOST:1
SUBCLASSLEVEL:1				ABILITY:Special Ability|AUTOMATIC|Field Specialization ~ Variation								
1			VFEAT:Epic Spellcasting									
2				ADD:FEAT|Netherese Spell Focus Epic								
3				ABILITY:Special Ability|AUTOMATIC|Resistance To Backlash			BONUS:VAR|BacklashResistanceBonus|5					
4				ABILITY:Special Ability|AUTOMATIC|Epic Spell Artisan								
5				ADD:FEAT|Netherese Greater Spell Focus Epic								
#												
CLASS:Spellfire Hierophant	HD:4	TYPE:Prestige	ABB:Sfh	MAXLEVEL:10	SOURCEPAGE:PGtF	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Spellfire Hierophant	PRESKILL:1,Concentration=24	PRESKILL:2,Knowledge (Arcana)=12,Spellcraft=12	PREFEAT:4,Endurance,Epic Spellfire Wielder,Spellfire Wielder,Weapon Focus(Spellfire)									
CLASS:Spellfire Hierophant	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Heal|Intimidate|Knowledge (Arcana)|TYPE.Profession|Sense Motive|Spellcraft|Survival										
1				ABILITY:Special Ability|AUTOMATIC|Greater Charged Item Drain								
2				ABILITY:Special Ability|AUTOMATIC|Ranged Healing|Spellfire Hierophant Ranged Healing			BONUS:VAR|SpellfireHierophantRangedHealingLVL|CL					
3				ABILITY:Special Ability|AUTOMATIC|Haste (Su)								
4							BONUS:ABILITYPOOL|Spellfire Hierophant Feat|CL/4					
5				ABILITY:Special Ability|AUTOMATIC|Greater Permanent Item Drain								
6												
7				ABILITY:Special Ability|AUTOMATIC|Spellfire Reserve								
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Spellfire Burst
