SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net		
STARTPACK:AltumbelB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Mulan
GEAR:Chain Shirt		EQMOD:MWORKA		
GEAR:Musical Instrument (Lute)		EQMOD:MWORKI		
#				
REGION:Amn				
STARTPACK:AmnA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Tethyrian
GEAR:Thieves' Tools				
GEAR:Crossbow (Hand)				
GEAR:Bolts (Crossbow/10)		EQMOD:MWORKW		
#				
STARTPACK:AmnB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Tethyrian
GEAR:Longsword		EQMOD:MWORKW		
#				
STARTPACK:AmnB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Tethyrian
GEAR:Sword (Short)		EQMOD:MWORKW		
#				
STARTPACK:AmnM1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc
GEAR:Battleaxe		EQMOD:MWORKW		
#				
STARTPACK:AmnM2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc
GEAR:Axe (Orc Double)		EQMOD:MWORKW		
#				
STARTPACK:AmnN1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc
GEAR:Chain Shirt				
GEAR:Shield (Heavy/Metal)	EQMOD:MWORKA			
#				
REGION:Anauroch				
STARTPACK:AnaurochA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Bedine
GEAR:Scimitar		EQMOD:MWORKW		
#				
STARTPACK:AnaurochA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Bedine
GEAR:Dagger		EQMOD:MWORKW		
#				
STARTPACK:AnaurochB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Bedine
GEAR:Shortbow (Composite)		EQMOD:MWORKW.BOWSTR|+2		
GEAR:Arrow	QTY:10	EQMOD:MWORKW		
#				
REGION:Calimshan				
STARTPACK:CalimshanA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Tethyrian
GEAR:Wand		EQMOD:SPL_CHRG|SPELLNAME[Magic Missile]SPELLLEVEL[1]CASTERLEVEL[1]CHARGES[20]		

STARTPACK:CalimshanB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Tethyrian
GEAR:Chain Shirt		EQMOD:MWORKA		
GEAR:Potion (Cure Light Wounds)				
#				
STARTPACK:CalimshanO1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Genasi Air, Fire
GEAR:Scimitar		EQMOD:MWORKW		
#				
STARTPACK:CalimshanO2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Genasi Air, Fire
GEAR:Falchion		EQMOD:MWORKW		
#				
STARTPACK:CalimshanP1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Genasi Air, Fire
GEAR:Wand		EQMOD:SPL_CHRG|SPELLNAME[Magic Missile]SPELLLEVEL[1]CASTERLEVEL[1]CHARGES[20]		
#				
REGION:Chessenta				
STARTPACK:ChessentaA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Mulan, Turami
GEAR:Sword (Short)		EQMOD:MWORKW		
#				
STARTPACK:ChessentaA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Mulan, Turami
GEAR:Longspear		EQMOD:MWORKW		
#				
STARTPACK:ChessentaB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Mulan, Turami
GEAR:Scroll (Blur)				
GEAR:Scroll (Levitate)				
#				
STARTPACK:ChessentaM1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain
GEAR:Sword (Bastard)		EQMOD:MWORKW		
#				
STARTPACK:ChessentaM2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain
GEAR:Falchion		EQMOD:MWORKW		
#				
STARTPACK:ChessentaN1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain
GEAR:Breastplate		EQMOD:MWORKA		
#				
STARTPACK:ChessentaO1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Aasimar, Genasi Water
GEAR:Sword (Short)		EQMOD:MWORKW		
#				
STARTPACK:ChessentaO2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Aasimar, Genasi Water
GEAR:Spear		EQMOD:MWORKW		
#				
STARTPACK:ChessentaP1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Aasimar, Genasi Water
GEAR:Breastplate				
#				
REGION:Chult				
STARTPACK:ChultA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chultan, Tashalan
GEAR:Kukri		EQMOD:MWORKW		
#				
STARTPACK:ChultA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chultan, Tashalan
GEAR:Shortspear		EQMOD:MWORKW		
#				
STARTPACK:ChultB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chultan, Tashalan
GEAR:Poison (Large scorpion venom)	QTY:2			
#				
STARTPACK:ChultC1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chultan, Tashalan
GEAR:Handaxe		EQMOD:MWORKW		
#				
STARTPACK:ChultC2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Dwarf Wild
GEAR:Shortspear		EQMOD:MWORKW		
#				
STARTPACK:ChultD1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Dwarf Wild
GEAR:Poison (Black adder venom)	QTY:3			
#				
REGION:Cormyr				
STARTPACK:CormyrA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Tethyrian
GEAR:Longsword		EQMOD:MWORKW		
#				
STARTPACK:CormyrA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Tethyrian
GEAR:Mace (Heavy)		EQMOD:MWORKW		
#				
STARTPACK:CormyrB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Tethyrian
GEAR:Banded Mail		EQMOD:MWORKA		
#				
REGION:Dalelands				
STARTPACK:DalelandsA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Vaasan
GEAR:Longbow (Composite)		EQMOD:MWORKW.BOWSTR|+2		
#				
STARTPACK:DalelandsB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Vaasan
GEAR:Longbow		EQMOD:MWORKW		
#				
STARTPACK:DalelandsB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Vaasan
GEAR:Spear		EQMOD:MWORKW		
#				
STARTPACK:DalelandsB3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Vaasan
GEAR:Quarterstaff		EQMOD:MWORKW		
#				
STARTPACK:DalelandsI1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Moon, Drow
GEAR:Longbow		EQMOD:MWORKW		
#				
STARTPACK:DalelandsI2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Moon, Drow
GEAR:Spear		EQMOD:MWORKW		
#				
STARTPACK:DalelandsJ1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Moon, Drow
GEAR:Longbow (Composite)		EQMOD:MWORKW.BOWSTR|+2		
#				
REGION:Damara				
STARTPACK:DamaraA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Damaran, Chondathan
GEAR:Sword (Bastard)		EQMOD:MWORKW		
#				
STARTPACK:DamaraA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Damaran, Chondathan
GEAR:Battleaxe		EQMOD:MWORKW		
#				
STARTPACK:DamaraB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Damaran, Chondathan
GEAR:Scroll (Cure Moderate Wounds/Divine)	QTY:2			
#				
REGION:Dambrath				
STARTPACK:DambrathA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan, Shaaran
GEAR:Crossbow (Light)		EQMOD:MWORKW		
#				
STARTPACK:DambrathA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan, Shaaran
GEAR:Rapier		EQMOD:MWORKW		
#				
STARTPACK:DambrathB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan, Shaaran
GEAR:Poison (Drow Poison)	QTY:3			
#				
STARTPACK:DambrathI1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Drow
GEAR:Chain Shirt		EQMOD:MWORKA		
GEAR:Poison (Drow Poison)				
#				
STARTPACK:DambrathJ1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Drow
GEAR:Chain (Spiked)		EQMOD:MWORKW		
#				
STARTPACK:DambrathJ2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Drow
GEAR:Scourge		EQMOD:MWORKW		
#				
REGION:Dragon Coast				
STARTPACK:DragonCoastA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Tethyrian
GEAR:Rapier		EQMOD:MWORKW		
#				
STARTPACK:DragonCoastA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Tethyrian
GEAR:Crossbow (Light)		EQMOD:MWORKA		
#				
STARTPACK:DragonCoastB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Tethyrian
GEAR:Potion (Blur)				
#				
STARTPACK:DragonCoastB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Tethyrian
GEAR:Potion (Levitate)				
#				
STARTPACK:DragonCoastI1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Aquatic
GEAR:Trident		EQMOD:MWORKW		
#				
STARTPACK:DragonCoastI2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Aquatic
GEAR:Shortspear		EQMOD:MWORKW		
#				
STARTPACK:DragonCoastJ1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Elf Aquatic
GEAR:Pearl (Freshwater/Irregular)	QTY:5	EQMOD:GEM|EVAL(50)		
#				
REGION:Golden Water				
STARTPACK:GoldenWaterA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari
GEAR:Scimitar		EQMOD:MWORKW		
#				
STARTPACK:GoldenWaterA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari
GEAR:Kukri		EQMOD:MWORKW		
#				
STARTPACK:GoldenWaterA3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari
GEAR:Falchion		EQMOD:MWORKW		
#				
STARTPACK:GoldenWaterB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari
GEAR:Wand		EQMOD:SPL_CHRG|SPELLNAME[Cure Light Wounds]SPELLLEVEL[1]CASTERLEVEL[1]CHARGES[20]		
#				
REGION:Great Dale				
STARTPACK:GreatDaleA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Nar
GEAR:Longbow		EQMOD:MWORKW		
#				
STARTPACK:GreatDaleA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Nar
GEAR:Shortbow		EQMOD:MWORKW		
#				
STARTPACK:GreatDaleB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Nar
GEAR:Healer's Kit				
GEAR:Antitoxin (Vial)	QTY:2			
GEAR:Arrows (20)				
#				
STARTPACK:GreatDaleG1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Gnome Forest, Rock
GEAR:Mace (Light)		EQMOD:MWORKW		
#				
STARTPACK:GreatDaleG2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Gnome Forest, Rock
GEAR:Shortspear		EQMOD:MWORKW		
#				
STARTPACK:GreatDaleH1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Gnome Forest, Rock
GEAR:Wand		EQMOD:SPL_CHRG|SPELLNAME[Cure Light Wounds]SPELLLEVEL[1]CASTERLEVEL[1]CHARGES[20]		
#				
REGION:Great Glacier				
STARTPACK:GreatGlacierA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Hulutium, Sossrim
GEAR:Spear		EQMOD:MWORKW		
#				
STARTPACK:GreatGlacierA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Hulutium, Sossrim
GEAR:Javelin		EQMOD:MWORKW		
#				
STARTPACK:GreatGlacierB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Hulutium, Sossrim
GEAR:Hide		EQMOD:MWORKA		
GEAR:Potion (Cure Moderate Wounds)				
#				
STARTPACK:GreatGlacierC1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Dwarf Artic, Shield
GEAR:Pick (Light)		EQMOD:MWORKW		
#				
STARTPACK:GreatGlacierC2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Dwarf Artic, Shield
GEAR:Shortspear		EQMOD:MWORKW		
#				
STARTPACK:GreatGlacierD1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Dwarf Artic, Shield
GEAR:Dog (Riding)				
GEAR:Hide		EQMOD:MWORKA		
#				
REGION:Halruaa				
STARTPACK:HalruaaA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Halruaan, Shaaran, Tashalan
GEAR:Scroll (Web)				
SPELLS:LEVEL=1	COUNT:6			
#				
STARTPACK:HalruaaB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Halruaan, Shaaran, Tashalan
GEAR:Wand		EQMOD:SPL_CHRG|SPELLNAME[Sleep]SPELLLEVEL[1]CASTERLEVEL[1]CHARGES[20]		
#				
REGION:Hordeland				
STARTPACK:HordelandA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Tuigan, Rashemi
GEAR:Shortbow (Composite)		EQMOD:MWORKW.BOWSTR|+0		
#				
STARTPACK:HordelandA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Tuigan, Rashemi
GEAR:Warhorse (Light)				
GEAR:Bit and Bridle				
GEAR:Saddle (Military)			SIZE:L	
GEAR:Barding (Studded Leather)			SIZE:L	
#				
STARTPACK:HordelandM1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Gray
GEAR:Spear		EQMOD:MWORKW		
#				
STARTPACK:HordelandM2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Gray
GEAR:Greataxe		EQMOD:MWORKW		
#				
STARTPACK:HordelandN1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Gray
GEAR:Studded Leather		EQMOD:MWORKA		
GEAR:Potion (Bull's Strength)				
#				
REGION:Impiltur				
STARTPACK:ImpilturA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran
GEAR:Sword (Bastard)		EQMOD:MWORKW		
#				
STARTPACK:ImpilturA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran
GEAR:Morningstar		EQMOD:MWORKW		
#				
STARTPACK:ImpilturB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran
GEAR:Thieves' Tools		EQMOD:MWORKT		
GEAR:Studded Leather		EQMOD:MWORKA		
#				
REGION:Lake of Steam				
STARTPACK:LakeOfSteamA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Shaaran
GEAR:Scimitar		EQMOD:MWORKW		
#				
STARTPACK:LakeOfSteamA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Shaaran
GEAR:Falchion		EQMOD:MWORKW		
#				
STARTPACK:LakeOfSteamA3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Shaaran
GEAR:Glaive		EQMOD:MWORKW		
#				
STARTPACK:LakeOfSteamB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Shaaran
GEAR:Potion (Darkness)				
#				
REGION:Lapaliiya				
STARTPACK:LapaliiyaA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Sharran, Tashalan
GEAR:Scimitar		EQMOD:MWORKW		
#				
STARTPACK:LapaliiyaA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Sharran, Tashalan
GEAR:Javelin		EQMOD:MWORKW		
#				
STARTPACK:LapaliiyaB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Sharran, Tashalan
GEAR:Studded Leather		EQMOD:MWORKA		
GEAR:Potion (Invisibility)				
#				
REGION:Lantan				
STARTPACK:LantanA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Lantanna
GEAR:Firearms (Pistol)				
GEAR:Powderhorn (Gunpowder)				
GEAR:Bullets (Firearm/10)	QTY:1	EQMOD:MWORKW		
#				
STARTPACK:LantanA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Lantanna
GEAR:Crossbow (Heavy)		EQMOD:MWORKW		
#				
STARTPACK:LantanG1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Gnome Rock
GEAR:Firearms (Pistol)				
GEAR:Powderhorn (Gunpowder)				
GEAR:Bullets (Firearm/10)	QTY:1	EQMOD:MWORKW		
#				
STARTPACK:LantanH1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Gnome Rock
GEAR:Crossbow (Heavy)		EQMOD:MWORKW		
#				
REGION:Moonsea				
STARTPACK:MoonseaA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Vaasan
GEAR:Sword (Short)		EQMOD:MWORKW		
#				
STARTPACK:MoonseaA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Vaasan
GEAR:Sword (Two-Bladed)		EQMOD:MWORKW		
#				
STARTPACK:MoonseaB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan, Damaran, Vaasan
GEAR:Crossbow (Hand)				
GEAR:Poison (Greenblood Oil)	QTY:2			
#				
STARTPACK:MoonseaM1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain, Orog
GEAR:Greataxe		EQMOD:MWORKW		
#				
STARTPACK:MoonseaM2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain, Orog
GEAR:Axe (Orc Double)		EQMOD:MWORKW		
#				
STARTPACK:MoonseaN1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain, Orog
GEAR:Chain Shirt				
GEAR:Shield (Heavy/Metal)		EQMOD:MWORKA		
#				
REGION:Moonshae				
STARTPACK:MoonshaeA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Studded Leather		EQMOD:MWORKA		
GEAR:Arrows (20)				
#				
STARTPACK:MoonshaeB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Handaxe		EQMOD:MWORKW		
#				
STARTPACK:MoonshaeB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Battleaxe		EQMOD:MWORKW		
#				
STARTPACK:MoonshaeB3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Greataxe		EQMOD:MWORKW		
#				
REGION:Mulhorand				
STARTPACK:MulhorandA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari, Mulani
GEAR:Sickle		EQMOD:MWORKW		
#				
STARTPACK:MulhorandA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari, Mulani
GEAR:Falchion		EQMOD:MWORKW		
#				
STARTPACK:MulhorandA3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari, Mulani
GEAR:Sword (Kopesh)		EQMOD:MWORKW		
#				
STARTPACK:MulhorandB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Durpari, Mulani
GEAR:Scroll	QTY:6			
#				
STARTPACK:MulhorandO1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Aasimar, Genasi Earth, Tiefling
GEAR:Falchion		EQMOD:MWORKW		
#				
STARTPACK:MulhorandO2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Aasimar, Genasi Earth, Tiefling
GEAR:Sword (Kopesh)		EQMOD:MWORKW		
#				
STARTPACK:MulhorandP1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Aasimar, Genasi Earth, Tiefling
GEAR:Scroll (Restoration/Lesser)				
GEAR:Scroll (Spiritual Weapon)				
#				
REGION:Narfell				
STARTPACK:NarfellA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Damaran, Nar
GEAR:Warhorse (Light)				
GEAR:Bit and Bridle			SIZE:L	
GEAR:Saddle (Military)			SIZE:L	
GEAR:Barding (Studded Leather)			SIZE:L	
#				
STARTPACK:NarfellB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Damaran, Nar
GEAR:Lance (Light)		EQMOD:MWORKW		
#				
STARTPACK:NarfellB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Damaran, Nar
GEAR:Longspear		EQMOD:MWORKW		
#				
REGION:Nelanther Isles				
STARTPACK:NelantherIslesA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Chondathan, Illuskan
GEAR:Scimitar		EQMOD:MWORKW		
#				
STARTPACK:NelantherIslesA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Chondathan, Illuskan
GEAR:Dagger		EQMOD:MWORKW		
#				
STARTPACK:NelantherIslesB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Chondathan, Illuskan
GEAR:Firearms (Pistol)				
GEAR:Powderhorn (Gunpowder)				
GEAR:Bullets (Firearm/10)	QTY:1			
#				
REGION:North				
STARTPACK:NorthA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Battleaxe		EQMOD:MWORKW		
#				
STARTPACK:NorthA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Mace (Heavy)		EQMOD:MWORKW		
#				
STARTPACK:NorthA3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Longsword		EQMOD:MWORKW		
#				
STARTPACK:NorthB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Illuskan
GEAR:Studded Leather		EQMOD:MWORKA		
GEAR:Arrows (20)		EQMOD:MWORKW		
#				
STARTPACK:NorthM1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain, Orog, Tanarukk
GEAR:Banded Mail		EQMOD:MWORKA.SPIKE_A		
#				
STARTPACK:NorthN1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain, Orog, Tanarukk
GEAR:Flail (Dire)		EQMOD:MWORKW		
#				
STARTPACK:NorthN2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain, Orog, Tanarukk
GEAR:Greataxe		EQMOD:MWORKW		
#				
STARTPACK:NorthN3	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Half Orc, Orc Mountain, Orog, Tanarukk
GEAR:Axe (Orc Double)		EQMOD:MWORKW		
#				
REGION:Rashemen				
STARTPACK:RashemenA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Nar, Rashemi
GEAR:Greataxe		EQMOD:MWORKW		
#				
STARTPACK:RashemenA2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Nar, Rashemi
GEAR:Greatsword		EQMOD:MWORKW		
#				
STARTPACK:RashemenB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Nar, Rashemi
GEAR:Wand		EQMOD:SPL_CHRG|SPELLNAME[Detect Magic]SPELLLEVEL[1]CASTERLEVEL[1]CHARGES[20]		
#				
STARTPACK:RashemenB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Nar, Rashemi
GEAR:Wand		EQMOD:SPL_CHRG|SPELLNAME[Light]SPELLLEVEL[1]CASTERLEVEL[1]CHARGES[20]		
#				
REGION:Ride				
STARTPACK:RideA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Nar, Vaasan
GEAR:Warhorse (Light)				
GEAR:Bit and Bridle			SIZE:L	
GEAR:Saddle (Military)			SIZE:L	
GEAR:Barding (Studded Leather)			SIZE:L	
#				
STARTPACK:RideB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Nar, Vaasan
GEAR:Battleaxe		EQMOD:MWORKW		
#				
STARTPACK:RideB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Nar, Vaasan
GEAR:Spear		EQMOD:MWORKW		
#				
REGION:Sembia				
STARTPACK:SembiaA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan
FUNDS:gp	QTY:300			
#				
STARTPACK:SembiaB1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan
GEAR:Rapier		EQMOD:MWORKW		
#				
STARTPACK:SembiaB2	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Chondathan
GEAR:Dagger		EQMOD:MWORKW		
#				
REGION:Shaar				
STARTPACK:ShaarA1	EQUIPBUY:0		PRELEVELMAX:1	PRETEXT:Human Calishite, Shaaran
GEAR:Studded Leather		EQMOD:MWORKA		
GEAR:Javelin				
#				
