SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																																								
																																										
# BASICS																				[PREMULT:2,[PRERACE:1,RACESUBTYPE=Human],[PREREGION:1,Rashemen]]																						
# Feat Name	Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Chosen Weapon Specialization.MOD	TYPE:EpicJusticiarOfTyr																																									
Devastating Critical.MOD	TYPE:EpicJusticiarOfTyr																																									
Epic Leadership.MOD	TYPE:EpicJusticiarOfTyr																																									
Epic Prowess.MOD	TYPE:EpicJusticiarOfTyr																																									
Epic Reputation.MOD	TYPE:EpicJusticiarOfTyr																																									
Epic Toughness.MOD	TYPE:EpicJusticiarOfTyr																																									
Epic Weapon Focus.MOD	TYPE:EpicJusticiarOfTyr																																									
Great Smiting.MOD	TYPE:EpicJusticiarOfTyr																																									
Improved Combat Casting.MOD	TYPE:EpicJusticiarOfTyr																																									
Improved Spell Capacity.MOD	TYPE:EpicJusticiarOfTyr																																									
Legendary Commander.MOD	TYPE:EpicJusticiarOfTyr																																									
Overwhelming Critical.MOD	TYPE:EpicJusticiarOfTyr																																									
Perfect Health.MOD	TYPE:EpicJusticiarOfTyr																																									
Permanent Emanation.MOD	TYPE:EpicJusticiarOfTyr																																									
Spontaneous Spell.MOD	TYPE:EpicJusticiarOfTyr																																									
Armor Skin.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Blinding Speed.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Damage Reduction.MOD	TYPE:EpicMonkOfTheLongDeath																																									
#Energy Resistance.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Energy Resistance ~ Acid.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Energy Resistance ~ Cold.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Energy Resistance ~ Electricity.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Energy Resistance ~ Fire.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Energy Resistance ~ Sonic.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Epic Prowess.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Epic Speed.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Epic Toughness.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Fast Healing.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Improved Combat Reflexes.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Keen Strike.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Legendary Climber.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Legendary Wrestler.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Self Concealment.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Shattering Strike.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Superior Initiative.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Vorpal Strike.MOD	TYPE:EpicMonkOfTheLongDeath																																									
Armor Skin.MOD	TYPE:EpicMorninglordOfLathander																																									
Automatic Quicken Spell.MOD	TYPE:EpicMorninglordOfLathander																																									
Automatic Silent Spell.MOD	TYPE:EpicMorninglordOfLathander																																									
Automatic Still Spell.MOD	TYPE:EpicMorninglordOfLathander																																									
Bonus Domain.MOD	TYPE:EpicMorninglordOfLathander																																									
Chosen Weapon Specialization.MOD	TYPE:EpicMorninglordOfLathander																																									
Divine Spell Penetration.MOD	TYPE:EpicMorninglordOfLathander																																									
Enhance Spell.MOD	TYPE:EpicMorninglordOfLathander																																									
Epic Counterspell.MOD	TYPE:EpicMorninglordOfLathander																																									
Epic Devotion.MOD	TYPE:EpicMorninglordOfLathander																																									
Epic Spell Focus.MOD	TYPE:EpicMorninglordOfLathander																																									
Epic Spell Penetration.MOD	TYPE:EpicMorninglordOfLathander																																									
Epic Spellcasting.MOD	TYPE:EpicMorninglordOfLathander																																									
Ignore Material Components.MOD	TYPE:EpicMorninglordOfLathander																																									
Improved Alignment Based Casting.MOD	TYPE:EpicMorninglordOfLathander																																									
Improved Combat Casting.MOD	TYPE:EpicMorninglordOfLathander																																									
Improved Heighten Spell.MOD	TYPE:EpicMorninglordOfLathander																																									
Improved Metamagic.MOD	TYPE:EpicMorninglordOfLathander																																									
Improved Spell Capacity.MOD	TYPE:EpicMorninglordOfLathander																																									
Intensify Spell.MOD	TYPE:EpicMorninglordOfLathander																																									
Multispell.MOD	TYPE:EpicMorninglordOfLathander																																									
Permanent Emanation.MOD	TYPE:EpicMorninglordOfLathander																																									
Planar Turning.MOD	TYPE:EpicMorninglordOfLathander																																									
Positive Energy Aura.MOD	TYPE:EpicMorninglordOfLathander																																									
Spectral Strike.MOD	TYPE:EpicMorninglordOfLathander																																									
Spell Stowaway.MOD	TYPE:EpicMorninglordOfLathander																																									
Spell Opportunity.MOD	TYPE:EpicMorninglordOfLathander																																									
Spontaneous Domain Access.MOD	TYPE:EpicMorninglordOfLathander																																									
Spontaneous Spell.MOD	TYPE:EpicMorninglordOfLathander																																									
Tenacious Magic.MOD	TYPE:EpicMorninglordOfLathander																																									
Automatic Quicken Spell.MOD	TYPE:EpicRunecasterFeat																																									
Automatic Silent Spell.MOD	TYPE:EpicRunecasterFeat																																									
Automatic Still Spell.MOD	TYPE:EpicRunecasterFeat																																									
Bonus Domain.MOD	TYPE:EpicRunecasterFeat																																									
Chosen Weapon Specialization.MOD	TYPE:EpicRunecasterFeat																																									
Divine Spell Penetration.MOD	TYPE:EpicRunecasterFeat																																									
Efficient Item Creation.MOD	TYPE:EpicRunecasterFeat																																									
Enhance Effect.MOD	TYPE:EpicRunecasterFeat																																									
Epic Devotion.MOD	TYPE:EpicRunecasterFeat																																									
Epic Skill Focus.MOD	TYPE:EpicRunecasterFeat																																									
Epic Spell Focus.MOD	TYPE:EpicRunecasterFeat																																									
Epic Spell Penetration.MOD	TYPE:EpicRunecasterFeat																																									
Epic Spellcasting.MOD	TYPE:EpicRunecasterFeat																																									
Epic Toughness.MOD	TYPE:EpicRunecasterFeat																																									
Ignore Material Components.MOD	TYPE:EpicRunecasterFeat																																									
Improved Alignment Based Casting.MOD	TYPE:EpicRunecasterFeat																																									
Improved Combat Casting.MOD	TYPE:EpicRunecasterFeat																																									
Improved Heighten Spell.MOD	TYPE:EpicRunecasterFeat																																									
Improved Metamagic.MOD	TYPE:EpicRunecasterFeat																																									
Improved Spell Capacity.MOD	TYPE:EpicRunecasterFeat																																									
Inscribe Epic Rune.MOD	TYPE:EpicRunecasterFeat																																									
Intensify Spell.MOD	TYPE:EpicRunecasterFeat																																									
Multispell.MOD	TYPE:EpicRunecasterFeat																																									
Permanent Emanation.MOD	TYPE:EpicRunecasterFeat																																									
Spell Opportunity.MOD	TYPE:EpicRunecasterFeat																																									
Spell Stowaway.MOD	TYPE:EpicRunecasterFeat																																									
Spontaneous Domain Access.MOD	TYPE:EpicRunecasterFeat																																									
Spontaneous Spell.MOD	TYPE:EpicRunecasterFeat																																									
Tenacious Magic.MOD	TYPE:EpicRunecasterFeat																																									
Armor Skin.MOD	TYPE:EpicShaaryanHunterFeat																																									
Blinding Speed.MOD	TYPE:EpicShaaryanHunterFeat																																									
Combat Archery.MOD	TYPE:EpicShaaryanHunterFeat																																									
Distant Shot.MOD	TYPE:EpicShaaryanHunterFeat																																									
Epic Endurance.MOD	TYPE:EpicShaaryanHunterFeat																																									
Epic Prowess.MOD	TYPE:EpicShaaryanHunterFeat																																									
Epic Skill Focus.MOD	TYPE:EpicShaaryanHunterFeat																																									
Epic Speed.MOD	TYPE:EpicShaaryanHunterFeat																																									
Epic Toughness.MOD	TYPE:EpicShaaryanHunterFeat																																									
Epic Weapon Focus.MOD	TYPE:EpicShaaryanHunterFeat																																									
Fast Healing.MOD	TYPE:EpicShaaryanHunterFeat																																									
Improved Manyshot.MOD	TYPE:EpicShaaryanHunterFeat																																									
Legendary Rider.MOD	TYPE:EpicShaaryanHunterFeat																																									
Legendary Tracker.MOD	TYPE:EpicShaaryanHunterFeat																																									
Swarm of Arrows.MOD	TYPE:EpicShaaryanHunterFeat																																									
Uncanny Accuracy.MOD	TYPE:EpicShaaryanHunterFeat																																									
Automatic Quicken Spell.MOD	TYPE:EpicShadowAdeptFeat																																									
Automatic Silent Spell.MOD	TYPE:EpicShadowAdeptFeat																																									
Automatic Still Spell.MOD	TYPE:EpicShadowAdeptFeat																																									
Enhance Spell.MOD	TYPE:EpicShadowAdeptFeat																																									
Epic Spell Focus.MOD	TYPE:EpicShadowAdeptFeat																																									
Epic Spell Penetration.MOD	TYPE:EpicShadowAdeptFeat																																									
Epic Spellcasting.MOD	TYPE:EpicShadowAdeptFeat																																									
Ignore Material Components.MOD	TYPE:EpicShadowAdeptFeat																																									
Improved Combat Casting.MOD	TYPE:EpicShadowAdeptFeat																																									
Improved Heighten Spell.MOD	TYPE:EpicShadowAdeptFeat																																									
Improved Low light Vision.MOD	TYPE:EpicShadowAdeptFeat																																									
Improved Metamagic.MOD	TYPE:EpicShadowAdeptFeat																																									
Improved Spell Capacity.MOD	TYPE:EpicShadowAdeptFeat																																									
Intensify Spell.MOD	TYPE:EpicShadowAdeptFeat																																									
Multispell.MOD	TYPE:EpicShadowAdeptFeat																																									
Permanent Emanation.MOD	TYPE:EpicShadowAdeptFeat																																									
Spectral Strike.MOD	TYPE:EpicShadowAdeptFeat																																									
Spell Knowledge.MOD	TYPE:EpicShadowAdeptFeat																																									
Spell Opportunity.MOD	TYPE:EpicShadowAdeptFeat																																									
Spontaneous Spell.MOD	TYPE:EpicShadowAdeptFeat																																									
Tenacious Magic.MOD	TYPE:EpicShadowAdeptFeat																																									
#Energy Resistance.MOD	TYPE:SpellfireHierophant																																									
Energy Resistance ~ Acid.MOD	TYPE:SpellfireHierophant																																									
Energy Resistance ~ Cold.MOD	TYPE:SpellfireHierophant																																									
Energy Resistance ~ Electricity.MOD	TYPE:SpellfireHierophant																																									
Energy Resistance ~ Fire.MOD	TYPE:SpellfireHierophant																																									
Energy Resistance ~ Sonic.MOD	TYPE:SpellfireHierophant																																									
Epic Skill Focus.MOD	TYPE:SpellfireHierophant																																									
Epic Spellfire Wielder.MOD	TYPE:SpellfireHierophant																																									
Epic Toughness.MOD	TYPE:SpellfireHierophant																																									
Epic Weapon Focus.MOD	TYPE:SpellfireHierophant																																									
Exceptional Deflection.MOD	TYPE:SpellfireHierophant																																									
Fast Healing.MOD	TYPE:SpellfireHierophant																																									
Infinite Deflection.MOD	TYPE:SpellfireHierophant																																									
Reflect Arrows.MOD	TYPE:SpellfireHierophant																																									
