SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																														
###Block: Rogue Special Abilities																																
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
Justicar Bureaucratic Knowledge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:JusticarBureaucraticKnowledgeLVL|0			BONUS:VAR|BureaucraticKnowledgeBonus|JusticarBureaucraticKnowledgeLVL																					SOURCEPAGE:PGtF
Justicar Order's Calm	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:JusticarOrderCalmLVL|0			BONUS:VAR|OrderCalmPerDay|1	BONUS:VAR|OrderCalmDC|JusticarOrderCalmLVL/2																				SOURCEPAGE:PGtF
Justicar Smite Anarchy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:JusticarSmiteAnarchyLVL|0			BONUS:VAR|SmiteAnarchy|1+(JusticarSmiteAnarchyLVL/5)	BONUS:VAR|SmiteAnarchyDamage|JusticarSmiteAnarchyLVL																				SOURCEPAGE:PGtF
Monk of the Long Death Death Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MonkLongDeathDeathAttackLVL|0			BONUS:VAR|DeathAttack|MonkLongDeathDeathAttackLVL																					SOURCEPAGE:PGtF
Monk of the Long Death Death Attack (Epic)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|DeathAttack|(MonkLongDeathDeathAttackLVL-10)/2																					SOURCEPAGE:PGtF
Monk of the Long Death Death Touch	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MonkLongDeathDeathTouchLVL|0			BONUS:VAR|DeathTouch|MonkLongDeathDeathTouchLVL																					SOURCEPAGE:PGtF
Monk of the Long Death Deathguard	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MonkLongDeathDeathguardLVL|0			BONUS:VAR|DeathguardBonus|(MonkLongDeathDeathguardLVL+1)/2																					SOURCEPAGE:PGtF
Morninglord Creative Fire	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MorninglordCreativeFireLVL|0			BONUS:VAR|CreativeFireBonus|MorninglordCreativeFireLVL																					SOURCEPAGE:PGtF
Morninglord Greater Turning	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MorninglordGreaterTurnUndeadLVL|0			BONUS:VAR|GreaterTurnLevelBase|MorninglordGreaterTurnUndeadLVL|TYPE=Level.REPLACE	BONUS:VAR|GreaterTurnTimesBase|(MorninglordGreaterTurnUndeadLVL-1)/4|TYPE=Base	BONUS:VAR|GreaterTurnCheckBase|CHA|TYPE=Base																			SOURCEPAGE:PGtF
Morninglord Turn Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MorninglordTurnUndeadLVL|0			BONUS:VAR|TurnLevelBase|MorninglordTurnUndeadLVL	BONUS:VAR|TurnDamagePlusBase|MorninglordTurnUndeadLVL																				SOURCEPAGE:PGtF
Purple Knight FR Fear	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:PurpleKnightFRFearLVL|0			BONUS:VAR|FearDC|PurpleKnightFRFearLVL	BONUS:VAR|FearPerDay|1																				SOURCEPAGE:PGtF
Purple Knight FR Final Stand	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|FinalStandPerDay|1																					SOURCEPAGE:PGtF
Purple Knight FR Inspire Courage	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:PurpleKnightFRInspireCourageLVL|0			BONUS:VAR|InspireCouragePerDay|PurpleKnightFRInspireCourageLVL/2																					SOURCEPAGE:PGtF
Purple Knight FR Rallying Cry	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|RallyingCryPerDay|3																					SOURCEPAGE:PGtF
Runecaster Rune Craft	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:RunecasterRuneCraftLVL|0			BONUS:VAR|RuneCraftBonus|min((RunecasterRuneCraftLVL+2)/3,3)																					SOURCEPAGE:PGtF
Runecaster Rune Craft (Epic)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|RuneCraftBonus|((RunecasterRuneCraftLVL-10)/2)-3																					SOURCEPAGE:PGtF
Runecaster Rune Power	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:RunecasterRunePowerLVL|0			BONUS:VAR|RunePowerBonus|((RunecasterRunePowerLVL+3)/4)																					SOURCEPAGE:PGtF
Runecaster Rune Power (Epic)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:RunecasterRunePowerLVL|0			BONUS:VAR|RunePowerBonus|(RunecasterRunePowerLVL/3)-((RunecasterRunePowerLVL+3)/4)																					SOURCEPAGE:PGtF
Shaaryan Mounted Accuracy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ShaaryanMountedAccuracyLVL|0			BONUS:VAR|MountedAccuracyBonus|((ShaaryanMountedAccuracyLVL+1)/5)*2																					SOURCEPAGE:PGtF
Shaaryan Mounted Tracking	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ShaaryanMountedTrackingLVL|0			BONUS:VAR|MountedTrackingPower|(ShaaryanMountedTrackingLVL+4)/5																					SOURCEPAGE:PGtF
Shaaryan Ride Bonus	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ShaaryanRideBonusLVL|0			BONUS:VAR|RideBonus|((ShaaryanRideBonusLVL+2)/3)*2																					SOURCEPAGE:PGtF
Shadow Adept Shadow Defense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ShadowAdeptShadowDefenseLVL|0			BONUS:VAR|ShadowDefenseBonus|ShadowAdeptShadowDefenseLVL/3																					SOURCEPAGE:PGtF
Shadow Adept Shield of Shadows	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ShadowAdeptShieldOfShadowLVL|0			BONUS:VAR|ShieldOfShadowsPower|(ShadowAdeptShieldOfShadowLVL+6)/7	BONUS:VAR|ShieldOfShadowsDuration|ShadowAdeptShieldOfShadowLVL	BONUS:VAR|ShieldOfShadowsSR|ShadowAdeptShieldOfShadowLVL																			SOURCEPAGE:PGtF
Shadow Thief Reputation	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ShadowThiefReputationLVL|0			BONUS:VAR|ReputationBonus|(ShadowThiefReputationLVL-2)																					SOURCEPAGE:PGtF
Shadow Thief sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ShadowThiefSneakAttackLVL|0			BONUS:VAR|SneakAttackDice|(ShadowThiefSneakAttackLVL+1)/2																					SOURCEPAGE:PGtF
Tomb Guardian Dodge Bonus	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:TombGuardianDodgeLVL|0			BONUS:COMBAT|AC|DodgeBonus|TYPE=Dodge|!PREARMORTYPE:1,TYPE.Medium,TYPE.Heavy	BONUS:VAR|DodgeBonus|TombGuardianDodgeLVL/2																				SOURCEPAGE:PGtF
Zhentarim Spy Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:ZhentarimSpySneakAttackLVL|0			BONUS:VAR|SneakAttackDice|ZhentarimSpySneakAttackLVL/2																					SOURCEPAGE:PGtF
Harper Scout Harper Knowledge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperScoutHarperKnowledgeLVL|0			BONUS:VAR|HarperKnowledge|HarperScoutHarperKnowledgeLVL																					SOURCEPAGE:PGtF
Harper Scout Favored Enemy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperScoutFavoredEnemyLVL|0			BONUS:VAR|FavoredHarperEnemies|(HarperScoutFavoredEnemyLVL+2)/3	BONUS:VAR|FavoredHarperEBonuses|(HarperScoutFavoredEnemyLVL+2)/3																				SOURCEPAGE:PGtF
Spellfire Hierophant Ranged Healing	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SpellfireHierophantRangedHealingLVL|0			BONUS:VAR|RangedHealingRange|25+(5*(SpellfireHierophantRangedHealingLVL/2))																					SOURCEPAGE:PGtF
Black Blood Greater Curse of Lycanthropy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:BlackBloodGreaterCurseOfLycanthropyLVL|0			BONUS:VAR|CurseOfLycanthropyDC|BlackBloodGreaterCurseOfLycanthropyLVL																					SOURCEPAGE:PGtF
Black Blood Animal Form	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:BlackBloodAnimalFormLVL|0			BONUS:VAR|AnimalFormPerDay|BlackBloodAnimalFormLVL/2																					SOURCEPAGE:PGtF
Black Blood Improved Damage Reduction	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:BlackBloodImprovedDamageReductionLVL|0			BONUS:VAR|ImprovedDamageReductionPower|BlackBloodImprovedDamageReductionLVL/5																					SOURCEPAGE:PGtF
Celebrant of Sharess Fury of Tigress	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:CelebrantOfSharessFuryOfTigressTimesLVL|0			BONUS:VAR|FuryOfTigressTimes|(CelebrantOfSharessFuryOfTigressTimesLVL+2)/4																					SOURCEPAGE:PGtF
Celebrant of Sharess Swiftness of the Tigress	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:CelebrantOfSharessSwiftnessOfTheTigressLVL|0			BONUS:VAR|SwiftnessOfTheTigress|CelebrantOfSharessSwiftnessOfTheTigressLVL																					SOURCEPAGE:PGtF
Harper Paragon Harper Knowledge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperParagonHarperKnowledgeLVL|0			BONUS:VAR|HarperKnowledge|HarperParagonHarperKnowledgeLVL																					SOURCEPAGE:PGtF
Harper Paragon Favored Enemy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperParagonFavoredEnemyLVL|0			BONUS:VAR|FavoredHarperEnemies|HarperParagonFavoredEnemyLVL/5	BONUS:VAR|FavoredHarperEBonuses|HarperParagonFavoredEnemyLVL/5																				SOURCEPAGE:PGtF
Harper Paragon Smite Evil	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:HarperParagonSmiteEvilLVL|0			BONUS:VAR|SmiteEvil|(HarperParagonSmiteEvilLVL-4)/2	BONUS:VAR|SmiteEvilToHit|max(0,CHA)	BONUS:VAR|SmiteEvilDamage|HarperParagonSmiteEvilLVL																			SOURCEPAGE:PGtF
Maiden of Pain Pain Touch	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:MaidenOfPainPainTouchLVL|0			BONUS:VAR|PainTouchDC|MaidenOfPainPainTouchLVL	BONUS:VAR|PainTouchPerDay|(MaidenOfPainPainTouchLVL+2)/3																				SOURCEPAGE:PGtF
Slime Lord Paralytic Slime	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SlimeLordParalyticSlimeLVL|0			BONUS:VAR|ParalyticSlimeDC|SlimeLordParalyticSlimeLVL																					SOURCEPAGE:PGtF
Slime Lord Pseudopods	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SlimeLordPseudopodsLVL|0			BONUS:VAR|PseudopodsPerDay|(SlimeLordPseudopodsLVL+1)/2	BONUS:VAR|PseudopodsDuration|SlimeLordPseudopodsLVL																				SOURCEPAGE:PGtF
Slime Lord Charming Gaze	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:SlimeLordCharmingGazeLVL|CL	DEFINE:CharmingGazeDC|10+CHA	DEFINE:CharmingGazePerDay|0	BONUS:VAR|CharmingGazeDC|SlimeLordCharmingGazeLVL	BONUS:VAR|CharmingGazePerDay|SlimeLordCharmingGazeLVL																				SOURCEPAGE:PGtF
Yathrinshee Rebuke Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO					DEFINE:YathrinsheeRebukeUndeadLVL|0			BONUS:VAR|TurnLevelBase|YathrinsheeRebukeUndeadLVL	BONUS:VAR|TurnDamagePlusBase|YathrinsheeRebukeUndeadLVL																				SOURCEPAGE:PGtF
Yathrinshee Threnody	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|ThrenodyPerDay|1																					SOURCEPAGE:PGtF
Yathrinshee Zone of Desecration	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|ZoneOfDesecrationRadius|20|TYPE=Radius																					SOURCEPAGE:PGtF
Phaerimm Magic	CATEGORY:Special Ability	TYPE:Internal.Spelllike.SpecialQuality	VISIBLE:YES	DESC:Phaerimms cast their sorcerer spells as if they were spell-like abilities. Thus, they require no verbal, somatic, or material components.																												SOURCEPAGE:PGtFwe
Phaerim Full Vision (Invisibility)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|FullVisionPower|1	BONUS:VAR|SeeInvisibilityRadius|120																				SOURCEPAGE:PGtFwe
Phaerim Full Vision (Arcane Sight)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|FullVisionPower|1	BONUS:VAR|ArcaneSightRadius|120																				SOURCEPAGE:PGtFwe
Phaerim Full Vision (True Seeing)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|FullVisionPower|1																					SOURCEPAGE:PGtFwe
#																																
Initiate of Bane Frightful Presence	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|FrightfulPresenceDC|classlevel("Cleric")	BONUS:VAR|FrightfulPresRange|30																				SOURCEPAGE:PGtF
#																																
