SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																				
																						
# Equipment Name	Output Name		Type	Cost	Weight	Base Quantity	Modifier	Requires Modification?	Source Page	Weapon prop. bonus	Special Property											
Craemmol's Hammer		PROFICIENCY:WEAPON|Warhammer	TYPE:Enhancement.Weapon.Melee.Martial.Specific.Bludgeoning.Hammer	COST:12	WT:5		EQMOD:STEEL.MWORKW.PLUS3W.LGHT_EMIT.MAGIC_COST|25000	MODS:NO	SOURCEPAGE:PGtF		SPROP:alarm when drow is in 60'-ft radius. Concentrate 1 full round to know the exact location.	CRITMULT:x3	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M						
Heartcleaver		PROFICIENCY:WEAPON|Battleaxe	TYPE:Enhancement.Weapon.Melee.Martial.Specific.Slashing.Axe	COST:20	WT:12		EQMOD:STEEL.MWORKW.PLUS2W.VORPAL.MAGIC_COST|216000	MODS:NO	SOURCEPAGE:PGtF		SPROP:inhibit magical healing of the wounds it inflicts (casterlevel check DC 20)	CRITMULT:x3	CRITRANGE:1	DAMAGE:2d6	WIELD:OneHanded	SIZE:L						
Lashing Sword of Samos the Skullreaver		PROFICIENCY:WEAPON|Sword (Short)	TYPE:Enhancement.Weapon.Melee.Finesseable.Martial.Specific.Piercing.Sword	COST:10	WT:2		EQMOD:STEEL.MWORKW.PLUS1W.MAGIC_COST|54000	MODS:NO	SOURCEPAGE:PGtF		SPROP:energy trail usable as whip. Touch attack to hit (against undead inflict Will DC 17 or destroyed)	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6	WIELD:Light	SIZE:M						
Nychyaella's Healing Spear		PROFICIENCY:WEAPON|Spear	TYPE:Enhancement.Weapon.Melee.TwoHanded.Ranged.Thrown.Simple.Specific.Piercing.Spear	COST:2	WT:6		EQMOD:WOOD.ALCHM.MWORKW.PLUS2W	MODS:NO	SOURCEPAGE:PGtF		SPROP:three times per day can drain hp of the target and heal the wielder by the same amount.	CRITMULT:x3	CRITRANGE:1	DAMAGE:1d8	WIELD:TwoHanded	SIZE:M						
Rustblade		PROFICIENCY:WEAPON|Dagger	TYPE:Enhancement.Weapon.Melee.Finesseable.Ranged.Thrown.Simple.Specific.Piercing.Slashing.Dagger	COST:2	WT:1		EQMOD:STEEL.MWORKW.PLUS1W.MAGIC_COST|57000	MODS:NO	SOURCEPAGE:PGtF		SPROP:any object made of ironor iron alloy touched crumbles as if affected by Rusting Grasp	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d4	WIELD:Light	SIZE:M						
Twinblade Alight		PROFICIENCY:WEAPON|Battleaxe	TYPE:Enhancement.Weapon.Melee.Martial.Specific.Slashing.Axe	COST:10	WT:6		EQMOD:STEEL.MWORKW.PLUS2W.LAW_M.HOLY_M.MAGIC_COST|9905	MODS:NO	SOURCEPAGE:PGtF		SPROP:forged half of cold iron, and half of adamantine, allowing to overcome the damage reduction of either material.	CRITMULT:x3	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	PREMULT:2,[PRERACE:1,RACESUBTYPE=Dwarf],[PREALIGN:LG]					
Tyranny's Knell		PROFICIENCY:WEAPON|Warhammer	TYPE:Enhancement.Weapon.Melee.Martial.Specific.Bludgeoning.Hammer	COST:12	WT:8		EQMOD:STEEL.MWORKW.PLUS3W.MAGIC_COST|136000	MODS:NO	SOURCEPAGE:PGtF		SPROP:Can be thrown and gains the returning special ability in the hands of a Dwarf, deals an extra 1d8 damage when hurled or an extra 2d8 against giants|PRERACE:1,RACESUBTYPE=Dwarf	CRITMULT:x3	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M		SPELLS:Tyranny's Knell|TIMES=1|TIMEUNIT=Week|CASTERLEVEL=10|Earthquake	RANGE:30			SPROP:When hit a giant type creature the target must For DC 16 or be affected similar to Reduce Person|PRERACE:1,RACESUBTYPE=Dwarf
																						
#unique																						
Black Sword		PROFICIENCY:WEAPON|Sword (Bastard)	TYPE:Enhancement.Weapon.Melee.Martial.Exotic.Unique.Slashing.Sword	COST:35	WT:6		EQMOD:STEEL.MWORKW.PLUS3W.MAGIC_COST|113000	MODS:NO	SOURCEPAGE:PGtF	BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Sword (Bastard))		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M						
Calathangas		PROFICIENCY:WEAPON|Rapier	TYPE:Enhancement.Weapon.Melee.Martial.Finesseable.Unique.Piercing.Sword	COST:20	WT:2		EQMOD:STEEL.MWORKW.PLUS1W.MAGIC_COST|13480	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	WIELD:OneHanded	SIZE:M						
Dyerwaen		PROFICIENCY:WEAPON|Sword (Bastard)	TYPE:Enhancement.Weapon.Melee.Martial.Exotic.Unique.Slashing.Sword	COST:35	WT:6		EQMOD:STEEL.MWORKW.PLUS2W.MAGIC_COST|7465	MODS:NO	SOURCEPAGE:PGtF	BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Sword (Bastard))	SPROP:bypass damage reduction Chaotic and Evil	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M				BONUS:SKILL|Hide|5|TYPE=Competence	BONUS:SKILL|Survival|2|TYPE=Competence	
Elqilar		PROFICIENCY:WEAPON|Scimitar	TYPE:Enhancement.Weapon.Melee.Martial.Unique.Slashing.Sword	COST:15	WT:4		EQMOD:STEEL.MWORKW.PLUS1W.MAGIC_COST|165000	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	WIELD:OneHanded	SIZE:M						
Evithyan's Blade		PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Unique.Slashing.Sword	COST:15	WT:4		EQMOD:STEEL.MWORKW.PLUS3W.MAGIC_COST|18000	MODS:NO	SOURCEPAGE:PGtF		SPROP:act as +5 longsword/2d4 CON damage (Fort DC 20 for half) against Drow.	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d8	WIELD:OneHanded	SIZE:M						
Ilbratha (Mistress of Battle)	OUTPUTNAME:Ilbratha, Mistress of Battle	PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Unique.Slashing.Sword	COST:15	WT:4		EQMOD:STEEL.MWORKW.PLUS1W.MAGIC_COST|28800	MODS:NO	SOURCEPAGE:PGtF		SPROP:act as +5 longsword/2d4 CON damage (Fort DC 20 for half) against Drow.	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d8	WIELD:OneHanded	SIZE:M		SPELLS:Ilbratha (Mistress of Battle)|TIMES=3|CASTERLEVEL=5|Jump	SPELLS:Ilbratha (Mistress of Battle)|TIMES=1|CASTERLEVEL=5|Blink|Mirror Image			
Nightwatcher		PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Unique.Slashing.Sword	COST:15	WT:4		EQMOD:ADAMANT_WEAP.PLUS3W.MAGIC_COST|68000	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:2	DAMAGE:1d8	WIELD:OneHanded	SIZE:M		SPELLS:Ilbratha (Mistress of Battle)|TIMES=3|CASTERLEVEL=5|Jump	SPELLS:Ilbratha (Mistress of Battle)|TIMES=1|CASTERLEVEL=5|Blink|Mirror Image			
Shazzelim		PROFICIENCY:WEAPON|Scimitar	TYPE:Enhancement.Weapon.Melee.Martial.Unique.Slashing.Sword	COST:15	WT:4		EQMOD:STEEL.MWORKW.PLUS1W.KEEN.MAGIC_COST|84100	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	WIELD:OneHanded	SIZE:M						
Taragarth (the Bloodbrand)	OUTPUTNAME:Taragarth, the Bloodbrand	PROFICIENCY:WEAPON|Sword (Short)	TYPE:Enhancement.Weapon.Melee.Finesseable.Martial.Unique.Piercing.Sword	COST:10	WT:2		EQMOD:STEEL.MWORKW.PLUS1W.MAGIC_COST|19000	MODS:NO	SOURCEPAGE:PGtF		SPROP:Resistance to Fire 10. Immune to Detect Thoughts, Discern Lies and any attempt to magically disern alignment.	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6	WIELD:Light	SIZE:M						
