SOURCELONG:Forgotten Realms Campaing Setting	SOURCESHORT:FRCS	SOURCEWEB:http://www.gozzilioni.net																								
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Flashburst			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius burst		DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:Flash of light dazzles and blinds in a 20-ft burst.	SOURCEPAGE:FRCS								
Flensing			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One corporeal creature		DURATION:Up to 4 rounds; see text	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Trauma deals 2d6 damage plus 1d6 CHA and CON damage.	SOURCEPAGE:FRCS								
Gate Seal			TYPE:Arcane.Divine	CLASSES:Bard=6|Cleric=6|Druid=6|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One Gate or Portal		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Permanently seals a Gate or Portal.	SOURCEPAGE:FRCS		COST:50						
Gembomb			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Up to 5 touched gems worth at least 1 GP each		DURATION:10 minutes/level, or until used	SAVEINFO:Reflex half; See Text	SPELLRES:Yes	DESC:Convert five gems into bombs that deals 1d8 force damage/2 levels	SOURCEPAGE:FRCS		COST:1						
Shout (Great)	OUTPUTNAME:Shout, Great		TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:Instantaneous	SAVEINFO:Fort partial (object); See text	SPELLRES:Yes	DESC:See text	SOURCEPAGE:FRCS								
Anyspell (Greater)	OUTPUTNAME:Anyspell, Greater		TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:15 minutes	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See Text	DESC:As Anyspell, but you can read and prepare any arcane spell up to 5th level in a 6th level domain spell slot.	SOURCEPAGE:FRCS								
Fantastic Machine (Greater)	OUTPUTNAME:Fantastic Machine, Greater		TYPE:Divine			SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A 10-ft machine		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:As Fantastic Machine, bur creates a more powerful illusory construct.	SOURCEPAGE:FRCS								
Grimwald's Graymantle			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target is prevented from regaining hit points by any means.	SOURCEPAGE:FRCS								
Ironguard (Lesser)	OUTPUTNAME:Ironguard, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject becomes immune to nonmagical metal.	SOURCEPAGE:FRCS								
Maelstrom			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:A whirlpool 120-ft-wide and 60-ft-deep		DURATION:1 round/level	SAVEINFO:Reflex negates; See text	SPELLRES:No	DESC:Waterspout sucks in and damages creatures.	SOURCEPAGE:FRCS								
Maw of Stone			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One cave mouth or natural chamber up to 15-ft high and wide		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:FRCS								
Moon Blade			TYPE:Divine			SCHOOL:Divination			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:A swordlike beam		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Touch attack that deals 1d8 damage +1/2 levels, more to undead, plus scrambles spellcasting.	SOURCEPAGE:FRCS								
Moon Path			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A variable-width, glowing white stair or bridge of traslucent force up to 15-ft/level long		DURATION:1 minute/level	SAVEINFO:None; See Text	SPELLRES:No	DESC:Grants sanctuary to 1 creature/level	SOURCEPAGE:FRCS								
Moonbeam			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:Creates a cone of moonlight that causes lycanthrope to assume animal form, penetrate darkness spells of equal or lower level.	SOURCEPAGE:FRCS								
Moonfire			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone		DURATION:Instantaneous; See text	SAVEINFO:Reflex half; See Text	SPELLRES:Yes	DESC:Cone of moonlight deals 1d8 damage/two levels (max 10d8), magical auras glow blue for 1 round/level, illuminates as full moon, negates electricity for 1 round/level.	SOURCEPAGE:FRCS								
Scatterspray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Six or more Diminutive or Fine objects, all within 1-ft of each other, whose total weight does not exceed 25 lbs		DURATION:Instantaneous	SAVEINFO:None; See Text	SPELLRES:No	DESC:Targeted items scatter in a burst dealing 1d8 normal or non-lethal damage.	SOURCEPAGE:FRCS								
Shadow Mask			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Shadows hide your face and protect against darkness, light and gazes.	SOURCEPAGE:FRCS								
Shadow Spray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft-radius burst		DURATION:1 round/level	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Shadows daze targets and deal 2 points of STR damage.	SOURCEPAGE:FRCS								
Snilloc's Snowball Swarm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft-radius burst		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Deals 1d6/2 levels cold damage in a 10-ft radius.	SOURCEPAGE:FRCS								
Spider Curse			TYPE:Divine			SCHOOL:Transmutation	SUBSCHOOL:Polymorph	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:1 humanoid of Medium-size or smaller		DURATION:1 day/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You turn a humanoid into a driderlike creature that obeys you.	SOURCEPAGE:FRCS								
Spider Shapes			TYPE:Divine			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One willing creature/level, no two of which can be more than 30-ft apart		DURATION:1 hour/level	SAVEINFO:None (harmless); See Text	SPELLRES:Yes	DESC:As Polymorph, except you change up to one willing creature/level into a Tiny to Huge monstrous spider.	SOURCEPAGE:FRCS								
Spiderform			TYPE:Divine			SCHOOL:Transmutation	SUBSCHOOL:Polymorph		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You assume spider or drider form.	SOURCEPAGE:FRCS								
Stone Spiders			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:1d3 pebbles or 1d3 vermin, no two of which can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Transforms 1d5 pebbles into stone constructs that resemble spiders.	SOURCEPAGE:FRCS								
Thunderlance			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:A spearlike beam		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Lance of force deals 2d6 damage, plus can dispel force effects.	SOURCEPAGE:FRCS								
Waterspout			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Long	TARGETAREA:A cylinder 10-ft wide and 80-ft tall		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:Creates waterspout that moves, damage creatures, sucks creatures upward.	SOURCEPAGE:FRCS								
