SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net
Initiate of Cyric.MOD	DESC:Gain immuniti to fear, add spells to cleric list.	
Initiate of Gond.MOD	DESC:Add Disable Device and Open Lock to cleric class skills, add spells to cleric spell list.	
Initiate of Helm.MOD	DESC:Gain benefit of Combat Reflexes feat, add spells to cleric or paladin spell list.	
Initiate of Ilmater.MOD	DESC:Grant temporary hit points with Cure spells, add spells to cleric or paladin spell list.	
Initiate of Lathander.MOD	DESC:Spontaneously cast light spell, add spells to cleric spell list.	
Initiate of Malar.MOD	DESC:Gain benefit of Augment Summoning feat, add spells to clerico or dreid spell list.	
Initiate of Mystra.MOD	DESC:Cast spell even in a dead magic zone or Antimagic.	
Initiate of Nature.MOD	DESC:Rebuke/command plant creature, add spells to cleric or druid spell list.	
Initiate of Selune.MOD	DESC:Cast Augury and divination spells at +5 caster level, add spells to cleric, druid, harper agent, hatran or ranger spell list.	
Initiate of Tyr.MOD	DESC:Gain +1 bonus on damage rolls with longsword, add spells to cleric spell list.	
