SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Dragon (Fang Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,150	FACE:20	REACH:15			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|24		BONUS:STAT|CON|12	BONUS:STAT|INT|8	BONUS:STAT|WIS|12	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,4d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d8|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Fang Dragon:33	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:35		CR:19	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Fang Great Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,150	FACE:20	REACH:15			PREALIGN:CN	LANGAUTO:Draconic								BONUS:STAT|STR|26		BONUS:STAT|CON|14	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,4d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d8|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Fang Dragon:36	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:*		CR:21	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Battle Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,40,Fly,100	FACE:2.5	REACH:0			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|2		BONUS:STAT|CON|4			BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:3				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3											MONSTERCLASS:Battle Dragon:5	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:7	LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|3
Dragon (Battle Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40,Fly,100	FACE:5	REACH:5			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|4		BONUS:STAT|CON|4			BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Battle Dragon:8	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:10	LEVELADJUSTMENT:3	CR:4	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|3
Dragon (Battle Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,150	FACE:5	REACH:5			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|6		BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Battle Dragon:11	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:13	LEVELADJUSTMENT:4	CR:6	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,150	FACE:5	REACH:5			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|8		BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4											MONSTERCLASS:Battle Dragon:14	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:16	LEVELADJUSTMENT:4	CR:8	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150	FACE:10	REACH:5			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|10		BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Battle Dragon:17	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:19		CR:10	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150	FACE:10	REACH:5			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|14		BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8											MONSTERCLASS:Battle Dragon:20	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:22		CR:12	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150	FACE:15	REACH:10			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|18		BONUS:STAT|CON|12	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Battle Dragon:23	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:25		CR:14	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150	FACE:15	REACH:10			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|20		BONUS:STAT|CON|12	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Battle Dragon:26	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:28		CR:17	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150	FACE:15	REACH:10			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|22		BONUS:STAT|CON|14	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Battle Dragon:29	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:31		CR:18	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150	FACE:15	REACH:10			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|24		BONUS:STAT|CON|14	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8											MONSTERCLASS:Battle Dragon:32	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:34		CR:19	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Dragon (Battle Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,200	FACE:20	REACH:15			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|26		BONUS:STAT|CON|16	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|12						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Battle Dragon:35	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:37		CR:20	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Battle Great Wyrm)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,200	FACE:20	REACH:15			PREALIGN:NG	LANGAUTO:Draconic,Common,Celestial								BONUS:STAT|STR|28		BONUS:STAT|CON|18	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|12						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6											MONSTERCLASS:Battle Dragon:38	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:*		CR:22	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|1
Dragon (Chaos Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,60,Fly,150	FACE:5	REACH:5			PREALIGN:CG,CN,CE	LANGAUTO:Draconic,Celestial,Abyssal										BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4											MONSTERCLASS:Chaos Dragon:6	RACETYPE:Dragon	RACESUBTYPE:Extraplanar	TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:8	LEVELADJUSTMENT:4	CR:3	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
