SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																													
																																															
###Block: Masterwork																																															
																																															
# Modifier Name	Unique Key	Naming Format	Naming Option	Type	Cost	Visible	Type granted	Source Page	Required Type														Prohibited Type							Bonus Armor Modifiers				Modify the item cost									Weapon prop. bonus				Apply to both heads
White Dragon Skin	KEY:DRAGCRFTA_MET_WHT			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.WhiteDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Cold	DEFINE:ColdResistance|5																																			
Blue Dragon Skin	KEY:DRAGCRFTA_MET_BLU			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.BlueDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity	DEFINE:ElectricityResistance|5																																			
Red Dragon Skin	KEY:DRAGCRFTA_MET_RED			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.RedDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Fire	DEFINE:FireResistance|5																																			
Copper Dragon Skin	KEY:DRAGCRFTA_CHR_COP			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.CopperDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Acid	DEFINE:AcidResistance|5																																			
Silver Dragon Skin	KEY:DRAGCRFTA_CHR_SIL			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.SilverDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Cold	DEFINE:ColdResistance|5																																			
Bronze Dragon Skin	KEY:DRAGCRFTA_CHR_BRZ			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.CopperDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity	DEFINE:ElectricityResistance|5																																			
Brass Dragon Skin	KEY:DRAGCRFTA_CHR_BRS			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.BrassDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Fire	DEFINE:FireResistance|5																																			
Gold Dragon Skin	KEY:DRAGCRFTA_CHR_GLD			TYPE:Armor.Shield	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.GoldDragon	SOURCEPAGE:Drac	PRETYPE:1,Armor,Shield	PRETYPE:1,Dragoncrafted	ABILITY:Special Ability|VIRTUAL|Resistance To Fire	DEFINE:FireResistance|5																																			
																																															
Black Dragon Claw	KEY:DRAGCRFTW_MET_BLK			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.BlackDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Acid damage (don't stack with other energy damage)																																				
Green Dragon Claw	KEY:DRAGCRFTW_MET_GRN			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.GreenDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Acid damage (don't stack with other energy damage)																																				
White Dragon Claw	KEY:DRAGCRFTW_MET_WHT			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.WhiteDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Cold damage (don't stack with other energy damage)																																				
Blue Dragon Claw	KEY:DRAGCRFTW_MET_BLU			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.BlueDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Electricity damage (don't stack with other energy damage)																																				
Red Dragon Claw	KEY:DRAGCRFTW_MET_RED			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.RedDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Fire damage (don't stack with other energy damage)																																				
Copper Dragon Claw	KEY:DRAGCRFTW_CHR_COP			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.CopperDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Acid damage (don't stack with other energy damage)																																				
Silver Dragon Claw	KEY:DRAGCRFTW_CHR_SIL			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.SilverDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Cold damage (don't stack with other energy damage)																																				
Bronze Dragon Claw	KEY:DRAGCRFTW_CHR_BRZ			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.CopperDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Electricity damage (don't stack with other energy damage)																																				
Brass Dragon Claw	KEY:DRAGCRFTW_CHR_BRS			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.BrassDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Fire damage (don't stack with other energy damage)																																				
Gold Dragon Claw	KEY:DRAGCRFTW_CHR_GLD			TYPE:Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:ChromaticDragon.GoldDragon	SOURCEPAGE:Drac	PRETYPE:1,Weapon,Ammunition	PRETYPE:1,Dragoncrafted	SPROP:+1 point of Fire damage (don't stack with other energy damage)																																				
