SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Elemental Drake (Water Drake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,80,Swim,30	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')			AUTO:LANG|Draconic|Aquan		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|2|TYPE=Racial				BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4				MONCSKILL:Escape Artist|Hide|Listen|Search|Sense Motive|Spot|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Drench|Water Mastery	ABILITY:Special Ability|AUTOMATIC|Amphibious|Immunity To Sleep|Immunity To Paralysis			ABILITY:Special Ability|AUTOMATIC|Water Drake Skill	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Dragon:10	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Water	TYPE:Dragon					HITDICEADVANCEMENT:19,29,30	LEVELADJUSTMENT:3	CR:8	SOURCEPAGE:Drac									BONUS:VAR|Maneuverability|2
Faerie Dragon			STARTFEATS:1	SIZE:S	MOVE:Walk,30,Fly,100,Swim,30	FACE:5	REACH:5	VISION:Low-Light|Darkvision (60')		PREALIGN:CG	AUTO:LANG|Draconic|Sylvan	LANGBONUS:Common,Elven,Gnome	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Sleight of Hand|Spot|Survival|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Euphoria Gas	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis|Scent|Water Breathing	ABILITY:Special Ability|AUTOMATIC|Commune with Nature (Sp once month)		ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Skill	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:10+HD			MONSTERCLASS:Dragon:8	RACETYPE:Dragon		TYPE:Dragon					HITDICEADVANCEMENT:9,13,19,24	LEVELADJUSTMENT:2	CR:6	SOURCEPAGE:Drac	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Dancing Lights|Detect Magic|Ghost Sound,10+CHA	DEFINE:BreathWeaponCloud|20	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Charm Monster,14+CHA|Entangle,11+CHA|Glitterdust,12+CHA|Invisibility,12+CHA|Major Image,13+CHA|Obscuring Mist	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Animate Objects|Mind Fog,15+CHA|Project Image,17+CHA|Summon Nature's Ally IV	DEFINE:CommuneWithNaturePerMonth|1				BONUS:VAR|Maneuverability|5
Felldrake (Spiked)	OUTPUTNAME:[NAME] Felldrake		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5			PREALIGN:NG			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Intimidate|Listen|Search|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8	NATURALATTACKS:Spike,Weapon.Natural.Ranged.Piercing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Dragon:6	RACETYPE:Dragon	RACESUBTYPE:Felldrake	TYPE:Dragon					HITDICEADVANCEMENT:9,18	LEVELADJUSTMENT:2	CR:4	SOURCEPAGE:Drac									
Golem (Dragonbone)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Low-light|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8																	LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d10|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Fear Aura	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:5/Magic and Adamantine		MONSTERCLASS:Construct (Mindless):20	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:30,60		CR:12	SOURCEPAGE:Drac		DEFINE:FearAuraRadius|60	DEFINE:FearAuraDC|10+(HD/2)+CHA						
Golem (Drakestone)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,30	FACE:10	REACH:5	VISION:Low-light|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|28|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|-2			BONUS:STAT|WIS|2	BONUS:STAT|CHA|4												LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d10|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Petryfing Breath	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:10/Magic and Adamantine		MONSTERCLASS:Construct (Mindless):35	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:50,70		CR:15	SOURCEPAGE:Drac		DEFINE:BreathWeaponCone|30							
Golem (Ironwyrm)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,30	FACE:10	REACH:5	VISION:Low-light|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|32|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|30	BONUS:STAT|DEX|-2			BONUS:STAT|WIS|2	BONUS:STAT|CHA|8												LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d10|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Fire	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic|Rustproof						DR:15/Magic and Adamantine		MONSTERCLASS:Construct (Mindless):40	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:60,80		CR:17	SOURCEPAGE:Drac		DEFINE:BreathWeaponCone|60	DEFINE:BreathWeaponDice|20	DEFINE:BreathWeaponDamageDie|10					
Hoard Scarab				SIZE:F	MOVE:Walk,20,Climb,20	FACE:1	REACH:0	VISION:Tremorsense (20')		PREALIGN:TN			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen|4|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial			BONUS:STAT|STR|-10	BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Hide|Listen									LEGS:6	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d2		ABILITY:Special Ability|AUTOMATIC|Burrow				ABILITY:Special Ability|AUTOMATIC|Hoard Scarab Skill					MONSTERCLASS:Vermin:1	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Mindless						CR:1/2	SOURCEPAGE:Drac									
Swarm (Hoard Scarab)	OUTPUTNAME:[NAME] Swarm			SIZE:F	MOVE:Walk,20,Climb,20	FACE:10	REACH:0	VISION:Tremorsense (20')		PREALIGN:TN			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen|4|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Hide|Listen			BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)						LEGS:0					NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Burrow|Distraction				ABILITY:Special Ability|AUTOMATIC|Hoard Scarab Skill					MONSTERCLASS:Vermin:6	RACETYPE:Vermin	RACESUBTYPE:Swarm	TYPE:Vermin	TEMPLATE:Mindless						CR:5	SOURCEPAGE:Drac									
Landwyrm (Desert)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Burrow,20	FACE:20	REACH:15				AUTO:LANG|Draconic|Common		BONUS:COMBAT|AC|27|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|4|TYPE=Racial				BONUS:STAT|STR|24		BONUS:STAT|CON|14	BONUS:STAT|INT|10	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Escape Artist|Gather Information|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8		ABILITY:Special Ability|AUTOMATIC|Frightful Presence|Sandstorm	ABILITY:Special Ability|AUTOMATIC|Desert Adaptation			ABILITY:Special Ability|AUTOMATIC|Desert Landwyrm Skill					MONSTERCLASS:Dragon:32	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:39,48		CR:18	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|160							
Landwyrm (Forest)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Burrow,10	FACE:10	REACH:5				AUTO:LANG|Draconic|Gnome|Sylvan|Common		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|4|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|10	BONUS:STAT|CHA|6			MONCSKILL:Climb|Concentration|Diplomacy|Gather Information|Hide|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Frightful Presence	ABILITY:Special Ability|AUTOMATIC|Forest Adaptation|Commune with Nature (Sp)			ABILITY:Special Ability|AUTOMATIC|Forest Landwyrm Skill					MONSTERCLASS:Dragon:16	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:19,31,39,48	LEVELADJUSTMENT:3	CR:10	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|80	DEFINE:CommuneWithNaturePerDay|1	DEFINE:CommuneWithNatureLVL|16					
Landwyrm (Hill)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Burrow,10	FACE:15	REACH:10				AUTO:LANG|Draconic|Goblin|Common		BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18		BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Hide|Intimidate|Knowledge (Local)|Knowledge (Nature)|Listen|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Frightful Presence|Improved Grab				ABILITY:Special Ability|AUTOMATIC|Hill Landwyrm Skill					MONSTERCLASS:Dragon:20	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:31,39,48		CR:12	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|100							
Landwyrm (Jungle)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Burrow,10	FACE:15	REACH:10				AUTO:LANG|Draconic|Common		BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20		BONUS:STAT|CON|12	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Climb|Concentration|Diplomacy|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival					AUTO:FEAT|Rend				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Disease|Frightful Presence|Rend|Snatch				ABILITY:Special Ability|AUTOMATIC|Jungle Landwyrm Skill					MONSTERCLASS:Dragon:28	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:31,39,48		CR:16	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|140							
Landwyrm (Mountain)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:C	MOVE:Walk,30,Burrow,10	FACE:30	REACH:20				AUTO:LANG|Draconic|Dwarven|Giant|Common		BONUS:COMBAT|AC|30|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|32	BONUS:STAT|DEX|-2	BONUS:STAT|CON|22	BONUS:STAT|INT|2	BONUS:STAT|WIS|14	BONUS:STAT|CHA|10			MONCSKILL:Climb|Concentration|Diplomacy|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (Nature)|Listen|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,4d6		ABILITY:Special Ability|AUTOMATIC|Frightful Presence|Snatch|Thunderous Roar				ABILITY:Special Ability|AUTOMATIC|Mountain Landwyrm Skill					MONSTERCLASS:Dragon:40	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:48		CR:22	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|200	DEFINE:ThunderousRoarPerDay|1						
Landwyrm (Plain)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:M	MOVE:Walk,60,Burrow,10	FACE:5	REACH:5				AUTO:LANG|Draconic|Common		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Diplomacy|Gather Information|Hide|Intimidate|Knowledge (Local)|Knowledge (Nature)|Listen|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Burst of Speed|Frightful Presence|Poison				ABILITY:Special Ability|AUTOMATIC|Plain Landwyrm Skill					MONSTERCLASS:Dragon:8	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:11,19,24		CR:6	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|40							
Landwyrm (Swarm)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:G	MOVE:Walk,30,Swim,20	FACE:20	REACH:15				AUTO:LANG|Draconic|Common		BONUS:COMBAT|AC|24|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|28		BONUS:STAT|CON|16	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|14			MONCSKILL:Bluff|Concentration|Diplomacy|Gather Information|Hide|Intimidate|Jump|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Survival|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8		ABILITY:Special Ability|AUTOMATIC|Frightful Presence|Hypnotic Gaze|Snatch	ABILITY:Special Ability|AUTOMATIC|Amphibious|Resistance To Acid			ABILITY:Special Ability|AUTOMATIC|Swamp Landwyrm Skill					MONSTERCLASS:Dragon:36	RACETYPE:Dragon	RACESUBTYPE:Landwyrm|Aquatic	TYPE:Dragon					HITDICEADVANCEMENT:39,48		CR:20	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|180	DEFINE:AcidResistanceBonus|30						
Landwyrm (Tundra)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Burrow,20	FACE:15	REACH:10	VISION:Tremorsense (60')			AUTO:LANG|Draconic|Common		BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16		BONUS:STAT|CON|12	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Diplomacy|Gather Information|Hide|Knowledge (Local)|Knowledge (Nature)|Listen|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Blood Drain|Frightful Presence|Improved Grab|Snatch	ABILITY:Special Ability|AUTOMATIC|Cold Adaptation|Resistance To Cold|Icewalking			ABILITY:Special Ability|AUTOMATIC|Plain Landwyrm Skill					MONSTERCLASS:Dragon:24	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:31,39,48		CR:14	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|40	DEFINE:ColdResistanceBonus|20						
Landwyrm (Underdark)	OUTPUTNAME:[NAME] Landwyrm		STARTFEATS:1	SIZE:L	MOVE:Walk,60,Swim,30	FACE:10	REACH:5	VISION:Blindsense (60')			AUTO:LANG|Draconic|Undercommon|Common		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|8	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Diplomacy|Escape Artist|Gather Information|Hide|Intimidate|Jump|Knowledge (Local)|Knowledge (Underdark)|Move Silently|Sense Motive|Survival|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Frightful Presence|Obscuring Mist|Wounding				ABILITY:Special Ability|AUTOMATIC|Underdark Landwyrm Skill					MONSTERCLASS:Dragon:12	RACETYPE:Dragon	RACESUBTYPE:Landwyrm	TYPE:Dragon					HITDICEADVANCEMENT:19,31,36		CR:8	SOURCEPAGE:Drac		DEFINE:FrightfulPresenceRange|60	DEFINE:ObscuringMistPerDay|3						
Squamous Spewer			STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:5	VISION:Low-Light|Darkvision (60')|Blindsense (60')			AUTO:LANG|Draconic		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot,Hide|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6		BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Hide|Listen|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*6,1d10		ABILITY:Special Ability|AUTOMATIC|Breath Weapon|Roar	ABILITY:Special Ability|AUTOMATIC|Amorphous|Immunity To Sleep|Immunity To Paralysis|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance To Fire								MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Air	TYPE:Aberration					HITDICEADVANCEMENT:38,45		CR:17	SOURCEPAGE:Drac	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Fog Cloud,12+CHA	DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10	DEFINE:ElectricityResistanceBonus|10	DEFINE:FireResistanceBonus|10				
Drake (Storm)	OUTPUTNAME:[NAME] Drake		STARTFEATS:1	SIZE:G	MOVE:Walk,60,Fly,200	FACE:20	REACH:15	VISION:Low-Light|Darkvision (60')			AUTO:LANG|Draconic|Auran	LANGBONUS:Common,Giant	BONUS:COMBAT|AC|24|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|2	BONUS:STAT|CON|14	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Knowledge (Nature)|Listen|Spot|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Tornado Winds|Snatch	ABILITY:Special Ability|AUTOMATIC|Gaseous Form (Su)|Immunity To Sleep|Immunity To Paralysis|Immunity To Cold|Immunity To Electricity								MONSTERCLASS:Dragon:30	RACETYPE:Dragon		TYPE:Dragon										DEFINE:BreathWeaponCone|60	DEFINE:ColdResistanceBonus|30	DEFINE:ElectricityResistanceBonus|30	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Call Lightning,13+CHA|Sleet Storm,13+CHA|Stinking Cloud,13+CHA|Wind Wall,13+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Control Weather,16+CHA|Control Winds,15+CHA|Ice Storm,15+CHA|Shout,14+CHA|Wind Walk,17+CHA			
