SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																												
																																														
# BASICS																																														
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page					
Lingering Breath	TYPE:Metabreath	VISIBLE:YES				PREFEAT:1,Clinging Breath									PRESTAT:1,CON=15					PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+2 round		DESC:See Text																	SOURCEPAGE:Drac					
Maximize Breath	TYPE:Metabreath	VISIBLE:YES													PRESTAT:1,CON=17					PREABILITY:1,CATEGORY=Special Ability,Breath Weapon				DESC:See Text																	SOURCEPAGE:Drac					
Multisnatch	TYPE:General	VISIBLE:YES				PREFEAT:1,Snatch									PRESTAT:1,STR=17									DESC:See Text																	SOURCEPAGE:Drac					
Overcome Weakness	TYPE:Monstrous	VISIBLE:YES				PREFEAT:2,Iron Will,Suppress Weakness														PREABILITY:1,CATEGORY=Special Ability,TYPE.Weakness				DESC:See Text																	SOURCEPAGE:Drac					
#Overwhelming Critical	vedi epico																																													
Power Climb	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=15					PREABILITY:1,CATEGORY=Special Ability,Maneuverability(Average),Maneuverability(Good),Maneuverability(Perfect)	PREVARGTEQ:Maneuverability,3			DESC:See Text																	SOURCEPAGE:Drac					
Power Dive	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=15					PREABILITY:1,CATEGORY=Special Ability,Maneuverability(Average),Maneuverability(Good),Maneuverability(Perfect)	PREVARGTEQ:Maneuverability,3			DESC:See Text																	SOURCEPAGE:Drac					
Quicken Breath	TYPE:Metabreath	VISIBLE:YES													PRESTAT:1,CON=19					PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+4 round		DESC:See Text																	SOURCEPAGE:Drac					
Rapidstrike	TYPE:General	VISIBLE:YES		PREATT:10						PREHANDSGT:2					PRESTAT:1,DEX=9					PRERACE:1,RACETYPE=Dragon,RACETYPE=Elemental,RACETYPE=Aberration,RACETYPE=Magical Beast,RACETYPE=Plant				DESC:See Text																	SOURCEPAGE:Drac					
Recover Breath	TYPE:Metabreath	VISIBLE:YES													PRESTAT:1,CON=17					PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:-1 round		DESC:See Text																	SOURCEPAGE:Drac					
Rend	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Power Attack				PREHANDSGT:2					PRESTAT:1,STR=13					PRESIZEGTEQ:H				DESC:See Text																	SOURCEPAGE:Drac					
Shape Breath	TYPE:Metabreath	VISIBLE:YES													PRESTAT:1,CON=13			PRETEXT:Line breath weapon	PRESIZEGTEQ:S	PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+1 round		DESC:See Text																	SOURCEPAGE:Drac					
Shock Wave	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Power Attack									PRESTAT:1,STR=13					PRESIZEGTEQ:L				DESC:See Text																	SOURCEPAGE:Drac					
Snatch and Swallow	TYPE:Monstrous	VISIBLE:YES				PREFEAT:2,Snatch,Improved Snatch									PRESTAT:1,CON=19				PRESIZEGTEQ:H	PRERACE:1,RACETYPE=Dragon				DESC:See Text																	SOURCEPAGE:Drac					
#Spellcasting Harrier	vedi epico																																													
Spreading Breath	TYPE:Metabreath	VISIBLE:YES				PREFEAT:1,Shape Breath									PRESTAT:1,CON=15				PRESIZEGTEQ:S	PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+2 round		DESC:See Text																	SOURCEPAGE:Drac					
Split Breath	TYPE:Metabreath	VISIBLE:YES				PREFEAT:1,Shape Breath									PRESTAT:1,CON=13				PRESIZEGTEQ:S	PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+1 round		DESC:See Text									BONUS:COMBAT|INITIATIVE|2								SOURCEPAGE:Drac					
Suppress Weakness	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Iron Will														PREABILITY:1,CATEGORY=Special Ability,TYPE.Weakness				DESC:See Text																	SOURCEPAGE:Drac					
Tail Constrict	TYPE:Monstrous	VISIBLE:YES				PREFEAT:2,Snatch,Improved Snatch														PRERACE:1,RACETYPE=Dragon				DESC:See Text																	SOURCEPAGE:Drac					
Tail Sweep Knockdown	TYPE:Monstrous	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Tail Sweep				DESC:See Text																	SOURCEPAGE:Drac					
Tempest Breath	TYPE:Metabreath	VISIBLE:YES				PREFEAT:1,Power Attack									PRESTAT:1,STR=13				PRESIZEGTEQ:L	PREABILITY:1,CATEGORY=Special Ability,Breath Weapon				DESC:See Text																	SOURCEPAGE:Drac					
Whirlwind Tail Sweep	TYPE:Monstrous	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Tail Sweep				DESC:See Text																	SOURCEPAGE:Drac					
Wingstorm	TYPE:Monstrous	VISIBLE:YES				PREFEAT:2,Hover,Power Attack									PRESTAT:1,STR=13				PRESIZEGTEQ:L	PRERACE:1,RACETYPE=Dragon	PREMOVE:1,Fly=20			DESC:See Text																	SOURCEPAGE:Drac					
# BASICS																																														
#Clever Wrestling	vedi CW																																													
Close Quarters Fighting	TYPE:General	VISIBLE:YES	OUTPUTNAME:Close-Quarters Fighting	PREATT:3																				DESC:See Text																	SOURCEPAGE:Drac					
Cunning Sidestep	TYPE:General	VISIBLE:YES				PREFEAT:2,Improved Unarmed Strike,Clever Wrestling														PREMULT:2,[PRESIZEGTEQ:S],[PRESIZELTEQ:M]				DESC:See Text																	SOURCEPAGE:Drac					
#Deft Strike	vedi Cad																																													
Dragon Cohort	TYPE:General	VISIBLE:YES									PRELEVEL:MIN=9									PRELANG:1,Draconic			DEFINE:DragonFiendishServant|0	DESC:See Text														BONUS:VAR|DragonFiendishServant|FSLevel			SOURCEPAGE:Drac	SERVESAS:ABILITY=FEAT|Leadership	ABILITY:Special Ability|AUTOMATIC|Dragon Fiendish Servant			
Dragon Familiar	TYPE:General	VISIBLE:YES													PRESTAT:1,CHA=13				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar	PRELANG:1,Draconic			DEFINE:DragonFamiliar|0	DESC:See Text														BONUS:VAR|DragonFamiliar|FMLevel			SOURCEPAGE:Drac	ABILITY:Special Ability|AUTOMATIC|Dragon Familiar				
Dragon Hunter	TYPE:General	VISIBLE:YES													PRESTAT:1,WIS=13							SAB:+2 dodge bonus on AC against attack made by dragons, +2 competence bonus on saving throw against spells,attack and spelllike abilities of dragons, +2 competence bonus on opposed check against a dragons.		DESC:See Text																	SOURCEPAGE:Drac					
Dragon Hunter Bravery	TYPE:General	VISIBLE:YES				PREFEAT:1,Dragon Hunter									PRESTAT:1,WIS=13							SAB:you and your allies in 30'ft radius are trated as hqaving +4HD against frightful presence of dragons and get +4 morale bonus on Will saves made to resists dragon's frightful presence.		DESC:See Text																	SOURCEPAGE:Drac					
Dragon Hunter Defense	TYPE:General	VISIBLE:YES				PREFEAT:1,Dragon Hunter									PRESTAT:1,WIS=13							SAB:you gain Evasion ability against dragon's breath weapon. +% bonus on all saving throws against supernatural and spelllike abilities of dragons.|TL/2		DESC:See Text																	SOURCEPAGE:Drac					
Dragon Steed	TYPE:General	VISIBLE:YES										PRESKILL:1,Ride=8			PRESTAT:1,CHA=13					PRELANG:1,Draconic			DEFINE:DragonSteed|0	DESC:See Text																	SOURCEPAGE:Drac	DEFINE:DragonMount|0	BONUS:VAR|DragonSteed|1|!PREABILITY:1,CATEGORY=Special Ability,Special Mount	BONUS:VAR|DragonMount|SMLevel|PREABILITY:1,CATEGORY=Special Ability,Special Mount	ABILITY:Special Ability|AUTOMATIC|Dragon Steed|!PREABILITY:1,CATEGORY=Special Ability,Special Mount	ABILITY:Special Ability|AUTOMATIC|Dragon Mount|PREABILITY:1,CATEGORY=Special Ability,Special Mount
Dragon Wild Shape (Lesser)	TYPE:General	VISIBLE:YES	OUTPUTNAME:Dragon Wild Shape, Lesser									PRESKILL:1,Knowledge (Nature)=15			PRESTAT:1,WIS=19					PREABILITY:1,CATEGORY=Special Ability,Wild Shape		SAB:Wild shape to change into a dragon (Small or Medium)		DESC:See Text																	SOURCEPAGE:Drac					
Dragonbane	TYPE:General	VISIBLE:YES		PREATT:6		PREFEAT:1,Dragonfoe									PRESTAT:1,INT=13							SAB:as full round action +4 bonus on attack, +2d6 damage.		DESC:See Text																	SOURCEPAGE:Drac					
Dragoncrafter	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Arcana)=2												DESC:See Text																	SOURCEPAGE:Drac					
Dragondoom	TYPE:General	VISIBLE:YES		PREATT:10		PREFEAT:2,Dragonbane,Dragonfoe									PRESTAT:1,INT=13									DESC:See Text																	SOURCEPAGE:Drac					
Dragonfoe	TYPE:General	VISIBLE:YES													PRESTAT:1,INT=13									DESC:See Text																	SOURCEPAGE:Drac					
Dragonfriend	TYPE:General	VISIBLE:YES				!PREFEAT:1,Dragonthrall									PRESTAT:1,CHA=11					PRELANG:1,Draconic				DESC:See Text																	SOURCEPAGE:Drac					
Dragonsong	TYPE:General	VISIBLE:YES										PRESKILL:2,Knowledge (Arcana)=4			PRESTAT:1,CHA=13				PRELANG:1,Draconic	PRESKILL:1,TYPE.Perform=6		SAB:in addition, +2 bonus DC to any mind affecting effects based on the skill (like bardic music)		DESC:See Text	STACK:NO	MULT:YES	CHOOSE:SKILLSNAMED|TYPE=Perform											BONUS:SKILL|%LIST|2			SOURCEPAGE:Drac	SELECT:1				
Dragonthrall	TYPE:General	VISIBLE:YES				!PREFEAT:1,Dragonfriend														PRELANG:1,Draconic				DESC:See Text																	SOURCEPAGE:Drac					
Frightful Presence	TYPE:General	VISIBLE:YES										PRESKILL:1,Intimidate=9			PRESTAT:1,CHA=15							SAB:% ft DC %|FrightfulPresRange|FrightfulPresenceDC|PREVARGT:FrightfulPresRange,0		DESC:See Text																	SOURCEPAGE:Drac	DEFINE:FrightfulPresRange|30	DEFINE:FrightfulPresenceDC|10+(TL/2)+CHA			
Overhead Thrust	TYPE:General	VISIBLE:YES		PREATT:6		PREFEAT:2,Close Quarters Fighting,Power Attack																		DESC:See Text																	SOURCEPAGE:Drac					
Sense Weakness	TYPE:General	VISIBLE:YES				PREFEAT:2,Combat Expertise,Weapon Focus									PRESTAT:1,INT=13									DESC:See Text																	SOURCEPAGE:Drac					

Mounted Archery.MOD	TYPE:Dragonrider
Ride By Attack.MOD	TYPE:Dragonrider
Spirited Charge.MOD	TYPE:Dragonrider
Trample.MOD	TYPE:Dragonrider
Weapon Focus.MOD	TYPE:Dragonrider
Weapon Specialization.MOD	TYPE:Dragonrider		
