SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net											
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	FINE		
22								SR:24	DR:15/Magic	DEFINE:DragonAge|7			
25								SR:25		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Etherealness		
28								SR:28	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Cold Iron
31				ABILITY:Special Ability|AUTOMATIC|Strike Ethereal Creatures				SR:29		DEFINE:DragonAge|10			
34								SR:32		DEFINE:DragonAge|11			DR:10/Cold Iron
37				ABILITY:Special Ability|AUTOMATIC|Summon Ethereal Cyclones|Ethereal Dragon Summon Ethereal Cyclones				SR:33		DEFINE:DragonAge|12			
#													
CLASS:Howling Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Howling Dragon	PRERACE:1,Dragon (Howling%	PRERACETYPE:Dragon											
CLASS:Howling Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Howling Sound									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|10	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Maddening Wails									DEFINE:BreathWeaponDamage|DragonAge			
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,1						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic									
9								SR:15		DEFINE:DragonAge|1			
12				ABILITY:Special Ability|AUTOMATIC|Ethereal Vision|See Ethereal				SR:18		DEFINE:DragonAge|2	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Shatter|Sound Burst		
15								SR:20	DR:5/Magic	DEFINE:DragonAge|3			
18								SR:22		DEFINE:DragonAge|4	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Gust of Wind	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Tasha's Hideous Laughter	
21								SR:24	DR:10/Magic	DEFINE:DragonAge|5			
24								SR:26		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Confusion	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Wind Wall	
27								SR:28	DR:15/Magic	DEFINE:DragonAge|7			
30								SR:30		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Phantasmal Killer|Shout		
33								SR:32	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Law
36				ABILITY:Special Ability|AUTOMATIC|Strike Ethereal Creatures				SR:33		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Insanity|Whirlwind		
39								SR:35		DEFINE:DragonAge|11			DR:10/Law
42				ABILITY:Special Ability|AUTOMATIC|Summon Ethereal Cyclones|Ethereal Dragon Summon Ethereal Cyclones				SR:36		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Symbol of Insanity|Weird		
#													
CLASS:Oceanus Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Oceanus Dragon	PRERACE:1,Dragon (Oceanus%	PRERACETYPE:Dragon											
CLASS:Oceanus Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Lightning									DEFINE:BreathWeaponLine|max((SIZE-1)*20,30)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|8	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Tranquillity Gas									DEFINE:BreathWeaponDuration|DragonAge			
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Amphibious|Water Breathing									
7										DEFINE:DragonAge|1			
10										DEFINE:DragonAge|2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=DragonCL|Detect Evil		
13									DR:5/Magic	DEFINE:DragonAge|3			
16										DEFINE:DragonAge|4	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Control Water		
19								SR:23	DR:10/Magic	DEFINE:DragonAge|5			
22				ABILITY:Special Ability|AUTOMATIC|Smite Evil|Oceanus Dragon Smite Evil			BONUS:VAR|OceanusDragonSmiteEvilLVL|CL	SR:26		DEFINE:DragonAge|6			
25								SR:27	DR:15/Magic	DEFINE:DragonAge|7			
28								SR:30		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Holy Smite		
31								SR:32	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Evil
34								SR:35		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Control Winds|Dispel Evil		
37								SR:37		DEFINE:DragonAge|11			DR:10/Evil
40								SR:40		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Holy Word		
#													
CLASS:Pyroclastic Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Pyroclastic Dragon	PRERACE:1,Dragon (Pyroclastic%	PRERACETYPE:Dragon											
CLASS:Pyroclastic Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Superheated Ash and Crushing Waves									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|6	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Disintegration									DEFINE:BreathWeaponLine|max((SIZE-1)*20,30)			
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,1						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Immunity To Fire									
7								SR:14		DEFINE:DragonAge|1			
10								SR:15		DEFINE:DragonAge|2	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Sound Burst	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Pyrotechnics	
13								SR:17	DR:5/Magic	DEFINE:DragonAge|3			
16								SR:20		DEFINE:DragonAge|4	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Produce Flame	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Shatter	
19								SR:22	DR:10/Magic	DEFINE:DragonAge|5			
22								SR:24		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Shout|Wall of Fire		
25								SR:26	DR:15/Magic	DEFINE:DragonAge|7			
28								SR:28		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Fire Storm|Wall of Stone		
31								SR:29	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Good
34								SR:31		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Incendiary Cloud|Power Word Stun		
37								SR:32		DEFINE:DragonAge|11			DR:10/Good
40								SR:34		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Meteor Swarm		
#													
CLASS:Radiant Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Radiant Dragon	PRERACE:1,Dragon (Radiant%	PRERACETYPE:Dragon											
CLASS:Radiant Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Force									DEFINE:BreathWeaponLine|max((SIZE-1)*20,30)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|10	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Light									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDuration|DragonAge		
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Light									
9										DEFINE:DragonAge|1			
12										DEFINE:DragonAge|2	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Daylight		
15									DR:5/Magic	DEFINE:DragonAge|3			
18				ABILITY:Special Ability|AUTOMATIC|Dispel Darkness						DEFINE:DragonAge|4			
21								SR:25	DR:10/Magic	DEFINE:DragonAge|5			
24								SR:28		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Searing Light		
27								SR:29	DR:15/Magic	DEFINE:DragonAge|7			
30				ABILITY:Special Ability|AUTOMATIC|Healing Touch|Radiant Dragon Healing Touch				SR:32		DEFINE:DragonAge|8			
33								SR:34	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Evil
36								SR:37		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Sunburst		
39								SR:39		DEFINE:DragonAge|11			DR:10/Evil
42								SR:42		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Prismatic Sphere		
#													
CLASS:Rust Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Rust Dragon	PRERACE:1,Dragon (Rust%	PRERACETYPE:Dragon											
CLASS:Rust Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Acid									DEFINE:BreathWeaponLine|max((SIZE-1)*20,30)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|4	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Corrosive Liquid									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)			
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,2						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Resistance To Metal|Rusting Bite									
6								SR:13		DEFINE:DragonAge|1			
9								SR:14		DEFINE:DragonAge|2			
12								SR:16	DR:5/Magic	DEFINE:DragonAge|3			
15								SR:18		DEFINE:DragonAge|4			
18								SR:20	DR:10/Magic	DEFINE:DragonAge|5			
21								SR:23		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Wall of Iron		
24								SR:25	DR:15/Magic	DEFINE:DragonAge|7			
27								SR:27		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Acid Fog		
30								SR:28	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Chaotic
