SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																					
#																																							
# type		HITDIE:12		CR:2	DR:10/Silver and Magic		LEVELADJUSTMENT:8	TEMPLATE:Undead	TEMPLATE:CHOOSE:Slam (Fine)|Slam (Diminutive)|Slam (Tiny)|Slam (Small)|Slam (Medium)|Slam (Large)|Slam (Huge)|Slam (Gargantuan)|Slam (Colossal)	SOURCEPAGE:MonstersT-Z.rtf	SAB:Blood Drain (Ex)	SAB:Children of the Night (Su)	SAB:Dominate (Su) DC%|VampireAbilityDC	SAB:Energy Drain (Su)	SAB:Create Spawn (Su)	SAB:Alternate Form (Su)	SAB:Fast Healing 5 (Ex)	SAB:Gaseous Form (Su)	SAB:Energy Resistance Cold/Electricity 10	SAB:Turn Resistance +4 (Ex)	SAB:Spider Climb (Ex)	DEFINE:VampireAbilityDC|0		PREALIGN:2,5,8		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial	BONUS:STAT|STR|6	BONUS:STAT|DEX|4		BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	BONUS:VAR|VampireAbilityDC|15+CHA		FEAT:Alertness,Combat Reflexes,Dodge,Improved Initiative,Lightning Reflexes		TYPE:Undead
Ghostly Dragon	VISIBLE:YES	SOURCEPAGE:Drac	PRERACE:1,RACETYPE=Dragon	PRESTAT:1,CHA=8	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TEMPLATE:Undead	TEMPLATE:Incorporeal	BONUS:HP|CURRENTMAX|2*HD	MOVE:Fly,30	ABILITY:Special Ability|AUTOMATIC|Manifestation|Rejuvenation|Turn Resistance|Breath Weapon ~ Cone of Grey Mist|Energy Drain|Withering	DEFINE:GhostAbilityDC|0	BONUS:VAR|GhostAbilityDC|10+(TL/2)+CHA	BONUS:VAR|TurnResistBonus|4	BONUS:VAR|Maneuverability|5	DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:EnergyDrainLVLs|2	BONUS:STAT|CHA|4	DEFINE:LOCK.CON|10	BONUS:SKILL|Hide,Listen,Search,Spot|8|TYPE=Racial	CR:2	LEVELADJUSTMENT:5																	
Half Dragon (Amethyst)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:TN	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Poison	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Concussive Force																																	
Half Dragon (Battle)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:NG	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Sonic Energy																																	
#Half Dragon (Brown)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Acid																																	
Half Dragon (Chaos)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:CG,CN,CE	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Confusion	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Random Energy																																	
Half Dragon (Crystal)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:CN	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Brilliant Light																																	
#Half Dragon (Deep)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Charm Effects|Resistance To Cold|Resistance To Fire	ABILITY:Special Ability|AUTOMATIC|	DEFINE:ColdResistanceBonus|10	DEFINE:FireResistanceBonus|10																															
Half Dragon (Emerald)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:LN	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Sonic Energy																																	
Half Dragon (Ethereal)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:TN	TEMPLATE:Half Dragon		ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Force																																	
Half Dragon (Fang)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:CN	TEMPLATE:Half Dragon		ABILITY:Special Ability|AUTOMATIC|Half-Dragon Withering																																	
Half Dragon (Howling)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:CN,CE	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Sonic Energy																																	
Half Dragon (Oceanus)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:CG	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Electricity																																	
Half Dragon (Pyroclastic)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:LE,NE	TEMPLATE:Half Dragon	BONUS:ABILITYPOOL|Pyroclastic Half Dragon Immunity|1	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Fire and Sonic																																	
Half Dragon (Radiant)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:LG	TEMPLATE:Half Dragon		ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Concussive Force																																	
Half Dragon (Rust)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:LN,LE	TEMPLATE:Half Dragon		ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Acid																																	
Half Dragon (Sapphire)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:LN	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Sonic Energy																																	
Half Dragon (Shadow)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:CE	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Energy Drain	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Shadows																																	
#Half Dragon (Song)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Poison	ABILITY:Special Ability|AUTOMATIC|																																	
Half Dragon (Styx)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:NE	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Disease|Immunity To Poison	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Acid																																	
Half Dragon (Tarterian)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:NE,CE	TEMPLATE:Half Dragon		ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Line of Concussive Force																																	
Half Dragon (Topaz)	VISIBLE:YES	SOURCEPAGE:Drac	PREALIGN:CN	TEMPLATE:Half Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold	ABILITY:Special Ability|AUTOMATIC|Half-Dragon Breath Weapon ~ Cone of Dehydratation																																	
Skeletal Dragon	VISIBLE:YES	SOURCEPAGE:Drac	PRERACE:1,RACETYPE=Dragon	RACETYPE:Undead	BONUS:HP|CURRENTMAX|HD	DEFINE:LOCK.CON|10	DEFINE:LOCK.WIS|10	BONUS:MOVEMULT|TYPE.Fly|0	BONUS:COMBAT|AC|SIZE-2|TYPE=NaturalArmor.REPLACE	DR:5/Bludgeoning	ABILITY:Special Ability|AUTOMATIC|Immunity To cold	TEMPLATE:Undead|Mindless	VFEAT:Improved Initiative																										
Vampiric Dragon	VISIBLE:YES	SOURCEPAGE:Drac	PRERACE:1,RACETYPE=Dragon	PREVARGTEQ:DragonAge,6	RACETYPE:Undead	BONUS:HP|CURRENTMAX|4*HD	DEFINE:LOCK.CON|10	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	DEFINE:VampiricDragonDC|10+(HD/2)+CHA	ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Vampiric Dragon|Charm|Create Spawn|Dominate ~ Vampiric Dragon|Energy Drain|Fast Healing|Resistance To Cold|Resistance To Electricity|Turn Resistance	BONUS:VAR|CharmRadius|30*DragonAge	BONUS:VAR|CharmDC|VampiricDragonDC	BONUS:VAR|EnergyDrainLevels|1	BONUS:VAR|FastHealing|5	BONUS:VAR|ColdResistanceBonus|20	BONUS:VAR|ElectricityResistanceBonus|20	BONUS:VAR|TurnResistBonus|4	ABILITY:Special Ability|AUTOMATIC|Undead Traits|Vulnerability To Sunlight	BONUS:STAT|STR,CHA|4	BONUS:STAT|DEX|6	BONUS:STAT|INT,WIS|2	BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial	AUTO:FEAT|Alertness|Combat Reflexes|Dodge|Improved Initiative|Lightning Reflexes	BONUS:MISC|CR|2	PREALIGN:LE,NE,CE	LEVELADJUSTMENT:5													
Zombie Dragon	VISIBLE:YES	SOURCEPAGE:Drac	PRERACE:1,RACETYPE=Dragon	PREVARGTEQ:DragonAge,6	RACETYPE:Undead	BONUS:HP|CURRENTMAX|2*HD	DEFINE:LOCK.CON|10	BONUS:VAR|Maneuverability|-1	BONUS:COMBAT|AC|(HD-1)/2|TYPE=NaturalArmor	DR:5/Slashing	ABILITY:Special Ability|AUTOMATIC|Single Actions Only	BONUS:STAT|DEX|-2	BONUS:STAT|CHA|-6	DEFINE:LOCK.CON|10	DEFINE:LOCK.WIS|10	TEMPLATE:Mindless	AUTO:FEAT|Toughness	BONUS:MISC|CR|((-1)*(CR/2))+1																					
