SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																
###Block: Specific Armors																		
#Dragonarmor of Invincibility	COST:276350																	
#Armor of Dragonshape	COST:23165																	
#Armor of Mobility	COST:16160																	
#Dragondodger Armor	COST:165675																	
#Dragonrider Armor	COST:26150																	
																		
# Equipment Name			Type	Cost	Weight	AC Penalty Check	Modifier	Maximum DEX Bonus	Source Page	% of Spell Failure	Combat bonus	Special Property	Virtual Feat	Damage Reduction	Innate Spells	Bonus to skill	Modify VAR	Automaticaly Added to Inventory
Armor of Dragonshape (Bronze)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_CHR_BRZ.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Bronze dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (Brass)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_CHR_BRS.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Brass dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (Gold)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_CHR_GLD.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Gold dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Mobility		PROFICIENCY:ARMOR|Leather	TYPE:Enhancement.Armor.Light.Suit.Specific.Nonmetal	COST:10	WT:15	ACCHECK:0	EQMOD:LEATHER.MWORKA.PLUS2A	MAXDEX:6	SOURCEPAGE:Drac	SPELLFAILURE:10	BONUS:COMBAT|AC|2|TYPE=Armor.REPLACE		ABILITY:Special Ability|VIRTUAL|Evasion	BONUS:VAR|EvasionUsable,ImprovedEvasionUsable|1|TYPE=Prerequisite				
Bulwark of Antimagic		PROFICIENCY:SHIELD|Tower Shield	TYPE:Enhancement.Shield.Tower.Specific.Wooden.Nonmetal	COST:30	WT:45	ACCHECK:-10	EQMOD:WOOD.MWORKA.PLUS1S	MAXDEX:2	SOURCEPAGE:Drac	SPELLFAILURE:50	BONUS:COMBAT|AC|4|TYPE=Shield.REPLACE	SPROP:Tower shields can grant full cover, see text		BONUS:COMBAT|TOHIT|-2|PREFEAT:1,Tower Shield Proficiency	BONUS:COMBAT|TOHIT|SHIELDACCHECK|!PREFEAT:1,Tower Shield Proficiency	SPELLS:Bulwark of Antimagic|TIMES=1|CASTERLEVEL=11|Antimagic Field,19		
Dragondodger Armor		PROFICIENCY:ARMOR|Leather	TYPE:Enhancement.Armor.Light.Suit.Specific.Nonmetal	COST:10	WT:15	ACCHECK:0	EQMOD:LEATHER.MWORKA.PLUS3A	MAXDEX:6	SOURCEPAGE:Drac	SPELLFAILURE:10	BONUS:COMBAT|AC|2|TYPE=Armor.REPLACE	SPROP:Evasion ability against Breath Weapons.						
Dragonrider Armor (Black)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Acid	DEFINE:AcidResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Green)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Acid	DEFINE:AcidResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (White)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Cold	DEFINE:ColdResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Blue)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity	DEFINE:ElectricityResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Red)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Fire	DEFINE:FireResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Copper)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Acid	DEFINE:AcidResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Silver)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Cold	DEFINE:ColdResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Bronze)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity	DEFINE:ElectricityResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Brass)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Fire	DEFINE:FireResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
Dragonrider Armor (Gold)	OUTPUTNAME:[NAME] Dragonrider Armor	PROFICIENCY:ARMOR|Full Plate	TYPE:Enhancement.Armor.Heavy.Suit.Specific	COST:1500	WT:50	ACCHECK:-6	EQMOD:STEEL.MWORKA.PLUS1A	MAXDEX:1	SOURCEPAGE:Drac	SPELLFAILURE:35	BONUS:COMBAT|AC|8|TYPE=Armor.REPLACE	SPROP:+5 bonus on Ride check when riding a dragon.	ABILITY:Special Ability|VIRTUAL|Resistance To Fire	DEFINE:FireResistance|10		SPELLS:Dragonrider Armor|TIMES=ATWILL|CASTERLEVEL=3|Feather Fall		
