SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																										
																												
###Block: AB																												
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose		
Stunning Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon als stuns creatures for 1 round.	SOURCEPAGE:Drac										
Stunning Breath (Greater)	OUTPUTNAME:Stunning Breath, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon also stun creatures for 2d4 rounds.	SOURCEPAGE:Drac										
Wingbind			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Fire	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:A net of force entangles the target, preventing it from charging, running or flying.	SOURCEPAGE:Drac										
Wings of Air			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Winged creature touched		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Target's flight maneuverability improves by one step.	SOURCEPAGE:Drac										
Wings of Air (Greater)	OUTPUTNAME:Wings of Air, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Winged creature touched		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Target's flight maneuverability improves by two steps.	SOURCEPAGE:Drac										
																												
# Spell Name																												
Antidragon Aura			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/2 level, no two of wich can be more than 30-ft apart		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Allies gain bonus to AC and saves against dragons.	SOURCEPAGE:Drac		COST:25								
Antimagic Ray			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object		DURATION:1 round/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Target loses all magical powers.	SOURCEPAGE:Drac		COST:100								
Aura of Evasion			TYPE:Arcane	CLASSES:Cleric=5|Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10 ft radius emanation centered on you.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:All within 10-ft gain evasion against breath weapons.	SOURCEPAGE:Drac		COST:500								
#Bolt of Glory	vedi CD																											
Cheat			TYPE:Arcane	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level or until used	SAVEINFO:None	SPELLRES:No	DESC:Caster rerolls when determining the success of a game of chance.	SOURCEPAGE:Drac										
#Cloak of Bravery	vedi CW																											
Contingent Energy Resistance			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=4|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Energy damage triggers a Resist Energy spell.	SOURCEPAGE:Drac		COST:100								
#Crown of Glory	vedi CD																											
Death Dragon			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Necromancy		DESCRIPTOR:Evil|Fear|Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain +4 enhancement bonus to natural armor, +4 deflection bonus to AC and temporary hit points.	SOURCEPAGE:Drac					TEMPBONUS:ANYPC|COMBAT|AC|4|TYPE=NaturalArmor	TEMPBONUS:ANYPC|HP|CURRENTMAX|%CHOICE|TYPE=Teporary		CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose number of bonus Hp.	TEMPBONUS:ANYPC|COMBAT|AC|4|TYPE=Deflection	
Draconic Might			TYPE:Arcane.Divine	CLASSES:Paladin=4|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 minute/level	SAVEINFO:Reflex negates (harmless)	SPELLRES:Yes	DESC:Gain +5 to STR, CON and CHA; +4 natural armor; immunity to magic sleep effects and paralysis.	SOURCEPAGE:Drac									TEMPBONUS:ANYPC|STAT|STR,CON,CHA|4|TYPE=Enhancement	TEMPBONUS:ANYPC|COMBAT|AC|4|TYPE=NaturalArmor
Dragon Ally			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, XP	CASTTIME:10 minutes	RANGE:Close			DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Dragon Ally, but up to 18 HD.	SOURCEPAGE:Drac			XPCOST:250							
Dragon Ally (Greater)	OUTPUTNAME:Dragon Ally, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, XP	CASTTIME:10 minutes	RANGE:Close			DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Dragon Ally, but up to 27 HD.	SOURCEPAGE:Drac			XPCOST:500							
Dragon Ally (Lesser)	OUTPUTNAME:Dragon Ally, Lesser		TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, XP	CASTTIME:10 minutes	RANGE:Close			DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Exchange services with a 9 HD dragon.	SOURCEPAGE:Drac			XPCOST:100							
#Dragon Breath	vedi CD
Dragonsight			TYPE:Arcane	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Gain low-light vision, darkvision and blindsense.	SOURCEPAGE:Drac										
Dragonskin			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You gain +4 enhancement to natural armor, energy resistance 10.	SOURCEPAGE:Drac										
Earthbind			TYPE:Arcane	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Reflex partial	SPELLRES:Yes	DESC:Subject creature can't fly.	SOURCEPAGE:Drac										
#Energy Immunity	vedi CA
Entice Gift			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject gives caster what it's holding.	SOURCEPAGE:Drac										
Fell the Greatest Foe			TYPE:Divine	CLASSES:Assassin=3|Cleric=4|Paladin=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Large or larger creature touched.		DURATION:1 round/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Deal extra damage to creatures larger than Medium.	SOURCEPAGE:Drac										
Find the Gap			TYPE:Divine	CLASSES:Assassin=3|Cleric=3|Ranger=3		SCHOOL:Divination			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your attacks ignore armor and natural armor.	SOURCEPAGE:Drac										
Flight of the Dragon			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You grow dragon wings.	SOURCEPAGE:Drac										
Hide from Dragons			TYPE:Arcane.Divine	CLASSES:Assassin=4|Bard=5|Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched/two levels.		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Dragons can't perceive one subject/2 levels.	SOURCEPAGE:Drac										
Lower Spell Resistance			TYPE:Arcane	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 round	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Fortitude negates (see text)	SPELLRES:No	DESC:Subject's spell resistance reduced.	SOURCEPAGE:Drac										
Miser's Envy			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature and one object (see text)		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Subject jealously covets a nearby object.	SOURCEPAGE:Drac										
#Monstrous Thrall	vedi CD																											
Phantasmal Thief			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Creates an unseen forxe that steals from others.	SOURCEPAGE:Drac										
Scale Weakening			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Subject's natural armor weakens.	SOURCEPAGE:Drac										
Shield of Warding			TYPE:Divine	CLASSES:Cleric=3|Paladin=2		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One shield or buckler		DURATION:1 minute/level	SAVEINFO:Will negates (object, harmless)	SPELLRES:No	DESC:Shield grants +1 bonus on Reflex saves/5 levels (max +5).	SOURCEPAGE:Drac										
Suppress Breath Weapon			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject can't use breath weapon.	SOURCEPAGE:Drac										
#True Domination	vedi CD																											
Voice of the Dragon			TYPE:Arcane	CLASSES:Bard=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:+10 on Bluff, diplomacy and Intimidate checks; can use one Suggestion.	SOURCEPAGE:Drac										
Vulnerability			TYPE:Arcane	CLASSES:Assassin=4|Cleric=5|Ranger=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Reduces an opponent's damage reduction.	SOURCEPAGE:Drac										
