SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net																																										
																																												
# BASICS																				[PREMULT:2,[PRERACE:1,RACESUBTYPE=Human],[PREREGION:1,Rashemen]]																								
# Feat Name	Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page			
Divine Accuracy	TYPE:Divine	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,TYPE.TurnUndead				DESC:Ignore miss chance for incorporealness.																	SOURCEPAGE:LM			
Empowered Ability Damage	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=11			PRETEXT:Supernatural ability to drain or damage an ability score	PRERACE:1,RACESUBTYPE=Incorporeal	PRERACE:1,RACETYPE=Undead				DESC:Increase variable effect of ability damage or ability drain.																	SOURCEPAGE:LM			
Empower Turning	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,TYPE.TurnUndead				DESC:Can turn more undead.																	SOURCEPAGE:LM			
Endure Sunlight	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Sunlight powerlessness or sunlight-related weakness				DESC:Resist dangerous effects of sunlight.																	SOURCEPAGE:LM			
Enduring Life	TYPE:General	VISIBLE:YES																						DESC:Ignore penalties from negative levels.																	SOURCEPAGE:LM			
Energize Spell	TYPE:Metamagic.Wizard	VISIBLE:YES																	PREALIGN:LG,NG,CG,LN,TN,CN	!PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead				DESC:Deal 50%% extra damage to undead.																	SOURCEPAGE:LM	ADDSPELLLEVEL:1		
Enervate Spell	TYPE:Metamagic.Wizard	VISIBLE:YES																	PREALIGN:LN,TN,CN,LE,NE,CE	!PREABILITY:1,CATEGORY=Special Ability,Turn Undead				DESC:Deal 50%% extra damage to living creatures.																	SOURCEPAGE:LM	ADDSPELLLEVEL:2		
Eviscerator	TYPE:Monstrous	VISIBLE:YES		PREATT:1		PREFEAT:3,Death Master,Daunting Presence,Improved Critical									PRESTAT:1,CHA=13					PRERACE:1,RACETYPE=Undead				DESC:On your critical hit, foe and its allies are shaken.																	SOURCEPAGE:LM			
Fell Animate	TYPE:Metamagic.Wizard	VISIBLE:YES																						DESC:Creatures slain by the spell rise as zombies.																	SOURCEPAGE:LM	ADDSPELLLEVEL:3		
Fell Drain	TYPE:Metamagic.Wizard	VISIBLE:YES																						DESC:Creatures hurt by the spell gain a negative level.																	SOURCEPAGE:LM	ADDSPELLLEVEL:2		
Fell Frighten	TYPE:Metamagic.Wizard	VISIBLE:YES																						DESC:Creatures damaged by the spell are also shaken.																	SOURCEPAGE:LM	ADDSPELLLEVEL:2		
Fell Weaken	TYPE:Metamagic.Wizard	VISIBLE:YES																						DESC:Creatures damaged by the spell also take -4 STR.																	SOURCEPAGE:LM	ADDSPELLLEVEL:1		
Ghost Scarred	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Religion)=8												DESC:+2 on attacks, damage, saves against incorporeal undead.																	SOURCEPAGE:LM			
Ghostly Grasp	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=15				PRERACE:1,RACESUBTYPE=Incorporeal					DESC:Use corporeal items.																	SOURCEPAGE:LM			
Graft Flesh	TYPE:General	VISIBLE:YES										PRESKILL:1,Heal=10												DESC:You can apply graft of a certain type.	STACK:NO	MULT:YES	CHOOSE:NOCHOICE											BONUS:ABILITYPOOL|Graft Flesh|1			SOURCEPAGE:LM			
Hardened Flesh	TYPE:General	VISIBLE:YES				PREFEAT:1,Corpsecrafter																		DESC:Undead gain +2 natural armor.																	SOURCEPAGE:LM			
Heigthen Turning	TYPE:General	VISIBLE:YES				PREFEAT:1,Extra Turning									PRESTAT:1,CHA=13									DESC:Can turn more powerful undead.																	SOURCEPAGE:LM			
Improved Energy Drain	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=15					PREABILITY:1,CATEGORY=Special Ability,Energy Drain				DESC:Draw extra power from energy-drained victims.																	SOURCEPAGE:LM			
Improved Paralysis	TYPE:Monstrous	VISIBLE:YES																PRETEXT:Ability Focus (Paralysis)	PREABILITY:1,CATEGORY=Special Ability,Paralysis (Ex),Paralysis (Su)	PRERACE:1,RACETYPE=Undead				DESC:+4 DC to paralysis ability.																	SOURCEPAGE:LM			
#Improved Toughness	TYPE:General	VISIBLE:YES																		PRECHECKBASE:1,Fortitude=2				DESC:Gain HP equal to your current HD.																	SOURCEPAGE:LM			
Improved Turn Resistance	TYPE:Regional	VISIBLE:YES																	PRERACE:1,RACETYPE=Undead	PREABILITY:1,CATEGORY=Special Ability,Turn Resistance				DESC:Increase turn resistance by +4.														BONUS:VAR|TurnResistBonus|4			SOURCEPAGE:LM			
Lasting Life	TYPE:General	VISIBLE:YES				PREFEAT:2,Endurance,Enduring Life																		DESC:OPurge negative levels with Will saves.																	SOURCEPAGE:LM			
Life Drain	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=13					PREABILITY:1,CATEGORY=Special Ability,Energy Drain				DESC:Negative levels you bestow deal, gain more hp																	SOURCEPAGE:LM			
Lifebond	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=13					PRERACE:1,RACETYPE=Undead				DESC:Bond with chosen living creature to gain benefits.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:LM			
Lifesense	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=13					PRETEXT:Constitution as Non Ability				DESC:Living creatures provide illumination.																	SOURCEPAGE:LM	VISION:Lifesense		
Mother Cyst	TYPE:General	VISIBLE:YES			PRECLASS:1,SPELLCASTER=1							PRESKILL:1,Knowledge (Religion)=2												DESC:Internal undead cyst allows access to special spells.																	SOURCEPAGE:LM	BONUS:ABILITYPOOL|Necrotic Cyst Spellcasting Type|1		
Necromantic Might	TYPE:General	VISIBLE:YES				PREFEAT:1,Necromantic Presence																		DESC:Undead in your presence gain +2 on attack rolls and damage rolls.																	SOURCEPAGE:LM			
Necromantic Presence	TYPE:General	VISIBLE:YES																						DESC:Undead in your presence gain +4 turn resistance.																	SOURCEPAGE:LM			
Necrotic Reserve	TYPE:General	VISIBLE:YES																		PRETEXT:Supernatural ability to drain or damage an ability score or drain energy				DESC:Drain abilities or levels to survive below 0 hit points.																	SOURCEPAGE:LM			
Necropotent	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:2,Weapon Focus,Weapon Specialization																		DESC:+4 damage with selected weapon against undead.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC[FEAT=Weapon Specialization]														SOURCEPAGE:LM			
Ninble Bones	TYPE:General	VISIBLE:YES				PREFEAT:1,Corpsecrafter																		DESC:Undead gain +4 to initiative and +10-ft/round.																	SOURCEPAGE:LM			
Positive Energy Resistance	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACETYPE=Undead				DESC:Resistance 10 to positive energy effects.																	SOURCEPAGE:LM			
Profane Lifeleech	TYPE:Divine	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead				DESC:Steal 1d6 HP from nearby undead allies.																	SOURCEPAGE:LM			
Profane Vigor	TYPE:Divine	VISIBLE:YES													PRESTAT:1,CHA=11					PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead				DESC:Grants 1d8 HP to nearby undead allies.																	SOURCEPAGE:LM			
Quicken Manifestation	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Ability to Manifest from Ethereal plane to Material Plane				DESC:Manifest from Ethereal Planes as free action.																	SOURCEPAGE:LM			
Quicken Turning	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,TYPE.TurnUndead				DESC:Can turn undead as a free action.																	SOURCEPAGE:LM			
Requiem	TYPE:General	VISIBLE:YES							PREABILITY:1,CATEGORY=Special Ability,Bardic Music			PRESKILL:1,TYPE.Perform=8												DESC:Bardic music affects undead.																	SOURCEPAGE:LM			
Sacred Vengeance	TYPE:Divine	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Turn Undead				DESC:+2d6 on melee attacks against undead.																	SOURCEPAGE:LM			
Sacred Vitality	TYPE:Divine	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,TYPE.TurnUndead				DESC:Gain immunity to ability damage, ability drain and energy drain.																	SOURCEPAGE:LM			
Spell Drain	TYPE:Monstrous	VISIBLE:YES			PRECLASS:1,SPELLCASTER=5	PREFEAT:1,Improved Energy Drain									PRESTAT:1,CHA=15					PREABILITY:1,CATEGORY=Special Ability,Energy Drain				DESC:Gain spells lost by negative levels you bestow.																	SOURCEPAGE:LM			
Spurn Death Touch	TYPE:Divine	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Turn Undead				DESC:Heal ability damage, paralysis, negative level.																	SOURCEPAGE:LM			
Stitched Flesh Familiar	TYPE:General	VISIBLE:YES																						DESC:Familiar gains undead qualities, you can control 4 extra HD of undead.														BONUS:VAR|StitchedFleshFamiliarLVL|FamiliarLVL			SOURCEPAGE:LM	DEFINE:StitchedFleshFamiliarLVL|0		
Tomb Born Fortitude	TYPE:General	VISIBLE:YES	OUTPUTNAME:Tomb-Born Fortitude			PREFEAT:1,Tomb Tainted Soul														PREALIGN:LN,LE,TN,NE,CN,CE				DESC:25%% crit resistance, no massive damage risk.																	SOURCEPAGE:LM			
Tomb Born Resilience	TYPE:General	VISIBLE:YES	OUTPUTNAME:Tomb-Born Resilience			PREFEAT:1,Tomb Tainted Soul														PREALIGN:LN,LE,TN,NE,CN,CE				DESC:+2 on saves vs mental influence, poison, disease.																	SOURCEPAGE:LM			
Tomb Born Vitality	TYPE:General	VISIBLE:YES	OUTPUTNAME:Tomb-Born Vitality			PREFEAT:1,Tomb Tainted Soul														PREALIGN:LN,LE,TN,NE,CN,CE				DESC:Forego sleep, immunity to magic sleep effects.																	SOURCEPAGE:LM			
Tomb Tainted Soul	TYPE:General	VISIBLE:YES	OUTPUTNAME:Tomb-Tainted Soul																	PREALIGN:LN,LE,TN,NE,CN,CE				DESC:Heal with negative energy as an undead creature.																	SOURCEPAGE:LM			
Undead Leadership	TYPE:General.Leadership	VISIBLE:YES	SERVESAS:ABILITY=FEAT|Leadership								PRELEVEL:MIN=6	PRESKILL:1,Knowledge (Religion)=1								PREALIGN:LN,LE,TN,NE,CN,CE			ABILITY:Special Ability|AUTOMATIC|Leadership Score|Undead Leadership Score	DESC:Attract undead followers and cohort.													BONUS:VAR|LeadershipMaxCohortLvl|min((TL-2),(((LeadershipScore+6)*7)/10)-4)				SOURCEPAGE:LM	DEFINE:LeadershipMaxCohortLvl|0	DEFINE:LeadershipScore|0	BONUS:VAR|LeadershipScore|(TL+CHA)-4
Unquenchable Flame of Life	TYPE:General	VISIBLE:YES																						DESC:+2 bonus on saves against undead attacks.																	SOURCEPAGE:LM			
Vampire Hunter	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Religion)=6												DESC:Detect vampires, immunity to dominating gaze.																	SOURCEPAGE:LM	SAB:Immune to dominating gaze of vampire and vampire spawn		
