SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net																																																																		
																																																																				
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells				
Cinderspawn			STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Ignan		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|10				BONUS:STAT|CHA|6			MONCSKILL:Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Charisma Drain ~ Cinderspawn	ABILITY:Special Ability|AUTOMATIC|Elemental Turning Vulnerability|Frostfire Shield|Inescapable Craving ~ Charisma	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire							MONSTERCLASS:Undead:10	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead	TEMPLATE:Fire			HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:4	CR:6	SOURCEPAGE:LM					
Swarm (Corpse Rat)	OUTPUTNAME:[NAME] Swarm			SIZE:T	MOVE:Walk,15,Climb,15	FACE:10	REACH:0	VISION:Darkvision (60')		PREALIGN:NE									BONUS:STAT|STR|-6	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-10						BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)						LEGS:0	HANDS:0				NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Disease|Distraction							DR:5/Slashing		MONSTERCLASS:Undead:8	RACETYPE:Undead	RACESUBTYPE:Swarm	TYPE:Undead	TEMPLATE:Undead|Mindless|Swarm						CR:4	SOURCEPAGE:LM					
Crypt Chanter			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Common|Abyssal			BONUS:COMBAT|AC|5|TYPE=Deflection.REPLACE						BONUS:STAT|DEX|8		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|10			MONCSKILL:Hide|Intimidate|Listen|Perform (Sing)|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Draining Melody|Create Spawn	ABILITY:Special Ability|AUTOMATIC|Daylight Powerlessness|Turn Resistance								MONSTERCLASS:Undead:7	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead	TEMPLATE:Undead|Incorporeal				HITDICEADVANCEMENT:17		CR:7	SOURCEPAGE:LM		BONUS:VAR|TurnResistBonus|2			
Deathlock			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	AUTO:LANG|Common|Abyssal|Infernal		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4		BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Concentration|Hide|Knowledge (Arcana)|Listen|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4			ABILITY:Special Ability|AUTOMATIC|Turn Resistance								MONSTERCLASS:Undead:3	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead					LEVELADJUSTMENT:3	CR:3	SOURCEPAGE:LM	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Detect Magic|Inflict Minor Wounds,11+CHA|Read Magic	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Cause Fear,11+CHA|Magic Missile|Summon Monster I	SPELLS:Innate|TIMES=2|CASTERLEVEL=HD|Death Knell,12+CHA|Ghoul Glyph,12+CHA	BONUS:VAR|TurnResistBonus|2	
Desiccator			STARTFEATS:1	SIZE:S	MOVE:Walk,20,Swim,60	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	AUTO:LANG|Aquan		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2			MONCSKILL:Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Desiccating Breath|Fatiguing Touch	ABILITY:Special Ability|AUTOMATIC|Elemental Turning Vulnerability|Inescapable Craving ~ Water								MONSTERCLASS:Undead:4	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead	TEMPLATE:Water			HITDICEADVANCEMENT:7,12	LEVELADJUSTMENT:3	CR:2	SOURCEPAGE:LM		DEFINE:BreathWeaponCone|15			
Dire Vermin (Dire Maggot)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,40	FACE:15	REACH:10	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2			BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Paralytic Saliva									MONSTERCLASS:Vermin:6	RACETYPE:Vermin	RACESUBTYPE:Dire	TYPE:Vermin	TEMPLATE:Vermin|Mindless				HITDICEADVANCEMENT:11		CR:2	SOURCEPAGE:LM					
Dream Vestige			STARTFEATS:1	SIZE:H	MOVE:Fly,40	FACE:15	REACH:20	VISION:Blindsight (120')|Darkvision (60')		PREALIGN:CE										BONUS:STAT|DEX|10		BONUS:STAT|INT|8	BONUS:STAT|WIS|10	BONUS:STAT|CHA|10			MONCSKILL:Concentration|Diplomacy|Hide|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Tendril,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,3d6		ABILITY:Special Ability|AUTOMATIC|Desecrating Aura|Form Consumption|Frightful Presence ~ Su	ABILITY:Special Ability|AUTOMATIC|Deflective Aura|Dream Travel|Inescapable Craving ~ Bodies|Self Spawn					SR:28	DR:10/-		MONSTERCLASS:Undead:17	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead	TEMPLATE:Undead|Incorporeal				HITDICEADVANCEMENT:25,51		CR:16	SOURCEPAGE:LM		DEFINE:FrightfulPresRange|60			
Entomber			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Burrow,10	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LE	AUTO:LANG|Common		BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12			BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Entomb|Exhume							DR:5/Silver		MONSTERCLASS:Undead:8	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:16,24		CR:5	SOURCEPAGE:LM					
Entropic Reaper			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Common|Abyssal|Celestial		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|4			BONUS:STAT|WIS|10	BONUS:STAT|CHA|4			MONCSKILL:Concentration|Knowledge (The Planes)|Listen|Spot			AUTO:WEAPONPROF|Scythe						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Entropic Blade	ABILITY:Special Ability|AUTOMATIC|Master of the Scythe|Fast Healing					SR:22	DR:10/Cold Iron and Lawful		MONSTERCLASS:Undead:35	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead|Extraplanar	TEMPLATE:Chaotic			HITDICEADVANCEMENT:35		CR:12	SOURCEPAGE:LM	SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Plane Shift,17+CHA	BONUS:VAR|FastHealing|10			
Forsaken Shell			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Burrow,15	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Common		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|10	BONUS:STAT|DEX|2							MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Skin Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Constrict|Create Spawn|Improved Grab									MONSTERCLASS:Undead:14	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:30		CR:6	SOURCEPAGE:LM					
Golem (Grave Dirt)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|-2				BONUS:STAT|CHA|-10												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Berserk|Soiled Wound	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:5/Adamantine and Bludgeoning		MONSTERCLASS:Construct (Mindless):11	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:18,33		CR:9	SOURCEPAGE:LM					
Golem (Tombstone)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	VISION:Low-light|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|-2				BONUS:STAT|CHA|-10												LEGS:2					NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d10		ABILITY:Special Ability|AUTOMATIC|Slay Living	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:10/Adamantine		MONSTERCLASS:Construct (Mindless):14	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:21,42		CR:11	SOURCEPAGE:LM					
Hulking Corpse				SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:CE			BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16				BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2								AUTO:FEAT|Improved Toughness|Power Attack				LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Rend							DR:5/Bludgeoning and Magic		MONSTERCLASS:Undead:20	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead|Mindless				HITDICEADVANCEMENT:30,60		CR:9	SOURCEPAGE:LM					
Murk			STARTFEATS:1	SIZE:M	MOVE:Fly,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE				BONUS:COMBAT|AC|1|TYPE=Deflection.REPLACE						BONUS:STAT|DEX|4		BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Hide|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*1,0		ABILITY:Special Ability|AUTOMATIC|Confer Negative Level|Wisdom Damage ~ Murk									MONSTERCLASS:Undead:3	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead	TEMPLATE:Undead|Incorporeal				HITDICEADVANCEMENT:9		CR:3	SOURCEPAGE:LM					
Plague Blight			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LE,NE,CE	AUTO:LANG|Common		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|10		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Balance|Escape Artist|Hide|Jump|Listen|Move Silently|Spot|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Gangrenous Touch	ABILITY:Special Ability|AUTOMATIC|Gangrenous Stench|Resistance To Blows|Turn Resistance						DR:5/Slashing		MONSTERCLASS:Undead:6	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead	TEMPLATE:Evil			HITDICEADVANCEMENT:12,18		CR:6	SOURCEPAGE:LM		BONUS:VAR|TurnResistBonus|2			
Quell			STARTFEATS:1	SIZE:M	MOVE:Fly,60	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LE	AUTO:LANG|Common|Infernal			BONUS:COMBAT|AC|2|TYPE=Deflection.REPLACE						BONUS:STAT|DEX|6		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Diplomacy|Hide|Intimidate|Listen|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Coupled Intercession|Intercession	ABILITY:Special Ability|AUTOMATIC|Daylight Powerlessness|Turn Resistance								MONSTERCLASS:Undead:5	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead	TEMPLATE:Undead|Incorporeal				HITDICEADVANCEMENT:10		CR:3	SOURCEPAGE:LM		BONUS:VAR|TurnResistBonus|4			
Raiment				SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	VISION:Blindsight (60')|Darkvision (60')					BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|4			BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4												LEGS:2	HANDS:2				NATURALATTACKS:Coat Sleeve,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d2		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab							DR:5/Magic		MONSTERCLASS:Undead:3	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead|Mindless				HITDICEADVANCEMENT:6		CR:1	SOURCEPAGE:LM					
Skin Kite			STARTFEATS:1	SIZE:S	MOVE:Walk,10,Fly,40	FACE:2.5	REACH:0	VISION:Darkvision (60')		PREALIGN:NE										BONUS:STAT|DEX|8		BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Spot									LEGS:0	HANDS:0	BONUS:COMBAT|TOHIT.GRAPPLE|12|TYPE=Racial			NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Meld|Steal Skin	ABILITY:Special Ability|AUTOMATIC|Diet Dipendent ~ Skin|Launch Kite								MONSTERCLASS:Undead:4	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead						CR:3	SOURCEPAGE:LM					
